㛋	U+36CB (U+36CB)	e39b8b
㦎	cantankerous; perverse, stupid; dull, ignorant, to divide clearly; without ambiguity, gracefully quiet (U+398E)	e3a68e
㦏	weak; feeble, joy; delight; gratification (U+398F)	e3a68f
㦐	a straightforward character, cannot make up one's mind; to hesitate (U+3990)	e3a690
㦑	anger; rage; angry; furious, silly; stupid; foolish (U+3991)	e3a691
㦒	to deceived, loquacious (U+3992)	e3a692
㦓	difficult intention, difficult idea or sentiment, weakened volition; dejected, fear; scare; fright (U+3993)	e3a693
㦔	(same as 懕) sickly; in poor health, undisturbed; composed; calm; quiet, to satisfy or be satisfied to gratify or be gratified; (same as 厭) content; gratification (U+3994)	e3a694
㦕	thought; idea; sentiment, intention, expectation, meaning (U+3995)	e3a695
㦖	(same as 懣) resentful; sullen; sulky; anger (especially at injustice) indignant, annoyed; depressed; bored (U+3996)	e3a696
㦗	diligent; sedulous; industrious, with a strong will power (U+3997)	e3a697
㦘	(same as 憿) swift; rapid; quick; fast, by luck or chance (U+3998)	e3a698
㦙	U+3999 (U+3999)	e3a699
㦚	melancholy; grievous; mournful, urgent; pressing (U+399A)	e3a69a
㦛	to walk in a composed (comfortable) way, respectful; reverent (U+399B)	e3a69b
㦜	to move the mind; agitated; nervous; to start thinking, melancholoy; grievous; mournful, (same as 驚) to surprise; to amaze, afraid; scared; terrified; fearful (U+399C)	e3a69c
㦝	beautiful; pretty, good; excellent, to usurp; to outrage, to draw; to sketch (U+399D)	e3a69d
㦞	(same as 懤) grieved; pained; in deep grief; to lament deeply (U+399E)	e3a69e
㦟	intelligent; astute; clever (U+399F)	e3a69f
㦠	U+39A0 (U+39A0)	e3a6a0
㦡	(non-classical form of 樂) happy; gladl joyful cheerful; elated; content; delighted; pleased; willing, enjoyable (U+39A1)	e3a6a1
㦢	pure; virtuous; devotion; dedication, to have bearings; to have manners (U+39A2)	e3a6a2
㦣	to talk in one's sleep (U+39A3)	e3a6a3
㦤	virtuous, especially of women, admirable, esteemed, excellent (U+39A4)	e3a6a4
㦥	(same as 愋) talented; intelligent; wise wisdom; knowledge, to resent; to hate, to regret (U+39A5)	e3a6a5
㦦	apprehensive; fearful; afraid, ashamed, uneasy in mind; not feeling at peace; disturbed (U+39A6)	e3a6a6
㦧	(same as U+61AF 憯 U+6158 慘) sad; sorrowful; grieved; miserable; tragic (U+39A7)	e3a6a7
㦨	(same as 嬾) lazy; indolent; idle; inactive; reluctant; disinclined (U+39A8)	e3a6a8
㦩	melancholy; grievous; mournful; to feel sorrow or grief; to grieve; to mourn; to be sad, prudent; cautious (U+39A9)	e3a6a9
㦪	complaint; grudge; unjust (U+39AA)	e3a6aa
㦫	lax and crude; idle and remiss (U+39AB)	e3a6ab
㦬	ashamed; abashed; mortified; humiliated, few; little scarce; rare (U+39AC)	e3a6ac
㦭	(same as 憐 怜) to pity; to have compassion on; to sympathize (U+39AD)	e3a6ad
㦮	(abbreviated form of 錢) money; cash, a unit of weight, a Chinese family name (U+39AE)	e3a6ae
㦯	(same as 或) a certain; some, perhaps; probably; maybe, or (U+39AF)	e3a6af
㦰	to break off (relations); to sever, to exterminate; to annihilate; to wipe out, to pierce; to stabl; to irritate; to hurt, to hold weapons, agricultural implements; far tools, sharp will; eager intention; determination (U+39B0)	e3a6b0
㦱	U+39B1 (U+39B1)	e3a6b1
㦲	(non-classical form of 哉) a particle expressing surprise, admiration, or grief, an expletive (U+39B2)	e3a6b2
㦳	U+39B3 (U+39B3)	e3a6b3
㦴	to arrest; to catch; to seize, to brawl; a hand-to-hand fight; to struggle for; to fight for, to beat; to strike; to attack (U+39B4)	e3a6b4
㦵	to kill; to put to death; to slaughter; to execute, to punish, to weed out; to exterminate, a kind of weapon (U+39B5)	e3a6b5
㦶	repeatedly; frequently; to alternate, common; ordinary; normal, sharp, name of a state in ancient China, bold; brave; fierce; violent; severe; strict; stringent (U+39B6)	e3a6b6
㦷	(ancient form of 勇) brave; courageous; bold; valiant; fearless; gallant; heroic (U+39B7)	e3a6b7
㦸	a lance with two points, a halberd with a crescent -shaped blade; weapons used in ancient times, to stimulate; to provoke; to excite; to irritate, to point with the index finger and the middle finger; to describe angry or an awe-inspiring display of military force, etc., masculine; heroic; brave (U+39B8)	e3a6b8
㦹	a spear; a lance; a javelin, a battle-axe; a halberd (U+39B9)	e3a6b9
㦺	a lance with two points, a halberd with a crescent -shaped blade; weapons used in ancient times, to stimulate; to provoke; to excite; to irritate, to point with the index finger and the middle finger; to describe angry or an awe-inspiring display of military force, etc., masculine; heroic; brave, (in general) shart points and edges of weapons (U+39BA)	e3a6ba
㦻	(ancient form of 襲) to put on; to wear, repeated; double; to inherit; to attack or take by surprise, to accord with; to unite (U+39BB)	e3a6bb
㦼	a wooden piles used as a cable to make immovable of a boat (U+39BC)	e3a6bc
㦽	with elegant appearance, with beautiful or gorgeous color; refined, learned and accomplished (U+39BD)	e3a6bd
㦾	(same as U+6245 扊) the bolt of a door; door latch (U+39BE)	e3a6be
㦿	a window, a small door, (ancient form 戶) a door, a household (U+39BF)	e3a6bf
㧀	the bolt of a door; door latch (U+39C0)	e3a780
㧁	to close, shut the door with a bang, to soar, (ancient form 闔) a Chinese family name (U+39C1)	e3a781
㧂	(same as 屇) a cave a hold in the ground; a hole (U+39C2)	e3a782
㧃	(ancient form of 收) to receive what is due; to gather together, to harvest, to collect; to put away, to close, to bind, to restrain, to bring to the end, (same as 摎) entwined -- as branches of a tree; to tangle; to involve, to collaborate; to band together (U+39C3)	e3a783
㧄	to take; to receive; to fetch; to take hold of (U+39C4)	e3a784
㧅	to turn upside down; to exert a great deal; to pull and drag, to implicate or involve (U+39C5)	e3a785
㧆	to cover something with a piece of cloth, a kind of cloth used to cover something (U+39C6)	e3a786
㧇	to hold; to grasp, to maintain; to support; to keep; to uphold, a tie or stalemate (U+39C7)	e3a787
㧈	(same as 引) to pull; to attract, to guide, to introduce, to quote, to retire (U+39C8)	e3a788
㧉	to rub; to grind; to polish; to wear, to take; to obtain; to select, to beat; to strike; to attack (U+39C9)	e3a789
㧊	to push; to excpel, to shirk; to decline, to row, to wipe and clean, to strike; to beat, to be rampant in defiance of authority (U+39CA)	e3a78a
㧋	to lengthen and extenuate -- as in making noodle; to drag out (U+39CB)	e3a78b
㧌	(same as 毛 芼) to select; to choose; to pick out (U+39CC)	e3a78c
㧍	(same as 仿) alike; similar, (same as 搒) to involve; to affect (U+39CD)	e3a78d
㧎	forked branches, stone roller, to roll, to stop; to detain; to prohibit, to clutch; to grasp (U+39CE)	e3a78e
㧏	(a simplified form of 掆) to carry on the shouldersof two or more men, to raise (U+39CF)	e3a78f
㧐	(simplified form of 㩳) to hold; to grasp, to detain, to uphold, to push, to stand upright (U+39D0)	e3a790
㧑	(a simplified form 撝) to wave, to assist (U+39D1)	e3a791
㧒	to beat; to strike, to throw; to pitch, to scoop out to dig out (U+39D2)	e3a792
㧓	to lead; to guide, to entice, to introduce, to draw out; to stretch, to beat; to strike (U+39D3)	e3a793
㧔	to disturbe; to agitate; to harass, to quarrel; to wrangle (U+39D4)	e3a794
㧕	to feel or touch with hands; to hold, to lay the hand on, to cover (U+39D5)	e3a795
㧖	to clutch; to grasp (U+39D6)	e3a796
㧗	to clatch, to grasp with the hand, to pinch, to kill, to attach from the sideway, to strike with the hand; (Cant.) to tear, rip (U+39D7)	e3a797
㧘	to accumulate, to massage the cheeks (U+39D8)	e3a798
㧙	to give a playful blow, to strike against, to wring; to wrench; to twist, to turn for the better (U+39D9)	e3a799
㧚	(a dialect character) cup the hand, (corrupted form of U+65CA 瓬) clay pottery; earthenware (U+39DA)	e3a79a
㧛	(simplied form of 掔) thick; firm; substantial, to drag along; to pull, to lead (U+39DB)	e3a79b
㧜	(same as U+64F8 擸) to hold, to grasp, to hold the hair; to pull at; (Cant.) to take at a glance (U+39DC)	e3a79c
㧝	to take (U+39DD)	e3a79d
㧞	U+39DE (U+39DE)	e3a79e
㧟	(simplified form of 擓) to wipe; to scrub; to rub, to dust; to clean, (a dialect) to scratch with fingers lightly, (a dialect) to carry on the arm (U+39DF)	e3a79f
㧠	U+39E0 (U+39E0)	e3a7a0
㧡	to move; to shake; to rock; to excite, to decrease; to reduce; to diminish; to subtract; to deduct, to shoulder; to take upon on oneself (U+39E1)	e3a7a1
㧢	to depend on; to lean to; to rely on; by means of, to follow the old or traditional (practices, customs, precedents, etc.), to receive and carry on; to continue; to succeed to (U+39E2)	e3a7a2
㧣	to stop, to detain; to stay; to end; still; calm, only (U+39E3)	e3a7a3
㧤	(non-classical form) to jump; to leap; to bounce; (in general) get angry and leave away, to bump; (Cant.) to poke, jab (U+39E4)	e3a7a4
㧥	to nip with the fingers; to take a pinch; to take up as with tongs (U+39E5)	e3a7a5
㧦	to strike; to beat; to attach, (same as 揈) to move; to shake; to wield (U+39E6)	e3a7a6
㧧	(non-classical form of 梳) a comb; a coarse comb; to comb (U+39E7)	e3a7a7
㧨	(ancient form of 扏) slow; gradual; tardy; leisurely, to delay; to put off; to defer (U+39E8)	e3a7a8
㧩	to dispel, to move; to transfer, to issue; to set aside, to stir up, turning (U+39E9)	e3a7a9
㧪	to ruin; to destroy; to break down, to hang up; to suspend (U+39EA)	e3a7aa
㧫	to hold; to grasp, to maintain; to keep, a post, to lead on, (same as 擩) to rub, to crumble by hand, to massage; mixed-up; confused (U+39EB)	e3a7ab
㧬	to raise; to fold the hands on the breast, to bow, to salute, a method (to pile or to raise up) of painting; (Cant.) to push from behind (U+39EC)	e3a7ac
㧭	to get something with both raising hands (U+39ED)	e3a7ad
㧮	high; tall; lofty (U+39EE)	e3a7ae
㧯	a bucket made of willow, (a dialect) to lift (especially when only a single person is involved) (U+39EF)	e3a7af
㧰	(a simplified form) to strike; to tap, to shock (U+39F0)	e3a7b0
㧱	(same as U+62FF 拿) to bring, to take, to apprehend, to grasp (U+39F1)	e3a7b1
㧲	to shake; to rattle (U+39F2)	e3a7b2
㧳	to mix; to blend, to display in neat rows; to place in order (U+39F3)	e3a7b3
㧴	to rub hands; to rub between the hands; to twist between the hands (U+39F4)	e3a7b4
㧵	(corrupted form of U+638A 掊) to exact, to get salt from sea-water, to break up; to injure, to hold something in both hands; to scoop up mud; (Cant.) to hit, strike, knock (U+39F5)	e3a7b5
㧶	the jingling of metals, to strike, to lead; to guide (U+39F6)	e3a7b6
㧷	to wipe tears, to bind (U+39F7)	e3a7b7
㧸	to hit; to beat; to strike; (Cant.) to drive away, chase (U+39F8)	e3a7b8
㧹	to strike with fists, to strike; to blow (U+39F9)	e3a7b9
㧺	a finger wrapper; a covering (used to protect the fingers from getting hurt) (U+39FA)	e3a7ba
㧻	a thorn, to select; to pick, to push, to find out, to cut out; to engrave, sound of striking (U+39FB)	e3a7bb
㧼	to distribute, to scatter; to disperse (U+39FC)	e3a7bc
㧽	name of a county in Han dynasty; today's Inner Mongolia Autonomous Region; southeast of Baotou county (U+39FD)	e3a7bd
㧾	to strike, to bale out; to clean up (U+39FE)	e3a7be
㧿	to bump; to knock against; to strike accidentally; to collide (U+39FF)	e3a7bf
㨀	(same as 抦) to hold in the hand (U+3A00)	e3a880
㨁	to throw; to pitch, to send, to stay, a crutch; staff or stick (U+3A01)	e3a881
㨂	to beat; to strike; to attack (U+3A02)	e3a882
㨃	a row; a line, to push; to clear out, (same as 朾) to bump; to knock against; to strike accidentally; to collide; (Cant.) to poke, nudge, stab; to stretch out (U+3A03)	e3a883
㨄	to pierce; to stab, (same as 挑) to stir; to disturb; to agitate, to place the hand on, to impeach, (a dialect) to lift something heavy from one side or from the end (U+3A04)	e3a884
㨅	inside; within; inner, a family name, (corrupted form of 抐) to take from the top, to strip; to peel (U+3A05)	e3a885
㨆	to kill, to slaughter, to beat; to strike; to hit; to attack; (Cant.) to pile, stack (U+3A06)	e3a886
㨇	(same as 搫) to sweep clean; to clean away, to eliminate (U+3A07)	e3a887
㨈	(abbreviated form of 擠) to crowd; to throng; to push; to squeeze (U+3A08)	e3a888
㨉	(same as U+62BF 抿) to smooth, to stroke; to pucker, to contract, to wipe away (U+3A09)	e3a889
㨊	to discard; to reject; to abandon, to feel; to stroke, to sort out the divining stalks, to drop; to lose; to fall off, to weigh; to measure weight (U+3A0A)	e3a88a
㨋	to beat; to strike; to attach (U+3A0B)	e3a88b
㨌	to milk a cow or goat (U+3A0C)	e3a88c
㨍	to defend, on a level with; even; equal, to help; to assist (U+3A0D)	e3a88d
㨎	to dye, to dip, to soak; to rub in the hands (U+3A0E)	e3a88e
㨏	to beat; to strike; to attack (U+3A0F)	e3a88f
㨐	to slap lightly on the clothes or coverlet, to beat; to strike; to attack (U+3A10)	e3a890
㨑	to count; to enumerate, to grasp the head (U+3A11)	e3a891
㨒	(same as 刲) to cut open and clean -- as fish, to kill; to sacrifice, to stab (U+3A12)	e3a892
㨓	(non-classical form) to close; to shut, to block up, to pull or drag out of the water; to fish up; to salvage (U+3A13)	e3a893
㨔	to shake; to rock; to jolt; to joggle (U+3A14)	e3a894
㨕	to shoulder; to take on the shoulder; to take upon oneself (U+3A15)	e3a895
㨖	to stab, to rob of money; to rob of riches, to go nonstop to, to cluster together; to mass; (Cant.) to squeeze in (U+3A16)	e3a896
㨗	(variant of 捷) alert, nimble, prompt, clever, smart (U+3A17)	e3a897
㨘	(same as U+64E4 擤) to blow the nose with the fingers; (Cant.) to scour; to rebuke; to hit with a ball (U+3A18)	e3a898
㨙	to clasp or hold under the arm, to support; to prop up; to aid, to exchange; to alter, to lift up or off; to raise high (U+3A19)	e3a899
㨚	to select; to choose; to pick out, to defend; to ward off, to refuse; to reject (U+3A1A)	e3a89a
㨛	swift; rapid quick; speedy, (same as 掞) easy; smooth; suave; comfortable (U+3A1B)	e3a89b
㨜	to help each other, to shoulder; to take upon oneself (U+3A1C)	e3a89c
㨝	the very hard stuff, to sort out of divining stalks; (Cant.) to wedge in (U+3A1D)	e3a89d
㨞	to feel about; to grope in the dark (U+3A1E)	e3a89e
㨟	to touch; to contact, to ram; to butt (U+3A1F)	e3a89f
㨠	(same as 塓) to smear; to daub; to spread, to paint (U+3A20)	e3a8a0
㨡	to push with hands, to hold; to grasp, (in general) something as a whole; complete; undamaged (U+3A21)	e3a8a1
㨢	to rip open flesh; to cut flesh; (Cant.) to join, link, connect (U+3A22)	e3a8a2
㨣	U+3A23 (U+3A23)	e3a8a3
㨤	(same as 擓) to wipe; to scrub; to rub, to dust; to clean, (a dialect) to scratch with fingers lightly, (a dialect) to carry on the arm (U+3A24)	e3a8a4
㨥	to hit; to strike (U+3A25)	e3a8a5
㨦	(abbreviated form) to hold; to grasp, to detain, to uphold, to push, to stand upright (U+3A26)	e3a8a6
㨧	wooden stick or bamboo cane (shaped segment of a circle) used to support the covering of a carriage in ancient times (U+3A27)	e3a8a7
㨨	(the large seal; a type of Chinese calligraphy) to draw out; to sprout; to rid; to whip, to build, to thresh; to hull or unhusk, to beat; to pound; (Cant.) to shake down (U+3A28)	e3a8a8
㨩	(non-classical form of 捷) to win; to triumph, swift; quick; rapid (U+3A29)	e3a8a9
㨪	to shake; to be disturbed; oscillating, brightness, dazzling; glaring (U+3A2A)	e3a8aa
㨫	(same as U+652C 攬) to be in full possession of; to monopolize, to grasp; to seize (U+3A2B)	e3a8ab
㨬	U+3A2C (U+3A2C)	e3a8ac
㨭	unreasonable, to distribute; to make known; to circulate, book cover; book jacket, letter; correspondence (U+3A2D)	e3a8ad
㨮	to lift up; to take in the hand, to control, to open; (Cant.) to seize, grasp (U+3A2E)	e3a8ae
㨯	(same as 擴) to enlarge; to magnify; to expand (U+3A2F)	e3a8af
㨰	to turn; to shift; to move (U+3A30)	e3a8b0
㨱	to shake, to wave, to row (U+3A31)	e3a8b1
㨲	to back up; to support, to take; to receive; to obtain, to select; to choose (U+3A32)	e3a8b2
㨳	(same as 庋) a cupboard; a closet, to put into a cupboard or closet; to put into the proper place, to wear on the head, to support; to sustain; to bear (U+3A33)	e3a8b3
㨴	to turn over; to collapse; (Cant.) to lift (a lid); to uncover (U+3A34)	e3a8b4
㨵	(non-classical form of 揃) to cut away; to cut off; to cut down; to eliminate; to remove; to exterminate (U+3A35)	e3a8b5
㨶	(same as 搗 擣) to thresh; to hull or unhusk, to beat; to pound; to attack (U+3A36)	e3a8b6
㨷	to wipe; to cleanse, (interchangeable 艱) difficult; distress; harship (U+3A37)	e3a8b7
㨸	to hit; to strike; to beat (U+3A38)	e3a8b8
㨹	to crack; to break; to rip open, to split or divide up, to hang up; to suspend, to sweep clean; to eliminate (U+3A39)	e3a8b9
㨺	to ornament; to polish; to decorate, (same as 捫) to feel; to touch with hands; to hold, to search (in one's pocket, etc.) (U+3A3A)	e3a8ba
㨻	to cut; to kill; to behead, gradually; little by little; by degrees, to lift; to raise, to strike; to beat, to throw; to pitch; to deliver (U+3A3B)	e3a8bb
㨼	(non-classical form of U+63A0 掠) to take by force, to throw aside (U+3A3C)	e3a8bc
㨽	to cut or rip open (U+3A3D)	e3a8bd
㨾	a type; a model; a mode; a style (U+3A3E)	e3a8be
㨿	(a variant of 據) to receive, as communications from a subordinate, to rely on, to lean on, evidence; proof, according to; whereas (U+3A3F)	e3a8bf
㩀	(a variant of 據) to receive, as communications from a subordinate, to rely on, to lean on, evidence; proof, according to; whereas (U+3A40)	e3a980
㩁	to knock, to pick out, to ridicule, (a variant) monopoly, a footbridge. a toll levied at a bridge or a ferry (U+3A41)	e3a981
㩂	U+3A42 (U+3A42)	e3a982
㩃	to take or capture (a city, etc.), to gather or to collect (U+3A43)	e3a983
㩄	to strike; to beat, to get scattered and lost (U+3A44)	e3a984
㩅	(ancient form of U+62BD 抽) to draw out; to pull out; to take out, to sprout; to put forth shoots, to rid; to take away; to whip; (Cant.) to shake down (U+3A45)	e3a985
㩆	to be in full possession of; to grasp, to beat cruelly; to beat brutally; to beat severely (U+3A46)	e3a986
㩇	the thumb, to split; to tear apart, sound of ripping or tearing, to cut open with something sharp (U+3A47)	e3a987
㩈	to restrain; restrained; timid and awkward; to feel not at home; miserably poor (U+3A48)	e3a988
㩉	(same as 搨) to take a rubbing of an inscription on stone, etc., (same as 拉) to pull; to drag; to hold, to beat; to strike; to attack, (same as 拹) to break; to destroy; to smash (U+3A49)	e3a989
㩊	to pull up the sleeves and show the arms, to fight with bare hands, to desire for more than one's rightful share; to covet; greedy (U+3A4A)	e3a98a
㩋	to beat; to strike; to attact, sound of beating or hitting, a handle; a hold; to hold; to take, to guard; to watch over (U+3A4B)	e3a98b
㩌	to strike; to fight with hands, to scratch lightly; to brush; to shake; to dust, to knock down; to floor (U+3A4C)	e3a98c
㩍	to back up; to support, to take; to receive; to fetch; to obtain; to take hold of (U+3A4D)	e3a98d
㩎	(same as 擪) to press with a finger; to tuck in; to put the finger into; to put in; to stow away (U+3A4E)	e3a98e
㩏	U+3A4F (U+3A4F)	e3a98f
㩐	U+3A50 (U+3A50)	e3a990
㩑	U+3A51 (U+3A51)	e3a991
㩒	(same as U+64D2 擒) to arrest; to capture; (Cant.) to press down firmly (U+3A52)	e3a992
㩓	to wound; to damage; to destroy; to injure (U+3A53)	e3a993
㩔	a tool to make (crumble and to make smooth) a bow, to beat; to strike; to attack (U+3A54)	e3a994
㩕	(same as 拎) to haul; to take; to lift, to raise (U+3A55)	e3a995
㩖	to back up; to support (U+3A56)	e3a996
㩗	(non-classical form of 攜) to lead by the hand, to conduct to; to take with (U+3A57)	e3a997
㩘	(corrupted form of 檥) (interchangeable 艤) to moor to the bank (U+3A58)	e3a998
㩙	(same as 塞) a cork or stopper; to cork; to seal, to fill up, to block (U+3A59)	e3a999
㩚	to collect (tax, grains), to draw together; to contract, to become less flagrant in behavior (U+3A5A)	e3a99a
㩛	(same as 摶) to roll round with the hand, to rely on, to take or follow (a trail, etc.) (U+3A5B)	e3a99b
㩜	(same as U+652C 攬) to be in possession of; to grasp, to make selective collection or coverage of; (Cant.) actually; strong (U+3A5C)	e3a99c
㩝	to compare; to estimate (U+3A5D)	e3a99d
㩞	(corrupted form) to back up; to support, to take; to receive; to fetch; to obtain; to take hold of; (Cant.) to throw, heave, fling away (U+3A5E)	e3a99e
㩟	(a dialect) to sew some ornaments (button; decorations, etc.) on the clothes (U+3A5F)	e3a99f
㩠	a fierce or bloody battle, to untie; to unbind, (same as 捊) to exchange; to trade, to guide, to quote (U+3A60)	e3a9a0
㩡	shake; to toss, to wave; to sway, to row (U+3A61)	e3a9a1
㩢	to beat; to strike; to attack, to cut, to diminish, to decide; to udge, to weight; to measure, to wipe; to rub, to dust; to clean (U+3A62)	e3a9a2
㩣	(same as 揮) to move; to shake; to wield; to direct, to arouse (U+3A63)	e3a9a3
㩤	to open; to stretch; to extend; to display; to raise, to scatter; to spread, to stir; to get excited (U+3A64)	e3a9a4
㩥	(non-classical form of 攕) delicate hand (of a woman) (U+3A65)	e3a9a5
㩦	(same as 攜) to lead by the hand, to conduct to; to take with, a Chinese family name (U+3A66)	e3a9a6
㩧	to strike; to beat; to knock; to stone (to throw stone and hit someone); sound of hitting something (U+3A67)	e3a9a7
㩨	to crack; to break, to split or divide up, to rend; to rip open, tohand up; to suspend, to worry; to think of; anxious (U+3A68)	e3a9a8
㩩	(a dialect) to come to an end; to terminate (U+3A69)	e3a9a9
㩪	(corrupted form of 擷) to collect; to take up; to pick; to gether (U+3A6A)	e3a9aa
㩫	U+3A6B (U+3A6B)	e3a9ab
㩬	to beat; to strike; to attack (U+3A6C)	e3a9ac
㩭	(non-classical form of 攪) to disturb or to agitate; to bother; to trouble, to stir; to churn; to mix evenly by stirring (U+3A6D)	e3a9ad
㩮	to lift up or off; to raise high, to unveil (U+3A6E)	e3a9ae
㩯	(same as 搫) to move; to transport, to collect; to gather; to make a clean sweep of (U+3A6F)	e3a9af
㩰	to stab; to cut, (same as 摷) to attack against (U+3A70)	e3a9b0
㩱	to select; to choose; to pick out, to lift; to carry on the shoulders -- of two or more men, to wipe out, to brush over lightly, to carry; to take or bring along at one's convenience, to cut; to par; to trim; to shave (U+3A71)	e3a9b1
㩲	a fist, to clasp (U+3A72)	e3a9b2
㩳	to hold; to grasp, to detain, to uphold, to push, to stand upright; expel, to shirk, to raise up (U+3A73)	e3a9b3
㩴	to seize, as a bird of prey, to seize and carry off, to grasp (U+3A74)	e3a9b4
㩵	to beat; to strike; to attack (U+3A75)	e3a9b5
㩶	to hold; to grasp; to seize, to retain (U+3A76)	e3a9b6
㩷	U+3A77 (U+3A77)	e3a9b7
㩸	(a variant) to pile on; to fold up, to draw together; to collect (U+3A78)	e3a9b8
㩹	to pile on; to fold up (U+3A79)	e3a9b9
㩺	(a dialect) a crack on the utensil (U+3A7A)	e3a9ba
㩻	rugged mountain path, very skinny, to pile on upon another; accumulation; to accumulate; (Cant.) exclamation (U+3A7B)	e3a9bb
㩼	many; much, more than; over (U+3A7C)	e3a9bc
㩽	parasitic branches on a tree, branches growing horizontally, (variant 勑) imperial orders (U+3A7D)	e3a9bd
㩾	uneven, to hang down; to let fall (U+3A7E)	e3a9be
㩿	unstable, dull, rough; coarse (U+3A7F)	e3a9bf
㪀	to enter, to go ahead; to proceed; to advance, to improve, to offer (U+3A80)	e3aa80
㪁	to hold; to grasp, rregular; uneven, a precipice beneath an overhanging cliff, (same as 拑) to take by force; to control with threat of force; to coerce (U+3A81)	e3aa81
㪂	unstable, dull, rough; coarse (U+3A82)	e3aa82
㪃	to thump; to beat; to strike; to attack (U+3A83)	e3aa83
㪄	broken; to break, ruined, reason; cause; right, principle; theory, to arrange; to repair, to regulate; to operate; to govern (U+3A84)	e3aa84
㪅	(same as 更) to change, to alter (U+3A85)	e3aa85
㪆	hidden; mysterious; secret, to conceal (U+3A86)	e3aa86
㪇	to disseminate; to spread, the weak sound of a Chinese musical instrument with seven or five strings (U+3A87)	e3aa87
㪈	to let go, to put, to raid; to aggress, to encroach up, a bad year; a year of famine or disaster (U+3A88)	e3aa88
㪉	(ancient form 合) to combine; to unite; to gather, to close; to shut (U+3A89)	e3aa89
㪊	infested with bandits and robbers (U+3A8A)	e3aa8a
㪋	(same as 扞, 捍) to resist; to oppose; to obstruct, to defend; to guard; to ward off, (same as 㪃) to thump; to beat; to strike; to attack (U+3A8B)	e3aa8b
㪌	to lead on; to advance, to strike against; to break through (U+3A8C)	e3aa8c
㪍	(same as 勃) suddenly, to change, as the countenance, a kind of animal (interchangeable 悖) perverse; contrary to what is right, to rebel (U+3A8D)	e3aa8d
㪎	uncertain; not yet settled, irregular, to raise one's hands, to exhaust; to use up, to complete; to finish, all; entirely; totally; completely (U+3A8E)	e3aa8e
㪏	(interchangeable 捭) to ruin; to destroy; to break down, sound of beating or striking (U+3A8F)	e3aa8f
㪐	unstable, dull, rough; coarse (U+3A90)	e3aa90
㪑	to follow; to attach; connected (U+3A91)	e3aa91
㪒	to ruin; to destroy; to break down (U+3A92)	e3aa92
㪓	disaster; calamity, evil; wicked; mean (U+3A93)	e3aa93
㪔	(same as 散) to scatter; to disperse; to break up or separate for a time; to dismiss (U+3A94)	e3aa94
㪕	to beat; to pound; to strike; to rush on; to pat; to dash; to smash, to take by force; to wrest from (U+3A95)	e3aa95
㪖	sound of beating, to strike, sound of an object dropping into water, etc. (U+3A96)	e3aa96
㪗	(a dialect) to open (a parcel; abundle or a package); to unroll ( a scroll, etc.); (Cant.) to rest, catch one's breath (U+3A97)	e3aa97
㪘	(abbreviated form of 斂) to draw together; to accumulate, to collect; to gather (U+3A98)	e3aa98
㪙	to go to the very source; to search into carefully (U+3A99)	e3aa99
㪚	(same as 散) to scatter; to disperse; to break up or separate for a time; to dismiss (U+3A9A)	e3aa9a
㪛	to pound rocks to pieces, (same as 抌) to strike; to strike with the fist (U+3A9B)	e3aa9b
㪜	(same as 揣) to measure; to estimate; to suppose; to gauge what's pon another's mind; to presume; to test; to sound out, (same as 捶) to weigh in the hand (U+3A9C)	e3aa9c
㪝	to beat, (same as 柬 揀) to select; to choose (U+3A9D)	e3aa9d
㪞	to be held by the hand, to resist; to oppose (U+3A9E)	e3aa9e
㪟	(same as 敦) to regard as important, to esteerm, honest; sincere; generous (U+3A9F)	e3aa9f
㪠	(same as U+9D6E 鵮) to peck, poverty; poor, things of the same value, to take; to fetch; to obtain, to select; to choose, (of a bird) to peck (U+3AA0)	e3aaa0
㪡	to quell; to punish by force of arms, enemy; foe, to oppose; to resist (U+3AA1)	e3aaa1
㪢	(same as 捎) to beat; to strike; to attack, to be in full possession of; to grasp, to make selective collection or coverage of (U+3AA2)	e3aaa2
㪣	a place in Han dynasty, (same as U+6572 敲) to beat; to knock (U+3AA3)	e3aaa3
㪤	to finish; concluded (U+3AA4)	e3aaa4
㪥	to take; to receive; fetch; to obtain; to take hold of, to press with fingers, use the fingers to show the distance (U+3AA5)	e3aaa5
㪦	to beat; to pound; to ram down, to attack (U+3AA6)	e3aaa6
㪧	to beat; to strike; to attack (U+3AA7)	e3aaa7
㪨	to mend; to repair; to copy; to write out (U+3AA8)	e3aaa8
㪩	to strike; to beat, sound of beating (U+3AA9)	e3aaa9
㪪	to use a wooden pole to support something; to raise, to begin; to start (U+3AAA)	e3aaaa
㪫	(corrupted form of 叡) wise and clever, shrewd, discreet, astute, quick of perception, the divine sagacity of sages (U+3AAB)	e3aaab
㪬	to pierce; to stab; to hurt, to give; to hand over; to confer, to teach, to build, to pound (grain) in order to remove the husk (U+3AAC)	e3aaac
㪭	to draw together; to contract to fold, to collect; to gather, to hide; to conceal (U+3AAD)	e3aaad
㪮	to beat; to attack; to strike (U+3AAE)	e3aaae
㪯	(non-classical form of U+8209 舉) to lift; to raise; to commend; to praise, entire; whole (U+3AAF)	e3aaaf
㪰	(ancient form of 齋) to abstain from meat, wine, etc., to fast; penance (U+3AB0)	e3aab0
㪱	elegant; coloured (U+3AB1)	e3aab1
