㛋	U+36CB (U+36CB)	e39b8b
㝗	spaciously rooms, expansive; vast and boundless (U+3757)	e39d97
㝘	(non-classical form) harmonoy; peace, pleasant; agreeable; delightful (U+3758)	e39d98
㝙	(ancient form of 寅) the third of the twelve terrestrial branches, a fellow officer, horary sign (for period from 3 to 5 a.m.) (U+3759)	e39d99
㝚	U+375A (U+375A)	e39d9a
㝛	(ancient form of 宿) ahalting place; to lodge for the night, to keep over night, to cherish, asleep and perching (U+375B)	e39d9b
㝜	night; dark; darkness, of death, to mourn, to lose; to deprived of (U+375C)	e39d9c
㝝	deep, profound, far, extremely (U+375D)	e39d9d
㝞	pretend to be delicate and beautiful, to hang or be hanged, to be in suspension; unfounded (U+375E)	e39d9e
㝟	(corrupted form) in contravention of; to offend (same as 冒) incautious, to risk, to put forth (U+375F)	e39d9f
㝠	(same as 冥) dark; obscure; dim, stupidity, far and high, deep; profound, night (U+3760)	e39da0
㝡	(a variant of 最) very; exceedingly; most, superior (U+3761)	e39da1
㝢	(same as 宇) a house; a roof, look; appearance, space (U+3762)	e39da2
㝣	still; calm; silent, peaceful; harmonious; serene, quite (U+3763)	e39da3
㝤	night, the dark part of a room (U+3764)	e39da4
㝥	have a nighmare, sound sleep (U+3765)	e39da5
㝦	to accumulate; to amass; to store up, superior, handsome, refined, eminent (U+3766)	e39da6
㝧	(non-classical form of 穩) stable; steady; firm, sure; secure (U+3767)	e39da7
㝨	U+3768 (U+3768)	e39da8
㝩	spaciously rooms, emptiness (U+3769)	e39da9
㝪	a slanting house, nightmare (U+376A)	e39daa
㝫	shape of the sky (U+376B)	e39dab
㝬	U+376C (U+376C)	e39dac
㝭	(non-classical form) to awake ( from errors, illusions, etc. to come to one's sense, (interchangeable 惺) clever; wise, wavering; indecisive (U+376D)	e39dad
㝮	to exile; to banish, beyond the borders (U+376E)	e39dae
㝯	to sojourn; sojourn, a sojourner; a visitor (U+376F)	e39daf
㝰	unable to meet, empty room (U+3770)	e39db0
㝱	(standard form) a dream; todream, visionary, stupid (U+3771)	e39db1
㝲	(same as 寢) to sleep; to rest, a tomb, a residence (U+3772)	e39db2
㝳	U+3773 (U+3773)	e39db3
㝴	(same as 刓) a round off; to trim (U+3774)	e39db4
㝵	(ancient form of U+5F97 得) to get, complacent, (same as U+7919 礙) to obstruct, to hinder, to stop progress, to injure, to offend, to concern, hindrance, restraint (U+3775)	e39db5
㝶	(ancient form of 得) to get, complacent (U+3776)	e39db6
㝷	U+3777 (U+3777)	e39db7
㝸	(same as 弁) a conical cap worn on ceremonious occasions in ancient times, low-ranking military officers, a Chinese family name (U+3778)	e39db8
㝹	(corrupted form) a hare, a small rabbit, a family name (U+3779)	e39db9
㝺	small; little, humble, to owe, deficient; lacking (U+377A)	e39dba
㝻	(same as U+50C5 僅) barely enough; scarcely; almost (U+377B)	e39dbb
㝼	crooked; winding, to circle; to hover around (U+377C)	e39dbc
㝽	short, small; little (U+377D)	e39dbd
㝾	can not walk normally (U+377E)	e39dbe
㝿	(non-classical form of 跛) lame; crippled (U+377F)	e39dbf
㞀	to bump, to strike (U+3780)	e39e80
㞁	can not walk normally, swollen feet (U+3781)	e39e81
㞂	ulcers, swollen feet, a kind of disease (U+3782)	e39e82
㞃	tired; weary (U+3783)	e39e83
㞄	lame; crippled; feeble (U+3784)	e39e84
㞅	not straight, improper (U+3785)	e39e85
㞆	(same as 踦) one-legged, crippled; halt, a defect, tired, the shin (U+3786)	e39e86
㞇	ulcers, swollen feet, a kind of disease (abnornal in walking) (U+3787)	e39e87
㞈	big foot, walking (U+3788)	e39e88
㞉	big foot (U+3789)	e39e89
㞊	unable to walk (U+378A)	e39e8a
㞋	soft and meek, weak, to arrange, to regulate (U+378B)	e39e8b
㞌	(same as 孕) to be pregnant; to conceive (U+378C)	e39e8c
㞍	U+378D (U+378D)	e39e8d
㞎	(baby talk) body waste, (a dialect) weight measurement (U+378E)	e39e8e
㞏	small; to store up or pile in order, to follow; to trace, a short step (U+378F)	e39e8f
㞐	(an ancient form of U+5C45 居), to dewell; to remain, to be in--of various states and conditions, to occupy, the course of one's life (U+3790)	e39e90
㞑	(standard form of 尾) the tail; the rear, last; final (U+3791)	e39e91
㞒	(standard form) lusty; strong; gigantic strength, heavy sleep with snoring (U+3792)	e39e92
㞓	the buttocks; the rump; the sacrum, to set sideways, the male organ; (Cant.) vulgar term for the female sex organ (U+3793)	e39e93
㞔	(corrupted form) the upright bar for fastening a door (U+3794)	e39e94
㞕	(same as 屑) chips; crumbs; bits trifles, to care; to mind (U+3795)	e39e95
㞖	this, here, if so; in this case, reluctant to go forward (U+3796)	e39e96
㞗	the male organ, obscene language; vulgar expression (U+3797)	e39e97
㞘	(non-classical form of U+8C5A 豚) a small pig; (Cant.) end, bottom, rump (U+3798)	e39e98
㞙	(same as 尿) urine; to urinate (U+3799)	e39e99
㞚	to pile up layer by layer, wedge, gatepost (U+379A)	e39e9a
㞛	red slippers, (corrupted form of 履) shoes (U+379B)	e39e9b
㞜	hempen sandals, boots (U+379C)	e39e9c
㞝	U+379D (U+379D)	e39e9d
㞞	semen (U+379E)	e39e9e
㞟	savings and (or) reserves; (same as U+5960 奠) to settle; to lay; (same as U+588A 墊) to advance (money), to cushion, to sink into; (said of manner) dignified; stately; graceful (U+379F)	e39e9f
㞠	male organ (U+37A0)	e39ea0
㞡	(same as 展) to open, to stretch, to unfold, to expand (U+37A1)	e39ea1
㞢	(ancient form of 之) to arrive at; to go to (U+37A2)	e39ea2
㞣	(same as 芬) fragrance; aroma; sweet smell; perfume (U+37A3)	e39ea3
㞤	to help; to aid; toassist (ancient form of 岑) a relatively high, pointed hill, silent; still; quiet (U+37A4)	e39ea4
㞥	deep in the mountain (U+37A5)	e39ea5
㞦	name of a mountain (U+37A6)	e39ea6
㞧	(ancient form of 會) to meet, to gather, to be able, to understand (U+37A7)	e39ea7
㞨	(corrupted form) name of a mountain ( the location is unknown) (U+37A8)	e39ea8
㞩	(same as 嵐) mountain vapor; mist (U+37A9)	e39ea9
㞪	the appearance of the mountain is flat and smooth, (corrupted form of 峱) name of a mountain in Shandong province (U+37AA)	e39eaa
㞫	(non-classcial form of 走) to walk, to run, to leave (U+37AB)	e39eab
㞬	close or near (U+37AC)	e39eac
㞭	name of an island (U+37AD)	e39ead
㞮	variant of 出 U+51FA, to go out, send out; to stand; to produce (U+37AE)	e39eae
㞯	(same as 岊) the turning area of a mountain, mountain top; summit, a high mountain, a bare (of bald) mountain or hill (U+37AF)	e39eaf
㞰	name of a mountain (U+37B0)	e39eb0
㞱	dusk; twilight (U+37B1)	e39eb1
㞲	name of a mountain, the plain between mountains (U+37B2)	e39eb2
㞳	name of a mountain (U+37B3)	e39eb3
㞴	name of a mountain, (non-classical form of 岷) the Min River (in Sichuan), Mt.Min (in Sichuan), name of a county (in old China) (U+37B4)	e39eb4
㞵	(corrupted form) frivolous; flippant; capricious; plyful; sportive, cunning (U+37B5)	e39eb5
㞶	(same as 岷) the Min River (in Sichuan), Mt.Min (in Sichuan), name of a county (in old China) (U+37B6)	e39eb6
㞷	luxuiant; lush; flourishing (U+37B7)	e39eb7
㞸	(same as 呡) (simplified form of 歲) a year; age (of a person), harvest (U+37B8)	e39eb8
㞹	(same as 岢) name of a mountain in Shanxi province (U+37B9)	e39eb9
㞺	(ancient form of 族) a tribe; a clan; relatives, race (of people), a class; a family (of animals) (U+37BA)	e39eba
㞻	name of a mountain (U+37BB)	e39ebb
㞼	(same as 丞) to respectfully receive, to flatter; to pay court to (U+37BC)	e39ebc
㞽	mountain; hill (U+37BD)	e39ebd
㞾	(same as 尼) a nun, the mountains after which Confucius was named (U+37BE)	e39ebe
㞿	(same as 岐) name of a mountain in Shanxi province, name of a political district in ancient China, name of a river in Shanxi province, to diverge; to branch (U+37BF)	e39ebf
㟀	name of a mountain (U+37C0)	e39f80
㟁	(a variant of 岸) shore; bank; beach; coast (U+37C1)	e39f81
㟂	name of cape in Shandong Province (U+37C2)	e39f82
㟃	(corrupted form of 司) to have charge of; to preside over, a (governmental) department (U+37C3)	e39f83
㟄	name of a mountain (U+37C4)	e39f84
㟅	lofty; high; steep (U+37C5)	e39f85
㟆	name of a mountain (U+37C6)	e39f86
㟇	a land-slide, name of mountain (U+37C7)	e39f87
㟈	name of a mountain (U+37C8)	e39f88
㟉	name of pavilion (garden) in ancient China, name of a mountain (U+37C9)	e39f89
㟊	name of a mountain (U+37CA)	e39f8a
㟋	deep and level ground gully at the foot of a hill (U+37CB)	e39f8b
㟌	a mountain in today's Sichuan Province (U+37CC)	e39f8c
㟍	name of a mountain, a solitary peak (U+37CD)	e39f8d
㟎	a long mountain ridge, steep; lofty mountain (U+37CE)	e39f8e
㟏	steep and lofty, a big valley (U+37CF)	e39f8f
㟐	big and high; lofty; steep (U+37D0)	e39f90
㟑	mountain; hill (U+37D1)	e39f91
㟒	mountains adjoining; mountains are unbroken connceted, name of a mountain (U+37D2)	e39f92
㟓	lofty and dangerous, rocks on the mountain side (U+37D3)	e39f93
㟔	steep and lofty, a big valley (U+37D4)	e39f94
㟕	U+37D5 (U+37D5)	e39f95
㟖	(loanword from Zhuang) the plain; level ground between rocky mountain, name of county (U+37D6)	e39f96
㟗	name of a small principality in what is now Shanxi, the home of the founder of the Zhou dynasty (U+37D7)	e39f97
㟘	name of a mountain (U+37D8)	e39f98
㟙	shape of the mountain, a mountain in today's Shandong Province (U+37D9)	e39f99
㟚	(same as 岐) name of a mountain in Shanxi Province, name of a political district in ancient China, name of a river in Shanxi province, to diverge; to branch (U+37DA)	e39f9a
㟛	high and steep; lofty (U+37DB)	e39f9b
㟜	(non-classical and abbreviated form) shape of the mountain (U+37DC)	e39f9c
㟝	(same as 培) to bank up with earth, to nourish; to strengthen; to cultivate (U+37DD)	e39f9d
㟞	precipitous and lofty; very steep mountains (U+37DE)	e39f9e
㟟	(same as 巷) a lane; an alley (U+37DF)	e39f9f
㟠	(same as 岡) ridge (o f a hill or mountain) (U+37E0)	e39fa0
㟡	U+37E1 (U+37E1)	e39fa1
㟢	the rocks on the hills are of different shapes; rugged and weird, character different from others (U+37E2)	e39fa2
㟣	U+37E3 (U+37E3)	e39fa3
㟤	(loan-word from Zhuang) used in place-names in Guangxi for level ground, a plain between mountains (U+37E4)	e39fa4
㟥	(simplified form of 嵾) uneven; rolling; rough; rugged, name of a mountain ( Wudangshan) (U+37E5)	e39fa5
㟦	name of a mountain (U+37E6)	e39fa6
㟧	a cliff; a precipice (U+37E7)	e39fa7
㟨	a fountain in the side of a hill, name of a mountain (U+37E8)	e39fa8
㟩	(same as 岷) the Min River (in Sichuan), Mt.Min (in Sichuan), name of a county (in old China) (U+37E9)	e39fa9
㟪	name of a mountain, loftyand steep; high (U+37EA)	e39faa
㟫	(same as 泉) spring; fountain, money (archaic) (U+37EB)	e39fab
㟬	a mountain in today's Shandong Province southwest of Mengyin county (U+37EC)	e39fac
㟭	(same as 岷) the Min River (in Sichuan), Mt.Min (in Sichuan), name of a county (in old China) (U+37ED)	e39fad
㟮	lofty; high (U+37EE)	e39fae
㟯	U+37EF (U+37EF)	e39faf
㟰	name of a mountain; lofty, steep (U+37F0)	e39fb0
㟱	shape of a mountain (U+37F1)	e39fb1
㟲	mountain peak; mountain top; summit (U+37F2)	e39fb2
㟳	name of a mountain (U+37F3)	e39fb3
㟴	lump on the hills, rugged; rough; rough, lofty; steep, the dejection one feels at heart (U+37F4)	e39fb4
㟵	(non-classical form of 岡) ridge (of a hill or mountain) (U+37F5)	e39fb5
㟶	mountain peak; mountain top; summit (U+37F6)	e39fb6
㟷	a wart; a pustule; a pimple, a round lump (U+37F7)	e39fb7
㟸	(non-classical form) name of pavilion (garden) in ancient China, name of a mountain (U+37F8)	e39fb8
㟹	the appearance of a mountain is lofty and steep and profound (U+37F9)	e39fb9
㟺	mountain top; summit (U+37FA)	e39fba
㟻	(same as 塹) the moat around a city, a pit; a hole or cavity in the ground (same as 嶄) (of a mountain) high and pointed, novel; new (U+37FB)	e39fbb
㟼	name of a place in Shandong Province, mountain with lots of small rocks (U+37FC)	e39fbc
㟽	mountain top; summit, pointing mountain (U+37FD)	e39fbd
㟾	name of a mountain in county Jian (U+37FE)	e39fbe
㟿	high and steep, name of a mountain (U+37FF)	e39fbf
㠀	(same as 島) island; isle (U+3800)	e3a080
㠁	irregular outline of a range of hills (U+3801)	e3a081
㠂	name of a place, lofty; steep, mountain with lots of small rocks (U+3802)	e3a082
㠃	U+3803 (U+3803)	e3a083
㠄	name of a mountain in Yunnan Province (U+3804)	e3a084
㠅	to cover; to put a cover over something, name of a mountain (U+3805)	e3a085
㠆	name of a mountain (U+3806)	e3a086
㠇	name of a mountain ridge (U+3807)	e3a087
㠈	name of a place (U+3808)	e3a088
㠉	mountain; hill, bald hills, valley; ravine (U+3809)	e3a089
㠊	(same as U+5D87 嶇) a rugged, steep mountain (U+380A)	e3a08a
㠋	(same as 崿) a lofty mountain peak (U+380B)	e3a08b
㠌	high; lofty; steep, (corrupted form of 嵌) (U+380C)	e3a08c
㠍	lofty; majestic, name of a mountain (U+380D)	e3a08d
㠎	(same as U+380D 㠍) a lofty mountain (U+380E)	e3a08e
㠏	name of a mountain (U+380F)	e3a08f
