𦑫	U+2646B (U+2646B)	f0a691ab
𦑬	U+2646C (U+2646C)	f0a691ac
𦑭	U+2646D (U+2646D)	f0a691ad
𦑮	U+2646E (U+2646E)	f0a691ae
𦑯	U+2646F (U+2646F)	f0a691af
𦑰	U+26470 (U+26470)	f0a691b0
𦑱	U+26471 (U+26471)	f0a691b1
𦑲	U+26472 (U+26472)	f0a691b2
𦑳	U+26473 (U+26473)	f0a691b3
𦑴	U+26474 (U+26474)	f0a691b4
𦑵	U+26475 (U+26475)	f0a691b5
𦑶	U+26476 (U+26476)	f0a691b6
𦑷	U+26477 (U+26477)	f0a691b7
𦑸	U+26478 (U+26478)	f0a691b8
𦑹	U+26479 (U+26479)	f0a691b9
𦑺	U+2647A (U+2647A)	f0a691ba
𦑻	U+2647B (U+2647B)	f0a691bb
𦑼	U+2647C (U+2647C)	f0a691bc
𦑽	U+2647D (U+2647D)	f0a691bd
𦑾	U+2647E (U+2647E)	f0a691be
𦑿	U+2647F (U+2647F)	f0a691bf
𦒀	U+26480 (U+26480)	f0a69280
𦒁	U+26481 (U+26481)	f0a69281
𦒂	U+26482 (U+26482)	f0a69282
𦒃	U+26483 (U+26483)	f0a69283
𦒄	U+26484 (U+26484)	f0a69284
𦒅	U+26485 (U+26485)	f0a69285
𦒆	U+26486 (U+26486)	f0a69286
𦒇	U+26487 (U+26487)	f0a69287
𦒈	U+26488 (U+26488)	f0a69288
𦒉	U+26489 (U+26489)	f0a69289
𦒊	U+2648A (U+2648A)	f0a6928a
𦒋	U+2648B (U+2648B)	f0a6928b
𦒌	U+2648C (U+2648C)	f0a6928c
𦒍	U+2648D (U+2648D)	f0a6928d
𦒎	U+2648E (U+2648E)	f0a6928e
𦒏	U+2648F (U+2648F)	f0a6928f
𦒐	U+26490 (U+26490)	f0a69290
𦒑	U+26491 (U+26491)	f0a69291
𦒒	U+26492 (U+26492)	f0a69292
𦒓	U+26493 (U+26493)	f0a69293
𦒔	U+26494 (U+26494)	f0a69294
𦒕	U+26495 (U+26495)	f0a69295
𦒖	U+26496 (U+26496)	f0a69296
𦒗	U+26497 (U+26497)	f0a69297
𦒘	U+26498 (U+26498)	f0a69298
𦒙	U+26499 (U+26499)	f0a69299
𦒚	U+2649A (U+2649A)	f0a6929a
𦒛	U+2649B (U+2649B)	f0a6929b
𦒜	U+2649C (U+2649C)	f0a6929c
𦒝	U+2649D (U+2649D)	f0a6929d
𦒞	U+2649E (U+2649E)	f0a6929e
𦒟	U+2649F (U+2649F)	f0a6929f
𦒠	U+264A0 (U+264A0)	f0a692a0
𦒡	U+264A1 (U+264A1)	f0a692a1
𦒢	U+264A2 (U+264A2)	f0a692a2
𦒣	U+264A3 (U+264A3)	f0a692a3
𦒤	U+264A4 (U+264A4)	f0a692a4
𦒥	U+264A5 (U+264A5)	f0a692a5
𦒦	U+264A6 (U+264A6)	f0a692a6
𦒧	U+264A7 (U+264A7)	f0a692a7
𦒨	U+264A8 (U+264A8)	f0a692a8
𦒩	U+264A9 (U+264A9)	f0a692a9
𦒪	U+264AA (U+264AA)	f0a692aa
𦒫	U+264AB (U+264AB)	f0a692ab
𦒬	U+264AC (U+264AC)	f0a692ac
𦒭	U+264AD (U+264AD)	f0a692ad
𦒮	U+264AE (U+264AE)	f0a692ae
𦒯	U+264AF (U+264AF)	f0a692af
𦒰	U+264B0 (U+264B0)	f0a692b0
𦒱	U+264B1 (U+264B1)	f0a692b1
𦒲	U+264B2 (U+264B2)	f0a692b2
𦒳	U+264B3 (U+264B3)	f0a692b3
𦒴	U+264B4 (U+264B4)	f0a692b4
𦒵	U+264B5 (U+264B5)	f0a692b5
𦒶	U+264B6 (U+264B6)	f0a692b6
𦒷	senility (U+264B7)	f0a692b7
𦒸	U+264B8 (U+264B8)	f0a692b8
𦒹	U+264B9 (U+264B9)	f0a692b9
𦒺	U+264BA (U+264BA)	f0a692ba
𦒻	U+264BB (U+264BB)	f0a692bb
𦒼	U+264BC (U+264BC)	f0a692bc
𦒽	U+264BD (U+264BD)	f0a692bd
𦒾	U+264BE (U+264BE)	f0a692be
𦒿	U+264BF (U+264BF)	f0a692bf
𦓀	U+264C0 (U+264C0)	f0a69380
𦓁	U+264C1 (U+264C1)	f0a69381
𦓂	U+264C2 (U+264C2)	f0a69382
𦓃	U+264C3 (U+264C3)	f0a69383
𦓄	U+264C4 (U+264C4)	f0a69384
𦓅	U+264C5 (U+264C5)	f0a69385
𦓆	U+264C6 (U+264C6)	f0a69386
𦓇	U+264C7 (U+264C7)	f0a69387
𦓈	U+264C8 (U+264C8)	f0a69388
𦓉	U+264C9 (U+264C9)	f0a69389
𦓊	U+264CA (U+264CA)	f0a6938a
