𢰯	U+22C2F (U+22C2F)	f0a2b0af
𢰰	U+22C30 (U+22C30)	f0a2b0b0
𢰱	U+22C31 (U+22C31)	f0a2b0b1
𢰲	U+22C32 (U+22C32)	f0a2b0b2
𢰳	U+22C33 (U+22C33)	f0a2b0b3
𢰴	U+22C34 (U+22C34)	f0a2b0b4
𢰵	U+22C35 (U+22C35)	f0a2b0b5
𢰶	U+22C36 (U+22C36)	f0a2b0b6
𢰷	U+22C37 (U+22C37)	f0a2b0b7
𢰸	(Cant.) rotten, bad, spoiled (U+22C38)	f0a2b0b8
𢰹	U+22C39 (U+22C39)	f0a2b0b9
𢰺	U+22C3A (U+22C3A)	f0a2b0ba
𢰻	U+22C3B (U+22C3B)	f0a2b0bb
𢰼	U+22C3C (U+22C3C)	f0a2b0bc
𢰽	U+22C3D (U+22C3D)	f0a2b0bd
𢰾	general, overall, chief (U+22C3E)	f0a2b0be
𢰿	U+22C3F (U+22C3F)	f0a2b0bf
𢱀	U+22C40 (U+22C40)	f0a2b180
𢱁	U+22C41 (U+22C41)	f0a2b181
𢱂	U+22C42 (U+22C42)	f0a2b182
𢱃	U+22C43 (U+22C43)	f0a2b183
𢱄	U+22C44 (U+22C44)	f0a2b184
𢱅	U+22C45 (U+22C45)	f0a2b185
𢱆	U+22C46 (U+22C46)	f0a2b186
𢱇	U+22C47 (U+22C47)	f0a2b187
𢱈	U+22C48 (U+22C48)	f0a2b188
𢱉	U+22C49 (U+22C49)	f0a2b189
𢱊	U+22C4A (U+22C4A)	f0a2b18a
𢱋	U+22C4B (U+22C4B)	f0a2b18b
𢱌	U+22C4C (U+22C4C)	f0a2b18c
𢱍	U+22C4D (U+22C4D)	f0a2b18d
𢱎	U+22C4E (U+22C4E)	f0a2b18e
𢱏	U+22C4F (U+22C4F)	f0a2b18f
𢱐	U+22C50 (U+22C50)	f0a2b190
𢱑	(Cant.) to scratch (U+22C51)	f0a2b191
𢱒	U+22C52 (U+22C52)	f0a2b192
𢱓	U+22C53 (U+22C53)	f0a2b193
𢱔	U+22C54 (U+22C54)	f0a2b194
𢱕	(Cant.) to beat, poud; to get drenched (U+22C55)	f0a2b195
𢱖	U+22C56 (U+22C56)	f0a2b196
𢱗	U+22C57 (U+22C57)	f0a2b197
𢱘	U+22C58 (U+22C58)	f0a2b198
𢱙	U+22C59 (U+22C59)	f0a2b199
