𠑠	U+20460 (U+20460)	f0a091a0
𠑡	U+20461 (U+20461)	f0a091a1
𠑢	U+20462 (U+20462)	f0a091a2
𠑣	U+20463 (U+20463)	f0a091a3
𠑤	U+20464 (U+20464)	f0a091a4
𠑥	U+20465 (U+20465)	f0a091a5
𠑦	U+20466 (U+20466)	f0a091a6
𠑧	U+20467 (U+20467)	f0a091a7
𠑨	U+20468 (U+20468)	f0a091a8
𠑩	U+20469 (U+20469)	f0a091a9
𠑪	U+2046A (U+2046A)	f0a091aa
𠑫	U+2046B (U+2046B)	f0a091ab
𠑬	U+2046C (U+2046C)	f0a091ac
𠑭	U+2046D (U+2046D)	f0a091ad
𠑮	U+2046E (U+2046E)	f0a091ae
𠑯	U+2046F (U+2046F)	f0a091af
𠑰	U+20470 (U+20470)	f0a091b0
𠑱	U+20471 (U+20471)	f0a091b1
𠑲	U+20472 (U+20472)	f0a091b2
𠑳	U+20473 (U+20473)	f0a091b3
𠑴	U+20474 (U+20474)	f0a091b4
𠑵	U+20475 (U+20475)	f0a091b5
𠑶	U+20476 (U+20476)	f0a091b6
𠑷	U+20477 (U+20477)	f0a091b7
𠑸	U+20478 (U+20478)	f0a091b8
𠑹	U+20479 (U+20479)	f0a091b9
𠑺	U+2047A (U+2047A)	f0a091ba
𠑻	U+2047B (U+2047B)	f0a091bb
𠑼	U+2047C (U+2047C)	f0a091bc
𠑽	U+2047D (U+2047D)	f0a091bd
𠑾	U+2047E (U+2047E)	f0a091be
𠑿	U+2047F (U+2047F)	f0a091bf
𠒀	U+20480 (U+20480)	f0a09280
𠒁	U+20481 (U+20481)	f0a09281
𠒂	U+20482 (U+20482)	f0a09282
𠒃	U+20483 (U+20483)	f0a09283
𠒄	U+20484 (U+20484)	f0a09284
𠒅	U+20485 (U+20485)	f0a09285
𠒆	U+20486 (U+20486)	f0a09286
𠒇	U+20487 (U+20487)	f0a09287
𠒈	U+20488 (U+20488)	f0a09288
𠒉	U+20489 (U+20489)	f0a09289
𠒊	U+2048A (U+2048A)	f0a0928a
𠒋	U+2048B (U+2048B)	f0a0928b
𠒌	U+2048C (U+2048C)	f0a0928c
𠒍	U+2048D (U+2048D)	f0a0928d
𠒎	U+2048E (U+2048E)	f0a0928e
𠒏	U+2048F (U+2048F)	f0a0928f
𠒐	U+20490 (U+20490)	f0a09290
𠒑	U+20491 (U+20491)	f0a09291
𠒒	U+20492 (U+20492)	f0a09292
𠒓	U+20493 (U+20493)	f0a09293
𠒔	U+20494 (U+20494)	f0a09294
𠒕	U+20495 (U+20495)	f0a09295
𠒖	U+20496 (U+20496)	f0a09296
𠒗	U+20497 (U+20497)	f0a09297
𠒘	U+20498 (U+20498)	f0a09298
𠒙	U+20499 (U+20499)	f0a09299
𠒚	U+2049A (U+2049A)	f0a0929a
𠒛	U+2049B (U+2049B)	f0a0929b
𠒜	U+2049C (U+2049C)	f0a0929c
𠒝	U+2049D (U+2049D)	f0a0929d
𠒞	U+2049E (U+2049E)	f0a0929e
𠒟	U+2049F (U+2049F)	f0a0929f
𠒠	U+204A0 (U+204A0)	f0a092a0
𠒡	U+204A1 (U+204A1)	f0a092a1
𠒢	U+204A2 (U+204A2)	f0a092a2
𠒣	U+204A3 (U+204A3)	f0a092a3
𠒤	U+204A4 (U+204A4)	f0a092a4
𠒥	U+204A5 (U+204A5)	f0a092a5
𠒦	U+204A6 (U+204A6)	f0a092a6
𠒧	U+204A7 (U+204A7)	f0a092a7
𠒨	U+204A8 (U+204A8)	f0a092a8
𠒩	U+204A9 (U+204A9)	f0a092a9
𠒪	U+204AA (U+204AA)	f0a092aa
𠒫	U+204AB (U+204AB)	f0a092ab
𠒬	U+204AC (U+204AC)	f0a092ac
𠒭	U+204AD (U+204AD)	f0a092ad
𠒮	U+204AE (U+204AE)	f0a092ae
𠒯	U+204AF (U+204AF)	f0a092af
𠒰	U+204B0 (U+204B0)	f0a092b0
𠒱	U+204B1 (U+204B1)	f0a092b1
𠒲	U+204B2 (U+204B2)	f0a092b2
𠒳	U+204B3 (U+204B3)	f0a092b3
𠒴	U+204B4 (U+204B4)	f0a092b4
𠒵	U+204B5 (U+204B5)	f0a092b5
𠒶	U+204B6 (U+204B6)	f0a092b6
𠒷	U+204B7 (U+204B7)	f0a092b7
𠒸	U+204B8 (U+204B8)	f0a092b8
𠒹	U+204B9 (U+204B9)	f0a092b9
𠒺	U+204BA (U+204BA)	f0a092ba
𠒻	U+204BB (U+204BB)	f0a092bb
𠒼	U+204BC (U+204BC)	f0a092bc
𠒽	U+204BD (U+204BD)	f0a092bd
𠒾	U+204BE (U+204BE)	f0a092be
𠒿	U+204BF (U+204BF)	f0a092bf
𠓀	U+204C0 (U+204C0)	f0a09380
𠓁	U+204C1 (U+204C1)	f0a09381
𠓂	U+204C2 (U+204C2)	f0a09382
𠓃	U+204C3 (U+204C3)	f0a09383
𠓄	U+204C4 (U+204C4)	f0a09384
𠓅	U+204C5 (U+204C5)	f0a09385
𠓆	U+204C6 (U+204C6)	f0a09386
𠓇	U+204C7 (U+204C7)	f0a09387
𠓈	U+204C8 (U+204C8)	f0a09388
𠓉	U+204C9 (U+204C9)	f0a09389
𠓊	U+204CA (U+204CA)	f0a0938a
𠓋	U+204CB (U+204CB)	f0a0938b
𠓌	U+204CC (U+204CC)	f0a0938c
𠓍	U+204CD (U+204CD)	f0a0938d
𠓎	U+204CE (U+204CE)	f0a0938e
𠓏	U+204CF (U+204CF)	f0a0938f
𠓐	U+204D0 (U+204D0)	f0a09390
𠓑	U+204D1 (U+204D1)	f0a09391
𠓒	U+204D2 (U+204D2)	f0a09392
𠓓	U+204D3 (U+204D3)	f0a09393
𠓔	U+204D4 (U+204D4)	f0a09394
𠓕	U+204D5 (U+204D5)	f0a09395
𠓖	U+204D6 (U+204D6)	f0a09396
𠓗	U+204D7 (U+204D7)	f0a09397
𠓘	U+204D8 (U+204D8)	f0a09398
𠓙	U+204D9 (U+204D9)	f0a09399
𠓚	U+204DA (U+204DA)	f0a0939a
𠓛	U+204DB (U+204DB)	f0a0939b
𠓜	U+204DC (U+204DC)	f0a0939c
𠓝	U+204DD (U+204DD)	f0a0939d
𠓞	U+204DE (U+204DE)	f0a0939e
