𧠟	U+2781F (U+2781F)	f0a7a09f
𧠠	U+27820 (U+27820)	f0a7a0a0
𧠡	U+27821 (U+27821)	f0a7a0a1
𧠢	U+27822 (U+27822)	f0a7a0a2
𧠣	U+27823 (U+27823)	f0a7a0a3
𧠤	U+27824 (U+27824)	f0a7a0a4
𧠥	U+27825 (U+27825)	f0a7a0a5
𧠦	U+27826 (U+27826)	f0a7a0a6
𧠧	U+27827 (U+27827)	f0a7a0a7
𧠨	U+27828 (U+27828)	f0a7a0a8
𧠩	U+27829 (U+27829)	f0a7a0a9
𧠪	U+2782A (U+2782A)	f0a7a0aa
𧠫	U+2782B (U+2782B)	f0a7a0ab
𧠬	U+2782C (U+2782C)	f0a7a0ac
𧠭	U+2782D (U+2782D)	f0a7a0ad
𧠮	U+2782E (U+2782E)	f0a7a0ae
𧠯	U+2782F (U+2782F)	f0a7a0af
𧠰	U+27830 (U+27830)	f0a7a0b0
𧠱	U+27831 (U+27831)	f0a7a0b1
𧠲	U+27832 (U+27832)	f0a7a0b2
𧠳	U+27833 (U+27833)	f0a7a0b3
𧠴	U+27834 (U+27834)	f0a7a0b4
𧠵	U+27835 (U+27835)	f0a7a0b5
𧠶	U+27836 (U+27836)	f0a7a0b6
𧠷	U+27837 (U+27837)	f0a7a0b7
𧠸	U+27838 (U+27838)	f0a7a0b8
𧠹	U+27839 (U+27839)	f0a7a0b9
𧠺	U+2783A (U+2783A)	f0a7a0ba
𧠻	U+2783B (U+2783B)	f0a7a0bb
𧠼	U+2783C (U+2783C)	f0a7a0bc
𧠽	U+2783D (U+2783D)	f0a7a0bd
𧠾	U+2783E (U+2783E)	f0a7a0be
𧠿	U+2783F (U+2783F)	f0a7a0bf
𧡀	U+27840 (U+27840)	f0a7a180
𧡁	U+27841 (U+27841)	f0a7a181
𧡂	U+27842 (U+27842)	f0a7a182
𧡃	U+27843 (U+27843)	f0a7a183
𧡄	U+27844 (U+27844)	f0a7a184
𧡅	U+27845 (U+27845)	f0a7a185
𧡆	U+27846 (U+27846)	f0a7a186
𧡇	U+27847 (U+27847)	f0a7a187
𧡈	U+27848 (U+27848)	f0a7a188
𧡉	U+27849 (U+27849)	f0a7a189
𧡊	U+2784A (U+2784A)	f0a7a18a
𧡋	U+2784B (U+2784B)	f0a7a18b
𧡌	U+2784C (U+2784C)	f0a7a18c
𧡍	U+2784D (U+2784D)	f0a7a18d
𧡎	U+2784E (U+2784E)	f0a7a18e
𧡏	U+2784F (U+2784F)	f0a7a18f
𧡐	U+27850 (U+27850)	f0a7a190
𧡑	U+27851 (U+27851)	f0a7a191
𧡒	U+27852 (U+27852)	f0a7a192
𧡓	U+27853 (U+27853)	f0a7a193
𧡔	U+27854 (U+27854)	f0a7a194
𧡕	U+27855 (U+27855)	f0a7a195
𧡖	U+27856 (U+27856)	f0a7a196
𧡗	U+27857 (U+27857)	f0a7a197
𧡘	U+27858 (U+27858)	f0a7a198
𧡙	U+27859 (U+27859)	f0a7a199
𧡚	U+2785A (U+2785A)	f0a7a19a
𧡛	U+2785B (U+2785B)	f0a7a19b
𧡜	U+2785C (U+2785C)	f0a7a19c
𧡝	U+2785D (U+2785D)	f0a7a19d
𧡞	U+2785E (U+2785E)	f0a7a19e
𧡟	U+2785F (U+2785F)	f0a7a19f
𧡠	U+27860 (U+27860)	f0a7a1a0
𧡡	U+27861 (U+27861)	f0a7a1a1
𧡢	U+27862 (U+27862)	f0a7a1a2
𧡣	to look at something unhappily (U+27863)	f0a7a1a3
𧡤	U+27864 (U+27864)	f0a7a1a4
𧡥	U+27865 (U+27865)	f0a7a1a5
𧡦	U+27866 (U+27866)	f0a7a1a6
𧡧	U+27867 (U+27867)	f0a7a1a7
𧡨	U+27868 (U+27868)	f0a7a1a8
𧡩	U+27869 (U+27869)	f0a7a1a9
𧡪	U+2786A (U+2786A)	f0a7a1aa
𧡫	U+2786B (U+2786B)	f0a7a1ab
𧡬	U+2786C (U+2786C)	f0a7a1ac
𧡭	U+2786D (U+2786D)	f0a7a1ad
𧡮	U+2786E (U+2786E)	f0a7a1ae
𧡯	U+2786F (U+2786F)	f0a7a1af
𧡰	U+27870 (U+27870)	f0a7a1b0
𧡱	U+27871 (U+27871)	f0a7a1b1
𧡲	U+27872 (U+27872)	f0a7a1b2
𧡳	U+27873 (U+27873)	f0a7a1b3
𧡴	U+27874 (U+27874)	f0a7a1b4
𧡵	U+27875 (U+27875)	f0a7a1b5
𧡶	U+27876 (U+27876)	f0a7a1b6
𧡷	U+27877 (U+27877)	f0a7a1b7
𧡸	U+27878 (U+27878)	f0a7a1b8
𧡹	U+27879 (U+27879)	f0a7a1b9
𧡺	U+2787A (U+2787A)	f0a7a1ba
𧡻	U+2787B (U+2787B)	f0a7a1bb
𧡼	U+2787C (U+2787C)	f0a7a1bc
𧡽	U+2787D (U+2787D)	f0a7a1bd
𧡾	U+2787E (U+2787E)	f0a7a1be
𧡿	U+2787F (U+2787F)	f0a7a1bf
𧢀	U+27880 (U+27880)	f0a7a280
𧢁	U+27881 (U+27881)	f0a7a281
𧢂	U+27882 (U+27882)	f0a7a282
𧢃	U+27883 (U+27883)	f0a7a283
𧢄	U+27884 (U+27884)	f0a7a284
𧢅	U+27885 (U+27885)	f0a7a285
𧢆	U+27886 (U+27886)	f0a7a286
𧢇	U+27887 (U+27887)	f0a7a287
𧢈	U+27888 (U+27888)	f0a7a288
𧢉	U+27889 (U+27889)	f0a7a289
𧢊	U+2788A (U+2788A)	f0a7a28a
𧢋	U+2788B (U+2788B)	f0a7a28b
𧢌	U+2788C (U+2788C)	f0a7a28c
𧢍	U+2788D (U+2788D)	f0a7a28d
𧢎	U+2788E (U+2788E)	f0a7a28e
𧢏	U+2788F (U+2788F)	f0a7a28f
𧢐	U+27890 (U+27890)	f0a7a290
𧢑	U+27891 (U+27891)	f0a7a291
𧢒	U+27892 (U+27892)	f0a7a292
𧢓	U+27893 (U+27893)	f0a7a293
𧢔	U+27894 (U+27894)	f0a7a294
𧢕	U+27895 (U+27895)	f0a7a295
𧢖	U+27896 (U+27896)	f0a7a296
𧢗	U+27897 (U+27897)	f0a7a297
𧢘	U+27898 (U+27898)	f0a7a298
𧢙	U+27899 (U+27899)	f0a7a299
𧢚	U+2789A (U+2789A)	f0a7a29a
𧢛	U+2789B (U+2789B)	f0a7a29b
𧢜	U+2789C (U+2789C)	f0a7a29c
𧢝	(Cant.) to stare angrily (U+2789D)	f0a7a29d
𧢞	U+2789E (U+2789E)	f0a7a29e
𧢟	U+2789F (U+2789F)	f0a7a29f
𧢠	U+278A0 (U+278A0)	f0a7a2a0
𧢡	U+278A1 (U+278A1)	f0a7a2a1
𧢢	U+278A2 (U+278A2)	f0a7a2a2
𧢣	U+278A3 (U+278A3)	f0a7a2a3
𧢤	U+278A4 (U+278A4)	f0a7a2a4
𧢥	U+278A5 (U+278A5)	f0a7a2a5
𧢦	U+278A6 (U+278A6)	f0a7a2a6
𧢧	U+278A7 (U+278A7)	f0a7a2a7
𧢨	U+278A8 (U+278A8)	f0a7a2a8
