𡱷	U+21C77 (U+21C77)	f0a1b1b7
𡱸	U+21C78 (U+21C78)	f0a1b1b8
𡱹	U+21C79 (U+21C79)	f0a1b1b9
𡱺	U+21C7A (U+21C7A)	f0a1b1ba
𡱻	U+21C7B (U+21C7B)	f0a1b1bb
𡱼	U+21C7C (U+21C7C)	f0a1b1bc
𡱽	U+21C7D (U+21C7D)	f0a1b1bd
𡱾	U+21C7E (U+21C7E)	f0a1b1be
𡱿	U+21C7F (U+21C7F)	f0a1b1bf
𡲀	U+21C80 (U+21C80)	f0a1b280
𡲁	U+21C81 (U+21C81)	f0a1b281
𡲂	U+21C82 (U+21C82)	f0a1b282
𡲃	U+21C83 (U+21C83)	f0a1b283
𡲄	U+21C84 (U+21C84)	f0a1b284
𡲅	U+21C85 (U+21C85)	f0a1b285
𡲆	U+21C86 (U+21C86)	f0a1b286
𡲇	U+21C87 (U+21C87)	f0a1b287
𡲈	U+21C88 (U+21C88)	f0a1b288
𡲉	U+21C89 (U+21C89)	f0a1b289
𡲊	U+21C8A (U+21C8A)	f0a1b28a
𡲋	U+21C8B (U+21C8B)	f0a1b28b
𡲌	U+21C8C (U+21C8C)	f0a1b28c
𡲍	U+21C8D (U+21C8D)	f0a1b28d
𡲎	U+21C8E (U+21C8E)	f0a1b28e
𡲏	U+21C8F (U+21C8F)	f0a1b28f
𡲐	U+21C90 (U+21C90)	f0a1b290
𡲑	U+21C91 (U+21C91)	f0a1b291
𡲒	U+21C92 (U+21C92)	f0a1b292
𡲓	U+21C93 (U+21C93)	f0a1b293
𡲔	U+21C94 (U+21C94)	f0a1b294
𡲕	tray, drawer (U+21C95)	f0a1b295
𡲖	U+21C96 (U+21C96)	f0a1b296
𡲗	U+21C97 (U+21C97)	f0a1b297
𡲘	U+21C98 (U+21C98)	f0a1b298
𡲙	U+21C99 (U+21C99)	f0a1b299
𡲚	U+21C9A (U+21C9A)	f0a1b29a
𡲛	U+21C9B (U+21C9B)	f0a1b29b
𡲜	U+21C9C (U+21C9C)	f0a1b29c
𡲝	U+21C9D (U+21C9D)	f0a1b29d
𡲞	U+21C9E (U+21C9E)	f0a1b29e
𡲟	U+21C9F (U+21C9F)	f0a1b29f
𡲠	U+21CA0 (U+21CA0)	f0a1b2a0
𡲡	U+21CA1 (U+21CA1)	f0a1b2a1
𡲢	(Cant.) shit (U+21CA2)	f0a1b2a2
𡲣	U+21CA3 (U+21CA3)	f0a1b2a3
𡲤	U+21CA4 (U+21CA4)	f0a1b2a4
𡲥	U+21CA5 (U+21CA5)	f0a1b2a5
𡲦	U+21CA6 (U+21CA6)	f0a1b2a6
𡲧	U+21CA7 (U+21CA7)	f0a1b2a7
𡲨	U+21CA8 (U+21CA8)	f0a1b2a8
𡲩	U+21CA9 (U+21CA9)	f0a1b2a9
𡲪	U+21CAA (U+21CAA)	f0a1b2aa
𡲫	U+21CAB (U+21CAB)	f0a1b2ab
𡲬	(Cant.) blunt (U+21CAC)	f0a1b2ac
𡲭	U+21CAD (U+21CAD)	f0a1b2ad
𡲮	U+21CAE (U+21CAE)	f0a1b2ae
𡲯	U+21CAF (U+21CAF)	f0a1b2af
𡲰	U+21CB0 (U+21CB0)	f0a1b2b0
𡲱	U+21CB1 (U+21CB1)	f0a1b2b1
𡲲	U+21CB2 (U+21CB2)	f0a1b2b2
𡲳	U+21CB3 (U+21CB3)	f0a1b2b3
𡲴	U+21CB4 (U+21CB4)	f0a1b2b4
𡲵	U+21CB5 (U+21CB5)	f0a1b2b5
𡲶	U+21CB6 (U+21CB6)	f0a1b2b6
𡲷	U+21CB7 (U+21CB7)	f0a1b2b7
𡲸	U+21CB8 (U+21CB8)	f0a1b2b8
𡲹	U+21CB9 (U+21CB9)	f0a1b2b9
𡲺	U+21CBA (U+21CBA)	f0a1b2ba
𡲻	U+21CBB (U+21CBB)	f0a1b2bb
𡲼	U+21CBC (U+21CBC)	f0a1b2bc
𡲽	U+21CBD (U+21CBD)	f0a1b2bd
𡲾	U+21CBE (U+21CBE)	f0a1b2be
𡲿	U+21CBF (U+21CBF)	f0a1b2bf
𡳀	U+21CC0 (U+21CC0)	f0a1b380
𡳁	U+21CC1 (U+21CC1)	f0a1b381
𡳂	U+21CC2 (U+21CC2)	f0a1b382
𡳃	U+21CC3 (U+21CC3)	f0a1b383
𡳄	U+21CC4 (U+21CC4)	f0a1b384
𡳅	U+21CC5 (U+21CC5)	f0a1b385
𡳆	U+21CC6 (U+21CC6)	f0a1b386
𡳇	U+21CC7 (U+21CC7)	f0a1b387
𡳈	U+21CC8 (U+21CC8)	f0a1b388
𡳉	U+21CC9 (U+21CC9)	f0a1b389
𡳊	U+21CCA (U+21CCA)	f0a1b38a
𡳋	U+21CCB (U+21CCB)	f0a1b38b
𡳌	U+21CCC (U+21CCC)	f0a1b38c
𡳍	U+21CCD (U+21CCD)	f0a1b38d
𡳎	U+21CCE (U+21CCE)	f0a1b38e
𡳏	U+21CCF (U+21CCF)	f0a1b38f
𡳐	U+21CD0 (U+21CD0)	f0a1b390
𡳑	U+21CD1 (U+21CD1)	f0a1b391
𡳒	U+21CD2 (U+21CD2)	f0a1b392
𡳓	U+21CD3 (U+21CD3)	f0a1b393
𡳔	U+21CD4 (U+21CD4)	f0a1b394
𡳕	U+21CD5 (U+21CD5)	f0a1b395
𡳖	U+21CD6 (U+21CD6)	f0a1b396
𡳗	U+21CD7 (U+21CD7)	f0a1b397
𡳘	U+21CD8 (U+21CD8)	f0a1b398
𡳙	U+21CD9 (U+21CD9)	f0a1b399
𡳚	U+21CDA (U+21CDA)	f0a1b39a
𡳛	U+21CDB (U+21CDB)	f0a1b39b
𡳜	U+21CDC (U+21CDC)	f0a1b39c
𡳝	U+21CDD (U+21CDD)	f0a1b39d
𡳞	U+21CDE (U+21CDE)	f0a1b39e
𡳟	U+21CDF (U+21CDF)	f0a1b39f
𡳠	U+21CE0 (U+21CE0)	f0a1b3a0
𡳡	U+21CE1 (U+21CE1)	f0a1b3a1
𡳢	U+21CE2 (U+21CE2)	f0a1b3a2
𡳣	U+21CE3 (U+21CE3)	f0a1b3a3
𡳤	U+21CE4 (U+21CE4)	f0a1b3a4
