𡁞	U+2105E (U+2105E)	f0a1819e
𡁟	U+2105F (U+2105F)	f0a1819f
𡁠	U+21060 (U+21060)	f0a181a0
𡁡	U+21061 (U+21061)	f0a181a1
𡁢	U+21062 (U+21062)	f0a181a2
𡁣	U+21063 (U+21063)	f0a181a3
𡁤	U+21064 (U+21064)	f0a181a4
𡁥	U+21065 (U+21065)	f0a181a5
𡁦	U+21066 (U+21066)	f0a181a6
𡁧	U+21067 (U+21067)	f0a181a7
𡁨	U+21068 (U+21068)	f0a181a8
𡁩	U+21069 (U+21069)	f0a181a9
𡁪	U+2106A (U+2106A)	f0a181aa
𡁫	U+2106B (U+2106B)	f0a181ab
𡁬	U+2106C (U+2106C)	f0a181ac
𡁭	U+2106D (U+2106D)	f0a181ad
𡁮	U+2106E (U+2106E)	f0a181ae
𡁯	(Cant.) to pout (U+2106F)	f0a181af
𡁰	U+21070 (U+21070)	f0a181b0
𡁱	U+21071 (U+21071)	f0a181b1
𡁲	U+21072 (U+21072)	f0a181b2
𡁳	U+21073 (U+21073)	f0a181b3
𡁴	U+21074 (U+21074)	f0a181b4
𡁵	(Cant.) aspect marker for continuous action (U+21075)	f0a181b5
𡁶	(Cant.) to scratch an itch (U+21076)	f0a181b6
𡁷	(Cant.) a sharp point; to peck (U+21077)	f0a181b7
𡁸	(Cant.) a circle, ring (U+21078)	f0a181b8
𡁹	U+21079 (U+21079)	f0a181b9
𡁺	U+2107A (U+2107A)	f0a181ba
𡁻	(Cant.) to beat someone up (U+2107B)	f0a181bb
𡁼	U+2107C (U+2107C)	f0a181bc
𡁽	U+2107D (U+2107D)	f0a181bd
𡁾	U+2107E (U+2107E)	f0a181be
𡁿	U+2107F (U+2107F)	f0a181bf
𡂀	U+21080 (U+21080)	f0a18280
𡂁	U+21081 (U+21081)	f0a18281
𡂂	U+21082 (U+21082)	f0a18282
𡂃	U+21083 (U+21083)	f0a18283
𡂄	U+21084 (U+21084)	f0a18284
𡂅	U+21085 (U+21085)	f0a18285
𡂆	U+21086 (U+21086)	f0a18286
𡂇	U+21087 (U+21087)	f0a18287
𡂈	(Cant.) to lie prone; to bend over (U+21088)	f0a18288
𡂉	U+21089 (U+21089)	f0a18289
𡂊	U+2108A (U+2108A)	f0a1828a
𡂋	U+2108B (U+2108B)	f0a1828b
𡂌	U+2108C (U+2108C)	f0a1828c
𡂍	U+2108D (U+2108D)	f0a1828d
𡂎	U+2108E (U+2108E)	f0a1828e
𡂏	U+2108F (U+2108F)	f0a1828f
𡂐	U+21090 (U+21090)	f0a18290
𡂑	U+21091 (U+21091)	f0a18291
𡂒	U+21092 (U+21092)	f0a18292
𡂓	U+21093 (U+21093)	f0a18293
𡂔	U+21094 (U+21094)	f0a18294
𡂕	U+21095 (U+21095)	f0a18295
𡂖	(Cant.) unrestrained (U+21096)	f0a18296
𡂗	U+21097 (U+21097)	f0a18297
𡂘	U+21098 (U+21098)	f0a18298
𡂙	U+21099 (U+21099)	f0a18299
𡂚	U+2109A (U+2109A)	f0a1829a
𡂛	U+2109B (U+2109B)	f0a1829b
𡂜	U+2109C (U+2109C)	f0a1829c
