𓆲	EGYPTIAN HIEROGLYPH M003A (U+131B2)	f09386b2
𓆳	EGYPTIAN HIEROGLYPH M004 (U+131B3)	f09386b3
𓆴	EGYPTIAN HIEROGLYPH M005 (U+131B4)	f09386b4
𓆵	EGYPTIAN HIEROGLYPH M006 (U+131B5)	f09386b5
𓆶	EGYPTIAN HIEROGLYPH M007 (U+131B6)	f09386b6
𓆷	EGYPTIAN HIEROGLYPH M008 (U+131B7)	f09386b7
𓆸	EGYPTIAN HIEROGLYPH M009 (U+131B8)	f09386b8
𓆹	EGYPTIAN HIEROGLYPH M010 (U+131B9)	f09386b9
𓆺	EGYPTIAN HIEROGLYPH M010A (U+131BA)	f09386ba
𓆻	EGYPTIAN HIEROGLYPH M011 (U+131BB)	f09386bb
𓆼	EGYPTIAN HIEROGLYPH M012 (U+131BC)	f09386bc
𓆽	EGYPTIAN HIEROGLYPH M012A (U+131BD)	f09386bd
𓆾	EGYPTIAN HIEROGLYPH M012B (U+131BE)	f09386be
𓆿	EGYPTIAN HIEROGLYPH M012C (U+131BF)	f09386bf
𓇀	EGYPTIAN HIEROGLYPH M012D (U+131C0)	f0938780
𓇁	EGYPTIAN HIEROGLYPH M012E (U+131C1)	f0938781
𓇂	EGYPTIAN HIEROGLYPH M012F (U+131C2)	f0938782
𓇃	EGYPTIAN HIEROGLYPH M012G (U+131C3)	f0938783
𓇄	EGYPTIAN HIEROGLYPH M012H (U+131C4)	f0938784
𓇅	EGYPTIAN HIEROGLYPH M013 (U+131C5)	f0938785
𓇆	EGYPTIAN HIEROGLYPH M014 (U+131C6)	f0938786
𓇇	EGYPTIAN HIEROGLYPH M015 (U+131C7)	f0938787
𓇈	EGYPTIAN HIEROGLYPH M015A (U+131C8)	f0938788
𓇉	EGYPTIAN HIEROGLYPH M016 (U+131C9)	f0938789
𓇊	EGYPTIAN HIEROGLYPH M016A (U+131CA)	f093878a
𓇋	EGYPTIAN HIEROGLYPH M017 (U+131CB)	f093878b
𓇌	EGYPTIAN HIEROGLYPH M017A (U+131CC)	f093878c
𓇍	EGYPTIAN HIEROGLYPH M018 (U+131CD)	f093878d
𓇎	EGYPTIAN HIEROGLYPH M019 (U+131CE)	f093878e
𓇏	EGYPTIAN HIEROGLYPH M020 (U+131CF)	f093878f
𓇐	EGYPTIAN HIEROGLYPH M021 (U+131D0)	f0938790
𓇑	EGYPTIAN HIEROGLYPH M022 (U+131D1)	f0938791
𓇒	EGYPTIAN HIEROGLYPH M022A (U+131D2)	f0938792
𓇓	EGYPTIAN HIEROGLYPH M023 (U+131D3)	f0938793
𓇔	EGYPTIAN HIEROGLYPH M024 (U+131D4)	f0938794
𓇕	EGYPTIAN HIEROGLYPH M024A (U+131D5)	f0938795
𓇖	EGYPTIAN HIEROGLYPH M025 (U+131D6)	f0938796
𓇗	EGYPTIAN HIEROGLYPH M026 (U+131D7)	f0938797
𓇘	EGYPTIAN HIEROGLYPH M027 (U+131D8)	f0938798
𓇙	EGYPTIAN HIEROGLYPH M028 (U+131D9)	f0938799
𓇚	EGYPTIAN HIEROGLYPH M028A (U+131DA)	f093879a
𓇛	EGYPTIAN HIEROGLYPH M029 (U+131DB)	f093879b
𓇜	EGYPTIAN HIEROGLYPH M030 (U+131DC)	f093879c
𓇝	EGYPTIAN HIEROGLYPH M031 (U+131DD)	f093879d
𓇞	EGYPTIAN HIEROGLYPH M031A (U+131DE)	f093879e
𓇟	EGYPTIAN HIEROGLYPH M032 (U+131DF)	f093879f
𓇠	EGYPTIAN HIEROGLYPH M033 (U+131E0)	f09387a0
𓇡	EGYPTIAN HIEROGLYPH M033A (U+131E1)	f09387a1
𓇢	EGYPTIAN HIEROGLYPH M033B (U+131E2)	f09387a2
𓇣	EGYPTIAN HIEROGLYPH M034 (U+131E3)	f09387a3
𓇤	EGYPTIAN HIEROGLYPH M035 (U+131E4)	f09387a4
𓇥	EGYPTIAN HIEROGLYPH M036 (U+131E5)	f09387a5
𓇦	EGYPTIAN HIEROGLYPH M037 (U+131E6)	f09387a6
𓇧	EGYPTIAN HIEROGLYPH M038 (U+131E7)	f09387a7
𓇨	EGYPTIAN HIEROGLYPH M039 (U+131E8)	f09387a8
𓇩	EGYPTIAN HIEROGLYPH M040 (U+131E9)	f09387a9
𓇪	EGYPTIAN HIEROGLYPH M040A (U+131EA)	f09387aa
𓇫	EGYPTIAN HIEROGLYPH M041 (U+131EB)	f09387ab
𓇬	EGYPTIAN HIEROGLYPH M042 (U+131EC)	f09387ac
𓇭	EGYPTIAN HIEROGLYPH M043 (U+131ED)	f09387ad
𓇮	EGYPTIAN HIEROGLYPH M044 (U+131EE)	f09387ae
𓇯	EGYPTIAN HIEROGLYPH N001 (U+131EF)	f09387af
𓇰	EGYPTIAN HIEROGLYPH N002 (U+131F0)	f09387b0
𓇱	EGYPTIAN HIEROGLYPH N003 (U+131F1)	f09387b1
𓇲	EGYPTIAN HIEROGLYPH N004 (U+131F2)	f09387b2
𓇳	EGYPTIAN HIEROGLYPH N005 (U+131F3)	f09387b3
𓇴	EGYPTIAN HIEROGLYPH N006 (U+131F4)	f09387b4
𓇵	EGYPTIAN HIEROGLYPH N007 (U+131F5)	f09387b5
𓇶	EGYPTIAN HIEROGLYPH N008 (U+131F6)	f09387b6
𓇷	EGYPTIAN HIEROGLYPH N009 (U+131F7)	f09387b7
𓇸	EGYPTIAN HIEROGLYPH N010 (U+131F8)	f09387b8
𓇹	EGYPTIAN HIEROGLYPH N011 (U+131F9)	f09387b9
𓇺	EGYPTIAN HIEROGLYPH N012 (U+131FA)	f09387ba
𓇻	EGYPTIAN HIEROGLYPH N013 (U+131FB)	f09387bb
𓇼	EGYPTIAN HIEROGLYPH N014 (U+131FC)	f09387bc
𓇽	EGYPTIAN HIEROGLYPH N015 (U+131FD)	f09387bd
𓇾	EGYPTIAN HIEROGLYPH N016 (U+131FE)	f09387be
𓇿	EGYPTIAN HIEROGLYPH N017 (U+131FF)	f09387bf
𓈀	EGYPTIAN HIEROGLYPH N018 (U+13200)	f0938880
𓈁	EGYPTIAN HIEROGLYPH N018A (U+13201)	f0938881
𓈂	EGYPTIAN HIEROGLYPH N018B (U+13202)	f0938882
𓈃	EGYPTIAN HIEROGLYPH N019 (U+13203)	f0938883
𓈄	EGYPTIAN HIEROGLYPH N020 (U+13204)	f0938884
𓈅	EGYPTIAN HIEROGLYPH N021 (U+13205)	f0938885
𓈆	EGYPTIAN HIEROGLYPH N022 (U+13206)	f0938886
𓈇	EGYPTIAN HIEROGLYPH N023 (U+13207)	f0938887
𓈈	EGYPTIAN HIEROGLYPH N024 (U+13208)	f0938888
𓈉	EGYPTIAN HIEROGLYPH N025 (U+13209)	f0938889
𓈊	EGYPTIAN HIEROGLYPH N025A (U+1320A)	f093888a
𓈋	EGYPTIAN HIEROGLYPH N026 (U+1320B)	f093888b
𓈌	EGYPTIAN HIEROGLYPH N027 (U+1320C)	f093888c
𓈍	EGYPTIAN HIEROGLYPH N028 (U+1320D)	f093888d
𓈎	EGYPTIAN HIEROGLYPH N029 (U+1320E)	f093888e
𓈏	EGYPTIAN HIEROGLYPH N030 (U+1320F)	f093888f
𓈐	EGYPTIAN HIEROGLYPH N031 (U+13210)	f0938890
𓈑	EGYPTIAN HIEROGLYPH N032 (U+13211)	f0938891
𓈒	EGYPTIAN HIEROGLYPH N033 (U+13212)	f0938892
𓈓	EGYPTIAN HIEROGLYPH N033A (U+13213)	f0938893
𓈔	EGYPTIAN HIEROGLYPH N034 (U+13214)	f0938894
𓈕	EGYPTIAN HIEROGLYPH N034A (U+13215)	f0938895
𓈖	EGYPTIAN HIEROGLYPH N035 (U+13216)	f0938896
𓈗	EGYPTIAN HIEROGLYPH N035A (U+13217)	f0938897
𓈘	EGYPTIAN HIEROGLYPH N036 (U+13218)	f0938898
𓈙	EGYPTIAN HIEROGLYPH N037 (U+13219)	f0938899
𓈚	EGYPTIAN HIEROGLYPH N037A (U+1321A)	f093889a
𓈛	EGYPTIAN HIEROGLYPH N038 (U+1321B)	f093889b
𓈜	EGYPTIAN HIEROGLYPH N039 (U+1321C)	f093889c
𓈝	EGYPTIAN HIEROGLYPH N040 (U+1321D)	f093889d
𓈞	EGYPTIAN HIEROGLYPH N041 (U+1321E)	f093889e
𓈟	EGYPTIAN HIEROGLYPH N042 (U+1321F)	f093889f
𓈠	EGYPTIAN HIEROGLYPH NL001 (U+13220)	f09388a0
𓈡	EGYPTIAN HIEROGLYPH NL002 (U+13221)	f09388a1
𓈢	EGYPTIAN HIEROGLYPH NL003 (U+13222)	f09388a2
𓈣	EGYPTIAN HIEROGLYPH NL004 (U+13223)	f09388a3
𓈤	EGYPTIAN HIEROGLYPH NL005 (U+13224)	f09388a4
𓈥	EGYPTIAN HIEROGLYPH NL005A (U+13225)	f09388a5
𓈦	EGYPTIAN HIEROGLYPH NL006 (U+13226)	f09388a6
𓈧	EGYPTIAN HIEROGLYPH NL007 (U+13227)	f09388a7
𓈨	EGYPTIAN HIEROGLYPH NL008 (U+13228)	f09388a8
𓈩	EGYPTIAN HIEROGLYPH NL009 (U+13229)	f09388a9
𓈪	EGYPTIAN HIEROGLYPH NL010 (U+1322A)	f09388aa
𓈫	EGYPTIAN HIEROGLYPH NL011 (U+1322B)	f09388ab
𓈬	EGYPTIAN HIEROGLYPH NL012 (U+1322C)	f09388ac
𓈭	EGYPTIAN HIEROGLYPH NL013 (U+1322D)	f09388ad
𓈮	EGYPTIAN HIEROGLYPH NL014 (U+1322E)	f09388ae
𓈯	EGYPTIAN HIEROGLYPH NL015 (U+1322F)	f09388af
𓈰	EGYPTIAN HIEROGLYPH NL016 (U+13230)	f09388b0
𓈱	EGYPTIAN HIEROGLYPH NL017 (U+13231)	f09388b1
𓈲	EGYPTIAN HIEROGLYPH NL017A (U+13232)	f09388b2
𓈳	EGYPTIAN HIEROGLYPH NL018 (U+13233)	f09388b3
𓈴	EGYPTIAN HIEROGLYPH NL019 (U+13234)	f09388b4
𓈵	EGYPTIAN HIEROGLYPH NL020 (U+13235)	f09388b5
𓈶	EGYPTIAN HIEROGLYPH NU001 (U+13236)	f09388b6
𓈷	EGYPTIAN HIEROGLYPH NU002 (U+13237)	f09388b7
𓈸	EGYPTIAN HIEROGLYPH NU003 (U+13238)	f09388b8
𓈹	EGYPTIAN HIEROGLYPH NU004 (U+13239)	f09388b9
𓈺	EGYPTIAN HIEROGLYPH NU005 (U+1323A)	f09388ba
𓈻	EGYPTIAN HIEROGLYPH NU006 (U+1323B)	f09388bb
𓈼	EGYPTIAN HIEROGLYPH NU007 (U+1323C)	f09388bc
𓈽	EGYPTIAN HIEROGLYPH NU008 (U+1323D)	f09388bd
𓈾	EGYPTIAN HIEROGLYPH NU009 (U+1323E)	f09388be
𓈿	EGYPTIAN HIEROGLYPH NU010 (U+1323F)	f09388bf
𓉀	EGYPTIAN HIEROGLYPH NU010A (U+13240)	f0938980
𓉁	EGYPTIAN HIEROGLYPH NU011 (U+13241)	f0938981
𓉂	EGYPTIAN HIEROGLYPH NU011A (U+13242)	f0938982
𓉃	EGYPTIAN HIEROGLYPH NU012 (U+13243)	f0938983
𓉄	EGYPTIAN HIEROGLYPH NU013 (U+13244)	f0938984
𓉅	EGYPTIAN HIEROGLYPH NU014 (U+13245)	f0938985
𓉆	EGYPTIAN HIEROGLYPH NU015 (U+13246)	f0938986
𓉇	EGYPTIAN HIEROGLYPH NU016 (U+13247)	f0938987
𓉈	EGYPTIAN HIEROGLYPH NU017 (U+13248)	f0938988
𓉉	EGYPTIAN HIEROGLYPH NU018 (U+13249)	f0938989
𓉊	EGYPTIAN HIEROGLYPH NU018A (U+1324A)	f093898a
𓉋	EGYPTIAN HIEROGLYPH NU019 (U+1324B)	f093898b
𓉌	EGYPTIAN HIEROGLYPH NU020 (U+1324C)	f093898c
𓉍	EGYPTIAN HIEROGLYPH NU021 (U+1324D)	f093898d
𓉎	EGYPTIAN HIEROGLYPH NU022 (U+1324E)	f093898e
𓉏	EGYPTIAN HIEROGLYPH NU022A (U+1324F)	f093898f
𓉐	EGYPTIAN HIEROGLYPH O001 (U+13250)	f0938990
𓉑	EGYPTIAN HIEROGLYPH O001A (U+13251)	f0938991
𓉒	EGYPTIAN HIEROGLYPH O002 (U+13252)	f0938992
𓉓	EGYPTIAN HIEROGLYPH O003 (U+13253)	f0938993
𓉔	EGYPTIAN HIEROGLYPH O004 (U+13254)	f0938994
𓉕	EGYPTIAN HIEROGLYPH O005 (U+13255)	f0938995
𓉖	EGYPTIAN HIEROGLYPH O005A (U+13256)	f0938996
𓉗	EGYPTIAN HIEROGLYPH O006 (U+13257)	f0938997
𓉘	EGYPTIAN HIEROGLYPH O006A (U+13258)	f0938998
𓉙	EGYPTIAN HIEROGLYPH O006B (U+13259)	f0938999
𓉚	EGYPTIAN HIEROGLYPH O006C (U+1325A)	f093899a
𓉛	EGYPTIAN HIEROGLYPH O006D (U+1325B)	f093899b
𓉜	EGYPTIAN HIEROGLYPH O006E (U+1325C)	f093899c
𓉝	EGYPTIAN HIEROGLYPH O006F (U+1325D)	f093899d
𓉞	EGYPTIAN HIEROGLYPH O007 (U+1325E)	f093899e
𓉟	EGYPTIAN HIEROGLYPH O008 (U+1325F)	f093899f
𓉠	EGYPTIAN HIEROGLYPH O009 (U+13260)	f09389a0
𓉡	EGYPTIAN HIEROGLYPH O010 (U+13261)	f09389a1
𓉢	EGYPTIAN HIEROGLYPH O010A (U+13262)	f09389a2
𓉣	EGYPTIAN HIEROGLYPH O010B (U+13263)	f09389a3
