🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
📨	INCOMING ENVELOPE (U+1F4E8)	f09f93a8
📩	ENVELOPE WITH DOWNWARDS ARROW ABOVE (U+1F4E9)	f09f93a9
📪	CLOSED MAILBOX WITH LOWERED FLAG (U+1F4EA)	f09f93aa
📫	CLOSED MAILBOX WITH RAISED FLAG (U+1F4EB)	f09f93ab
📬	OPEN MAILBOX WITH RAISED FLAG (U+1F4EC)	f09f93ac
📭	OPEN MAILBOX WITH LOWERED FLAG (U+1F4ED)	f09f93ad
📮	POSTBOX (U+1F4EE)	f09f93ae
📯	POSTAL HORN (U+1F4EF)	f09f93af
📰	NEWSPAPER (U+1F4F0)	f09f93b0
📱	MOBILE PHONE (U+1F4F1)	f09f93b1
📲	MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT (U+1F4F2)	f09f93b2
📳	VIBRATION MODE (U+1F4F3)	f09f93b3
📴	MOBILE PHONE OFF (U+1F4F4)	f09f93b4
📵	NO MOBILE PHONES (U+1F4F5)	f09f93b5
📶	ANTENNA WITH BARS (U+1F4F6)	f09f93b6
📷	CAMERA (U+1F4F7)	f09f93b7
📹	VIDEO CAMERA (U+1F4F9)	f09f93b9
📺	TELEVISION (U+1F4FA)	f09f93ba
📻	RADIO (U+1F4FB)	f09f93bb
📼	VIDEOCASSETTE (U+1F4FC)	f09f93bc
🔀	TWISTED RIGHTWARDS ARROWS (U+1F500)	f09f9480
🔁	CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS (U+1F501)	f09f9481
🔂	CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY (U+1F502)	f09f9482
🔃	CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS (U+1F503)	f09f9483
🔄	ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS (U+1F504)	f09f9484
🔅	LOW BRIGHTNESS SYMBOL (U+1F505)	f09f9485
🔆	HIGH BRIGHTNESS SYMBOL (U+1F506)	f09f9486
🔇	SPEAKER WITH CANCELLATION STROKE (U+1F507)	f09f9487
🔈	SPEAKER (U+1F508)	f09f9488
🔉	SPEAKER WITH ONE SOUND WAVE (U+1F509)	f09f9489
🔊	SPEAKER WITH THREE SOUND WAVES (U+1F50A)	f09f948a
🔋	BATTERY (U+1F50B)	f09f948b
🔌	ELECTRIC PLUG (U+1F50C)	f09f948c
🔍	LEFT-POINTING MAGNIFYING GLASS (U+1F50D)	f09f948d
🔎	RIGHT-POINTING MAGNIFYING GLASS (U+1F50E)	f09f948e
🔏	LOCK WITH INK PEN (U+1F50F)	f09f948f
🔐	CLOSED LOCK WITH KEY (U+1F510)	f09f9490
🔑	KEY (U+1F511)	f09f9491
🔒	LOCK (U+1F512)	f09f9492
🔓	OPEN LOCK (U+1F513)	f09f9493
🔔	BELL (U+1F514)	f09f9494
🔕	BELL WITH CANCELLATION STROKE (U+1F515)	f09f9495
🔖	BOOKMARK (U+1F516)	f09f9496
🔗	LINK SYMBOL (U+1F517)	f09f9497
🔘	RADIO BUTTON (U+1F518)	f09f9498
🔙	BACK WITH LEFTWARDS ARROW ABOVE (U+1F519)	f09f9499
🔚	END WITH LEFTWARDS ARROW ABOVE (U+1F51A)	f09f949a
🔛	ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE (U+1F51B)	f09f949b
🔜	SOON WITH RIGHTWARDS ARROW ABOVE (U+1F51C)	f09f949c
🔝	TOP WITH UPWARDS ARROW ABOVE (U+1F51D)	f09f949d
🔞	NO ONE UNDER EIGHTEEN SYMBOL (U+1F51E)	f09f949e
🔟	KEYCAP TEN (U+1F51F)	f09f949f
🔠	INPUT SYMBOL FOR LATIN CAPITAL LETTERS (U+1F520)	f09f94a0
🔡	INPUT SYMBOL FOR LATIN SMALL LETTERS (U+1F521)	f09f94a1
🔢	INPUT SYMBOL FOR NUMBERS (U+1F522)	f09f94a2
🔣	INPUT SYMBOL FOR SYMBOLS (U+1F523)	f09f94a3
🔤	INPUT SYMBOL FOR LATIN LETTERS (U+1F524)	f09f94a4
🔥	FIRE (U+1F525)	f09f94a5
🔦	ELECTRIC TORCH (U+1F526)	f09f94a6
🔧	WRENCH (U+1F527)	f09f94a7
🔨	HAMMER (U+1F528)	f09f94a8
🔩	NUT AND BOLT (U+1F529)	f09f94a9
🔪	HOCHO (U+1F52A)	f09f94aa
🔫	PISTOL (U+1F52B)	f09f94ab
🔬	MICROSCOPE (U+1F52C)	f09f94ac
🔭	TELESCOPE (U+1F52D)	f09f94ad
🔮	CRYSTAL BALL (U+1F52E)	f09f94ae
🔯	SIX POINTED STAR WITH MIDDLE DOT (U+1F52F)	f09f94af
🔰	JAPANESE SYMBOL FOR BEGINNER (U+1F530)	f09f94b0
🔱	TRIDENT EMBLEM (U+1F531)	f09f94b1
🔲	BLACK SQUARE BUTTON (U+1F532)	f09f94b2
🔳	WHITE SQUARE BUTTON (U+1F533)	f09f94b3
🔴	LARGE RED CIRCLE (U+1F534)	f09f94b4
🔵	LARGE BLUE CIRCLE (U+1F535)	f09f94b5
🔶	LARGE ORANGE DIAMOND (U+1F536)	f09f94b6
🔷	LARGE BLUE DIAMOND (U+1F537)	f09f94b7
🔸	SMALL ORANGE DIAMOND (U+1F538)	f09f94b8
🔹	SMALL BLUE DIAMOND (U+1F539)	f09f94b9
🔺	UP-POINTING RED TRIANGLE (U+1F53A)	f09f94ba
🔻	DOWN-POINTING RED TRIANGLE (U+1F53B)	f09f94bb
🔼	UP-POINTING SMALL RED TRIANGLE (U+1F53C)	f09f94bc
🔽	DOWN-POINTING SMALL RED TRIANGLE (U+1F53D)	f09f94bd
🕐	CLOCK FACE ONE OCLOCK (U+1F550)	f09f9590
🕑	CLOCK FACE TWO OCLOCK (U+1F551)	f09f9591
🕒	CLOCK FACE THREE OCLOCK (U+1F552)	f09f9592
🕓	CLOCK FACE FOUR OCLOCK (U+1F553)	f09f9593
🕔	CLOCK FACE FIVE OCLOCK (U+1F554)	f09f9594
🕕	CLOCK FACE SIX OCLOCK (U+1F555)	f09f9595
🕖	CLOCK FACE SEVEN OCLOCK (U+1F556)	f09f9596
🕗	CLOCK FACE EIGHT OCLOCK (U+1F557)	f09f9597
🕘	CLOCK FACE NINE OCLOCK (U+1F558)	f09f9598
🕙	CLOCK FACE TEN OCLOCK (U+1F559)	f09f9599
🕚	CLOCK FACE ELEVEN OCLOCK (U+1F55A)	f09f959a
🕛	CLOCK FACE TWELVE OCLOCK (U+1F55B)	f09f959b
🕜	CLOCK FACE ONE-THIRTY (U+1F55C)	f09f959c
🕝	CLOCK FACE TWO-THIRTY (U+1F55D)	f09f959d
🕞	CLOCK FACE THREE-THIRTY (U+1F55E)	f09f959e
🕟	CLOCK FACE FOUR-THIRTY (U+1F55F)	f09f959f
🕠	CLOCK FACE FIVE-THIRTY (U+1F560)	f09f95a0
🕡	CLOCK FACE SIX-THIRTY (U+1F561)	f09f95a1
🕢	CLOCK FACE SEVEN-THIRTY (U+1F562)	f09f95a2
🕣	CLOCK FACE EIGHT-THIRTY (U+1F563)	f09f95a3
🕤	CLOCK FACE NINE-THIRTY (U+1F564)	f09f95a4
🕥	CLOCK FACE TEN-THIRTY (U+1F565)	f09f95a5
🕦	CLOCK FACE ELEVEN-THIRTY (U+1F566)	f09f95a6
🕧	CLOCK FACE TWELVE-THIRTY (U+1F567)	f09f95a7
🗻	MOUNT FUJI (U+1F5FB)	f09f97bb
🗼	TOKYO TOWER (U+1F5FC)	f09f97bc
🗽	STATUE OF LIBERTY (U+1F5FD)	f09f97bd
🗾	SILHOUETTE OF JAPAN (U+1F5FE)	f09f97be
🗿	MOYAI (U+1F5FF)	f09f97bf
😁	GRINNING FACE WITH SMILING EYES (U+1F601)	f09f9881
😂	FACE WITH TEARS OF JOY (U+1F602)	f09f9882
😃	SMILING FACE WITH OPEN MOUTH (U+1F603)	f09f9883
😄	SMILING FACE WITH OPEN MOUTH AND SMILING EYES (U+1F604)	f09f9884
😅	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT (U+1F605)	f09f9885
😆	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES (U+1F606)	f09f9886
😇	SMILING FACE WITH HALO (U+1F607)	f09f9887
😈	SMILING FACE WITH HORNS (U+1F608)	f09f9888
😉	WINKING FACE (U+1F609)	f09f9889
😊	SMILING FACE WITH SMILING EYES (U+1F60A)	f09f988a
😋	FACE SAVOURING DELICIOUS FOOD (U+1F60B)	f09f988b
😌	RELIEVED FACE (U+1F60C)	f09f988c
😍	SMILING FACE WITH HEART-SHAPED EYES (U+1F60D)	f09f988d
😎	SMILING FACE WITH SUNGLASSES (U+1F60E)	f09f988e
😏	SMIRKING FACE (U+1F60F)	f09f988f
😐	NEUTRAL FACE (U+1F610)	f09f9890
😒	UNAMUSED FACE (U+1F612)	f09f9892
😓	FACE WITH COLD SWEAT (U+1F613)	f09f9893
😔	PENSIVE FACE (U+1F614)	f09f9894
😖	CONFOUNDED FACE (U+1F616)	f09f9896
😘	FACE THROWING A KISS (U+1F618)	f09f9898
😚	KISSING FACE WITH CLOSED EYES (U+1F61A)	f09f989a
😜	FACE WITH STUCK-OUT TONGUE AND WINKING EYE (U+1F61C)	f09f989c
😝	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES (U+1F61D)	f09f989d
😞	DISAPPOINTED FACE (U+1F61E)	f09f989e
😠	ANGRY FACE (U+1F620)	f09f98a0
😡	POUTING FACE (U+1F621)	f09f98a1
😢	CRYING FACE (U+1F622)	f09f98a2
😣	PERSEVERING FACE (U+1F623)	f09f98a3
😤	FACE WITH LOOK OF TRIUMPH (U+1F624)	f09f98a4
😥	DISAPPOINTED BUT RELIEVED FACE (U+1F625)	f09f98a5
😨	FEARFUL FACE (U+1F628)	f09f98a8
😩	WEARY FACE (U+1F629)	f09f98a9
😪	SLEEPY FACE (U+1F62A)	f09f98aa
😫	TIRED FACE (U+1F62B)	f09f98ab
😭	LOUDLY CRYING FACE (U+1F62D)	f09f98ad
😰	FACE WITH OPEN MOUTH AND COLD SWEAT (U+1F630)	f09f98b0
😱	FACE SCREAMING IN FEAR (U+1F631)	f09f98b1
😲	ASTONISHED FACE (U+1F632)	f09f98b2
😳	FLUSHED FACE (U+1F633)	f09f98b3
😵	DIZZY FACE (U+1F635)	f09f98b5
😶	FACE WITHOUT MOUTH (U+1F636)	f09f98b6
😷	FACE WITH MEDICAL MASK (U+1F637)	f09f98b7
😸	GRINNING CAT FACE WITH SMILING EYES (U+1F638)	f09f98b8
😹	CAT FACE WITH TEARS OF JOY (U+1F639)	f09f98b9
😺	SMILING CAT FACE WITH OPEN MOUTH (U+1F63A)	f09f98ba
😻	SMILING CAT FACE WITH HEART-SHAPED EYES (U+1F63B)	f09f98bb
😼	CAT FACE WITH WRY SMILE (U+1F63C)	f09f98bc
😽	KISSING CAT FACE WITH CLOSED EYES (U+1F63D)	f09f98bd
😾	POUTING CAT FACE (U+1F63E)	f09f98be
😿	CRYING CAT FACE (U+1F63F)	f09f98bf
🙀	WEARY CAT FACE (U+1F640)	f09f9980
🙅	FACE WITH NO GOOD GESTURE (U+1F645)	f09f9985
🙆	FACE WITH OK GESTURE (U+1F646)	f09f9986
🙇	PERSON BOWING DEEPLY (U+1F647)	f09f9987
🙈	SEE-NO-EVIL MONKEY (U+1F648)	f09f9988
🙉	HEAR-NO-EVIL MONKEY (U+1F649)	f09f9989
🙊	SPEAK-NO-EVIL MONKEY (U+1F64A)	f09f998a
🙋	HAPPY PERSON RAISING ONE HAND (U+1F64B)	f09f998b
🙌	PERSON RAISING BOTH HANDS IN CELEBRATION (U+1F64C)	f09f998c
🙍	PERSON FROWNING (U+1F64D)	f09f998d
🙎	PERSON WITH POUTING FACE (U+1F64E)	f09f998e
🙏	PERSON WITH FOLDED HANDS (U+1F64F)	f09f998f
🚀	ROCKET (U+1F680)	f09f9a80
🚁	HELICOPTER (U+1F681)	f09f9a81
🚂	STEAM LOCOMOTIVE (U+1F682)	f09f9a82
🚃	RAILWAY CAR (U+1F683)	f09f9a83
🚄	HIGH-SPEED TRAIN (U+1F684)	f09f9a84
🚅	HIGH-SPEED TRAIN WITH BULLET NOSE (U+1F685)	f09f9a85
🚆	TRAIN (U+1F686)	f09f9a86
🚇	METRO (U+1F687)	f09f9a87
🚈	LIGHT RAIL (U+1F688)	f09f9a88
🚉	STATION (U+1F689)	f09f9a89
🚊	TRAM (U+1F68A)	f09f9a8a
🚋	TRAM CAR (U+1F68B)	f09f9a8b
🚌	BUS (U+1F68C)	f09f9a8c
🚍	ONCOMING BUS (U+1F68D)	f09f9a8d
🚎	TROLLEYBUS (U+1F68E)	f09f9a8e
🚏	BUS STOP (U+1F68F)	f09f9a8f
🚐	MINIBUS (U+1F690)	f09f9a90
🚑	AMBULANCE (U+1F691)	f09f9a91
🚒	FIRE ENGINE (U+1F692)	f09f9a92
🚓	POLICE CAR (U+1F693)	f09f9a93
🚔	ONCOMING POLICE CAR (U+1F694)	f09f9a94
🚕	TAXI (U+1F695)	f09f9a95
🚖	ONCOMING TAXI (U+1F696)	f09f9a96
🚗	AUTOMOBILE (U+1F697)	f09f9a97
🚘	ONCOMING AUTOMOBILE (U+1F698)	f09f9a98
🚙	RECREATIONAL VEHICLE (U+1F699)	f09f9a99
🚚	DELIVERY TRUCK (U+1F69A)	f09f9a9a
🚛	ARTICULATED LORRY (U+1F69B)	f09f9a9b
🚜	TRACTOR (U+1F69C)	f09f9a9c
🚝	MONORAIL (U+1F69D)	f09f9a9d
🚞	MOUNTAIN RAILWAY (U+1F69E)	f09f9a9e
🚟	SUSPENSION RAILWAY (U+1F69F)	f09f9a9f
🚠	MOUNTAIN CABLEWAY (U+1F6A0)	f09f9aa0
🚡	AERIAL TRAMWAY (U+1F6A1)	f09f9aa1
🚢	SHIP (U+1F6A2)	f09f9aa2
🚣	ROWBOAT (U+1F6A3)	f09f9aa3
🚤	SPEEDBOAT (U+1F6A4)	f09f9aa4
🚥	HORIZONTAL TRAFFIC LIGHT (U+1F6A5)	f09f9aa5
🚦	VERTICAL TRAFFIC LIGHT (U+1F6A6)	f09f9aa6
🚧	CONSTRUCTION SIGN (U+1F6A7)	f09f9aa7
🚨	POLICE CARS REVOLVING LIGHT (U+1F6A8)	f09f9aa8
