🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🂼	PLAYING CARD KNIGHT OF HEARTS (U+1F0BC)	f09f82bc
🂽	PLAYING CARD QUEEN OF HEARTS (U+1F0BD)	f09f82bd
🂾	PLAYING CARD KING OF HEARTS (U+1F0BE)	f09f82be
🃁	PLAYING CARD ACE OF DIAMONDS (U+1F0C1)	f09f8381
🃂	PLAYING CARD TWO OF DIAMONDS (U+1F0C2)	f09f8382
🃃	PLAYING CARD THREE OF DIAMONDS (U+1F0C3)	f09f8383
🃄	PLAYING CARD FOUR OF DIAMONDS (U+1F0C4)	f09f8384
🃅	PLAYING CARD FIVE OF DIAMONDS (U+1F0C5)	f09f8385
🃆	PLAYING CARD SIX OF DIAMONDS (U+1F0C6)	f09f8386
🃇	PLAYING CARD SEVEN OF DIAMONDS (U+1F0C7)	f09f8387
🃈	PLAYING CARD EIGHT OF DIAMONDS (U+1F0C8)	f09f8388
🃉	PLAYING CARD NINE OF DIAMONDS (U+1F0C9)	f09f8389
🃊	PLAYING CARD TEN OF DIAMONDS (U+1F0CA)	f09f838a
🃋	PLAYING CARD JACK OF DIAMONDS (U+1F0CB)	f09f838b
🃌	PLAYING CARD KNIGHT OF DIAMONDS (U+1F0CC)	f09f838c
🃍	PLAYING CARD QUEEN OF DIAMONDS (U+1F0CD)	f09f838d
🃎	PLAYING CARD KING OF DIAMONDS (U+1F0CE)	f09f838e
🃏	PLAYING CARD BLACK JOKER (U+1F0CF)	f09f838f
🃑	PLAYING CARD ACE OF CLUBS (U+1F0D1)	f09f8391
🃒	PLAYING CARD TWO OF CLUBS (U+1F0D2)	f09f8392
🃓	PLAYING CARD THREE OF CLUBS (U+1F0D3)	f09f8393
🃔	PLAYING CARD FOUR OF CLUBS (U+1F0D4)	f09f8394
🃕	PLAYING CARD FIVE OF CLUBS (U+1F0D5)	f09f8395
🃖	PLAYING CARD SIX OF CLUBS (U+1F0D6)	f09f8396
🃗	PLAYING CARD SEVEN OF CLUBS (U+1F0D7)	f09f8397
🃘	PLAYING CARD EIGHT OF CLUBS (U+1F0D8)	f09f8398
🃙	PLAYING CARD NINE OF CLUBS (U+1F0D9)	f09f8399
🃚	PLAYING CARD TEN OF CLUBS (U+1F0DA)	f09f839a
🃛	PLAYING CARD JACK OF CLUBS (U+1F0DB)	f09f839b
🃜	PLAYING CARD KNIGHT OF CLUBS (U+1F0DC)	f09f839c
🃝	PLAYING CARD QUEEN OF CLUBS (U+1F0DD)	f09f839d
🃞	PLAYING CARD KING OF CLUBS (U+1F0DE)	f09f839e
🃟	PLAYING CARD WHITE JOKER (U+1F0DF)	f09f839f
🄀	DIGIT ZERO FULL STOP (U+1F100)	f09f8480
🄁	DIGIT ZERO COMMA (U+1F101)	f09f8481
🄂	DIGIT ONE COMMA (U+1F102)	f09f8482
🄃	DIGIT TWO COMMA (U+1F103)	f09f8483
🄄	DIGIT THREE COMMA (U+1F104)	f09f8484
🄅	DIGIT FOUR COMMA (U+1F105)	f09f8485
🄆	DIGIT FIVE COMMA (U+1F106)	f09f8486
🄇	DIGIT SIX COMMA (U+1F107)	f09f8487
🄈	DIGIT SEVEN COMMA (U+1F108)	f09f8488
🄉	DIGIT EIGHT COMMA (U+1F109)	f09f8489
🄊	DIGIT NINE COMMA (U+1F10A)	f09f848a
🄐	PARENTHESIZED LATIN CAPITAL LETTER A (U+1F110)	f09f8490
🄑	PARENTHESIZED LATIN CAPITAL LETTER B (U+1F111)	f09f8491
🄒	PARENTHESIZED LATIN CAPITAL LETTER C (U+1F112)	f09f8492
🄓	PARENTHESIZED LATIN CAPITAL LETTER D (U+1F113)	f09f8493
🄔	PARENTHESIZED LATIN CAPITAL LETTER E (U+1F114)	f09f8494
🄕	PARENTHESIZED LATIN CAPITAL LETTER F (U+1F115)	f09f8495
🄖	PARENTHESIZED LATIN CAPITAL LETTER G (U+1F116)	f09f8496
🄗	PARENTHESIZED LATIN CAPITAL LETTER H (U+1F117)	f09f8497
🄘	PARENTHESIZED LATIN CAPITAL LETTER I (U+1F118)	f09f8498
🄙	PARENTHESIZED LATIN CAPITAL LETTER J (U+1F119)	f09f8499
🄚	PARENTHESIZED LATIN CAPITAL LETTER K (U+1F11A)	f09f849a
