𢐚	U+2241A (U+2241A)	f0a2909a
𢐛	U+2241B (U+2241B)	f0a2909b
𢐜	U+2241C (U+2241C)	f0a2909c
𢐝	U+2241D (U+2241D)	f0a2909d
𢐞	U+2241E (U+2241E)	f0a2909e
𢐟	U+2241F (U+2241F)	f0a2909f
𢐠	U+22420 (U+22420)	f0a290a0
𢐡	U+22421 (U+22421)	f0a290a1
𢐢	U+22422 (U+22422)	f0a290a2
𢐣	U+22423 (U+22423)	f0a290a3
𢐤	U+22424 (U+22424)	f0a290a4
𢐥	U+22425 (U+22425)	f0a290a5
𢐦	U+22426 (U+22426)	f0a290a6
𢐧	a stand, frame (U+22427)	f0a290a7
𢐨	U+22428 (U+22428)	f0a290a8
𢐩	U+22429 (U+22429)	f0a290a9
𢐪	U+2242A (U+2242A)	f0a290aa
𢐫	U+2242B (U+2242B)	f0a290ab
𢐬	U+2242C (U+2242C)	f0a290ac
𢐭	U+2242D (U+2242D)	f0a290ad
𢐮	U+2242E (U+2242E)	f0a290ae
𢐯	U+2242F (U+2242F)	f0a290af
𢐰	U+22430 (U+22430)	f0a290b0
𢐱	U+22431 (U+22431)	f0a290b1
𢐲	U+22432 (U+22432)	f0a290b2
𢐳	U+22433 (U+22433)	f0a290b3
𢐴	U+22434 (U+22434)	f0a290b4
𢐵	U+22435 (U+22435)	f0a290b5
𢐶	U+22436 (U+22436)	f0a290b6
𢐷	U+22437 (U+22437)	f0a290b7
𢐸	U+22438 (U+22438)	f0a290b8
𢐹	U+22439 (U+22439)	f0a290b9
𢐺	U+2243A (U+2243A)	f0a290ba
𢐻	U+2243B (U+2243B)	f0a290bb
𢐼	U+2243C (U+2243C)	f0a290bc
𢐽	U+2243D (U+2243D)	f0a290bd
𢐾	U+2243E (U+2243E)	f0a290be
𢐿	U+2243F (U+2243F)	f0a290bf
𢑀	U+22440 (U+22440)	f0a29180
𢑁	U+22441 (U+22441)	f0a29181
𢑂	U+22442 (U+22442)	f0a29182
𢑃	U+22443 (U+22443)	f0a29183
𢑄	U+22444 (U+22444)	f0a29184
𢑅	U+22445 (U+22445)	f0a29185
𢑆	U+22446 (U+22446)	f0a29186
𢑇	U+22447 (U+22447)	f0a29187
𢑈	U+22448 (U+22448)	f0a29188
𢑉	U+22449 (U+22449)	f0a29189
𢑊	U+2244A (U+2244A)	f0a2918a
𢑋	U+2244B (U+2244B)	f0a2918b
𢑌	U+2244C (U+2244C)	f0a2918c
𢑍	U+2244D (U+2244D)	f0a2918d
𢑎	U+2244E (U+2244E)	f0a2918e
𢑏	U+2244F (U+2244F)	f0a2918f
𢑐	U+22450 (U+22450)	f0a29190
𢑑	U+22451 (U+22451)	f0a29191
𢑒	U+22452 (U+22452)	f0a29192
𢑓	U+22453 (U+22453)	f0a29193
