⺁	CJK RADICAL CLIFF (U+2E81)	e2ba81
㈘	PARENTHESIZED HANGUL KHIEUKH A (U+3218)	e38898
㈙	PARENTHESIZED HANGUL THIEUTH A (U+3219)	e38899
㈚	PARENTHESIZED HANGUL PHIEUPH A (U+321A)	e3889a
㈛	PARENTHESIZED HANGUL HIEUH A (U+321B)	e3889b
㈜	PARENTHESIZED HANGUL CIEUC U (U+321C)	e3889c
㈝	PARENTHESIZED KOREAN CHARACTER OJEON (U+321D)	e3889d
㈞	PARENTHESIZED KOREAN CHARACTER O HU (U+321E)	e3889e
㈠	PARENTHESIZED IDEOGRAPH ONE (U+3220)	e388a0
㈡	PARENTHESIZED IDEOGRAPH TWO (U+3221)	e388a1
㈢	PARENTHESIZED IDEOGRAPH THREE (U+3222)	e388a2
㈣	PARENTHESIZED IDEOGRAPH FOUR (U+3223)	e388a3
㈤	PARENTHESIZED IDEOGRAPH FIVE (U+3224)	e388a4
㈥	PARENTHESIZED IDEOGRAPH SIX (U+3225)	e388a5
㈦	PARENTHESIZED IDEOGRAPH SEVEN (U+3226)	e388a6
㈧	PARENTHESIZED IDEOGRAPH EIGHT (U+3227)	e388a7
㈨	PARENTHESIZED IDEOGRAPH NINE (U+3228)	e388a8
㈩	PARENTHESIZED IDEOGRAPH TEN (U+3229)	e388a9
㈪	PARENTHESIZED IDEOGRAPH MOON (U+322A)	e388aa
㈫	PARENTHESIZED IDEOGRAPH FIRE (U+322B)	e388ab
㈬	PARENTHESIZED IDEOGRAPH WATER (U+322C)	e388ac
㈭	PARENTHESIZED IDEOGRAPH WOOD (U+322D)	e388ad
㈮	PARENTHESIZED IDEOGRAPH METAL (U+322E)	e388ae
㈯	PARENTHESIZED IDEOGRAPH EARTH (U+322F)	e388af
㈰	PARENTHESIZED IDEOGRAPH SUN (U+3230)	e388b0
㈱	PARENTHESIZED IDEOGRAPH STOCK (U+3231)	e388b1
㈲	PARENTHESIZED IDEOGRAPH HAVE (U+3232)	e388b2
㈳	PARENTHESIZED IDEOGRAPH SOCIETY (U+3233)	e388b3
㈴	PARENTHESIZED IDEOGRAPH NAME (U+3234)	e388b4
㈵	PARENTHESIZED IDEOGRAPH SPECIAL (U+3235)	e388b5
㈶	PARENTHESIZED IDEOGRAPH FINANCIAL (U+3236)	e388b6
㈷	PARENTHESIZED IDEOGRAPH CONGRATULATION (U+3237)	e388b7
㈸	PARENTHESIZED IDEOGRAPH LABOR (U+3238)	e388b8
㈹	PARENTHESIZED IDEOGRAPH REPRESENT (U+3239)	e388b9
㈺	PARENTHESIZED IDEOGRAPH CALL (U+323A)	e388ba
㈻	PARENTHESIZED IDEOGRAPH STUDY (U+323B)	e388bb
㈼	PARENTHESIZED IDEOGRAPH SUPERVISE (U+323C)	e388bc
㈽	PARENTHESIZED IDEOGRAPH ENTERPRISE (U+323D)	e388bd
㈾	PARENTHESIZED IDEOGRAPH RESOURCE (U+323E)	e388be
㈿	PARENTHESIZED IDEOGRAPH ALLIANCE (U+323F)	e388bf
㉀	PARENTHESIZED IDEOGRAPH FESTIVAL (U+3240)	e38980
㉁	PARENTHESIZED IDEOGRAPH REST (U+3241)	e38981
㉂	PARENTHESIZED IDEOGRAPH SELF (U+3242)	e38982
㉃	PARENTHESIZED IDEOGRAPH REACH (U+3243)	e38983
㉄	CIRCLED IDEOGRAPH QUESTION (U+3244)	e38984
㉅	CIRCLED IDEOGRAPH KINDERGARTEN (U+3245)	e38985
㉆	CIRCLED IDEOGRAPH SCHOOL (U+3246)	e38986
㉇	CIRCLED IDEOGRAPH KOTO (U+3247)	e38987
㉈	CIRCLED NUMBER TEN ON BLACK SQUARE (U+3248)	e38988
㉉	CIRCLED NUMBER TWENTY ON BLACK SQUARE (U+3249)	e38989
㉊	CIRCLED NUMBER THIRTY ON BLACK SQUARE (U+324A)	e3898a
㉋	CIRCLED NUMBER FORTY ON BLACK SQUARE (U+324B)	e3898b
㉌	CIRCLED NUMBER FIFTY ON BLACK SQUARE (U+324C)	e3898c
㉍	CIRCLED NUMBER SIXTY ON BLACK SQUARE (U+324D)	e3898d
㉎	CIRCLED NUMBER SEVENTY ON BLACK SQUARE (U+324E)	e3898e
㉏	CIRCLED NUMBER EIGHTY ON BLACK SQUARE (U+324F)	e3898f
㉐	PARTNERSHIP SIGN (U+3250)	e38990
㉑	CIRCLED NUMBER TWENTY ONE (U+3251)	e38991
㉒	CIRCLED NUMBER TWENTY TWO (U+3252)	e38992
㉓	CIRCLED NUMBER TWENTY THREE (U+3253)	e38993
㉔	CIRCLED NUMBER TWENTY FOUR (U+3254)	e38994
㉕	CIRCLED NUMBER TWENTY FIVE (U+3255)	e38995
㉖	CIRCLED NUMBER TWENTY SIX (U+3256)	e38996
㉗	CIRCLED NUMBER TWENTY SEVEN (U+3257)	e38997
㉘	CIRCLED NUMBER TWENTY EIGHT (U+3258)	e38998
㉙	CIRCLED NUMBER TWENTY NINE (U+3259)	e38999
㉚	CIRCLED NUMBER THIRTY (U+325A)	e3899a
㉛	CIRCLED NUMBER THIRTY ONE (U+325B)	e3899b
㉜	CIRCLED NUMBER THIRTY TWO (U+325C)	e3899c
㉝	CIRCLED NUMBER THIRTY THREE (U+325D)	e3899d
㉞	CIRCLED NUMBER THIRTY FOUR (U+325E)	e3899e
㉟	CIRCLED NUMBER THIRTY FIVE (U+325F)	e3899f
㉠	CIRCLED HANGUL KIYEOK (U+3260)	e389a0
㉡	CIRCLED HANGUL NIEUN (U+3261)	e389a1
㉢	CIRCLED HANGUL TIKEUT (U+3262)	e389a2
㉣	CIRCLED HANGUL RIEUL (U+3263)	e389a3
㉤	CIRCLED HANGUL MIEUM (U+3264)	e389a4
㉥	CIRCLED HANGUL PIEUP (U+3265)	e389a5
㉦	CIRCLED HANGUL SIOS (U+3266)	e389a6
㉧	CIRCLED HANGUL IEUNG (U+3267)	e389a7
㉨	CIRCLED HANGUL CIEUC (U+3268)	e389a8
㉩	CIRCLED HANGUL CHIEUCH (U+3269)	e389a9
㉪	CIRCLED HANGUL KHIEUKH (U+326A)	e389aa
㉫	CIRCLED HANGUL THIEUTH (U+326B)	e389ab
㉬	CIRCLED HANGUL PHIEUPH (U+326C)	e389ac
㉭	CIRCLED HANGUL HIEUH (U+326D)	e389ad
㉮	CIRCLED HANGUL KIYEOK A (U+326E)	e389ae
㉯	CIRCLED HANGUL NIEUN A (U+326F)	e389af
㉰	CIRCLED HANGUL TIKEUT A (U+3270)	e389b0
㉱	CIRCLED HANGUL RIEUL A (U+3271)	e389b1
㉲	CIRCLED HANGUL MIEUM A (U+3272)	e389b2
㉳	CIRCLED HANGUL PIEUP A (U+3273)	e389b3
㉴	CIRCLED HANGUL SIOS A (U+3274)	e389b4
㉵	CIRCLED HANGUL IEUNG A (U+3275)	e389b5
㉶	CIRCLED HANGUL CIEUC A (U+3276)	e389b6
㉷	CIRCLED HANGUL CHIEUCH A (U+3277)	e389b7
㉸	CIRCLED HANGUL KHIEUKH A (U+3278)	e389b8
㉹	CIRCLED HANGUL THIEUTH A (U+3279)	e389b9
㉺	CIRCLED HANGUL PHIEUPH A (U+327A)	e389ba
㉻	CIRCLED HANGUL HIEUH A (U+327B)	e389bb
㉼	CIRCLED KOREAN CHARACTER CHAMKO (U+327C)	e389bc
㉽	CIRCLED KOREAN CHARACTER JUEUI (U+327D)	e389bd
㉾	CIRCLED HANGUL IEUNG U (U+327E)	e389be
㉿	KOREAN STANDARD SYMBOL (U+327F)	e389bf
㊀	CIRCLED IDEOGRAPH ONE (U+3280)	e38a80
㊁	CIRCLED IDEOGRAPH TWO (U+3281)	e38a81
㊂	CIRCLED IDEOGRAPH THREE (U+3282)	e38a82
㊃	CIRCLED IDEOGRAPH FOUR (U+3283)	e38a83
㊄	CIRCLED IDEOGRAPH FIVE (U+3284)	e38a84
㊅	CIRCLED IDEOGRAPH SIX (U+3285)	e38a85
㊆	CIRCLED IDEOGRAPH SEVEN (U+3286)	e38a86
㊇	CIRCLED IDEOGRAPH EIGHT (U+3287)	e38a87
㊈	CIRCLED IDEOGRAPH NINE (U+3288)	e38a88
㊉	CIRCLED IDEOGRAPH TEN (U+3289)	e38a89
㊊	CIRCLED IDEOGRAPH MOON (U+328A)	e38a8a
㊋	CIRCLED IDEOGRAPH FIRE (U+328B)	e38a8b
㊌	CIRCLED IDEOGRAPH WATER (U+328C)	e38a8c
㊍	CIRCLED IDEOGRAPH WOOD (U+328D)	e38a8d
㊎	CIRCLED IDEOGRAPH METAL (U+328E)	e38a8e
㊏	CIRCLED IDEOGRAPH EARTH (U+328F)	e38a8f
㊐	CIRCLED IDEOGRAPH SUN (U+3290)	e38a90
㊑	CIRCLED IDEOGRAPH STOCK (U+3291)	e38a91
㊒	CIRCLED IDEOGRAPH HAVE (U+3292)	e38a92
㊓	CIRCLED IDEOGRAPH SOCIETY (U+3293)	e38a93
㊔	CIRCLED IDEOGRAPH NAME (U+3294)	e38a94
㊕	CIRCLED IDEOGRAPH SPECIAL (U+3295)	e38a95
㊖	CIRCLED IDEOGRAPH FINANCIAL (U+3296)	e38a96
㊗	CIRCLED IDEOGRAPH CONGRATULATION (U+3297)	e38a97
㊘	CIRCLED IDEOGRAPH LABOR (U+3298)	e38a98
㊙	CIRCLED IDEOGRAPH SECRET (U+3299)	e38a99
㊚	CIRCLED IDEOGRAPH MALE (U+329A)	e38a9a
㊛	CIRCLED IDEOGRAPH FEMALE (U+329B)	e38a9b
㊜	CIRCLED IDEOGRAPH SUITABLE (U+329C)	e38a9c
㊝	CIRCLED IDEOGRAPH EXCELLENT (U+329D)	e38a9d
㊞	CIRCLED IDEOGRAPH PRINT (U+329E)	e38a9e
㊟	CIRCLED IDEOGRAPH ATTENTION (U+329F)	e38a9f
㊠	CIRCLED IDEOGRAPH ITEM (U+32A0)	e38aa0
㊡	CIRCLED IDEOGRAPH REST (U+32A1)	e38aa1
㊢	CIRCLED IDEOGRAPH COPY (U+32A2)	e38aa2
㊣	CIRCLED IDEOGRAPH CORRECT (U+32A3)	e38aa3
㊤	CIRCLED IDEOGRAPH HIGH (U+32A4)	e38aa4
㊥	CIRCLED IDEOGRAPH CENTRE (U+32A5)	e38aa5
㊦	CIRCLED IDEOGRAPH LOW (U+32A6)	e38aa6
㊧	CIRCLED IDEOGRAPH LEFT (U+32A7)	e38aa7
㊨	CIRCLED IDEOGRAPH RIGHT (U+32A8)	e38aa8
㊩	CIRCLED IDEOGRAPH MEDICINE (U+32A9)	e38aa9
㊪	CIRCLED IDEOGRAPH RELIGION (U+32AA)	e38aaa
㊫	CIRCLED IDEOGRAPH STUDY (U+32AB)	e38aab
㊬	CIRCLED IDEOGRAPH SUPERVISE (U+32AC)	e38aac
㊭	CIRCLED IDEOGRAPH ENTERPRISE (U+32AD)	e38aad
㊮	CIRCLED IDEOGRAPH RESOURCE (U+32AE)	e38aae
㊯	CIRCLED IDEOGRAPH ALLIANCE (U+32AF)	e38aaf
㊰	CIRCLED IDEOGRAPH NIGHT (U+32B0)	e38ab0
㊱	CIRCLED NUMBER THIRTY SIX (U+32B1)	e38ab1
㊲	CIRCLED NUMBER THIRTY SEVEN (U+32B2)	e38ab2
㊳	CIRCLED NUMBER THIRTY EIGHT (U+32B3)	e38ab3
㊴	CIRCLED NUMBER THIRTY NINE (U+32B4)	e38ab4
㊵	CIRCLED NUMBER FORTY (U+32B5)	e38ab5
㊶	CIRCLED NUMBER FORTY ONE (U+32B6)	e38ab6
㊷	CIRCLED NUMBER FORTY TWO (U+32B7)	e38ab7
㊸	CIRCLED NUMBER FORTY THREE (U+32B8)	e38ab8
㊹	CIRCLED NUMBER FORTY FOUR (U+32B9)	e38ab9
㊺	CIRCLED NUMBER FORTY FIVE (U+32BA)	e38aba
㊻	CIRCLED NUMBER FORTY SIX (U+32BB)	e38abb
㊼	CIRCLED NUMBER FORTY SEVEN (U+32BC)	e38abc
㊽	CIRCLED NUMBER FORTY EIGHT (U+32BD)	e38abd
㊾	CIRCLED NUMBER FORTY NINE (U+32BE)	e38abe
㊿	CIRCLED NUMBER FIFTY (U+32BF)	e38abf
㋀	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY (U+32C0)	e38b80
㋁	IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY (U+32C1)	e38b81
㋂	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH (U+32C2)	e38b82
㋃	IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL (U+32C3)	e38b83
㋄	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY (U+32C4)	e38b84
㋅	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE (U+32C5)	e38b85
㋆	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY (U+32C6)	e38b86
㋇	IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST (U+32C7)	e38b87
㋈	IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER (U+32C8)	e38b88
㋉	IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER (U+32C9)	e38b89
