⺁	CJK RADICAL CLIFF (U+2E81)	e2ba81
⼎	KANGXI RADICAL ICE (U+2F0E)	e2bc8e
⼏	KANGXI RADICAL TABLE (U+2F0F)	e2bc8f
⼐	KANGXI RADICAL OPEN BOX (U+2F10)	e2bc90
⼑	KANGXI RADICAL KNIFE (U+2F11)	e2bc91
⼒	KANGXI RADICAL POWER (U+2F12)	e2bc92
⼓	KANGXI RADICAL WRAP (U+2F13)	e2bc93
⼔	KANGXI RADICAL SPOON (U+2F14)	e2bc94
⼕	KANGXI RADICAL RIGHT OPEN BOX (U+2F15)	e2bc95
⼖	KANGXI RADICAL HIDING ENCLOSURE (U+2F16)	e2bc96
⼗	KANGXI RADICAL TEN (U+2F17)	e2bc97
⼘	KANGXI RADICAL DIVINATION (U+2F18)	e2bc98
⼙	KANGXI RADICAL SEAL (U+2F19)	e2bc99
⼚	KANGXI RADICAL CLIFF (U+2F1A)	e2bc9a
⼛	KANGXI RADICAL PRIVATE (U+2F1B)	e2bc9b
⼜	KANGXI RADICAL AGAIN (U+2F1C)	e2bc9c
⼝	KANGXI RADICAL MOUTH (U+2F1D)	e2bc9d
⼞	KANGXI RADICAL ENCLOSURE (U+2F1E)	e2bc9e
⼟	KANGXI RADICAL EARTH (U+2F1F)	e2bc9f
⼠	KANGXI RADICAL SCHOLAR (U+2F20)	e2bca0
⼡	KANGXI RADICAL GO (U+2F21)	e2bca1
⼢	KANGXI RADICAL GO SLOWLY (U+2F22)	e2bca2
⼣	KANGXI RADICAL EVENING (U+2F23)	e2bca3
⼤	KANGXI RADICAL BIG (U+2F24)	e2bca4
⼥	KANGXI RADICAL WOMAN (U+2F25)	e2bca5
⼦	KANGXI RADICAL CHILD (U+2F26)	e2bca6
⼧	KANGXI RADICAL ROOF (U+2F27)	e2bca7
⼨	KANGXI RADICAL INCH (U+2F28)	e2bca8
⼩	KANGXI RADICAL SMALL (U+2F29)	e2bca9
⼪	KANGXI RADICAL LAME (U+2F2A)	e2bcaa
⼫	KANGXI RADICAL CORPSE (U+2F2B)	e2bcab
⼬	KANGXI RADICAL SPROUT (U+2F2C)	e2bcac
⼭	KANGXI RADICAL MOUNTAIN (U+2F2D)	e2bcad
⼮	KANGXI RADICAL RIVER (U+2F2E)	e2bcae
⼯	KANGXI RADICAL WORK (U+2F2F)	e2bcaf
⼰	KANGXI RADICAL ONESELF (U+2F30)	e2bcb0
⼱	KANGXI RADICAL TURBAN (U+2F31)	e2bcb1
⼲	KANGXI RADICAL DRY (U+2F32)	e2bcb2
⼳	KANGXI RADICAL SHORT THREAD (U+2F33)	e2bcb3
⼴	KANGXI RADICAL DOTTED CLIFF (U+2F34)	e2bcb4
⼵	KANGXI RADICAL LONG STRIDE (U+2F35)	e2bcb5
⼶	KANGXI RADICAL TWO HANDS (U+2F36)	e2bcb6
⼷	KANGXI RADICAL SHOOT (U+2F37)	e2bcb7
⼸	KANGXI RADICAL BOW (U+2F38)	e2bcb8
⼹	KANGXI RADICAL SNOUT (U+2F39)	e2bcb9
⼺	KANGXI RADICAL BRISTLE (U+2F3A)	e2bcba
⼻	KANGXI RADICAL STEP (U+2F3B)	e2bcbb
⼼	KANGXI RADICAL HEART (U+2F3C)	e2bcbc
⼽	KANGXI RADICAL HALBERD (U+2F3D)	e2bcbd
⼾	KANGXI RADICAL DOOR (U+2F3E)	e2bcbe
⼿	KANGXI RADICAL HAND (U+2F3F)	e2bcbf
⽀	KANGXI RADICAL BRANCH (U+2F40)	e2bd80
⽁	KANGXI RADICAL RAP (U+2F41)	e2bd81
⽂	KANGXI RADICAL SCRIPT (U+2F42)	e2bd82
⽃	KANGXI RADICAL DIPPER (U+2F43)	e2bd83
⽄	KANGXI RADICAL AXE (U+2F44)	e2bd84
⽅	KANGXI RADICAL SQUARE (U+2F45)	e2bd85
⽆	KANGXI RADICAL NOT (U+2F46)	e2bd86
⽇	KANGXI RADICAL SUN (U+2F47)	e2bd87
⽈	KANGXI RADICAL SAY (U+2F48)	e2bd88
⽉	KANGXI RADICAL MOON (U+2F49)	e2bd89
⽊	KANGXI RADICAL TREE (U+2F4A)	e2bd8a
⽋	KANGXI RADICAL LACK (U+2F4B)	e2bd8b
⽌	KANGXI RADICAL STOP (U+2F4C)	e2bd8c
⽍	KANGXI RADICAL DEATH (U+2F4D)	e2bd8d
⽎	KANGXI RADICAL WEAPON (U+2F4E)	e2bd8e
⽏	KANGXI RADICAL DO NOT (U+2F4F)	e2bd8f
⽐	KANGXI RADICAL COMPARE (U+2F50)	e2bd90
⽑	KANGXI RADICAL FUR (U+2F51)	e2bd91
⽒	KANGXI RADICAL CLAN (U+2F52)	e2bd92
⽓	KANGXI RADICAL STEAM (U+2F53)	e2bd93
⽔	KANGXI RADICAL WATER (U+2F54)	e2bd94
⽕	KANGXI RADICAL FIRE (U+2F55)	e2bd95
⽖	KANGXI RADICAL CLAW (U+2F56)	e2bd96
⽗	KANGXI RADICAL FATHER (U+2F57)	e2bd97
⽘	KANGXI RADICAL DOUBLE X (U+2F58)	e2bd98
⽙	KANGXI RADICAL HALF TREE TRUNK (U+2F59)	e2bd99
⽚	KANGXI RADICAL SLICE (U+2F5A)	e2bd9a
⽛	KANGXI RADICAL FANG (U+2F5B)	e2bd9b
⽜	KANGXI RADICAL COW (U+2F5C)	e2bd9c
⽝	KANGXI RADICAL DOG (U+2F5D)	e2bd9d
⽞	KANGXI RADICAL PROFOUND (U+2F5E)	e2bd9e
⽟	KANGXI RADICAL JADE (U+2F5F)	e2bd9f
⽠	KANGXI RADICAL MELON (U+2F60)	e2bda0
⽡	KANGXI RADICAL TILE (U+2F61)	e2bda1
⽢	KANGXI RADICAL SWEET (U+2F62)	e2bda2
⽣	KANGXI RADICAL LIFE (U+2F63)	e2bda3
⽤	KANGXI RADICAL USE (U+2F64)	e2bda4
⽥	KANGXI RADICAL FIELD (U+2F65)	e2bda5
⽦	KANGXI RADICAL BOLT OF CLOTH (U+2F66)	e2bda6
⽧	KANGXI RADICAL SICKNESS (U+2F67)	e2bda7
⽨	KANGXI RADICAL DOTTED TENT (U+2F68)	e2bda8
⽩	KANGXI RADICAL WHITE (U+2F69)	e2bda9
⽪	KANGXI RADICAL SKIN (U+2F6A)	e2bdaa
⽫	KANGXI RADICAL DISH (U+2F6B)	e2bdab
⽬	KANGXI RADICAL EYE (U+2F6C)	e2bdac
⽭	KANGXI RADICAL SPEAR (U+2F6D)	e2bdad
⽮	KANGXI RADICAL ARROW (U+2F6E)	e2bdae
⽯	KANGXI RADICAL STONE (U+2F6F)	e2bdaf
⽰	KANGXI RADICAL SPIRIT (U+2F70)	e2bdb0
⽱	KANGXI RADICAL TRACK (U+2F71)	e2bdb1
⽲	KANGXI RADICAL GRAIN (U+2F72)	e2bdb2
⽳	KANGXI RADICAL CAVE (U+2F73)	e2bdb3
⽴	KANGXI RADICAL STAND (U+2F74)	e2bdb4
⽵	KANGXI RADICAL BAMBOO (U+2F75)	e2bdb5
⽶	KANGXI RADICAL RICE (U+2F76)	e2bdb6
⽷	KANGXI RADICAL SILK (U+2F77)	e2bdb7
⽸	KANGXI RADICAL JAR (U+2F78)	e2bdb8
⽹	KANGXI RADICAL NET (U+2F79)	e2bdb9
⽺	KANGXI RADICAL SHEEP (U+2F7A)	e2bdba
⽻	KANGXI RADICAL FEATHER (U+2F7B)	e2bdbb
⽼	KANGXI RADICAL OLD (U+2F7C)	e2bdbc
⽽	KANGXI RADICAL AND (U+2F7D)	e2bdbd
⽾	KANGXI RADICAL PLOW (U+2F7E)	e2bdbe
⽿	KANGXI RADICAL EAR (U+2F7F)	e2bdbf
⾀	KANGXI RADICAL BRUSH (U+2F80)	e2be80
⾁	KANGXI RADICAL MEAT (U+2F81)	e2be81
⾂	KANGXI RADICAL MINISTER (U+2F82)	e2be82
⾃	KANGXI RADICAL SELF (U+2F83)	e2be83
⾄	KANGXI RADICAL ARRIVE (U+2F84)	e2be84
⾅	KANGXI RADICAL MORTAR (U+2F85)	e2be85
⾆	KANGXI RADICAL TONGUE (U+2F86)	e2be86
⾇	KANGXI RADICAL OPPOSE (U+2F87)	e2be87
⾈	KANGXI RADICAL BOAT (U+2F88)	e2be88
⾉	KANGXI RADICAL STOPPING (U+2F89)	e2be89
⾊	KANGXI RADICAL COLOR (U+2F8A)	e2be8a
⾋	KANGXI RADICAL GRASS (U+2F8B)	e2be8b
⾌	KANGXI RADICAL TIGER (U+2F8C)	e2be8c
⾍	KANGXI RADICAL INSECT (U+2F8D)	e2be8d
⾎	KANGXI RADICAL BLOOD (U+2F8E)	e2be8e
⾏	KANGXI RADICAL WALK ENCLOSURE (U+2F8F)	e2be8f
⾐	KANGXI RADICAL CLOTHES (U+2F90)	e2be90
⾑	KANGXI RADICAL WEST (U+2F91)	e2be91
⾒	KANGXI RADICAL SEE (U+2F92)	e2be92
⾓	KANGXI RADICAL HORN (U+2F93)	e2be93
⾔	KANGXI RADICAL SPEECH (U+2F94)	e2be94
⾕	KANGXI RADICAL VALLEY (U+2F95)	e2be95
⾖	KANGXI RADICAL BEAN (U+2F96)	e2be96
⾗	KANGXI RADICAL PIG (U+2F97)	e2be97
⾘	KANGXI RADICAL BADGER (U+2F98)	e2be98
⾙	KANGXI RADICAL SHELL (U+2F99)	e2be99
⾚	KANGXI RADICAL RED (U+2F9A)	e2be9a
⾛	KANGXI RADICAL RUN (U+2F9B)	e2be9b
⾜	KANGXI RADICAL FOOT (U+2F9C)	e2be9c
⾝	KANGXI RADICAL BODY (U+2F9D)	e2be9d
⾞	KANGXI RADICAL CART (U+2F9E)	e2be9e
⾟	KANGXI RADICAL BITTER (U+2F9F)	e2be9f
⾠	KANGXI RADICAL MORNING (U+2FA0)	e2bea0
⾡	KANGXI RADICAL WALK (U+2FA1)	e2bea1
⾢	KANGXI RADICAL CITY (U+2FA2)	e2bea2
⾣	KANGXI RADICAL WINE (U+2FA3)	e2bea3
⾤	KANGXI RADICAL DISTINGUISH (U+2FA4)	e2bea4
⾥	KANGXI RADICAL VILLAGE (U+2FA5)	e2bea5
⾦	KANGXI RADICAL GOLD (U+2FA6)	e2bea6
⾧	KANGXI RADICAL LONG (U+2FA7)	e2bea7
⾨	KANGXI RADICAL GATE (U+2FA8)	e2bea8
⾩	KANGXI RADICAL MOUND (U+2FA9)	e2bea9
⾪	KANGXI RADICAL SLAVE (U+2FAA)	e2beaa
⾫	KANGXI RADICAL SHORT TAILED BIRD (U+2FAB)	e2beab
⾬	KANGXI RADICAL RAIN (U+2FAC)	e2beac
⾭	KANGXI RADICAL BLUE (U+2FAD)	e2bead
⾮	KANGXI RADICAL WRONG (U+2FAE)	e2beae
⾯	KANGXI RADICAL FACE (U+2FAF)	e2beaf
⾰	KANGXI RADICAL LEATHER (U+2FB0)	e2beb0
⾱	KANGXI RADICAL TANNED LEATHER (U+2FB1)	e2beb1
⾲	KANGXI RADICAL LEEK (U+2FB2)	e2beb2
⾳	KANGXI RADICAL SOUND (U+2FB3)	e2beb3
⾴	KANGXI RADICAL LEAF (U+2FB4)	e2beb4
⾵	KANGXI RADICAL WIND (U+2FB5)	e2beb5
⾶	KANGXI RADICAL FLY (U+2FB6)	e2beb6
⾷	KANGXI RADICAL EAT (U+2FB7)	e2beb7
⾸	KANGXI RADICAL HEAD (U+2FB8)	e2beb8
⾹	KANGXI RADICAL FRAGRANT (U+2FB9)	e2beb9
⾺	KANGXI RADICAL HORSE (U+2FBA)	e2beba
⾻	KANGXI RADICAL BONE (U+2FBB)	e2bebb
⾼	KANGXI RADICAL TALL (U+2FBC)	e2bebc
⾽	KANGXI RADICAL HAIR (U+2FBD)	e2bebd
⾾	KANGXI RADICAL FIGHT (U+2FBE)	e2bebe
⾿	KANGXI RADICAL SACRIFICIAL WINE (U+2FBF)	e2bebf
⿀	KANGXI RADICAL CAULDRON (U+2FC0)	e2bf80
⿁	KANGXI RADICAL GHOST (U+2FC1)	e2bf81
⿂	KANGXI RADICAL FISH (U+2FC2)	e2bf82
⿃	KANGXI RADICAL BIRD (U+2FC3)	e2bf83
⿄	KANGXI RADICAL SALT (U+2FC4)	e2bf84
⿅	KANGXI RADICAL DEER (U+2FC5)	e2bf85
⿆	KANGXI RADICAL WHEAT (U+2FC6)	e2bf86
⿇	KANGXI RADICAL HEMP (U+2FC7)	e2bf87
⿈	KANGXI RADICAL YELLOW (U+2FC8)	e2bf88
⿉	KANGXI RADICAL MILLET (U+2FC9)	e2bf89
⿊	KANGXI RADICAL BLACK (U+2FCA)	e2bf8a
⿋	KANGXI RADICAL EMBROIDERY (U+2FCB)	e2bf8b
⿌	KANGXI RADICAL FROG (U+2FCC)	e2bf8c
⿍	KANGXI RADICAL TRIPOD (U+2FCD)	e2bf8d
⿎	KANGXI RADICAL DRUM (U+2FCE)	e2bf8e
⿏	KANGXI RADICAL RAT (U+2FCF)	e2bf8f
⿐	KANGXI RADICAL NOSE (U+2FD0)	e2bf90
⿑	KANGXI RADICAL EVEN (U+2FD1)	e2bf91
⿒	KANGXI RADICAL TOOTH (U+2FD2)	e2bf92
⿓	KANGXI RADICAL DRAGON (U+2FD3)	e2bf93
⿔	KANGXI RADICAL TURTLE (U+2FD4)	e2bf94
⿕	KANGXI RADICAL FLUTE (U+2FD5)	e2bf95
⿰	IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO RIGHT (U+2FF0)	e2bfb0
⿱	IDEOGRAPHIC DESCRIPTION CHARACTER ABOVE TO BELOW (U+2FF1)	e2bfb1
⿲	IDEOGRAPHIC DESCRIPTION CHARACTER LEFT TO MIDDLE AND RIGHT (U+2FF2)	e2bfb2
⿳	IDEOGRAPHIC DESCRIPTION CHARACTER ABOVE TO MIDDLE AND BELOW (U+2FF3)	e2bfb3
⿴	IDEOGRAPHIC DESCRIPTION CHARACTER FULL SURROUND (U+2FF4)	e2bfb4
⿵	IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM ABOVE (U+2FF5)	e2bfb5
⿶	IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM BELOW (U+2FF6)	e2bfb6
⿷	IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM LEFT (U+2FF7)	e2bfb7
⿸	IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM UPPER LEFT (U+2FF8)	e2bfb8
⿹	IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM UPPER RIGHT (U+2FF9)	e2bfb9
⿺	IDEOGRAPHIC DESCRIPTION CHARACTER SURROUND FROM LOWER LEFT (U+2FFA)	e2bfba
⿻	IDEOGRAPHIC DESCRIPTION CHARACTER OVERLAID (U+2FFB)	e2bfbb
　	IDEOGRAPHIC SPACE (U+3000)	e38080
、	IDEOGRAPHIC COMMA (U+3001)	e38081
。	IDEOGRAPHIC FULL STOP (U+3002)	e38082
〃	DITTO MARK (U+3003)	e38083
〄	JAPANESE INDUSTRIAL STANDARD SYMBOL (U+3004)	e38084
々	IDEOGRAPHIC ITERATION MARK (U+3005)	e38085
〆	IDEOGRAPHIC CLOSING MARK (U+3006)	e38086
〇	IDEOGRAPHIC NUMBER ZERO (U+3007)	e38087
〈	LEFT ANGLE BRACKET (U+3008)	e38088
〉	RIGHT ANGLE BRACKET (U+3009)	e38089
《	LEFT DOUBLE ANGLE BRACKET (U+300A)	e3808a
》	RIGHT DOUBLE ANGLE BRACKET (U+300B)	e3808b
「	LEFT CORNER BRACKET (U+300C)	e3808c
」	RIGHT CORNER BRACKET (U+300D)	e3808d
『	LEFT WHITE CORNER BRACKET (U+300E)	e3808e
』	RIGHT WHITE CORNER BRACKET (U+300F)	e3808f
【	LEFT BLACK LENTICULAR BRACKET (U+3010)	e38090
】	RIGHT BLACK LENTICULAR BRACKET (U+3011)	e38091
〒	POSTAL MARK (U+3012)	e38092
〓	GETA MARK (U+3013)	e38093
〔	LEFT TORTOISE SHELL BRACKET (U+3014)	e38094
〕	RIGHT TORTOISE SHELL BRACKET (U+3015)	e38095
〖	LEFT WHITE LENTICULAR BRACKET (U+3016)	e38096
〗	RIGHT WHITE LENTICULAR BRACKET (U+3017)	e38097
〘	LEFT WHITE TORTOISE SHELL BRACKET (U+3018)	e38098
〙	RIGHT WHITE TORTOISE SHELL BRACKET (U+3019)	e38099
〚	LEFT WHITE SQUARE BRACKET (U+301A)	e3809a
〛	RIGHT WHITE SQUARE BRACKET (U+301B)	e3809b
〜	WAVE DASH (U+301C)	e3809c
〝	REVERSED DOUBLE PRIME QUOTATION MARK (U+301D)	e3809d
〞	DOUBLE PRIME QUOTATION MARK (U+301E)	e3809e
〟	LOW DOUBLE PRIME QUOTATION MARK (U+301F)	e3809f
〠	POSTAL MARK FACE (U+3020)	e380a0
〡	HANGZHOU NUMERAL ONE (U+3021)	e380a1
〢	HANGZHOU NUMERAL TWO (U+3022)	e380a2
〣	HANGZHOU NUMERAL THREE (U+3023)	e380a3
〤	HANGZHOU NUMERAL FOUR (U+3024)	e380a4
〥	HANGZHOU NUMERAL FIVE (U+3025)	e380a5
〦	HANGZHOU NUMERAL SIX (U+3026)	e380a6
〧	HANGZHOU NUMERAL SEVEN (U+3027)	e380a7
〨	HANGZHOU NUMERAL EIGHT (U+3028)	e380a8
〩	HANGZHOU NUMERAL NINE (U+3029)	e380a9
〪	IDEOGRAPHIC LEVEL TONE MARK (U+302A)	e380aa
〫	IDEOGRAPHIC RISING TONE MARK (U+302B)	e380ab
〬	IDEOGRAPHIC DEPARTING TONE MARK (U+302C)	e380ac
〭	IDEOGRAPHIC ENTERING TONE MARK (U+302D)	e380ad
〮	HANGUL SINGLE DOT TONE MARK (U+302E)	e380ae
〯	HANGUL DOUBLE DOT TONE MARK (U+302F)	e380af
〰	WAVY DASH (U+3030)	e380b0
〱	VERTICAL KANA REPEAT MARK (U+3031)	e380b1
〲	VERTICAL KANA REPEAT WITH VOICED SOUND MARK (U+3032)	e380b2
〳	VERTICAL KANA REPEAT MARK UPPER HALF (U+3033)	e380b3
〴	VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF (U+3034)	e380b4
〵	VERTICAL KANA REPEAT MARK LOWER HALF (U+3035)	e380b5
〶	CIRCLED POSTAL MARK (U+3036)	e380b6
〷	IDEOGRAPHIC TELEGRAPH LINE FEED SEPARATOR SYMBOL (U+3037)	e380b7
〸	HANGZHOU NUMERAL TEN (U+3038)	e380b8
〹	HANGZHOU NUMERAL TWENTY (U+3039)	e380b9
〺	HANGZHOU NUMERAL THIRTY (U+303A)	e380ba
〻	VERTICAL IDEOGRAPHIC ITERATION MARK (U+303B)	e380bb
〼	MASU MARK (U+303C)	e380bc
〽	PART ALTERNATION MARK (U+303D)	e380bd
〾	IDEOGRAPHIC VARIATION INDICATOR (U+303E)	e380be
〿	IDEOGRAPHIC HALF FILL SPACE (U+303F)	e380bf
ぁ	HIRAGANA LETTER SMALL A (U+3041)	e38181
