𥑏	U+2544F (U+2544F)	f0a5918f
𥑐	U+25450 (U+25450)	f0a59190
𥑑	U+25451 (U+25451)	f0a59191
𥑒	U+25452 (U+25452)	f0a59192
𥑓	U+25453 (U+25453)	f0a59193
𥑔	U+25454 (U+25454)	f0a59194
𥑕	U+25455 (U+25455)	f0a59195
𥑖	U+25456 (U+25456)	f0a59196
𥑗	U+25457 (U+25457)	f0a59197
𥑘	U+25458 (U+25458)	f0a59198
𥑙	U+25459 (U+25459)	f0a59199
𥑚	U+2545A (U+2545A)	f0a5919a
𥑛	U+2545B (U+2545B)	f0a5919b
𥑜	U+2545C (U+2545C)	f0a5919c
𥑝	U+2545D (U+2545D)	f0a5919d
𥑞	U+2545E (U+2545E)	f0a5919e
𥑟	U+2545F (U+2545F)	f0a5919f
𥑠	U+25460 (U+25460)	f0a591a0
𥑡	U+25461 (U+25461)	f0a591a1
𥑢	boron (obsolete; see U+787C 硼) (U+25462)	f0a591a2
𥑣	U+25463 (U+25463)	f0a591a3
𥑤	U+25464 (U+25464)	f0a591a4
𥑥	U+25465 (U+25465)	f0a591a5
𥑦	U+25466 (U+25466)	f0a591a6
𥑧	U+25467 (U+25467)	f0a591a7
𥑨	U+25468 (U+25468)	f0a591a8
𥑩	U+25469 (U+25469)	f0a591a9
𥑪	impure ammonium chloride (U+2546A)	f0a591aa
𥑫	U+2546B (U+2546B)	f0a591ab
𥑬	U+2546C (U+2546C)	f0a591ac
𥑭	U+2546D (U+2546D)	f0a591ad
𥑮	U+2546E (U+2546E)	f0a591ae
𥑯	U+2546F (U+2546F)	f0a591af
𥑰	U+25470 (U+25470)	f0a591b0
𥑱	U+25471 (U+25471)	f0a591b1
𥑲	U+25472 (U+25472)	f0a591b2
𥑳	U+25473 (U+25473)	f0a591b3
𥑴	U+25474 (U+25474)	f0a591b4
𥑵	U+25475 (U+25475)	f0a591b5
𥑶	U+25476 (U+25476)	f0a591b6
𥑷	U+25477 (U+25477)	f0a591b7
𥑸	U+25478 (U+25478)	f0a591b8
𥑹	U+25479 (U+25479)	f0a591b9
𥑺	U+2547A (U+2547A)	f0a591ba
𥑻	U+2547B (U+2547B)	f0a591bb
𥑼	U+2547C (U+2547C)	f0a591bc
𥑽	U+2547D (U+2547D)	f0a591bd
𥑾	U+2547E (U+2547E)	f0a591be
𥑿	U+2547F (U+2547F)	f0a591bf
𥒀	U+25480 (U+25480)	f0a59280
𥒁	U+25481 (U+25481)	f0a59281
𥒂	U+25482 (U+25482)	f0a59282
𥒃	U+25483 (U+25483)	f0a59283
𥒄	U+25484 (U+25484)	f0a59284
𥒅	U+25485 (U+25485)	f0a59285
𥒆	U+25486 (U+25486)	f0a59286
𥒇	U+25487 (U+25487)	f0a59287
𥒈	U+25488 (U+25488)	f0a59288
𥒉	U+25489 (U+25489)	f0a59289
𥒊	U+2548A (U+2548A)	f0a5928a
𥒋	U+2548B (U+2548B)	f0a5928b
𥒌	U+2548C (U+2548C)	f0a5928c
𥒍	U+2548D (U+2548D)	f0a5928d
𥒎	U+2548E (U+2548E)	f0a5928e
𥒏	U+2548F (U+2548F)	f0a5928f
𥒐	U+25490 (U+25490)	f0a59290
𥒑	U+25491 (U+25491)	f0a59291
𥒒	U+25492 (U+25492)	f0a59292
𥒓	U+25493 (U+25493)	f0a59293
𥒔	U+25494 (U+25494)	f0a59294
𥒕	U+25495 (U+25495)	f0a59295
𥒖	U+25496 (U+25496)	f0a59296
𥒗	U+25497 (U+25497)	f0a59297
𥒘	U+25498 (U+25498)	f0a59298
𥒙	U+25499 (U+25499)	f0a59299
𥒚	U+2549A (U+2549A)	f0a5929a
𥒛	U+2549B (U+2549B)	f0a5929b
𥒜	U+2549C (U+2549C)	f0a5929c
𥒝	U+2549D (U+2549D)	f0a5929d
𥒞	U+2549E (U+2549E)	f0a5929e
𥒟	U+2549F (U+2549F)	f0a5929f
𥒠	U+254A0 (U+254A0)	f0a592a0
𥒡	U+254A1 (U+254A1)	f0a592a1
𥒢	U+254A2 (U+254A2)	f0a592a2
𥒣	U+254A3 (U+254A3)	f0a592a3
𥒤	U+254A4 (U+254A4)	f0a592a4
𥒥	U+254A5 (U+254A5)	f0a592a5
𥒦	U+254A6 (U+254A6)	f0a592a6
𥒧	U+254A7 (U+254A7)	f0a592a7
𥒨	U+254A8 (U+254A8)	f0a592a8
𥒩	U+254A9 (U+254A9)	f0a592a9
𥒪	U+254AA (U+254AA)	f0a592aa
𥒫	U+254AB (U+254AB)	f0a592ab
𥒬	U+254AC (U+254AC)	f0a592ac
𥒭	U+254AD (U+254AD)	f0a592ad
𥒮	U+254AE (U+254AE)	f0a592ae
𥒯	U+254AF (U+254AF)	f0a592af
𥒰	U+254B0 (U+254B0)	f0a592b0
𥒱	U+254B1 (U+254B1)	f0a592b1
𥒲	U+254B2 (U+254B2)	f0a592b2
𥒳	U+254B3 (U+254B3)	f0a592b3
𥒴	U+254B4 (U+254B4)	f0a592b4
𥒵	U+254B5 (U+254B5)	f0a592b5
𥒶	U+254B6 (U+254B6)	f0a592b6
𥒷	U+254B7 (U+254B7)	f0a592b7
𥒸	U+254B8 (U+254B8)	f0a592b8
𥒹	U+254B9 (U+254B9)	f0a592b9
𥒺	U+254BA (U+254BA)	f0a592ba
𥒻	U+254BB (U+254BB)	f0a592bb
𥒼	U+254BC (U+254BC)	f0a592bc
𥒽	U+254BD (U+254BD)	f0a592bd
𥒾	U+254BE (U+254BE)	f0a592be
𥒿	U+254BF (U+254BF)	f0a592bf
𥓀	U+254C0 (U+254C0)	f0a59380
𥓁	U+254C1 (U+254C1)	f0a59381
𥓂	U+254C2 (U+254C2)	f0a59382
𥓃	U+254C3 (U+254C3)	f0a59383
𥓄	U+254C4 (U+254C4)	f0a59384
𥓅	U+254C5 (U+254C5)	f0a59385
𥓆	U+254C6 (U+254C6)	f0a59386
𥓇	U+254C7 (U+254C7)	f0a59387
𥓈	U+254C8 (U+254C8)	f0a59388
𥓉	U+254C9 (U+254C9)	f0a59389
𥓊	U+254CA (U+254CA)	f0a5938a
𥓋	U+254CB (U+254CB)	f0a5938b
𥓌	U+254CC (U+254CC)	f0a5938c
𥓍	U+254CD (U+254CD)	f0a5938d
𥓎	U+254CE (U+254CE)	f0a5938e
𥓏	U+254CF (U+254CF)	f0a5938f
𥓐	U+254D0 (U+254D0)	f0a59390
𥓑	U+254D1 (U+254D1)	f0a59391
𥓒	U+254D2 (U+254D2)	f0a59392
𥓓	U+254D3 (U+254D3)	f0a59393
𥓔	U+254D4 (U+254D4)	f0a59394
𥓕	U+254D5 (U+254D5)	f0a59395
𥓖	U+254D6 (U+254D6)	f0a59396
𥓗	U+254D7 (U+254D7)	f0a59397
𥓘	U+254D8 (U+254D8)	f0a59398
𥓙	U+254D9 (U+254D9)	f0a59399
𥓚	U+254DA (U+254DA)	f0a5939a
𥓛	U+254DB (U+254DB)	f0a5939b
