𢀇	U+22007 (U+22007)	f0a28087
𢀈	U+22008 (U+22008)	f0a28088
𢀉	U+22009 (U+22009)	f0a28089
𢀊	U+2200A (U+2200A)	f0a2808a
𢀋	U+2200B (U+2200B)	f0a2808b
𢀌	U+2200C (U+2200C)	f0a2808c
𢀍	U+2200D (U+2200D)	f0a2808d
𢀎	U+2200E (U+2200E)	f0a2808e
𢀏	U+2200F (U+2200F)	f0a2808f
𢀐	U+22010 (U+22010)	f0a28090
𢀑	ancient form of 巨 (U+22011)	f0a28091
𢀒	U+22012 (U+22012)	f0a28092
𢀓	U+22013 (U+22013)	f0a28093
𢀔	U+22014 (U+22014)	f0a28094
𢀕	U+22015 (U+22015)	f0a28095
𢀖	U+22016 (U+22016)	f0a28096
𢀗	U+22017 (U+22017)	f0a28097
𢀘	U+22018 (U+22018)	f0a28098
𢀙	U+22019 (U+22019)	f0a28099
𢀚	U+2201A (U+2201A)	f0a2809a
𢀛	U+2201B (U+2201B)	f0a2809b
𢀜	U+2201C (U+2201C)	f0a2809c
𢀝	U+2201D (U+2201D)	f0a2809d
𢀞	U+2201E (U+2201E)	f0a2809e
𢀟	U+2201F (U+2201F)	f0a2809f
𢀠	U+22020 (U+22020)	f0a280a0
𢀡	U+22021 (U+22021)	f0a280a1
𢀢	U+22022 (U+22022)	f0a280a2
𢀣	U+22023 (U+22023)	f0a280a3
𢀤	U+22024 (U+22024)	f0a280a4
𢀥	U+22025 (U+22025)	f0a280a5
𢀦	U+22026 (U+22026)	f0a280a6
𢀧	U+22027 (U+22027)	f0a280a7
𢀨	U+22028 (U+22028)	f0a280a8
𢀩	U+22029 (U+22029)	f0a280a9
𢀪	U+2202A (U+2202A)	f0a280aa
𢀫	U+2202B (U+2202B)	f0a280ab
𢀬	U+2202C (U+2202C)	f0a280ac
𢀭	U+2202D (U+2202D)	f0a280ad
𢀮	U+2202E (U+2202E)	f0a280ae
𢀯	U+2202F (U+2202F)	f0a280af
𢀰	U+22030 (U+22030)	f0a280b0
𢀱	U+22031 (U+22031)	f0a280b1
𢀲	U+22032 (U+22032)	f0a280b2
𢀳	U+22033 (U+22033)	f0a280b3
𢀴	U+22034 (U+22034)	f0a280b4
𢀵	U+22035 (U+22035)	f0a280b5
