𩁌	U+2904C (U+2904C)	f0a9818c
𩁍	U+2904D (U+2904D)	f0a9818d
𩁎	U+2904E (U+2904E)	f0a9818e
𩁏	U+2904F (U+2904F)	f0a9818f
𩁐	U+29050 (U+29050)	f0a98190
𩁑	U+29051 (U+29051)	f0a98191
𩁒	U+29052 (U+29052)	f0a98192
𩁓	U+29053 (U+29053)	f0a98193
𩁔	U+29054 (U+29054)	f0a98194
𩁕	U+29055 (U+29055)	f0a98195
𩁖	U+29056 (U+29056)	f0a98196
𩁗	U+29057 (U+29057)	f0a98197
𩁘	U+29058 (U+29058)	f0a98198
𩁙	U+29059 (U+29059)	f0a98199
𩁚	U+2905A (U+2905A)	f0a9819a
𩁛	U+2905B (U+2905B)	f0a9819b
𩁜	U+2905C (U+2905C)	f0a9819c
𩁝	U+2905D (U+2905D)	f0a9819d
𩁞	U+2905E (U+2905E)	f0a9819e
𩁟	U+2905F (U+2905F)	f0a9819f
𩁠	U+29060 (U+29060)	f0a981a0
𩁡	U+29061 (U+29061)	f0a981a1
𩁢	U+29062 (U+29062)	f0a981a2
𩁣	U+29063 (U+29063)	f0a981a3
𩁤	U+29064 (U+29064)	f0a981a4
𩁥	U+29065 (U+29065)	f0a981a5
𩁦	U+29066 (U+29066)	f0a981a6
𩁧	U+29067 (U+29067)	f0a981a7
𩁨	U+29068 (U+29068)	f0a981a8
𩁩	U+29069 (U+29069)	f0a981a9
𩁪	U+2906A (U+2906A)	f0a981aa
𩁫	U+2906B (U+2906B)	f0a981ab
𩁬	U+2906C (U+2906C)	f0a981ac
𩁭	U+2906D (U+2906D)	f0a981ad
𩁮	U+2906E (U+2906E)	f0a981ae
𩁯	U+2906F (U+2906F)	f0a981af
𩁰	U+29070 (U+29070)	f0a981b0
𩁱	U+29071 (U+29071)	f0a981b1
𩁲	U+29072 (U+29072)	f0a981b2
𩁳	U+29073 (U+29073)	f0a981b3
𩁴	U+29074 (U+29074)	f0a981b4
𩁵	U+29075 (U+29075)	f0a981b5
𩁶	U+29076 (U+29076)	f0a981b6
𩁷	U+29077 (U+29077)	f0a981b7
𩁸	U+29078 (U+29078)	f0a981b8
𩁹	U+29079 (U+29079)	f0a981b9
𩁺	U+2907A (U+2907A)	f0a981ba
𩁻	U+2907B (U+2907B)	f0a981bb
𩁼	U+2907C (U+2907C)	f0a981bc
𩁽	U+2907D (U+2907D)	f0a981bd
𩁾	U+2907E (U+2907E)	f0a981be
𩁿	U+2907F (U+2907F)	f0a981bf
𩂀	U+29080 (U+29080)	f0a98280
𩂁	U+29081 (U+29081)	f0a98281
𩂂	U+29082 (U+29082)	f0a98282
𩂃	U+29083 (U+29083)	f0a98283
𩂄	U+29084 (U+29084)	f0a98284
𩂅	U+29085 (U+29085)	f0a98285
𩂆	U+29086 (U+29086)	f0a98286
𩂇	U+29087 (U+29087)	f0a98287
𩂈	U+29088 (U+29088)	f0a98288
𩂉	U+29089 (U+29089)	f0a98289
𩂊	U+2908A (U+2908A)	f0a9828a
𩂋	U+2908B (U+2908B)	f0a9828b
𩂌	U+2908C (U+2908C)	f0a9828c
𩂍	U+2908D (U+2908D)	f0a9828d
𩂎	U+2908E (U+2908E)	f0a9828e
𩂏	U+2908F (U+2908F)	f0a9828f
𩂐	U+29090 (U+29090)	f0a98290
𩂑	U+29091 (U+29091)	f0a98291
𩂒	U+29092 (U+29092)	f0a98292
𩂓	U+29093 (U+29093)	f0a98293
𩂔	U+29094 (U+29094)	f0a98294
𩂕	U+29095 (U+29095)	f0a98295
𩂖	U+29096 (U+29096)	f0a98296
𩂗	U+29097 (U+29097)	f0a98297
𩂘	U+29098 (U+29098)	f0a98298
𩂙	U+29099 (U+29099)	f0a98299
𩂚	U+2909A (U+2909A)	f0a9829a
𩂛	U+2909B (U+2909B)	f0a9829b
𩂜	U+2909C (U+2909C)	f0a9829c
𩂝	U+2909D (U+2909D)	f0a9829d
𩂞	U+2909E (U+2909E)	f0a9829e
𩂟	U+2909F (U+2909F)	f0a9829f
𩂠	U+290A0 (U+290A0)	f0a982a0
𩂡	U+290A1 (U+290A1)	f0a982a1
𩂢	U+290A2 (U+290A2)	f0a982a2
𩂣	U+290A3 (U+290A3)	f0a982a3
𩂤	U+290A4 (U+290A4)	f0a982a4
𩂥	U+290A5 (U+290A5)	f0a982a5
𩂦	U+290A6 (U+290A6)	f0a982a6
𩂧	U+290A7 (U+290A7)	f0a982a7
𩂨	U+290A8 (U+290A8)	f0a982a8
𩂩	U+290A9 (U+290A9)	f0a982a9
𩂪	U+290AA (U+290AA)	f0a982aa
𩂫	U+290AB (U+290AB)	f0a982ab
𩂬	U+290AC (U+290AC)	f0a982ac
𩂭	U+290AD (U+290AD)	f0a982ad
𩂮	U+290AE (U+290AE)	f0a982ae
𩂯	U+290AF (U+290AF)	f0a982af
𩂰	U+290B0 (U+290B0)	f0a982b0
𩂱	U+290B1 (U+290B1)	f0a982b1
𩂲	U+290B2 (U+290B2)	f0a982b2
𩂳	non-standard variant of 靈 U+9748, a spirit, soul; the spiritual world (U+290B3)	f0a982b3
𩂴	U+290B4 (U+290B4)	f0a982b4
