𣑉	U+23449 (U+23449)	f0a39189
𣑊	U+2344A (U+2344A)	f0a3918a
𣑋	U+2344B (U+2344B)	f0a3918b
𣑌	U+2344C (U+2344C)	f0a3918c
𣑍	U+2344D (U+2344D)	f0a3918d
𣑎	U+2344E (U+2344E)	f0a3918e
𣑏	U+2344F (U+2344F)	f0a3918f
𣑐	U+23450 (U+23450)	f0a39190
𣑑	U+23451 (U+23451)	f0a39191
𣑒	U+23452 (U+23452)	f0a39192
𣑓	U+23453 (U+23453)	f0a39193
𣑔	U+23454 (U+23454)	f0a39194
𣑕	U+23455 (U+23455)	f0a39195
𣑖	U+23456 (U+23456)	f0a39196
𣑗	U+23457 (U+23457)	f0a39197
𣑘	U+23458 (U+23458)	f0a39198
𣑙	U+23459 (U+23459)	f0a39199
𣑚	U+2345A (U+2345A)	f0a3919a
𣑛	U+2345B (U+2345B)	f0a3919b
𣑜	U+2345C (U+2345C)	f0a3919c
𣑝	U+2345D (U+2345D)	f0a3919d
𣑞	U+2345E (U+2345E)	f0a3919e
𣑟	U+2345F (U+2345F)	f0a3919f
𣑠	U+23460 (U+23460)	f0a391a0
𣑡	U+23461 (U+23461)	f0a391a1
𣑢	U+23462 (U+23462)	f0a391a2
𣑣	U+23463 (U+23463)	f0a391a3
𣑤	U+23464 (U+23464)	f0a391a4
𣑥	U+23465 (U+23465)	f0a391a5
𣑦	U+23466 (U+23466)	f0a391a6
𣑧	U+23467 (U+23467)	f0a391a7
𣑨	U+23468 (U+23468)	f0a391a8
𣑩	U+23469 (U+23469)	f0a391a9
𣑪	U+2346A (U+2346A)	f0a391aa
𣑫	U+2346B (U+2346B)	f0a391ab
𣑬	U+2346C (U+2346C)	f0a391ac
𣑭	U+2346D (U+2346D)	f0a391ad
𣑮	U+2346E (U+2346E)	f0a391ae
𣑯	U+2346F (U+2346F)	f0a391af
𣑰	U+23470 (U+23470)	f0a391b0
𣑱	U+23471 (U+23471)	f0a391b1
𣑲	U+23472 (U+23472)	f0a391b2
𣑳	U+23473 (U+23473)	f0a391b3
𣑴	U+23474 (U+23474)	f0a391b4
𣑵	U+23475 (U+23475)	f0a391b5
𣑶	U+23476 (U+23476)	f0a391b6
𣑷	U+23477 (U+23477)	f0a391b7
𣑸	U+23478 (U+23478)	f0a391b8
𣑹	U+23479 (U+23479)	f0a391b9
𣑺	U+2347A (U+2347A)	f0a391ba
𣑻	U+2347B (U+2347B)	f0a391bb
𣑼	U+2347C (U+2347C)	f0a391bc
𣑽	U+2347D (U+2347D)	f0a391bd
𣑾	U+2347E (U+2347E)	f0a391be
𣑿	U+2347F (U+2347F)	f0a391bf
𣒀	U+23480 (U+23480)	f0a39280
𣒁	U+23481 (U+23481)	f0a39281
𣒂	U+23482 (U+23482)	f0a39282
𣒃	U+23483 (U+23483)	f0a39283
𣒄	U+23484 (U+23484)	f0a39284
𣒅	U+23485 (U+23485)	f0a39285
𣒆	U+23486 (U+23486)	f0a39286
𣒇	U+23487 (U+23487)	f0a39287
𣒈	U+23488 (U+23488)	f0a39288
𣒉	U+23489 (U+23489)	f0a39289
𣒊	U+2348A (U+2348A)	f0a3928a
𣒋	U+2348B (U+2348B)	f0a3928b
