琏	vessel used to hold grain offerings (U+740F)	e7908f
琐	trifling, petty; troublesome (U+7410)	e79090
琑	U+7411 (U+7411)	e79091
琒	U+7412 (U+7412)	e79092
琓	U+7413 (U+7413)	e79093
琔	U+7414 (U+7414)	e79094
琕	type of pearl; scabbard (U+7415)	e79095
琖	carved jade wine cup (U+7416)	e79096
琗	U+7417 (U+7417)	e79097
琘	U+7418 (U+7418)	e79098
琙	U+7419 (U+7419)	e79099
琚	girdle ornaments (U+741A)	e7909a
琛	treasure, valuables (U+741B)	e7909b
琜	U+741C (U+741C)	e7909c
琝	U+741D (U+741D)	e7909d
琞	U+741E (U+741E)	e7909e
琟	U+741F (U+741F)	e7909f
琠	a gem used as ear plug; a jade earring (U+7420)	e790a0
琡	U+7421 (U+7421)	e790a1
琢	polish jade; cut jade (U+7422)	e790a2
琣	U+7423 (U+7423)	e790a3
琤	jade of jade being; tinkle (U+7424)	e790a4
琥	jewel in shape of tiger; amber (U+7425)	e790a5
琦	gem, precious stone, jade (U+7426)	e790a6
琧	U+7427 (U+7427)	e790a7
琨	beautiful jade, precious stones (U+7428)	e790a8
琩	U+7429 (U+7429)	e790a9
琪	type of jade (U+742A)	e790aa
琫	ornament (U+742B)	e790ab
琬	the virtue of a gentleman; jade (U+742C)	e790ac
琭	jade like stone (U+742D)	e790ad
琮	octagonal piece of jade with hole in middle (U+742E)	e790ae
琯	a jade tube used as an instrument (U+742F)	e790af
琰	jewel, gem; glitter of gems (U+7430)	e790b0
琱	engrave, inlay, carve; exhaust (U+7431)	e790b1
琲	necklace (U+7432)	e790b2
琳	beautiful jade, gem (U+7433)	e790b3
琴	Chinese lute or guitar (U+7434)	e790b4
琵	guitar-like instrument (U+7435)	e790b5
琶	guitar-like instrument (U+7436)	e790b6
琷	U+7437 (U+7437)	e790b7
琸	U+7438 (U+7438)	e790b8
琹	U+7439 (U+7439)	e790b9
琺	enamel, cloissoné (U+743A)	e790ba
琻	U+743B (U+743B)	e790bb
