Ꭼ	CHEROKEE LETTER GV (U+13AC)	e18eac
Ꭽ	CHEROKEE LETTER HA (U+13AD)	e18ead
Ꭾ	CHEROKEE LETTER HE (U+13AE)	e18eae
Ꭿ	CHEROKEE LETTER HI (U+13AF)	e18eaf
Ꮀ	CHEROKEE LETTER HO (U+13B0)	e18eb0
Ꮁ	CHEROKEE LETTER HU (U+13B1)	e18eb1
Ꮂ	CHEROKEE LETTER HV (U+13B2)	e18eb2
Ꮃ	CHEROKEE LETTER LA (U+13B3)	e18eb3
Ꮄ	CHEROKEE LETTER LE (U+13B4)	e18eb4
Ꮅ	CHEROKEE LETTER LI (U+13B5)	e18eb5
Ꮆ	CHEROKEE LETTER LO (U+13B6)	e18eb6
Ꮇ	CHEROKEE LETTER LU (U+13B7)	e18eb7
Ꮈ	CHEROKEE LETTER LV (U+13B8)	e18eb8
Ꮉ	CHEROKEE LETTER MA (U+13B9)	e18eb9
Ꮊ	CHEROKEE LETTER ME (U+13BA)	e18eba
Ꮋ	CHEROKEE LETTER MI (U+13BB)	e18ebb
Ꮌ	CHEROKEE LETTER MO (U+13BC)	e18ebc
Ꮍ	CHEROKEE LETTER MU (U+13BD)	e18ebd
Ꮎ	CHEROKEE LETTER NA (U+13BE)	e18ebe
Ꮏ	CHEROKEE LETTER HNA (U+13BF)	e18ebf
Ꮐ	CHEROKEE LETTER NAH (U+13C0)	e18f80
Ꮑ	CHEROKEE LETTER NE (U+13C1)	e18f81
Ꮒ	CHEROKEE LETTER NI (U+13C2)	e18f82
Ꮓ	CHEROKEE LETTER NO (U+13C3)	e18f83
Ꮔ	CHEROKEE LETTER NU (U+13C4)	e18f84
Ꮕ	CHEROKEE LETTER NV (U+13C5)	e18f85
Ꮖ	CHEROKEE LETTER QUA (U+13C6)	e18f86
Ꮗ	CHEROKEE LETTER QUE (U+13C7)	e18f87
Ꮘ	CHEROKEE LETTER QUI (U+13C8)	e18f88
Ꮙ	CHEROKEE LETTER QUO (U+13C9)	e18f89
Ꮚ	CHEROKEE LETTER QUU (U+13CA)	e18f8a
Ꮛ	CHEROKEE LETTER QUV (U+13CB)	e18f8b
Ꮜ	CHEROKEE LETTER SA (U+13CC)	e18f8c
Ꮝ	CHEROKEE LETTER S (U+13CD)	e18f8d
Ꮞ	CHEROKEE LETTER SE (U+13CE)	e18f8e
Ꮟ	CHEROKEE LETTER SI (U+13CF)	e18f8f
Ꮠ	CHEROKEE LETTER SO (U+13D0)	e18f90
Ꮡ	CHEROKEE LETTER SU (U+13D1)	e18f91
Ꮢ	CHEROKEE LETTER SV (U+13D2)	e18f92
Ꮣ	CHEROKEE LETTER DA (U+13D3)	e18f93
Ꮤ	CHEROKEE LETTER TA (U+13D4)	e18f94
Ꮥ	CHEROKEE LETTER DE (U+13D5)	e18f95
Ꮦ	CHEROKEE LETTER TE (U+13D6)	e18f96
Ꮧ	CHEROKEE LETTER DI (U+13D7)	e18f97
Ꮨ	CHEROKEE LETTER TI (U+13D8)	e18f98
Ꮩ	CHEROKEE LETTER DO (U+13D9)	e18f99
Ꮪ	CHEROKEE LETTER DU (U+13DA)	e18f9a
Ꮫ	CHEROKEE LETTER DV (U+13DB)	e18f9b
Ꮬ	CHEROKEE LETTER DLA (U+13DC)	e18f9c
Ꮭ	CHEROKEE LETTER TLA (U+13DD)	e18f9d
Ꮮ	CHEROKEE LETTER TLE (U+13DE)	e18f9e
Ꮯ	CHEROKEE LETTER TLI (U+13DF)	e18f9f
Ꮰ	CHEROKEE LETTER TLO (U+13E0)	e18fa0
Ꮱ	CHEROKEE LETTER TLU (U+13E1)	e18fa1
Ꮲ	CHEROKEE LETTER TLV (U+13E2)	e18fa2
Ꮳ	CHEROKEE LETTER TSA (U+13E3)	e18fa3
Ꮴ	CHEROKEE LETTER TSE (U+13E4)	e18fa4
Ꮵ	CHEROKEE LETTER TSI (U+13E5)	e18fa5
Ꮶ	CHEROKEE LETTER TSO (U+13E6)	e18fa6
Ꮷ	CHEROKEE LETTER TSU (U+13E7)	e18fa7
Ꮸ	CHEROKEE LETTER TSV (U+13E8)	e18fa8
Ꮹ	CHEROKEE LETTER WA (U+13E9)	e18fa9
Ꮺ	CHEROKEE LETTER WE (U+13EA)	e18faa
Ꮻ	CHEROKEE LETTER WI (U+13EB)	e18fab
Ꮼ	CHEROKEE LETTER WO (U+13EC)	e18fac
Ꮽ	CHEROKEE LETTER WU (U+13ED)	e18fad
Ꮾ	CHEROKEE LETTER WV (U+13EE)	e18fae
Ꮿ	CHEROKEE LETTER YA (U+13EF)	e18faf
Ᏸ	CHEROKEE LETTER YE (U+13F0)	e18fb0
Ᏹ	CHEROKEE LETTER YI (U+13F1)	e18fb1
Ᏺ	CHEROKEE LETTER YO (U+13F2)	e18fb2
Ᏻ	CHEROKEE LETTER YU (U+13F3)	e18fb3
Ᏼ	CHEROKEE LETTER YV (U+13F4)	e18fb4
᐀	CANADIAN SYLLABICS HYPHEN (U+1400)	e19080
ᐁ	CANADIAN SYLLABICS E (U+1401)	e19081
ᐂ	CANADIAN SYLLABICS AAI (U+1402)	e19082
ᐃ	CANADIAN SYLLABICS I (U+1403)	e19083
ᐄ	CANADIAN SYLLABICS II (U+1404)	e19084
ᐅ	CANADIAN SYLLABICS O (U+1405)	e19085
ᐆ	CANADIAN SYLLABICS OO (U+1406)	e19086
ᐇ	CANADIAN SYLLABICS Y-CREE OO (U+1407)	e19087
ᐈ	CANADIAN SYLLABICS CARRIER EE (U+1408)	e19088
ᐉ	CANADIAN SYLLABICS CARRIER I (U+1409)	e19089
ᐊ	CANADIAN SYLLABICS A (U+140A)	e1908a
ᐋ	CANADIAN SYLLABICS AA (U+140B)	e1908b
ᐌ	CANADIAN SYLLABICS WE (U+140C)	e1908c
ᐍ	CANADIAN SYLLABICS WEST-CREE WE (U+140D)	e1908d
ᐎ	CANADIAN SYLLABICS WI (U+140E)	e1908e
ᐏ	CANADIAN SYLLABICS WEST-CREE WI (U+140F)	e1908f
ᐐ	CANADIAN SYLLABICS WII (U+1410)	e19090
ᐑ	CANADIAN SYLLABICS WEST-CREE WII (U+1411)	e19091
ᐒ	CANADIAN SYLLABICS WO (U+1412)	e19092
ᐓ	CANADIAN SYLLABICS WEST-CREE WO (U+1413)	e19093
ᐔ	CANADIAN SYLLABICS WOO (U+1414)	e19094
ᐕ	CANADIAN SYLLABICS WEST-CREE WOO (U+1415)	e19095
ᐖ	CANADIAN SYLLABICS NASKAPI WOO (U+1416)	e19096
