𨑴	U+28474 (U+28474)	f0a891b4
𨑵	U+28475 (U+28475)	f0a891b5
𨑶	U+28476 (U+28476)	f0a891b6
𨑷	U+28477 (U+28477)	f0a891b7
𨑸	U+28478 (U+28478)	f0a891b8
𨑹	U+28479 (U+28479)	f0a891b9
𨑺	U+2847A (U+2847A)	f0a891ba
𨑻	U+2847B (U+2847B)	f0a891bb
𨑼	U+2847C (U+2847C)	f0a891bc
𨑽	U+2847D (U+2847D)	f0a891bd
𨑾	U+2847E (U+2847E)	f0a891be
𨑿	U+2847F (U+2847F)	f0a891bf
𨒀	U+28480 (U+28480)	f0a89280
𨒁	U+28481 (U+28481)	f0a89281
𨒂	U+28482 (U+28482)	f0a89282
𨒃	U+28483 (U+28483)	f0a89283
𨒄	U+28484 (U+28484)	f0a89284
𨒅	U+28485 (U+28485)	f0a89285
𨒆	U+28486 (U+28486)	f0a89286
𨒇	U+28487 (U+28487)	f0a89287
𨒈	U+28488 (U+28488)	f0a89288
𨒉	U+28489 (U+28489)	f0a89289
𨒊	U+2848A (U+2848A)	f0a8928a
𨒋	U+2848B (U+2848B)	f0a8928b
𨒌	U+2848C (U+2848C)	f0a8928c
𨒍	U+2848D (U+2848D)	f0a8928d
𨒎	U+2848E (U+2848E)	f0a8928e
𨒏	U+2848F (U+2848F)	f0a8928f
𨒐	U+28490 (U+28490)	f0a89290
𨒑	U+28491 (U+28491)	f0a89291
𨒒	U+28492 (U+28492)	f0a89292
𨒓	U+28493 (U+28493)	f0a89293
𨒔	U+28494 (U+28494)	f0a89294
𨒕	U+28495 (U+28495)	f0a89295
𨒖	U+28496 (U+28496)	f0a89296
𨒗	U+28497 (U+28497)	f0a89297
𨒘	U+28498 (U+28498)	f0a89298
𨒙	U+28499 (U+28499)	f0a89299
𨒚	U+2849A (U+2849A)	f0a8929a
𨒛	U+2849B (U+2849B)	f0a8929b
𨒜	U+2849C (U+2849C)	f0a8929c
𨒝	U+2849D (U+2849D)	f0a8929d
𨒞	U+2849E (U+2849E)	f0a8929e
𨒟	U+2849F (U+2849F)	f0a8929f
𨒠	U+284A0 (U+284A0)	f0a892a0
𨒡	U+284A1 (U+284A1)	f0a892a1
𨒢	U+284A2 (U+284A2)	f0a892a2
𨒣	U+284A3 (U+284A3)	f0a892a3
𨒤	U+284A4 (U+284A4)	f0a892a4
𨒥	U+284A5 (U+284A5)	f0a892a5
𨒦	U+284A6 (U+284A6)	f0a892a6
𨒧	U+284A7 (U+284A7)	f0a892a7
𨒨	U+284A8 (U+284A8)	f0a892a8
𨒩	U+284A9 (U+284A9)	f0a892a9
𨒪	U+284AA (U+284AA)	f0a892aa
𨒫	U+284AB (U+284AB)	f0a892ab
𨒬	U+284AC (U+284AC)	f0a892ac
𨒭	U+284AD (U+284AD)	f0a892ad
𨒮	U+284AE (U+284AE)	f0a892ae
𨒯	U+284AF (U+284AF)	f0a892af
𨒰	U+284B0 (U+284B0)	f0a892b0
𨒱	U+284B1 (U+284B1)	f0a892b1
𨒲	U+284B2 (U+284B2)	f0a892b2
𨒳	U+284B3 (U+284B3)	f0a892b3
𨒴	U+284B4 (U+284B4)	f0a892b4
𨒵	U+284B5 (U+284B5)	f0a892b5
𨒶	U+284B6 (U+284B6)	f0a892b6
𨒷	U+284B7 (U+284B7)	f0a892b7
𨒸	U+284B8 (U+284B8)	f0a892b8
𨒹	U+284B9 (U+284B9)	f0a892b9
𨒺	U+284BA (U+284BA)	f0a892ba
𨒻	U+284BB (U+284BB)	f0a892bb
𨒼	U+284BC (U+284BC)	f0a892bc
𨒽	U+284BD (U+284BD)	f0a892bd
𨒾	U+284BE (U+284BE)	f0a892be
𨒿	U+284BF (U+284BF)	f0a892bf
𨓀	U+284C0 (U+284C0)	f0a89380
𨓁	U+284C1 (U+284C1)	f0a89381
𨓂	U+284C2 (U+284C2)	f0a89382
𨓃	U+284C3 (U+284C3)	f0a89383
𨓄	U+284C4 (U+284C4)	f0a89384
𨓅	U+284C5 (U+284C5)	f0a89385
𨓆	U+284C6 (U+284C6)	f0a89386
𨓇	U+284C7 (U+284C7)	f0a89387
𨓈	U+284C8 (U+284C8)	f0a89388
𨓉	U+284C9 (U+284C9)	f0a89389
𨓊	U+284CA (U+284CA)	f0a8938a
𨓋	U+284CB (U+284CB)	f0a8938b
𨓌	U+284CC (U+284CC)	f0a8938c
𨓍	U+284CD (U+284CD)	f0a8938d
𨓎	U+284CE (U+284CE)	f0a8938e
𨓏	U+284CF (U+284CF)	f0a8938f
