𤡀	U+24840 (U+24840)	f0a4a180
𤡁	U+24841 (U+24841)	f0a4a181
𤡂	U+24842 (U+24842)	f0a4a182
𤡃	U+24843 (U+24843)	f0a4a183
𤡄	U+24844 (U+24844)	f0a4a184
𤡅	U+24845 (U+24845)	f0a4a185
𤡆	U+24846 (U+24846)	f0a4a186
𤡇	U+24847 (U+24847)	f0a4a187
𤡈	U+24848 (U+24848)	f0a4a188
𤡉	U+24849 (U+24849)	f0a4a189
𤡊	U+2484A (U+2484A)	f0a4a18a
𤡋	U+2484B (U+2484B)	f0a4a18b
𤡌	U+2484C (U+2484C)	f0a4a18c
𤡍	U+2484D (U+2484D)	f0a4a18d
𤡎	U+2484E (U+2484E)	f0a4a18e
𤡏	U+2484F (U+2484F)	f0a4a18f
𤡐	U+24850 (U+24850)	f0a4a190
𤡑	U+24851 (U+24851)	f0a4a191
𤡒	U+24852 (U+24852)	f0a4a192
𤡓	U+24853 (U+24853)	f0a4a193
𤡔	U+24854 (U+24854)	f0a4a194
𤡕	U+24855 (U+24855)	f0a4a195
𤡖	U+24856 (U+24856)	f0a4a196
𤡗	U+24857 (U+24857)	f0a4a197
𤡘	U+24858 (U+24858)	f0a4a198
𤡙	U+24859 (U+24859)	f0a4a199
𤡚	U+2485A (U+2485A)	f0a4a19a
𤡛	U+2485B (U+2485B)	f0a4a19b
𤡜	U+2485C (U+2485C)	f0a4a19c
𤡝	U+2485D (U+2485D)	f0a4a19d
𤡞	U+2485E (U+2485E)	f0a4a19e
𤡟	U+2485F (U+2485F)	f0a4a19f
𤡠	U+24860 (U+24860)	f0a4a1a0
𤡡	U+24861 (U+24861)	f0a4a1a1
𤡢	U+24862 (U+24862)	f0a4a1a2
𤡣	U+24863 (U+24863)	f0a4a1a3
𤡤	U+24864 (U+24864)	f0a4a1a4
𤡥	U+24865 (U+24865)	f0a4a1a5
𤡦	U+24866 (U+24866)	f0a4a1a6
𤡧	U+24867 (U+24867)	f0a4a1a7
𤡨	U+24868 (U+24868)	f0a4a1a8
𤡩	U+24869 (U+24869)	f0a4a1a9
𤡪	U+2486A (U+2486A)	f0a4a1aa
𤡫	U+2486B (U+2486B)	f0a4a1ab
𤡬	U+2486C (U+2486C)	f0a4a1ac
𤡭	U+2486D (U+2486D)	f0a4a1ad
𤡮	a kind of monkey (U+2486E)	f0a4a1ae
𤡯	U+2486F (U+2486F)	f0a4a1af
𤡰	U+24870 (U+24870)	f0a4a1b0
𤡱	U+24871 (U+24871)	f0a4a1b1
𤡲	U+24872 (U+24872)	f0a4a1b2
𤡳	U+24873 (U+24873)	f0a4a1b3
𤡴	U+24874 (U+24874)	f0a4a1b4
𤡵	U+24875 (U+24875)	f0a4a1b5
𤡶	U+24876 (U+24876)	f0a4a1b6
𤡷	U+24877 (U+24877)	f0a4a1b7
𤡸	U+24878 (U+24878)	f0a4a1b8
𤡹	U+24879 (U+24879)	f0a4a1b9
𤡺	U+2487A (U+2487A)	f0a4a1ba
𤡻	U+2487B (U+2487B)	f0a4a1bb
𤡼	U+2487C (U+2487C)	f0a4a1bc
𤡽	U+2487D (U+2487D)	f0a4a1bd
𤡾	U+2487E (U+2487E)	f0a4a1be
𤡿	U+2487F (U+2487F)	f0a4a1bf
𤢀	U+24880 (U+24880)	f0a4a280
𤢁	U+24881 (U+24881)	f0a4a281
𤢂	U+24882 (U+24882)	f0a4a282
𤢃	U+24883 (U+24883)	f0a4a283
𤢄	U+24884 (U+24884)	f0a4a284
𤢅	U+24885 (U+24885)	f0a4a285
𤢆	U+24886 (U+24886)	f0a4a286
𤢇	U+24887 (U+24887)	f0a4a287
𤢈	U+24888 (U+24888)	f0a4a288
𤢉	U+24889 (U+24889)	f0a4a289
𤢊	U+2488A (U+2488A)	f0a4a28a
𤢋	U+2488B (U+2488B)	f0a4a28b
𤢌	U+2488C (U+2488C)	f0a4a28c
𤢍	U+2488D (U+2488D)	f0a4a28d
𤢎	U+2488E (U+2488E)	f0a4a28e
𤢏	U+2488F (U+2488F)	f0a4a28f
𤢐	U+24890 (U+24890)	f0a4a290
𤢑	U+24891 (U+24891)	f0a4a291
𤢒	U+24892 (U+24892)	f0a4a292
𤢓	U+24893 (U+24893)	f0a4a293
𤢔	U+24894 (U+24894)	f0a4a294
𤢕	to ruin; to tire of; to explain (U+24895)	f0a4a295
𤢖	U+24896 (U+24896)	f0a4a296
𤢗	U+24897 (U+24897)	f0a4a297
𤢘	U+24898 (U+24898)	f0a4a298
𤢙	U+24899 (U+24899)	f0a4a299
𤢚	U+2489A (U+2489A)	f0a4a29a
𤢛	U+2489B (U+2489B)	f0a4a29b
𤢜	U+2489C (U+2489C)	f0a4a29c
𤢝	U+2489D (U+2489D)	f0a4a29d
𤢞	U+2489E (U+2489E)	f0a4a29e
𤢟	U+2489F (U+2489F)	f0a4a29f
𤢠	U+248A0 (U+248A0)	f0a4a2a0
𤢡	U+248A1 (U+248A1)	f0a4a2a1
𤢢	U+248A2 (U+248A2)	f0a4a2a2
𤢣	U+248A3 (U+248A3)	f0a4a2a3
𤢤	U+248A4 (U+248A4)	f0a4a2a4
𤢥	U+248A5 (U+248A5)	f0a4a2a5
𤢦	U+248A6 (U+248A6)	f0a4a2a6
𤢧	U+248A7 (U+248A7)	f0a4a2a7
𤢨	U+248A8 (U+248A8)	f0a4a2a8
𤢩	U+248A9 (U+248A9)	f0a4a2a9
𤢪	to hunt (U+248AA)	f0a4a2aa
𤢫	U+248AB (U+248AB)	f0a4a2ab
𤢬	U+248AC (U+248AC)	f0a4a2ac
𤢭	U+248AD (U+248AD)	f0a4a2ad
𤢮	U+248AE (U+248AE)	f0a4a2ae
𤢯	U+248AF (U+248AF)	f0a4a2af
𤢰	U+248B0 (U+248B0)	f0a4a2b0
𤢱	U+248B1 (U+248B1)	f0a4a2b1
𤢲	U+248B2 (U+248B2)	f0a4a2b2
𤢳	U+248B3 (U+248B3)	f0a4a2b3
𤢴	U+248B4 (U+248B4)	f0a4a2b4
𤢵	U+248B5 (U+248B5)	f0a4a2b5
𤢶	U+248B6 (U+248B6)	f0a4a2b6
𤢷	U+248B7 (U+248B7)	f0a4a2b7
𤢸	U+248B8 (U+248B8)	f0a4a2b8
𤢹	U+248B9 (U+248B9)	f0a4a2b9
𤢺	U+248BA (U+248BA)	f0a4a2ba
𤢻	U+248BB (U+248BB)	f0a4a2bb
𤢼	U+248BC (U+248BC)	f0a4a2bc
𤢽	U+248BD (U+248BD)	f0a4a2bd
𤢾	U+248BE (U+248BE)	f0a4a2be
𤢿	U+248BF (U+248BF)	f0a4a2bf
𤣀	U+248C0 (U+248C0)	f0a4a380
𤣁	U+248C1 (U+248C1)	f0a4a381
𤣂	U+248C2 (U+248C2)	f0a4a382
𤣃	U+248C3 (U+248C3)	f0a4a383
𤣄	U+248C4 (U+248C4)	f0a4a384
𤣅	U+248C5 (U+248C5)	f0a4a385
𤣆	U+248C6 (U+248C6)	f0a4a386
𤣇	U+248C7 (U+248C7)	f0a4a387
𤣈	U+248C8 (U+248C8)	f0a4a388
𤣉	U+248C9 (U+248C9)	f0a4a389
𤣊	U+248CA (U+248CA)	f0a4a38a
𤣋	U+248CB (U+248CB)	f0a4a38b
𤣌	U+248CC (U+248CC)	f0a4a38c
𤣍	U+248CD (U+248CD)	f0a4a38d
𤣎	U+248CE (U+248CE)	f0a4a38e
𤣏	U+248CF (U+248CF)	f0a4a38f
𤣐	U+248D0 (U+248D0)	f0a4a390
𤣑	U+248D1 (U+248D1)	f0a4a391
𤣒	U+248D2 (U+248D2)	f0a4a392
𤣓	U+248D3 (U+248D3)	f0a4a393
𤣔	U+248D4 (U+248D4)	f0a4a394
𤣕	U+248D5 (U+248D5)	f0a4a395
𤣖	U+248D6 (U+248D6)	f0a4a396
𤣗	U+248D7 (U+248D7)	f0a4a397
𤣘	U+248D8 (U+248D8)	f0a4a398
𤣙	U+248D9 (U+248D9)	f0a4a399
𤣚	U+248DA (U+248DA)	f0a4a39a
𤣛	U+248DB (U+248DB)	f0a4a39b
𤣜	U+248DC (U+248DC)	f0a4a39c
𤣝	U+248DD (U+248DD)	f0a4a39d
𤣞	U+248DE (U+248DE)	f0a4a39e
𤣟	U+248DF (U+248DF)	f0a4a39f
𤣠	U+248E0 (U+248E0)	f0a4a3a0
𤣡	U+248E1 (U+248E1)	f0a4a3a1
𤣢	U+248E2 (U+248E2)	f0a4a3a2
𤣣	U+248E3 (U+248E3)	f0a4a3a3
𤣤	U+248E4 (U+248E4)	f0a4a3a4
𤣥	U+248E5 (U+248E5)	f0a4a3a5
𤣦	U+248E6 (U+248E6)	f0a4a3a6
𤣧	U+248E7 (U+248E7)	f0a4a3a7
𤣨	U+248E8 (U+248E8)	f0a4a3a8
𤣩	U+248E9 (U+248E9)	f0a4a3a9
𤣪	U+248EA (U+248EA)	f0a4a3aa
𤣫	U+248EB (U+248EB)	f0a4a3ab
𤣬	U+248EC (U+248EC)	f0a4a3ac
𤣭	U+248ED (U+248ED)	f0a4a3ad
𤣮	U+248EE (U+248EE)	f0a4a3ae
𤣯	U+248EF (U+248EF)	f0a4a3af
𤣰	U+248F0 (U+248F0)	f0a4a3b0
𤣱	U+248F1 (U+248F1)	f0a4a3b1
𤣲	U+248F2 (U+248F2)	f0a4a3b2
𤣳	U+248F3 (U+248F3)	f0a4a3b3
𤣴	U+248F4 (U+248F4)	f0a4a3b4
𤣵	U+248F5 (U+248F5)	f0a4a3b5
𤣶	U+248F6 (U+248F6)	f0a4a3b6
𤣷	U+248F7 (U+248F7)	f0a4a3b7
𤣸	U+248F8 (U+248F8)	f0a4a3b8
𤣹	U+248F9 (U+248F9)	f0a4a3b9
𤣺	U+248FA (U+248FA)	f0a4a3ba
𤣻	U+248FB (U+248FB)	f0a4a3bb
𤣼	U+248FC (U+248FC)	f0a4a3bc
𤣽	U+248FD (U+248FD)	f0a4a3bd
𤣾	U+248FE (U+248FE)	f0a4a3be
𤣿	U+248FF (U+248FF)	f0a4a3bf
𤤀	U+24900 (U+24900)	f0a4a480
𤤁	U+24901 (U+24901)	f0a4a481
𤤂	U+24902 (U+24902)	f0a4a482
𤤃	U+24903 (U+24903)	f0a4a483
𤤄	U+24904 (U+24904)	f0a4a484
𤤅	U+24905 (U+24905)	f0a4a485
𤤆	U+24906 (U+24906)	f0a4a486
𤤇	U+24907 (U+24907)	f0a4a487
𤤈	U+24908 (U+24908)	f0a4a488
𤤉	U+24909 (U+24909)	f0a4a489
