髕	kneecap (U+9AD5)	e9ab95
鮗	U+9B97 (U+9B97)	e9ae97
鮘	U+9B98 (U+9B98)	e9ae98
鮙	U+9B99 (U+9B99)	e9ae99
鮚	clam; oyster (U+9B9A)	e9ae9a
鮛	U+9B9B (U+9B9B)	e9ae9b
鮜	U+9B9C (U+9B9C)	e9ae9c
鮝	dried fish (U+9B9D)	e9ae9d
鮞	roe (U+9B9E)	e9ae9e
鮟	anglerfish (U+9B9F)	e9ae9f
鮠	a kind of shad with a head like a sturgeon (U+9BA0)	e9aea0
鮡	U+9BA1 (U+9BA1)	e9aea1
鮢	U+9BA2 (U+9BA2)	e9aea2
鮣	U+9BA3 (U+9BA3)	e9aea3
鮤	U+9BA4 (U+9BA4)	e9aea4
鮥	U+9BA5 (U+9BA5)	e9aea5
鮦	snakefish (U+9BA6)	e9aea6
鮧	the sheat fish (U+9BA7)	e9aea7
鮨	seasoned rice mixed with fish or vegetables (U+9BA8)	e9aea8
鮩	U+9BA9 (U+9BA9)	e9aea9
鮪	kind of sturgeon, tuna (U+9BAA)	e9aeaa
鮫	shark (U+9BAB)	e9aeab
鮬	U+9BAC (U+9BAC)	e9aeac
鮭	salmon; spheroides vermicularis (U+9BAD)	e9aead
鮮	fresh, new, delicious; rare, few (U+9BAE)	e9aeae
鮯	U+9BAF (U+9BAF)	e9aeaf
鮰	a small sturgeon found in the Yangzi; catfish (U+9BB0)	e9aeb0
鮱	U+9BB1 (U+9BB1)	e9aeb1
鮲	U+9BB2 (U+9BB2)	e9aeb2
鮳	U+9BB3 (U+9BB3)	e9aeb3
鮴	U+9BB4 (U+9BB4)	e9aeb4
鮵	U+9BB5 (U+9BB5)	e9aeb5
鮶	U+9BB6 (U+9BB6)	e9aeb6
鮷	U+9BB7 (U+9BB7)	e9aeb7
鮸	Sciaena albiflora; otolithoidesmiiuy (U+9BB8)	e9aeb8
鮹	an octopus, devilfish (U+9BB9)	e9aeb9
鮺	U+9BBA (U+9BBA)	e9aeba
鮻	dace; Canton dace (U+9BBB)	e9aebb
鮼	U+9BBC (U+9BBC)	e9aebc
鮽	U+9BBD (U+9BBD)	e9aebd
鮾	U+9BBE (U+9BBE)	e9aebe
鮿	dried fish (U+9BBF)	e9aebf
鯀	giant fish; father of the emperor Yu (U+9BC0)	e9af80
鯁	fish bones; honest, upright (U+9BC1)	e9af81
鯂	U+9BC2 (U+9BC2)	e9af82
