𣱺	U+23C7A (U+23C7A)	f0a3b1ba
𣱻	U+23C7B (U+23C7B)	f0a3b1bb
𣱼	U+23C7C (U+23C7C)	f0a3b1bc
𣱽	U+23C7D (U+23C7D)	f0a3b1bd
𣱾	U+23C7E (U+23C7E)	f0a3b1be
𣱿	U+23C7F (U+23C7F)	f0a3b1bf
𣲀	U+23C80 (U+23C80)	f0a3b280
𣲁	U+23C81 (U+23C81)	f0a3b281
𣲂	U+23C82 (U+23C82)	f0a3b282
𣲃	U+23C83 (U+23C83)	f0a3b283
𣲄	U+23C84 (U+23C84)	f0a3b284
𣲅	U+23C85 (U+23C85)	f0a3b285
𣲆	U+23C86 (U+23C86)	f0a3b286
𣲇	U+23C87 (U+23C87)	f0a3b287
𣲈	U+23C88 (U+23C88)	f0a3b288
𣲉	U+23C89 (U+23C89)	f0a3b289
𣲊	U+23C8A (U+23C8A)	f0a3b28a
𣲋	U+23C8B (U+23C8B)	f0a3b28b
𣲌	U+23C8C (U+23C8C)	f0a3b28c
𣲍	U+23C8D (U+23C8D)	f0a3b28d
𣲎	U+23C8E (U+23C8E)	f0a3b28e
𣲏	U+23C8F (U+23C8F)	f0a3b28f
𣲐	U+23C90 (U+23C90)	f0a3b290
𣲑	U+23C91 (U+23C91)	f0a3b291
𣲒	U+23C92 (U+23C92)	f0a3b292
𣲓	U+23C93 (U+23C93)	f0a3b293
𣲔	U+23C94 (U+23C94)	f0a3b294
𣲕	U+23C95 (U+23C95)	f0a3b295
𣲖	U+23C96 (U+23C96)	f0a3b296
𣲗	U+23C97 (U+23C97)	f0a3b297
𣲘	U+23C98 (U+23C98)	f0a3b298
𣲙	U+23C99 (U+23C99)	f0a3b299
𣲚	U+23C9A (U+23C9A)	f0a3b29a
𣲛	U+23C9B (U+23C9B)	f0a3b29b
𣲜	U+23C9C (U+23C9C)	f0a3b29c
𣲝	U+23C9D (U+23C9D)	f0a3b29d
𣲞	U+23C9E (U+23C9E)	f0a3b29e
𣲟	U+23C9F (U+23C9F)	f0a3b29f
𣲠	U+23CA0 (U+23CA0)	f0a3b2a0
𣲡	U+23CA1 (U+23CA1)	f0a3b2a1
𣲢	U+23CA2 (U+23CA2)	f0a3b2a2
𣲣	U+23CA3 (U+23CA3)	f0a3b2a3
𣲤	U+23CA4 (U+23CA4)	f0a3b2a4
𣲥	U+23CA5 (U+23CA5)	f0a3b2a5
𣲦	U+23CA6 (U+23CA6)	f0a3b2a6
𣲧	U+23CA7 (U+23CA7)	f0a3b2a7
𣲨	U+23CA8 (U+23CA8)	f0a3b2a8
𣲩	U+23CA9 (U+23CA9)	f0a3b2a9
𣲪	U+23CAA (U+23CAA)	f0a3b2aa
𣲫	U+23CAB (U+23CAB)	f0a3b2ab
𣲬	U+23CAC (U+23CAC)	f0a3b2ac
𣲭	U+23CAD (U+23CAD)	f0a3b2ad
𣲮	U+23CAE (U+23CAE)	f0a3b2ae
𣲯	U+23CAF (U+23CAF)	f0a3b2af
𣲰	U+23CB0 (U+23CB0)	f0a3b2b0
𣲱	U+23CB1 (U+23CB1)	f0a3b2b1
𣲲	U+23CB2 (U+23CB2)	f0a3b2b2
𣲳	U+23CB3 (U+23CB3)	f0a3b2b3
𣲴	U+23CB4 (U+23CB4)	f0a3b2b4
𣲵	U+23CB5 (U+23CB5)	f0a3b2b5
𣲶	U+23CB6 (U+23CB6)	f0a3b2b6
𣲷	(Cant.) sticky; not smooth; slow (U+23CB7)	f0a3b2b7
𣲸	U+23CB8 (U+23CB8)	f0a3b2b8
𣲹	U+23CB9 (U+23CB9)	f0a3b2b9
𣲺	U+23CBA (U+23CBA)	f0a3b2ba
𣲻	U+23CBB (U+23CBB)	f0a3b2bb
𣲼	U+23CBC (U+23CBC)	f0a3b2bc
𣲽	U+23CBD (U+23CBD)	f0a3b2bd
𣲾	U+23CBE (U+23CBE)	f0a3b2be
𣲿	U+23CBF (U+23CBF)	f0a3b2bf
𣳀	U+23CC0 (U+23CC0)	f0a3b380
𣳁	U+23CC1 (U+23CC1)	f0a3b381
𣳂	U+23CC2 (U+23CC2)	f0a3b382
𣳃	U+23CC3 (U+23CC3)	f0a3b383
𣳄	U+23CC4 (U+23CC4)	f0a3b384
𣳅	U+23CC5 (U+23CC5)	f0a3b385
𣳆	U+23CC6 (U+23CC6)	f0a3b386
𣳇	U+23CC7 (U+23CC7)	f0a3b387
𣳈	U+23CC8 (U+23CC8)	f0a3b388
𣳉	U+23CC9 (U+23CC9)	f0a3b389
𣳊	U+23CCA (U+23CCA)	f0a3b38a
𣳋	U+23CCB (U+23CCB)	f0a3b38b
𣳌	U+23CCC (U+23CCC)	f0a3b38c
𣳍	U+23CCD (U+23CCD)	f0a3b38d
𣳎	U+23CCE (U+23CCE)	f0a3b38e
𣳏	U+23CCF (U+23CCF)	f0a3b38f
𣳐	U+23CD0 (U+23CD0)	f0a3b390
𣳑	U+23CD1 (U+23CD1)	f0a3b391
𣳒	U+23CD2 (U+23CD2)	f0a3b392
𣳓	U+23CD3 (U+23CD3)	f0a3b393
𣳔	U+23CD4 (U+23CD4)	f0a3b394
𣳕	U+23CD5 (U+23CD5)	f0a3b395
𣳖	U+23CD6 (U+23CD6)	f0a3b396
𣳗	U+23CD7 (U+23CD7)	f0a3b397
𣳘	U+23CD8 (U+23CD8)	f0a3b398
𣳙	U+23CD9 (U+23CD9)	f0a3b399
𣳚	U+23CDA (U+23CDA)	f0a3b39a
𣳛	U+23CDB (U+23CDB)	f0a3b39b
𣳜	U+23CDC (U+23CDC)	f0a3b39c
𣳝	U+23CDD (U+23CDD)	f0a3b39d
𣳞	U+23CDE (U+23CDE)	f0a3b39e
𣳟	U+23CDF (U+23CDF)	f0a3b39f
𣳠	U+23CE0 (U+23CE0)	f0a3b3a0
𣳡	U+23CE1 (U+23CE1)	f0a3b3a1
𣳢	U+23CE2 (U+23CE2)	f0a3b3a2
𣳣	U+23CE3 (U+23CE3)	f0a3b3a3
𣳤	U+23CE4 (U+23CE4)	f0a3b3a4
𣳥	U+23CE5 (U+23CE5)	f0a3b3a5
𣳦	U+23CE6 (U+23CE6)	f0a3b3a6
𣳧	U+23CE7 (U+23CE7)	f0a3b3a7
𣳨	to store up, pile up (U+23CE8)	f0a3b3a8
𣳩	U+23CE9 (U+23CE9)	f0a3b3a9
𣳪	U+23CEA (U+23CEA)	f0a3b3aa
