𨀢	U+28022 (U+28022)	f0a880a2
𨀣	(Cant.) a home, house (U+28023)	f0a880a3
𨀤	(Cant.) to suddenly fall or drop down (U+28024)	f0a880a4
𨀥	U+28025 (U+28025)	f0a880a5
𨀦	U+28026 (U+28026)	f0a880a6
𨀧	U+28027 (U+28027)	f0a880a7
𨀨	U+28028 (U+28028)	f0a880a8
𨀩	U+28029 (U+28029)	f0a880a9
𨀪	U+2802A (U+2802A)	f0a880aa
𨀫	U+2802B (U+2802B)	f0a880ab
𨀬	U+2802C (U+2802C)	f0a880ac
𨀭	U+2802D (U+2802D)	f0a880ad
𨀮	U+2802E (U+2802E)	f0a880ae
𨀯	U+2802F (U+2802F)	f0a880af
𨀰	U+28030 (U+28030)	f0a880b0
𨀱	U+28031 (U+28031)	f0a880b1
𨀲	U+28032 (U+28032)	f0a880b2
𨀳	U+28033 (U+28033)	f0a880b3
𨀴	U+28034 (U+28034)	f0a880b4
𨀵	U+28035 (U+28035)	f0a880b5
𨀶	U+28036 (U+28036)	f0a880b6
𨀷	U+28037 (U+28037)	f0a880b7
𨀸	U+28038 (U+28038)	f0a880b8
𨀹	U+28039 (U+28039)	f0a880b9
𨀺	U+2803A (U+2803A)	f0a880ba
𨀻	U+2803B (U+2803B)	f0a880bb
𨀼	U+2803C (U+2803C)	f0a880bc
𨀽	U+2803D (U+2803D)	f0a880bd
𨀾	U+2803E (U+2803E)	f0a880be
𨀿	U+2803F (U+2803F)	f0a880bf
𨁀	U+28040 (U+28040)	f0a88180
𨁁	U+28041 (U+28041)	f0a88181
𨁂	U+28042 (U+28042)	f0a88182
𨁃	U+28043 (U+28043)	f0a88183
𨁄	U+28044 (U+28044)	f0a88184
𨁅	U+28045 (U+28045)	f0a88185
𨁆	U+28046 (U+28046)	f0a88186
𨁇	U+28047 (U+28047)	f0a88187
𨁈	(Cant.) to ford, wade (U+28048)	f0a88188
𨁉	U+28049 (U+28049)	f0a88189
𨁊	U+2804A (U+2804A)	f0a8818a
𨁋	U+2804B (U+2804B)	f0a8818b
𨁌	U+2804C (U+2804C)	f0a8818c
𨁍	U+2804D (U+2804D)	f0a8818d
𨁎	U+2804E (U+2804E)	f0a8818e
𨁏	U+2804F (U+2804F)	f0a8818f
𨁐	U+28050 (U+28050)	f0a88190
𨁑	U+28051 (U+28051)	f0a88191
𨁒	U+28052 (U+28052)	f0a88192
𨁓	U+28053 (U+28053)	f0a88193
𨁔	U+28054 (U+28054)	f0a88194
𨁕	U+28055 (U+28055)	f0a88195
𨁖	U+28056 (U+28056)	f0a88196
𨁗	U+28057 (U+28057)	f0a88197
𨁘	U+28058 (U+28058)	f0a88198
𨁙	U+28059 (U+28059)	f0a88199
𨁚	U+2805A (U+2805A)	f0a8819a
𨁛	U+2805B (U+2805B)	f0a8819b
𨁜	U+2805C (U+2805C)	f0a8819c
𨁝	U+2805D (U+2805D)	f0a8819d
𨁞	U+2805E (U+2805E)	f0a8819e
𨁟	U+2805F (U+2805F)	f0a8819f
