仕	official; serve government (U+4ED5)	e4bb95
俬	(Cant.) 傢俬, furniture (U+4FEC)	e4bfac
俭	temperate, frugal, economical (U+4FED)	e4bfad
修	study; repair; cultivate (U+4FEE)	e4bfae
俯	bow down, face down, look down (U+4FEF)	e4bfaf
俰	U+4FF0 (U+4FF0)	e4bfb0
俱	all, together; accompany (U+4FF1)	e4bfb1
俲	same as 傚 U+509A, imitate, mimic (U+4FF2)	e4bfb2
俳	actor; vaudeville show; insincere (U+4FF3)	e4bfb3
俴	thin (U+4FF4)	e4bfb4
俵	divide, distribute (U+4FF5)	e4bfb5
俶	start, begin; beginning; arrange (U+4FF6)	e4bfb6
俷	U+4FF7 (U+4FF7)	e4bfb7
俸	wages, salary, official emolument (U+4FF8)	e4bfb8
俹	U+4FF9 (U+4FF9)	e4bfb9
俺	personal pronoun, I (U+4FFA)	e4bfba
俻	to prepare; to provide; to put in order; to complete perfection; completeness (U+4FFB)	e4bfbb
俼	U+4FFC (U+4FFC)	e4bfbc
俽	U+4FFD (U+4FFD)	e4bfbd
俾	so that, in order that; cause (U+4FFE)	e4bfbe
俿	U+4FFF (U+4FFF)	e4bfbf
倀	bewildered; rash, wildly (U+5000)	e58080
倁	U+5001 (U+5001)	e58081
倂	combine (U+5002)	e58082
倃	damage, destroy (U+5003)	e58083
倄	U+5004 (U+5004)	e58084
倅	deputy, vice- (U+5005)	e58085
倆	clever, skilled; two, pair (U+5006)	e58086
倇	U+5007 (U+5007)	e58087
倈	to induce to come; to encourage (U+5008)	e58088
倉	granary; berth; sea (U+5009)	e58089
倊	U+500A (U+500A)	e5808a
個	numerary adjunct, piece; single (U+500B)	e5808b
倌	assistant in wine shop, groom (U+500C)	e5808c
倍	times, fold, multiple times (U+500D)	e5808d
倎	U+500E (U+500E)	e5808e
倏	hastily, suddenly, abruptly (U+500F)	e5808f
倐	hastily; suddenly (U+5010)	e58090
們	adjunct pronoun indicate plural (U+5011)	e58091
倒	fall over; lie down; take turns (U+5012)	e58092
倓	U+5013 (U+5013)	e58093
倔	stubborn, obstinate, intransigent; firm (U+5014)	e58094
倕	U+5015 (U+5015)	e58095
倖	lucky, fortunate; dote on, spoil (U+5016)	e58096
倗	U+5017 (U+5017)	e58097
倘	if, supposing, in event of (U+5018)	e58098
候	wait; expect; visit; greet (U+5019)	e58099
倚	rely on, depend on; lean heavily (U+501A)	e5809a
倛	U+501B (U+501B)	e5809b
倜	raise high; unrestrained (U+501C)	e5809c
倝	sunrise; dawn (U+501D)	e5809d
倞	far (U+501E)	e5809e
借	borrow; lend; make pretext of (U+501F)	e5809f
倠	U+5020 (U+5020)	e580a0
倡	guide, leader; lead, introduce (U+5021)	e580a1
倢	beautiful, handsome; woman (U+5022)	e580a2
倣	imitate (U+5023)	e580a3
値	price, cost, worth (U+5024)	e580a4
倥	boorish, ignorant; urgent, pressing (U+5025)	e580a5
倦	be tired of, weary (U+5026)	e580a6
倧	U+5027 (U+5027)	e580a7
倨	arrogant, haughty, rude (U+5028)	e580a8
倩	beautiful, lovely; son-in-law (U+5029)	e580a9
倪	feeble, tiny, young and weak (U+502A)	e580aa
倫	normal human relationships (U+502B)	e580ab
倬	noticeable, large; clear, distinct (U+502C)	e580ac
倭	dwarf; dwarfish, short (U+502D)	e580ad
倮	bare, naked, uncovered (U+502E)	e580ae
倯	U+502F (U+502F)	e580af
倰	U+5030 (U+5030)	e580b0
倱	U+5031 (U+5031)	e580b1
倲	U+5032 (U+5032)	e580b2
倳	to stick in, to stab; to erect (U+5033)	e580b3
倴	U+5034 (U+5034)	e580b4
倵	U+5035 (U+5035)	e580b5
倶	all (U+5036)	e580b6
倷	U+5037 (U+5037)	e580b7
倸	U+5038 (U+5038)	e580b8
倹	temperate, frugal, economical (U+5039)	e580b9
债	debt, loan, liabilities (U+503A)	e580ba
倻	phonetic used in Korean place names (U+503B)	e580bb
值	price (U+503C)	e580bc
倽	what; which; who; why (U+503D)	e580bd
倾	upset, pour out, overflow (U+503E)	e580be
倿	U+503F (U+503F)	e580bf
偀	U+5040 (U+5040)	e58180
偁	state (U+5041)	e58181
偂	U+5042 (U+5042)	e58182
偃	cease, lay off, lay down (U+5043)	e58183
偄	weak (U+5044)	e58184
偅	U+5045 (U+5045)	e58185
偆	U+5046 (U+5046)	e58186
假	falsehood, deception; vacation (U+5047)	e58187
偈	brave; martial; hasty; scudding (U+5048)	e58188
偉	great, robust; extraordinary (U+5049)	e58189
偊	to walk alone; self-reliant (U+504A)	e5818a
偋	U+504B (U+504B)	e5818b
偌	thus, so, like, such (U+504C)	e5818c
偍	U+504D (U+504D)	e5818d
偎	cling to, cuddle, embrace, fondle (U+504E)	e5818e
偏	inclined one side; slanting (U+504F)	e5818f
偐	false, counterfeit, spurious (U+5050)	e58190
偑	U+5051 (U+5051)	e58191
偒	U+5052 (U+5052)	e58192
偓	to fuss (U+5053)	e58193
偔	U+5054 (U+5054)	e58194
偕	together; be in order (U+5055)	e58195
偖	rip up, tear down; raise; haul (U+5056)	e58196
偗	U+5057 (U+5057)	e58197
偘	ancient family name (U+5058)	e58198
偙	U+5059 (U+5059)	e58199
做	work, make; act (U+505A)	e5819a
偛	U+505B (U+505B)	e5819b
停	stop, suspend, delay; suitable (U+505C)	e5819c
偝	not facing; desert (U+505D)	e5819d
偞	U+505E (U+505E)	e5819e
偟	agitated; alarmed (U+505F)	e5819f
偠	U+5060 (U+5060)	e581a0
偡	U+5061 (U+5061)	e581a1
偢	to stare at (U+5062)	e581a2
偣	U+5063 (U+5063)	e581a3
偤	U+5064 (U+5064)	e581a4
健	strong, robust, healthy; strength (U+5065)	e581a5
偦	U+5066 (U+5066)	e581a6
偧	U+5067 (U+5067)	e581a7
偨	uneven (U+5068)	e581a8
偩	follow (U+5069)	e581a9
偪	compel, pressure, force; bother (U+506A)	e581aa
偫	wait for; lay in (U+506B)	e581ab
偬	urgent (U+506C)	e581ac
偭	transgress (U+506D)	e581ad
偮	U+506E (U+506E)	e581ae
偯	sob (U+506F)	e581af
偰	U+5070 (U+5070)	e581b0
偱	U+5071 (U+5071)	e581b1
偲	talented; urgent (U+5072)	e581b2
偳	U+5073 (U+5073)	e581b3
側	side; incline, slant, lean (U+5074)	e581b4
偵	spy, reconnoiter; detective (U+5075)	e581b5
偶	accidentally, coincidently; an idol (U+5076)	e581b6
偷	to steal, burglar, thief (U+5077)	e581b7
偸	to steal (U+5078)	e581b8
偹	prepare, ready, perfect (U+5079)	e581b9
偺	(same as U+54B1 咱) we, us (U+507A)	e581ba
偻	humpback; surname (U+507B)	e581bb
偼	U+507C (U+507C)	e581bc
偽	false, counterfeit, bogus (U+507D)	e581bd
偾	ruin, cause fail; overthrown (U+507E)	e581be
偿	repay, recompense; restitution (U+507F)	e581bf
傀	great, gigantic; puppet (U+5080)	e58280
傁	old man (U+5081)	e58281
傂	U+5082 (U+5082)	e58282
傃	U+5083 (U+5083)	e58283
傄	U+5084 (U+5084)	e58284
傅	tutor, teacher; assist; surname (U+5085)	e58285
傆	U+5086 (U+5086)	e58286
傇	U+5087 (U+5087)	e58287
傈	tribe (U+5088)	e58288
傉	U+5089 (U+5089)	e58289
傊	U+508A (U+508A)	e5828a
傋	U+508B (U+508B)	e5828b
傌	to curse, to revile, to abuse; to scold (U+508C)	e5828c
傍	by side of, beside, near, close (U+508D)	e5828d
傎	topple (U+508E)	e5828e
傏	to ward off; to parry; to keep out, as wind, rain, or cold (U+508F)	e5828f
傐	U+5090 (U+5090)	e58290
傑	hero; outstanding, remarkable (U+5091)	e58291
傒	personal name; servant (U+5092)	e58292
傓	U+5093 (U+5093)	e58293
傔	servant (U+5094)	e58294
傕	used in old names (U+5095)	e58295
傖	vulgar person, country man (U+5096)	e58296
傗	U+5097 (U+5097)	e58297
傘	umbrella, parasol, parachute (U+5098)	e58298
備	prepare, ready, perfect (U+5099)	e58299
傚	imitate, mimic (U+509A)	e5829a
傛	U+509B (U+509B)	e5829b
傜	a minority tribe (U+509C)	e5829c
傝	U+509D (U+509D)	e5829d
傞	unsteady (U+509E)	e5829e
傟	U+509F (U+509F)	e5829f
傠	U+50A0 (U+50A0)	e582a0
傡	U+50A1 (U+50A1)	e582a1
傢	stubborn, obstinate, intransigent (U+50A2)	e582a2
傣	the Dai minority living in South China (U+50A3)	e582a3
傤	U+50A4 (U+50A4)	e582a4
傥	if, supposing, in case (U+50A5)	e582a5
傦	U+50A6 (U+50A6)	e582a6
傧	entertain guests (U+50A7)	e582a7
储	save money, store, reserve; heir (U+50A8)	e582a8
傩	rich (U+50A9)	e582a9
傪	U+50AA (U+50AA)	e582aa
傫	tired, exhausted; surname (U+50AB)	e582ab
催	press, urge (U+50AC)	e582ac
傭	hire, employ, charter; servant (U+50AD)	e582ad
傮	finish, to go around (U+50AE)	e582ae
傯	urgent (U+50AF)	e582af
傰	U+50B0 (U+50B0)	e582b0
傱	U+50B1 (U+50B1)	e582b1
傲	proud, haughty, overbearing (U+50B2)	e582b2
傳	summon; propagate, transmit (U+50B3)	e582b3
傴	humpback; stoop (U+50B4)	e582b4
債	debt, loan, liabilities (U+50B5)	e582b5
傶	U+50B6 (U+50B6)	e582b6
傷	wound, injury; fall ill from (U+50B7)	e582b7
傸	U+50B8 (U+50B8)	e582b8
傹	U+50B9 (U+50B9)	e582b9
傺	to hinder; to detain (U+50BA)	e582ba
傻	foolish, silly, stupid; an imbecile (U+50BB)	e582bb
傼	surname (U+50BC)	e582bc
傽	terror-stricken (U+50BD)	e582bd
傾	upset, pour out, overflow (U+50BE)	e582be
傿	U+50BF (U+50BF)	e582bf
僀	U+50C0 (U+50C0)	e58380
僁	U+50C1 (U+50C1)	e58381
僂	humpback; surname (U+50C2)	e58382
僃	prepared (U+50C3)	e58383
僄	light; airy (U+50C4)	e58384
僅	only, merely, solely, just (U+50C5)	e58385
僆	U+50C6 (U+50C6)	e58386
僇	humiliate; treat with contempt (U+50C7)	e58387
僈	negligent, remiss (U+50C8)	e58388
僉	all, together, unanimous (U+50C9)	e58389
僊	Taoist super-being, transcendent, immortal (U+50CA)	e5838a
僋	U+50CB (U+50CB)	e5838b
