𩑏	U+2944F (U+2944F)	f0a9918f
𩑐	U+29450 (U+29450)	f0a99190
𩑑	U+29451 (U+29451)	f0a99191
𩑒	U+29452 (U+29452)	f0a99192
𩑓	U+29453 (U+29453)	f0a99193
𩑔	U+29454 (U+29454)	f0a99194
𩑕	U+29455 (U+29455)	f0a99195
𩑖	U+29456 (U+29456)	f0a99196
𩑗	U+29457 (U+29457)	f0a99197
𩑘	U+29458 (U+29458)	f0a99198
𩑙	U+29459 (U+29459)	f0a99199
𩑚	U+2945A (U+2945A)	f0a9919a
𩑛	U+2945B (U+2945B)	f0a9919b
𩑜	U+2945C (U+2945C)	f0a9919c
𩑝	U+2945D (U+2945D)	f0a9919d
𩑞	U+2945E (U+2945E)	f0a9919e
𩑟	U+2945F (U+2945F)	f0a9919f
𩑠	U+29460 (U+29460)	f0a991a0
𩑡	U+29461 (U+29461)	f0a991a1
𩑢	U+29462 (U+29462)	f0a991a2
𩑣	U+29463 (U+29463)	f0a991a3
𩑤	U+29464 (U+29464)	f0a991a4
𩑥	U+29465 (U+29465)	f0a991a5
𩑦	U+29466 (U+29466)	f0a991a6
𩑧	U+29467 (U+29467)	f0a991a7
𩑨	U+29468 (U+29468)	f0a991a8
𩑩	U+29469 (U+29469)	f0a991a9
𩑪	U+2946A (U+2946A)	f0a991aa
𩑫	U+2946B (U+2946B)	f0a991ab
𩑬	U+2946C (U+2946C)	f0a991ac
𩑭	U+2946D (U+2946D)	f0a991ad
𩑮	U+2946E (U+2946E)	f0a991ae
𩑯	U+2946F (U+2946F)	f0a991af
𩑰	U+29470 (U+29470)	f0a991b0
𩑱	U+29471 (U+29471)	f0a991b1
𩑲	U+29472 (U+29472)	f0a991b2
𩑳	U+29473 (U+29473)	f0a991b3
𩑴	U+29474 (U+29474)	f0a991b4
𩑵	U+29475 (U+29475)	f0a991b5
𩑶	U+29476 (U+29476)	f0a991b6
𩑷	U+29477 (U+29477)	f0a991b7
𩑸	U+29478 (U+29478)	f0a991b8
𩑹	U+29479 (U+29479)	f0a991b9
𩑺	U+2947A (U+2947A)	f0a991ba
𩑻	U+2947B (U+2947B)	f0a991bb
𩑼	U+2947C (U+2947C)	f0a991bc
𩑽	U+2947D (U+2947D)	f0a991bd
𩑾	U+2947E (U+2947E)	f0a991be
𩑿	U+2947F (U+2947F)	f0a991bf
𩒀	U+29480 (U+29480)	f0a99280
𩒁	U+29481 (U+29481)	f0a99281
𩒂	U+29482 (U+29482)	f0a99282
𩒃	U+29483 (U+29483)	f0a99283
𩒄	U+29484 (U+29484)	f0a99284
