宍	flesh; meat; KangXi radical 130 (U+5B8D)	e5ae8d
宎	U+5B8E (U+5B8E)	e5ae8e
宏	wide, spacious, great, vast (U+5B8F)	e5ae8f
宐	right, fitting, seemly (U+5B90)	e5ae90
宑	U+5B91 (U+5B91)	e5ae91
宒	U+5B92 (U+5B92)	e5ae92
宓	quiet, silent; in good health (U+5B93)	e5ae93
宔	U+5B94 (U+5B94)	e5ae94
宕	stone quarry; cave dwelling (U+5B95)	e5ae95
宖	U+5B96 (U+5B96)	e5ae96
宗	lineage, ancestry; ancestor, clan (U+5B97)	e5ae97
官	official, public servant (U+5B98)	e5ae98
宙	time as concept; infinite time (U+5B99)	e5ae99
定	decide, settle, fix (U+5B9A)	e5ae9a
宛	seem, as if, crooked (U+5B9B)	e5ae9b
宜	suitable, right, fitting, proper (U+5B9C)	e5ae9c
宝	treasure, jewel; precious, rare (U+5B9D)	e5ae9d
实	real, true; honest, sincere (U+5B9E)	e5ae9e
実	real, true; honest, sincere (U+5B9F)	e5ae9f
宠	favorite, concubine; favor (U+5BA0)	e5aea0
审	examine, investigate; judge (U+5BA1)	e5aea1
客	guest, traveller; customer (U+5BA2)	e5aea2
宣	declare, announce, proclaim (U+5BA3)	e5aea3
室	room, home, house, chamber (U+5BA4)	e5aea4
宥	forgive, pardon, indulge (U+5BA5)	e5aea5
宦	officialdom, government official (U+5BA6)	e5aea6
宧	corner (U+5BA7)	e5aea7
宨	U+5BA8 (U+5BA8)	e5aea8
宩	U+5BA9 (U+5BA9)	e5aea9
宪	constitution, statute, law (U+5BAA)	e5aeaa
宫	palace (U+5BAB)	e5aeab
宬	archives; surname (U+5BAC)	e5aeac
宭	U+5BAD (U+5BAD)	e5aead
宮	palace, temple, dwelling, enclose (U+5BAE)	e5aeae
宯	U+5BAF (U+5BAF)	e5aeaf
宰	to slaughter; to rule (U+5BB0)	e5aeb0
宱	U+5BB1 (U+5BB1)	e5aeb1
宲	U+5BB2 (U+5BB2)	e5aeb2
害	injure, harm; destroy, kill (U+5BB3)	e5aeb3
宴	to entertain, feast; a feast, banquet (U+5BB4)	e5aeb4
宵	night, evening, dark (U+5BB5)	e5aeb5
家	house, home, residence; family (U+5BB6)	e5aeb6
宷	U+5BB7 (U+5BB7)	e5aeb7
宸	imperial; imperial palace (U+5BB8)	e5aeb8
容	looks, appearance; figure, form (U+5BB9)	e5aeb9
宺	U+5BBA (U+5BBA)	e5aeba
宻	dense, thick, close; intimate (U+5BBB)	e5aebb
宼	tyrannical, cruel; to rob to plunder; bandits, thieves, highwaymen (U+5BBC)	e5aebc
宽	broad, wide; spacious, vast (U+5BBD)	e5aebd
宾	guest, visitor; surname; submit (U+5BBE)	e5aebe
