𫀸	U+2B038 (U+2B038)	f0ab80b8
𫀹	U+2B039 (U+2B039)	f0ab80b9
𫀺	U+2B03A (U+2B03A)	f0ab80ba
𫀻	U+2B03B (U+2B03B)	f0ab80bb
𫀼	U+2B03C (U+2B03C)	f0ab80bc
𫀽	U+2B03D (U+2B03D)	f0ab80bd
𫀾	U+2B03E (U+2B03E)	f0ab80be
𫀿	U+2B03F (U+2B03F)	f0ab80bf
𫁀	U+2B040 (U+2B040)	f0ab8180
𫁁	U+2B041 (U+2B041)	f0ab8181
𫁂	U+2B042 (U+2B042)	f0ab8182
𫁃	U+2B043 (U+2B043)	f0ab8183
𫁄	U+2B044 (U+2B044)	f0ab8184
𫁅	U+2B045 (U+2B045)	f0ab8185
𫁆	U+2B046 (U+2B046)	f0ab8186
𫁇	U+2B047 (U+2B047)	f0ab8187
𫁈	U+2B048 (U+2B048)	f0ab8188
𫁉	U+2B049 (U+2B049)	f0ab8189
𫁊	U+2B04A (U+2B04A)	f0ab818a
𫁋	U+2B04B (U+2B04B)	f0ab818b
𫁌	U+2B04C (U+2B04C)	f0ab818c
𫁍	U+2B04D (U+2B04D)	f0ab818d
𫁎	U+2B04E (U+2B04E)	f0ab818e
𫁏	U+2B04F (U+2B04F)	f0ab818f
𫁐	U+2B050 (U+2B050)	f0ab8190
𫁑	U+2B051 (U+2B051)	f0ab8191
𫁒	U+2B052 (U+2B052)	f0ab8192
𫁓	U+2B053 (U+2B053)	f0ab8193
𫁔	U+2B054 (U+2B054)	f0ab8194
𫁕	U+2B055 (U+2B055)	f0ab8195
𫁖	U+2B056 (U+2B056)	f0ab8196
𫁗	U+2B057 (U+2B057)	f0ab8197
𫁘	U+2B058 (U+2B058)	f0ab8198
𫁙	U+2B059 (U+2B059)	f0ab8199
𫁚	U+2B05A (U+2B05A)	f0ab819a
𫁛	U+2B05B (U+2B05B)	f0ab819b
𫁜	U+2B05C (U+2B05C)	f0ab819c
𫁝	U+2B05D (U+2B05D)	f0ab819d
𫁞	U+2B05E (U+2B05E)	f0ab819e
𫁟	U+2B05F (U+2B05F)	f0ab819f
𫁠	U+2B060 (U+2B060)	f0ab81a0
𫁡	kingfisher (U+2B061)	f0ab81a1
𫁢	U+2B062 (U+2B062)	f0ab81a2
𫁣	U+2B063 (U+2B063)	f0ab81a3
𫁤	U+2B064 (U+2B064)	f0ab81a4
𫁥	U+2B065 (U+2B065)	f0ab81a5
𫁦	U+2B066 (U+2B066)	f0ab81a6
𫁧	U+2B067 (U+2B067)	f0ab81a7
𫁨	U+2B068 (U+2B068)	f0ab81a8
𫁩	U+2B069 (U+2B069)	f0ab81a9
𫁪	U+2B06A (U+2B06A)	f0ab81aa
𫁫	U+2B06B (U+2B06B)	f0ab81ab
𫁬	U+2B06C (U+2B06C)	f0ab81ac
𫁭	U+2B06D (U+2B06D)	f0ab81ad
𫁮	U+2B06E (U+2B06E)	f0ab81ae
𫁯	U+2B06F (U+2B06F)	f0ab81af
𫁰	U+2B070 (U+2B070)	f0ab81b0
𫁱	U+2B071 (U+2B071)	f0ab81b1
𫁲	U+2B072 (U+2B072)	f0ab81b2
𫁳	U+2B073 (U+2B073)	f0ab81b3
𫁴	U+2B074 (U+2B074)	f0ab81b4
𫁵	U+2B075 (U+2B075)	f0ab81b5
𫁶	U+2B076 (U+2B076)	f0ab81b6
𫁷	U+2B077 (U+2B077)	f0ab81b7
𫁸	U+2B078 (U+2B078)	f0ab81b8
𫁹	U+2B079 (U+2B079)	f0ab81b9
𫁺	U+2B07A (U+2B07A)	f0ab81ba
𫁻	U+2B07B (U+2B07B)	f0ab81bb
𫁼	U+2B07C (U+2B07C)	f0ab81bc
𫁽	U+2B07D (U+2B07D)	f0ab81bd
𫁾	U+2B07E (U+2B07E)	f0ab81be
𫁿	U+2B07F (U+2B07F)	f0ab81bf
𫂀	U+2B080 (U+2B080)	f0ab8280
𫂁	U+2B081 (U+2B081)	f0ab8281
𫂂	U+2B082 (U+2B082)	f0ab8282
𫂃	U+2B083 (U+2B083)	f0ab8283
𫂄	U+2B084 (U+2B084)	f0ab8284
𫂅	U+2B085 (U+2B085)	f0ab8285
𫂆	U+2B086 (U+2B086)	f0ab8286
𫂇	U+2B087 (U+2B087)	f0ab8287
𫂈	coarse bamboo mats (U+2B088)	f0ab8288
𫂉	U+2B089 (U+2B089)	f0ab8289
𫂊	U+2B08A (U+2B08A)	f0ab828a
𫂋	U+2B08B (U+2B08B)	f0ab828b
𫂌	U+2B08C (U+2B08C)	f0ab828c
𫂍	U+2B08D (U+2B08D)	f0ab828d
𫂎	U+2B08E (U+2B08E)	f0ab828e
𫂏	U+2B08F (U+2B08F)	f0ab828f
𫂐	U+2B090 (U+2B090)	f0ab8290
𫂑	U+2B091 (U+2B091)	f0ab8291
𫂒	U+2B092 (U+2B092)	f0ab8292
𫂓	U+2B093 (U+2B093)	f0ab8293
𫂔	U+2B094 (U+2B094)	f0ab8294
𫂕	U+2B095 (U+2B095)	f0ab8295
𫂖	U+2B096 (U+2B096)	f0ab8296
𫂗	U+2B097 (U+2B097)	f0ab8297
𫂘	U+2B098 (U+2B098)	f0ab8298
𫂙	luxuriant and dense vegetation; a fine sieve (U+2B099)	f0ab8299
𫂚	U+2B09A (U+2B09A)	f0ab829a
𫂛	U+2B09B (U+2B09B)	f0ab829b
𫂜	U+2B09C (U+2B09C)	f0ab829c
𫂝	U+2B09D (U+2B09D)	f0ab829d
𫂞	U+2B09E (U+2B09E)	f0ab829e
𫂟	U+2B09F (U+2B09F)	f0ab829f
𫂠	U+2B0A0 (U+2B0A0)	f0ab82a0
𫂡	U+2B0A1 (U+2B0A1)	f0ab82a1
𫂢	U+2B0A2 (U+2B0A2)	f0ab82a2
𫂣	U+2B0A3 (U+2B0A3)	f0ab82a3
𫂤	U+2B0A4 (U+2B0A4)	f0ab82a4
𫂥	U+2B0A5 (U+2B0A5)	f0ab82a5
𫂦	U+2B0A6 (U+2B0A6)	f0ab82a6
𫂧	U+2B0A7 (U+2B0A7)	f0ab82a7
𫂨	U+2B0A8 (U+2B0A8)	f0ab82a8
𫂩	U+2B0A9 (U+2B0A9)	f0ab82a9
𫂪	U+2B0AA (U+2B0AA)	f0ab82aa
𫂫	U+2B0AB (U+2B0AB)	f0ab82ab
𫂬	U+2B0AC (U+2B0AC)	f0ab82ac
𫂭	U+2B0AD (U+2B0AD)	f0ab82ad
𫂮	U+2B0AE (U+2B0AE)	f0ab82ae
𫂯	U+2B0AF (U+2B0AF)	f0ab82af
𫂰	U+2B0B0 (U+2B0B0)	f0ab82b0
𫂱	U+2B0B1 (U+2B0B1)	f0ab82b1
𫂲	U+2B0B2 (U+2B0B2)	f0ab82b2
𫂳	U+2B0B3 (U+2B0B3)	f0ab82b3
𫂴	U+2B0B4 (U+2B0B4)	f0ab82b4
𫂵	U+2B0B5 (U+2B0B5)	f0ab82b5
𫂶	U+2B0B6 (U+2B0B6)	f0ab82b6
𫂷	U+2B0B7 (U+2B0B7)	f0ab82b7
𫂸	U+2B0B8 (U+2B0B8)	f0ab82b8
𫂹	U+2B0B9 (U+2B0B9)	f0ab82b9
𫂺	U+2B0BA (U+2B0BA)	f0ab82ba
𫂻	U+2B0BB (U+2B0BB)	f0ab82bb
𫂼	U+2B0BC (U+2B0BC)	f0ab82bc
𫂽	U+2B0BD (U+2B0BD)	f0ab82bd
𫂾	U+2B0BE (U+2B0BE)	f0ab82be
𫂿	U+2B0BF (U+2B0BF)	f0ab82bf
𫃀	U+2B0C0 (U+2B0C0)	f0ab8380
𫃁	U+2B0C1 (U+2B0C1)	f0ab8381
𫃂	U+2B0C2 (U+2B0C2)	f0ab8382
𫃃	U+2B0C3 (U+2B0C3)	f0ab8383
𫃄	U+2B0C4 (U+2B0C4)	f0ab8384
𫃅	U+2B0C5 (U+2B0C5)	f0ab8385
𫃆	U+2B0C6 (U+2B0C6)	f0ab8386
𫃇	U+2B0C7 (U+2B0C7)	f0ab8387
𫃈	U+2B0C8 (U+2B0C8)	f0ab8388
𫃉	U+2B0C9 (U+2B0C9)	f0ab8389
𫃊	U+2B0CA (U+2B0CA)	f0ab838a
𫃋	U+2B0CB (U+2B0CB)	f0ab838b
𫃌	U+2B0CC (U+2B0CC)	f0ab838c
𫃍	U+2B0CD (U+2B0CD)	f0ab838d
𫃎	U+2B0CE (U+2B0CE)	f0ab838e
𫃏	U+2B0CF (U+2B0CF)	f0ab838f
𫃐	U+2B0D0 (U+2B0D0)	f0ab8390
𫃑	U+2B0D1 (U+2B0D1)	f0ab8391
𫃒	U+2B0D2 (U+2B0D2)	f0ab8392
𫃓	U+2B0D3 (U+2B0D3)	f0ab8393
𫃔	U+2B0D4 (U+2B0D4)	f0ab8394
𫃕	U+2B0D5 (U+2B0D5)	f0ab8395
𫃖	U+2B0D6 (U+2B0D6)	f0ab8396
𫃗	U+2B0D7 (U+2B0D7)	f0ab8397
𫃘	U+2B0D8 (U+2B0D8)	f0ab8398
𫃙	U+2B0D9 (U+2B0D9)	f0ab8399
𫃚	U+2B0DA (U+2B0DA)	f0ab839a
𫃛	U+2B0DB (U+2B0DB)	f0ab839b
𫃜	a button; a plaited knob; to fasten; to hook back (U+2B0DC)	f0ab839c
𫃝	U+2B0DD (U+2B0DD)	f0ab839d
𫃞	U+2B0DE (U+2B0DE)	f0ab839e
𫃟	U+2B0DF (U+2B0DF)	f0ab839f
𫃠	U+2B0E0 (U+2B0E0)	f0ab83a0
𫃡	U+2B0E1 (U+2B0E1)	f0ab83a1
𫃢	U+2B0E2 (U+2B0E2)	f0ab83a2
𫃣	U+2B0E3 (U+2B0E3)	f0ab83a3
𫃤	U+2B0E4 (U+2B0E4)	f0ab83a4
𫃥	U+2B0E5 (U+2B0E5)	f0ab83a5
𫃦	U+2B0E6 (U+2B0E6)	f0ab83a6
𫃧	U+2B0E7 (U+2B0E7)	f0ab83a7
𫃨	U+2B0E8 (U+2B0E8)	f0ab83a8
𫃩	U+2B0E9 (U+2B0E9)	f0ab83a9
𫃪	U+2B0EA (U+2B0EA)	f0ab83aa
𫃫	U+2B0EB (U+2B0EB)	f0ab83ab
𫃬	U+2B0EC (U+2B0EC)	f0ab83ac
𫃭	U+2B0ED (U+2B0ED)	f0ab83ad
𫃮	U+2B0EE (U+2B0EE)	f0ab83ae
𫃯	U+2B0EF (U+2B0EF)	f0ab83af
𫃰	U+2B0F0 (U+2B0F0)	f0ab83b0
𫃱	U+2B0F1 (U+2B0F1)	f0ab83b1
𫃲	U+2B0F2 (U+2B0F2)	f0ab83b2
𫃳	U+2B0F3 (U+2B0F3)	f0ab83b3
𫃴	U+2B0F4 (U+2B0F4)	f0ab83b4
𫃵	U+2B0F5 (U+2B0F5)	f0ab83b5
𫃶	U+2B0F6 (U+2B0F6)	f0ab83b6
𫃷	U+2B0F7 (U+2B0F7)	f0ab83b7
𫃸	U+2B0F8 (U+2B0F8)	f0ab83b8
𫃹	U+2B0F9 (U+2B0F9)	f0ab83b9
𫃺	U+2B0FA (U+2B0FA)	f0ab83ba
𫃻	U+2B0FB (U+2B0FB)	f0ab83bb
𫃼	U+2B0FC (U+2B0FC)	f0ab83bc
𫃽	U+2B0FD (U+2B0FD)	f0ab83bd
𫃾	U+2B0FE (U+2B0FE)	f0ab83be
𫃿	U+2B0FF (U+2B0FF)	f0ab83bf
𫄀	U+2B100 (U+2B100)	f0ab8480
𫄁	U+2B101 (U+2B101)	f0ab8481
𫄂	U+2B102 (U+2B102)	f0ab8482
𫄃	U+2B103 (U+2B103)	f0ab8483
𫄄	U+2B104 (U+2B104)	f0ab8484
