𪰤	U+2AC24 (U+2AC24)	f0aab0a4
𪰥	U+2AC25 (U+2AC25)	f0aab0a5
𪰦	U+2AC26 (U+2AC26)	f0aab0a6
𪰧	U+2AC27 (U+2AC27)	f0aab0a7
𪰨	U+2AC28 (U+2AC28)	f0aab0a8
𪰩	U+2AC29 (U+2AC29)	f0aab0a9
𪰪	U+2AC2A (U+2AC2A)	f0aab0aa
𪰫	U+2AC2B (U+2AC2B)	f0aab0ab
𪰬	U+2AC2C (U+2AC2C)	f0aab0ac
𪰭	U+2AC2D (U+2AC2D)	f0aab0ad
𪰮	U+2AC2E (U+2AC2E)	f0aab0ae
𪰯	U+2AC2F (U+2AC2F)	f0aab0af
𪰰	U+2AC30 (U+2AC30)	f0aab0b0
𪰱	U+2AC31 (U+2AC31)	f0aab0b1
𪰲	U+2AC32 (U+2AC32)	f0aab0b2
𪰳	U+2AC33 (U+2AC33)	f0aab0b3
𪰴	U+2AC34 (U+2AC34)	f0aab0b4
𪰵	U+2AC35 (U+2AC35)	f0aab0b5
𪰶	U+2AC36 (U+2AC36)	f0aab0b6
𪰷	U+2AC37 (U+2AC37)	f0aab0b7
𪰸	U+2AC38 (U+2AC38)	f0aab0b8
𪰹	U+2AC39 (U+2AC39)	f0aab0b9
𪰺	U+2AC3A (U+2AC3A)	f0aab0ba
𪰻	U+2AC3B (U+2AC3B)	f0aab0bb
𪰼	U+2AC3C (U+2AC3C)	f0aab0bc
𪰽	U+2AC3D (U+2AC3D)	f0aab0bd
𪰾	U+2AC3E (U+2AC3E)	f0aab0be
𪰿	U+2AC3F (U+2AC3F)	f0aab0bf
𪱀	U+2AC40 (U+2AC40)	f0aab180
𪱁	U+2AC41 (U+2AC41)	f0aab181
𪱂	U+2AC42 (U+2AC42)	f0aab182
𪱃	U+2AC43 (U+2AC43)	f0aab183
𪱄	U+2AC44 (U+2AC44)	f0aab184
𪱅	U+2AC45 (U+2AC45)	f0aab185
𪱆	U+2AC46 (U+2AC46)	f0aab186
𪱇	U+2AC47 (U+2AC47)	f0aab187
𪱈	U+2AC48 (U+2AC48)	f0aab188
𪱉	U+2AC49 (U+2AC49)	f0aab189
𪱊	U+2AC4A (U+2AC4A)	f0aab18a
𪱋	U+2AC4B (U+2AC4B)	f0aab18b
𪱌	U+2AC4C (U+2AC4C)	f0aab18c
𪱍	U+2AC4D (U+2AC4D)	f0aab18d
𪱎	U+2AC4E (U+2AC4E)	f0aab18e
𪱏	U+2AC4F (U+2AC4F)	f0aab18f
𪱐	U+2AC50 (U+2AC50)	f0aab190
𪱑	U+2AC51 (U+2AC51)	f0aab191
𪱒	U+2AC52 (U+2AC52)	f0aab192
𪱓	U+2AC53 (U+2AC53)	f0aab193
𪱔	U+2AC54 (U+2AC54)	f0aab194
𪱕	U+2AC55 (U+2AC55)	f0aab195
𪱖	U+2AC56 (U+2AC56)	f0aab196
𪱗	U+2AC57 (U+2AC57)	f0aab197
𪱘	U+2AC58 (U+2AC58)	f0aab198
𪱙	U+2AC59 (U+2AC59)	f0aab199
𪱚	U+2AC5A (U+2AC5A)	f0aab19a
𪱛	U+2AC5B (U+2AC5B)	f0aab19b
𪱜	U+2AC5C (U+2AC5C)	f0aab19c
𪱝	U+2AC5D (U+2AC5D)	f0aab19d
𪱞	U+2AC5E (U+2AC5E)	f0aab19e
𪱟	U+2AC5F (U+2AC5F)	f0aab19f
𪱠	U+2AC60 (U+2AC60)	f0aab1a0
𪱡	U+2AC61 (U+2AC61)	f0aab1a1
𪱢	U+2AC62 (U+2AC62)	f0aab1a2
𪱣	U+2AC63 (U+2AC63)	f0aab1a3
𪱤	U+2AC64 (U+2AC64)	f0aab1a4
𪱥	U+2AC65 (U+2AC65)	f0aab1a5
𪱦	U+2AC66 (U+2AC66)	f0aab1a6
𪱧	U+2AC67 (U+2AC67)	f0aab1a7
𪱨	U+2AC68 (U+2AC68)	f0aab1a8
𪱩	U+2AC69 (U+2AC69)	f0aab1a9
𪱪	U+2AC6A (U+2AC6A)	f0aab1aa
𪱫	U+2AC6B (U+2AC6B)	f0aab1ab
𪱬	U+2AC6C (U+2AC6C)	f0aab1ac
𪱭	U+2AC6D (U+2AC6D)	f0aab1ad
𪱮	U+2AC6E (U+2AC6E)	f0aab1ae
𪱯	U+2AC6F (U+2AC6F)	f0aab1af
𪱰	U+2AC70 (U+2AC70)	f0aab1b0
𪱱	U+2AC71 (U+2AC71)	f0aab1b1
𪱲	U+2AC72 (U+2AC72)	f0aab1b2
𪱳	U+2AC73 (U+2AC73)	f0aab1b3
𪱴	U+2AC74 (U+2AC74)	f0aab1b4
𪱵	U+2AC75 (U+2AC75)	f0aab1b5
𪱶	U+2AC76 (U+2AC76)	f0aab1b6
𪱷	U+2AC77 (U+2AC77)	f0aab1b7
𪱸	U+2AC78 (U+2AC78)	f0aab1b8
𪱹	U+2AC79 (U+2AC79)	f0aab1b9
𪱺	U+2AC7A (U+2AC7A)	f0aab1ba
𪱻	U+2AC7B (U+2AC7B)	f0aab1bb
𪱼	U+2AC7C (U+2AC7C)	f0aab1bc
𪱽	U+2AC7D (U+2AC7D)	f0aab1bd
𪱾	U+2AC7E (U+2AC7E)	f0aab1be
𪱿	U+2AC7F (U+2AC7F)	f0aab1bf
𪲀	U+2AC80 (U+2AC80)	f0aab280
𪲁	U+2AC81 (U+2AC81)	f0aab281
𪲂	U+2AC82 (U+2AC82)	f0aab282
𪲃	U+2AC83 (U+2AC83)	f0aab283
𪲄	U+2AC84 (U+2AC84)	f0aab284
𪲅	U+2AC85 (U+2AC85)	f0aab285
𪲆	U+2AC86 (U+2AC86)	f0aab286
𪲇	U+2AC87 (U+2AC87)	f0aab287
𪲈	U+2AC88 (U+2AC88)	f0aab288
𪲉	U+2AC89 (U+2AC89)	f0aab289
𪲊	U+2AC8A (U+2AC8A)	f0aab28a
𪲋	U+2AC8B (U+2AC8B)	f0aab28b
𪲌	U+2AC8C (U+2AC8C)	f0aab28c
𪲍	U+2AC8D (U+2AC8D)	f0aab28d
𪲎	U+2AC8E (U+2AC8E)	f0aab28e
𪲏	U+2AC8F (U+2AC8F)	f0aab28f
𪲐	U+2AC90 (U+2AC90)	f0aab290
