৹	BENGALI CURRENCY DENOMINATOR SIXTEEN (U+09F9)	e0a7b9
৺	BENGALI ISSHAR (U+09FA)	e0a7ba
৻	BENGALI GANDA MARK (U+09FB)	e0a7bb
ਁ	GURMUKHI SIGN ADAK BINDI (U+0A01)	e0a881
ਂ	GURMUKHI SIGN BINDI (U+0A02)	e0a882
ਃ	GURMUKHI SIGN VISARGA (U+0A03)	e0a883
ਅ	GURMUKHI LETTER A (U+0A05)	e0a885
ਆ	GURMUKHI LETTER AA (U+0A06)	e0a886
ਇ	GURMUKHI LETTER I (U+0A07)	e0a887
ਈ	GURMUKHI LETTER II (U+0A08)	e0a888
ਉ	GURMUKHI LETTER U (U+0A09)	e0a889
ਊ	GURMUKHI LETTER UU (U+0A0A)	e0a88a
ਏ	GURMUKHI LETTER EE (U+0A0F)	e0a88f
ਐ	GURMUKHI LETTER AI (U+0A10)	e0a890
ਓ	GURMUKHI LETTER OO (U+0A13)	e0a893
ਔ	GURMUKHI LETTER AU (U+0A14)	e0a894
ਕ	GURMUKHI LETTER KA (U+0A15)	e0a895
ਖ	GURMUKHI LETTER KHA (U+0A16)	e0a896
ਗ	GURMUKHI LETTER GA (U+0A17)	e0a897
ਘ	GURMUKHI LETTER GHA (U+0A18)	e0a898
ਙ	GURMUKHI LETTER NGA (U+0A19)	e0a899
ਚ	GURMUKHI LETTER CA (U+0A1A)	e0a89a
ਛ	GURMUKHI LETTER CHA (U+0A1B)	e0a89b
ਜ	GURMUKHI LETTER JA (U+0A1C)	e0a89c
ਝ	GURMUKHI LETTER JHA (U+0A1D)	e0a89d
ਞ	GURMUKHI LETTER NYA (U+0A1E)	e0a89e
ਟ	GURMUKHI LETTER TTA (U+0A1F)	e0a89f
ਠ	GURMUKHI LETTER TTHA (U+0A20)	e0a8a0
ਡ	GURMUKHI LETTER DDA (U+0A21)	e0a8a1
ਢ	GURMUKHI LETTER DDHA (U+0A22)	e0a8a2
ਣ	GURMUKHI LETTER NNA (U+0A23)	e0a8a3
ਤ	GURMUKHI LETTER TA (U+0A24)	e0a8a4
ਥ	GURMUKHI LETTER THA (U+0A25)	e0a8a5
ਦ	GURMUKHI LETTER DA (U+0A26)	e0a8a6
ਧ	GURMUKHI LETTER DHA (U+0A27)	e0a8a7
ਨ	GURMUKHI LETTER NA (U+0A28)	e0a8a8
ਪ	GURMUKHI LETTER PA (U+0A2A)	e0a8aa
ਫ	GURMUKHI LETTER PHA (U+0A2B)	e0a8ab
ਬ	GURMUKHI LETTER BA (U+0A2C)	e0a8ac
ਭ	GURMUKHI LETTER BHA (U+0A2D)	e0a8ad
ਮ	GURMUKHI LETTER MA (U+0A2E)	e0a8ae
ਯ	GURMUKHI LETTER YA (U+0A2F)	e0a8af
ਰ	GURMUKHI LETTER RA (U+0A30)	e0a8b0
ਲ	GURMUKHI LETTER LA (U+0A32)	e0a8b2
ਲ਼	GURMUKHI LETTER LLA (U+0A33)	e0a8b3
ਵ	GURMUKHI LETTER VA (U+0A35)	e0a8b5
ਸ਼	GURMUKHI LETTER SHA (U+0A36)	e0a8b6
ਸ	GURMUKHI LETTER SA (U+0A38)	e0a8b8
ਹ	GURMUKHI LETTER HA (U+0A39)	e0a8b9
਼	GURMUKHI SIGN NUKTA (U+0A3C)	e0a8bc
ਾ	GURMUKHI VOWEL SIGN AA (U+0A3E)	e0a8be
ਿ	GURMUKHI VOWEL SIGN I (U+0A3F)	e0a8bf
ੀ	GURMUKHI VOWEL SIGN II (U+0A40)	e0a980
ੁ	GURMUKHI VOWEL SIGN U (U+0A41)	e0a981
ੂ	GURMUKHI VOWEL SIGN UU (U+0A42)	e0a982
ੇ	GURMUKHI VOWEL SIGN EE (U+0A47)	e0a987
ੈ	GURMUKHI VOWEL SIGN AI (U+0A48)	e0a988
ੋ	GURMUKHI VOWEL SIGN OO (U+0A4B)	e0a98b
ੌ	GURMUKHI VOWEL SIGN AU (U+0A4C)	e0a98c
੍	GURMUKHI SIGN VIRAMA (U+0A4D)	e0a98d
ੑ	GURMUKHI SIGN UDAAT (U+0A51)	e0a991
ਖ਼	GURMUKHI LETTER KHHA (U+0A59)	e0a999
ਗ਼	GURMUKHI LETTER GHHA (U+0A5A)	e0a99a
ਜ਼	GURMUKHI LETTER ZA (U+0A5B)	e0a99b
ੜ	GURMUKHI LETTER RRA (U+0A5C)	e0a99c
ਫ਼	GURMUKHI LETTER FA (U+0A5E)	e0a99e
੦	GURMUKHI DIGIT ZERO (U+0A66)	e0a9a6
੧	GURMUKHI DIGIT ONE (U+0A67)	e0a9a7
੨	GURMUKHI DIGIT TWO (U+0A68)	e0a9a8
੩	GURMUKHI DIGIT THREE (U+0A69)	e0a9a9
੪	GURMUKHI DIGIT FOUR (U+0A6A)	e0a9aa
੫	GURMUKHI DIGIT FIVE (U+0A6B)	e0a9ab
੬	GURMUKHI DIGIT SIX (U+0A6C)	e0a9ac
੭	GURMUKHI DIGIT SEVEN (U+0A6D)	e0a9ad
੮	GURMUKHI DIGIT EIGHT (U+0A6E)	e0a9ae
੯	GURMUKHI DIGIT NINE (U+0A6F)	e0a9af
ੰ	GURMUKHI TIPPI (U+0A70)	e0a9b0
