瞢	eyesight obscured; to feel ashamed (U+77A2)	e79ea2
瞣	U+77A3 (U+77A3)	e79ea3
瞤	to blink or twitch the eyes (U+77A4)	e79ea4
瞥	take fleeting glance at (U+77A5)	e79ea5
瞦	U+77A6 (U+77A6)	e79ea6
瞧	glance at, look at, see (U+77A7)	e79ea7
瞨	U+77A8 (U+77A8)	e79ea8
瞩	watch carefully, stare at, focus on (U+77A9)	e79ea9
瞪	stare at (U+77AA)	e79eaa
瞫	look (U+77AB)	e79eab
瞬	wink, blink; in a wink, a flash (U+77AC)	e79eac
瞭	bright, clear; clear-sighted (U+77AD)	e79ead
瞮	U+77AE (U+77AE)	e79eae
瞯	to peep; to spy (U+77AF)	e79eaf
瞰	watch, spy; overlook; look down (U+77B0)	e79eb0
瞱	U+77B1 (U+77B1)	e79eb1
瞲	U+77B2 (U+77B2)	e79eb2
瞳	pupil of eye (U+77B3)	e79eb3
瞴	U+77B4 (U+77B4)	e79eb4
瞵	to stare at (U+77B5)	e79eb5
瞶	dim; blurred vision (U+77B6)	e79eb6
瞷	U+77B7 (U+77B7)	e79eb7
瞸	U+77B8 (U+77B8)	e79eb8
瞹	clouded, obscure (U+77B9)	e79eb9
瞺	U+77BA (U+77BA)	e79eba
瞻	look; look out for; respect (U+77BB)	e79ebb
瞼	eyelid (U+77BC)	e79ebc
瞽	blind; blind musician; stupid (U+77BD)	e79ebd
瞾	U+77BE (U+77BE)	e79ebe
瞿	surname (U+77BF)	e79ebf
矀	U+77C0 (U+77C0)	e79f80
矁	to look at; to gaze (U+77C1)	e79f81
矂	U+77C2 (U+77C2)	e79f82
矃	U+77C3 (U+77C3)	e79f83
矄	U+77C4 (U+77C4)	e79f84
矅	U+77C5 (U+77C5)	e79f85
矆	U+77C6 (U+77C6)	e79f86
矇	stupid, ignorant; blind (U+77C7)	e79f87
矈	dense, detailed, fine (U+77C8)	e79f88
矉	an angry glare; to open the eyes with anger (U+77C9)	e79f89
矊	U+77CA (U+77CA)	e79f8a
矋	(Cant.) to stare angrily (U+77CB)	e79f8b
矌	U+77CC (U+77CC)	e79f8c
矍	look about in fright or alarm (U+77CD)	e79f8d
矎	U+77CE (U+77CE)	e79f8e
矏	U+77CF (U+77CF)	e79f8f
矐	U+77D0 (U+77D0)	e79f90
矑	the pupil of the eye; to see (U+77D1)	e79f91
矒	U+77D2 (U+77D2)	e79f92
矓	faint, fuzzy, blurred (U+77D3)	e79f93
矔	U+77D4 (U+77D4)	e79f94
矕	to see, witness, inspect (U+77D5)	e79f95
矖	U+77D6 (U+77D6)	e79f96
矗	straight, upright, erect, lofty (U+77D7)	e79f97
矘	U+77D8 (U+77D8)	e79f98
矙	view (U+77D9)	e79f99
矚	watch carefully, stare at, focus on (U+77DA)	e79f9a
矛	spear, lance; KangXi radical 110 (U+77DB)	e79f9b
矜	pity, feel sorry for, show sympat (U+77DC)	e79f9c
矝	U+77DD (U+77DD)	e79f9d
矞	bore with awl; bright, charming (U+77DE)	e79f9e
矟	lance (U+77DF)	e79f9f
矠	U+77E0 (U+77E0)	e79fa0
矡	U+77E1 (U+77E1)	e79fa1
矢	arrow, dart; vow, swear (U+77E2)	e79fa2
矣	particle of completed action (U+77E3)	e79fa3
矤	U+77E4 (U+77E4)	e79fa4
知	know, perceive, comprehend (U+77E5)	e79fa5
矦	U+77E6 (U+77E6)	e79fa6
矧	much more, still more; the gums (U+77E7)	e79fa7
矨	U+77E8 (U+77E8)	e79fa8
矩	carpenter's square, ruler, rule (U+77E9)	e79fa9
矪	U+77EA (U+77EA)	e79faa
矫	correct, rectify, straighten out (U+77EB)	e79fab
矬	a dwarf (U+77EC)	e79fac
短	short; brief; deficient, lacking (U+77ED)	e79fad
矮	short, dwarf; low (U+77EE)	e79fae
矯	correct, rectify, straighten out (U+77EF)	e79faf
矰	arrow with attached silk cord (U+77F0)	e79fb0
矱	measure, standard, criterion (U+77F1)	e79fb1
矲	U+77F2 (U+77F2)	e79fb2
石	stone, rock, mineral; rad. 112 (U+77F3)	e79fb3
矴	anchor; (Cant.) a place (U+77F4)	e79fb4
矵	U+77F5 (U+77F5)	e79fb5
矶	jetty; submerged rock; eddy (U+77F6)	e79fb6
矷	U+77F7 (U+77F7)	e79fb7
矸	a rock or cliff (U+77F8)	e79fb8
矹	U+77F9 (U+77F9)	e79fb9
矺	(Cant.) to press steadily (U+77FA)	e79fba
矻	toil, slave away; busy (U+77FB)	e79fbb
矼	stone bridge; stepping stones (U+77FC)	e79fbc
矽	silicon (U+77FD)	e79fbd
矾	alum (U+77FE)	e79fbe
矿	mine; mineral, ore (U+77FF)	e79fbf
砀	brilliantly colored stone with veined patterns in it (U+7800)	e7a080
码	number, numerals; yard; symbol (U+7801)	e7a081
砂	sand; pebbles, gravel; gritty (U+7802)	e7a082
砃	U+7803 (U+7803)	e7a083
砄	U+7804 (U+7804)	e7a084
砅	U+7805 (U+7805)	e7a085
砆	1/2 pr stone (U+7806)	e7a086
砇	a stone resembling jade, alabaster (U+7807)	e7a087
砈	U+7808 (U+7808)	e7a088
砉	U+7809 (U+7809)	e7a089
砊	U+780A (U+780A)	e7a08a
砋	U+780B (U+780B)	e7a08b
砌	to build, pile up; stone steps, brick walk (U+780C)	e7a08c
砍	hack, chop, cut, fell (U+780D)	e7a08d
砎	U+780E (U+780E)	e7a08e
砏	U+780F (U+780F)	e7a08f
砐	(Cant.) to nod one's head; to shake, sway (U+7810)	e7a090
砑	to grind, to calender, to polish; to roll with a stone roller (U+7811)	e7a091
砒	arsenic (U+7812)	e7a092
砓	U+7813 (U+7813)	e7a093
研	grind, rub; study, research (U+7814)	e7a094
砕	break, smash; broken, busted (U+7815)	e7a095
砖	tile, brick (U+7816)	e7a096
砗	giant clam, tridacna gigas (U+7817)	e7a097
砘	a kind of farm tool (U+7818)	e7a098
砙	U+7819 (U+7819)	e7a099
砚	inkstone (U+781A)	e7a09a
砛	U+781B (U+781B)	e7a09b
砜	an organic compound (U+781C)	e7a09c
砝	balance weights (U+781D)	e7a09d
砞	to smash rock (U+781E)	e7a09e
砟	stone tablet; monument (U+781F)	e7a09f
砠	rocky, hilly, uneven (U+7820)	e7a0a0
砡	U+7821 (U+7821)	e7a0a1
砢	pile of stones (U+7822)	e7a0a2
砣	a stone roller; a heavy stone, a weight, a plummet (U+7823)	e7a0a3
砤	U+7824 (U+7824)	e7a0a4
砥	a whetstone; to polish (U+7825)	e7a0a5
砦	stockade, fort, military outpost; brothel (U+7826)	e7a0a6
砧	anvil; flat stone; exe (U+7827)	e7a0a7
砨	U+7828 (U+7828)	e7a0a8
砩	U+7829 (U+7829)	e7a0a9
砪	U+782A (U+782A)	e7a0aa
砫	U+782B (U+782B)	e7a0ab
砬	big stone (U+782C)	e7a0ac
砭	stone probe; pierce; counsel (U+782D)	e7a0ad
砮	arrow-tip (U+782E)	e7a0ae
砯	to make a loud sound (U+782F)	e7a0af
砰	sound of crashing stones, bang! (U+7830)	e7a0b0
砱	U+7831 (U+7831)	e7a0b1
砲	gun, cannon (U+7832)	e7a0b2
砳	rocky (U+7833)	e7a0b3
破	break, ruin, destroy; rout (U+7834)	e7a0b4
砵	(Cant.) port (Eng. loan-word), 西矺 a sideboard (Eng. loan-word) (U+7835)	e7a0b5
砶	U+7836 (U+7836)	e7a0b6
砷	arsenic (U+7837)	e7a0b7
砸	smash, crush, break; pound, mash (U+7838)	e7a0b8
砹	astatine (U+7839)	e7a0b9
砺	whetstone; sharpen (U+783A)	e7a0ba
砻	grind, sharpen; mill (U+783B)	e7a0bb
砼	concrete (U+783C)	e7a0bc
砽	U+783D (U+783D)	e7a0bd
砾	gravel, pebbles (U+783E)	e7a0be
砿	mine; mineral, ore (U+783F)	e7a0bf
础	foundation stone, plinth (U+7840)	e7a180
硁	the sound of stones knocking together (U+7841)	e7a181
硂	U+7842 (U+7842)	e7a182
硃	a red mole; cinnabar (U+7843)	e7a183
硄	U+7844 (U+7844)	e7a184
硅	silicon (U+7845)	e7a185
硆	U+7846 (U+7846)	e7a186
硇	a kind of mineral (U+7847)	e7a187
硈	U+7848 (U+7848)	e7a188
硉	bones of a thin horse (U+7849)	e7a189
硊	U+784A (U+784A)	e7a18a
硋	U+784B (U+784B)	e7a18b
硌	U+784C (U+784C)	e7a18c
硍	strike (U+784D)	e7a18d
硎	whetstone (U+784E)	e7a18e
硏	grind (U+784F)	e7a18f
硐	variant of U+6D1E 洞, cave; chamber; pit (U+7850)	e7a190
硑	U+7851 (U+7851)	e7a191
硒	selenium (U+7852)	e7a192
硓	U+7853 (U+7853)	e7a193
硔	U+7854 (U+7854)	e7a194
硕	great, eminent; large, big (U+7855)	e7a195
硖	(archaic) town in Hebei province (U+7856)	e7a196
硗	barren land; sandy soil (U+7857)	e7a197
硘	U+7858 (U+7858)	e7a198
硙	stone mill; grind; break apart (U+7859)	e7a199
硚	U+785A (U+785A)	e7a19a
硛	U+785B (U+785B)	e7a19b
硜	the sound of stones knocking together (U+785C)	e7a19c
硝	saltpeter, niter; to tan (U+785D)	e7a19d
硞	U+785E (U+785E)	e7a19e
硟	(Cant.) to slip; to work and polish gems (U+785F)	e7a19f
硠	U+7860 (U+7860)	e7a1a0
硡	U+7861 (U+7861)	e7a1a1
硢	U+7862 (U+7862)	e7a1a2
硣	U+7863 (U+7863)	e7a1a3
硤	(archaic) town in Hebei province (U+7864)	e7a1a4
硥	U+7865 (U+7865)	e7a1a5
硦	U+7866 (U+7866)	e7a1a6
硧	a grindstone; (same as U+7850 硐) a cave, cavern (U+7867)	e7a1a7
硨	giant clam, Tridacna gigas (U+7868)	e7a1a8
硩	U+7869 (U+7869)	e7a1a9
硪	U+786A (U+786A)	e7a1aa
硫	sulfur (U+786B)	e7a1ab
硬	hard, firm, strong; obstinate (U+786C)	e7a1ac
硭	a crude saltpetre (U+786D)	e7a1ad
确	sure, certain; real, true (U+786E)	e7a1ae
硯	inkstone (U+786F)	e7a1af
硰	U+7870 (U+7870)	e7a1b0
硱	U+7871 (U+7871)	e7a1b1
硲	U+7872 (U+7872)	e7a1b2
硳	U+7873 (U+7873)	e7a1b3
硴	U+7874 (U+7874)	e7a1b4
