𠠾	U+2083E (U+2083E)	f0a0a0be
𠠿	U+2083F (U+2083F)	f0a0a0bf
𠡀	U+20840 (U+20840)	f0a0a180
𠡁	U+20841 (U+20841)	f0a0a181
𠡂	U+20842 (U+20842)	f0a0a182
𠡃	U+20843 (U+20843)	f0a0a183
𠡄	U+20844 (U+20844)	f0a0a184
𠡅	U+20845 (U+20845)	f0a0a185
𠡆	U+20846 (U+20846)	f0a0a186
𠡇	U+20847 (U+20847)	f0a0a187
𠡈	U+20848 (U+20848)	f0a0a188
𠡉	U+20849 (U+20849)	f0a0a189
𠡊	U+2084A (U+2084A)	f0a0a18a
𠡋	U+2084B (U+2084B)	f0a0a18b
𠡌	U+2084C (U+2084C)	f0a0a18c
𠡍	U+2084D (U+2084D)	f0a0a18d
𠡎	U+2084E (U+2084E)	f0a0a18e
𠡏	U+2084F (U+2084F)	f0a0a18f
𠡐	U+20850 (U+20850)	f0a0a190
𠡑	U+20851 (U+20851)	f0a0a191
𠡒	U+20852 (U+20852)	f0a0a192
𠡓	U+20853 (U+20853)	f0a0a193
𠡔	U+20854 (U+20854)	f0a0a194
𠡕	U+20855 (U+20855)	f0a0a195
𠡖	U+20856 (U+20856)	f0a0a196
𠡗	U+20857 (U+20857)	f0a0a197
𠡘	U+20858 (U+20858)	f0a0a198
𠡙	U+20859 (U+20859)	f0a0a199
𠡚	U+2085A (U+2085A)	f0a0a19a
𠡛	U+2085B (U+2085B)	f0a0a19b
𠡜	U+2085C (U+2085C)	f0a0a19c
𠡝	U+2085D (U+2085D)	f0a0a19d
𠡞	U+2085E (U+2085E)	f0a0a19e
𠡟	U+2085F (U+2085F)	f0a0a19f
𠡠	U+20860 (U+20860)	f0a0a1a0
𠡡	U+20861 (U+20861)	f0a0a1a1
𠡢	U+20862 (U+20862)	f0a0a1a2
𠡣	U+20863 (U+20863)	f0a0a1a3
𠡤	U+20864 (U+20864)	f0a0a1a4
𠡥	U+20865 (U+20865)	f0a0a1a5
𠡦	U+20866 (U+20866)	f0a0a1a6
𠡧	U+20867 (U+20867)	f0a0a1a7
𠡨	U+20868 (U+20868)	f0a0a1a8
𠡩	U+20869 (U+20869)	f0a0a1a9
𠡪	U+2086A (U+2086A)	f0a0a1aa
𠡫	U+2086B (U+2086B)	f0a0a1ab
𠡬	U+2086C (U+2086C)	f0a0a1ac
𠡭	U+2086D (U+2086D)	f0a0a1ad
𠡮	U+2086E (U+2086E)	f0a0a1ae
𠡯	U+2086F (U+2086F)	f0a0a1af
𠡰	U+20870 (U+20870)	f0a0a1b0
𠡱	U+20871 (U+20871)	f0a0a1b1
𠡲	U+20872 (U+20872)	f0a0a1b2
𠡳	U+20873 (U+20873)	f0a0a1b3
𠡴	U+20874 (U+20874)	f0a0a1b4
𠡵	U+20875 (U+20875)	f0a0a1b5
𠡶	U+20876 (U+20876)	f0a0a1b6
𠡷	U+20877 (U+20877)	f0a0a1b7
𠡸	U+20878 (U+20878)	f0a0a1b8
𠡹	U+20879 (U+20879)	f0a0a1b9
𠡺	U+2087A (U+2087A)	f0a0a1ba
𠡻	U+2087B (U+2087B)	f0a0a1bb
𠡼	U+2087C (U+2087C)	f0a0a1bc
𠡽	U+2087D (U+2087D)	f0a0a1bd
𠡾	U+2087E (U+2087E)	f0a0a1be
𠡿	U+2087F (U+2087F)	f0a0a1bf
𠢀	U+20880 (U+20880)	f0a0a280
𠢁	U+20881 (U+20881)	f0a0a281
𠢂	U+20882 (U+20882)	f0a0a282
𠢃	U+20883 (U+20883)	f0a0a283
𠢄	U+20884 (U+20884)	f0a0a284
𠢅	U+20885 (U+20885)	f0a0a285
𠢆	U+20886 (U+20886)	f0a0a286
𠢇	U+20887 (U+20887)	f0a0a287
𠢈	U+20888 (U+20888)	f0a0a288
𠢉	U+20889 (U+20889)	f0a0a289
𠢊	U+2088A (U+2088A)	f0a0a28a
𠢋	U+2088B (U+2088B)	f0a0a28b
𠢌	U+2088C (U+2088C)	f0a0a28c
𠢍	U+2088D (U+2088D)	f0a0a28d
𠢎	U+2088E (U+2088E)	f0a0a28e
𠢏	U+2088F (U+2088F)	f0a0a28f
𠢐	U+20890 (U+20890)	f0a0a290
𠢑	U+20891 (U+20891)	f0a0a291
𠢒	U+20892 (U+20892)	f0a0a292
𠢓	U+20893 (U+20893)	f0a0a293
𠢔	U+20894 (U+20894)	f0a0a294
𠢕	U+20895 (U+20895)	f0a0a295
𠢖	U+20896 (U+20896)	f0a0a296
𠢗	U+20897 (U+20897)	f0a0a297
𠢘	U+20898 (U+20898)	f0a0a298
𠢙	U+20899 (U+20899)	f0a0a299
𠢚	U+2089A (U+2089A)	f0a0a29a
𠢛	U+2089B (U+2089B)	f0a0a29b
𠢜	U+2089C (U+2089C)	f0a0a29c
𠢝	U+2089D (U+2089D)	f0a0a29d
𠢞	U+2089E (U+2089E)	f0a0a29e
𠢟	U+2089F (U+2089F)	f0a0a29f
𠢠	U+208A0 (U+208A0)	f0a0a2a0
𠢡	U+208A1 (U+208A1)	f0a0a2a1
𠢢	U+208A2 (U+208A2)	f0a0a2a2
𠢣	U+208A3 (U+208A3)	f0a0a2a3
𠢤	to urge, compel (U+208A4)	f0a0a2a4
𠢥	U+208A5 (U+208A5)	f0a0a2a5
𠢦	U+208A6 (U+208A6)	f0a0a2a6
𠢧	U+208A7 (U+208A7)	f0a0a2a7
𠢨	U+208A8 (U+208A8)	f0a0a2a8
𠢩	U+208A9 (U+208A9)	f0a0a2a9
𠢪	U+208AA (U+208AA)	f0a0a2aa
𠢫	U+208AB (U+208AB)	f0a0a2ab
𠢬	U+208AC (U+208AC)	f0a0a2ac
𠢭	U+208AD (U+208AD)	f0a0a2ad
𠢮	U+208AE (U+208AE)	f0a0a2ae
𠢯	U+208AF (U+208AF)	f0a0a2af
𠢰	U+208B0 (U+208B0)	f0a0a2b0
𠢱	U+208B1 (U+208B1)	f0a0a2b1
𠢲	U+208B2 (U+208B2)	f0a0a2b2
𠢳	U+208B3 (U+208B3)	f0a0a2b3
𠢴	U+208B4 (U+208B4)	f0a0a2b4
𠢵	U+208B5 (U+208B5)	f0a0a2b5
𠢶	U+208B6 (U+208B6)	f0a0a2b6
𠢷	U+208B7 (U+208B7)	f0a0a2b7
𠢸	U+208B8 (U+208B8)	f0a0a2b8
𠢹	U+208B9 (U+208B9)	f0a0a2b9
𠢺	U+208BA (U+208BA)	f0a0a2ba
𠢻	U+208BB (U+208BB)	f0a0a2bb
𠢼	U+208BC (U+208BC)	f0a0a2bc
𠢽	U+208BD (U+208BD)	f0a0a2bd
𠢾	U+208BE (U+208BE)	f0a0a2be
𠢿	U+208BF (U+208BF)	f0a0a2bf
𠣀	U+208C0 (U+208C0)	f0a0a380
𠣁	U+208C1 (U+208C1)	f0a0a381
𠣂	U+208C2 (U+208C2)	f0a0a382
𠣃	U+208C3 (U+208C3)	f0a0a383
𠣄	U+208C4 (U+208C4)	f0a0a384
𠣅	U+208C5 (U+208C5)	f0a0a385
𠣆	U+208C6 (U+208C6)	f0a0a386
𠣇	U+208C7 (U+208C7)	f0a0a387
𠣈	U+208C8 (U+208C8)	f0a0a388
𠣉	U+208C9 (U+208C9)	f0a0a389
𠣊	U+208CA (U+208CA)	f0a0a38a
𠣋	U+208CB (U+208CB)	f0a0a38b
𠣌	U+208CC (U+208CC)	f0a0a38c
𠣍	U+208CD (U+208CD)	f0a0a38d
𠣎	U+208CE (U+208CE)	f0a0a38e
𠣏	U+208CF (U+208CF)	f0a0a38f
𠣐	U+208D0 (U+208D0)	f0a0a390
𠣑	U+208D1 (U+208D1)	f0a0a391
𠣒	U+208D2 (U+208D2)	f0a0a392
𠣓	U+208D3 (U+208D3)	f0a0a393
𠣔	U+208D4 (U+208D4)	f0a0a394
𠣕	U+208D5 (U+208D5)	f0a0a395
𠣖	U+208D6 (U+208D6)	f0a0a396
𠣗	U+208D7 (U+208D7)	f0a0a397
𠣘	U+208D8 (U+208D8)	f0a0a398
𠣙	U+208D9 (U+208D9)	f0a0a399
𠣚	U+208DA (U+208DA)	f0a0a39a
𠣛	U+208DB (U+208DB)	f0a0a39b
𠣜	U+208DC (U+208DC)	f0a0a39c
𠣝	U+208DD (U+208DD)	f0a0a39d
𠣞	U+208DE (U+208DE)	f0a0a39e
𠣟	U+208DF (U+208DF)	f0a0a39f
𠣠	U+208E0 (U+208E0)	f0a0a3a0
𠣡	U+208E1 (U+208E1)	f0a0a3a1
𠣢	U+208E2 (U+208E2)	f0a0a3a2
𠣣	U+208E3 (U+208E3)	f0a0a3a3
𠣤	U+208E4 (U+208E4)	f0a0a3a4
𠣥	U+208E5 (U+208E5)	f0a0a3a5
𠣦	U+208E6 (U+208E6)	f0a0a3a6
𠣧	U+208E7 (U+208E7)	f0a0a3a7
𠣨	U+208E8 (U+208E8)	f0a0a3a8
𠣩	U+208E9 (U+208E9)	f0a0a3a9
𠣪	U+208EA (U+208EA)	f0a0a3aa
𠣫	U+208EB (U+208EB)	f0a0a3ab
𠣬	U+208EC (U+208EC)	f0a0a3ac
𠣭	U+208ED (U+208ED)	f0a0a3ad
𠣮	U+208EE (U+208EE)	f0a0a3ae
𠣯	U+208EF (U+208EF)	f0a0a3af
𠣰	U+208F0 (U+208F0)	f0a0a3b0
𠣱	U+208F1 (U+208F1)	f0a0a3b1
𠣲	U+208F2 (U+208F2)	f0a0a3b2
𠣳	U+208F3 (U+208F3)	f0a0a3b3
𠣴	U+208F4 (U+208F4)	f0a0a3b4
𠣵	U+208F5 (U+208F5)	f0a0a3b5
𠣶	U+208F6 (U+208F6)	f0a0a3b6
𠣷	U+208F7 (U+208F7)	f0a0a3b7
𠣸	U+208F8 (U+208F8)	f0a0a3b8
𠣹	U+208F9 (U+208F9)	f0a0a3b9
𠣺	U+208FA (U+208FA)	f0a0a3ba
𠣻	U+208FB (U+208FB)	f0a0a3bb
𠣼	U+208FC (U+208FC)	f0a0a3bc
𠣽	U+208FD (U+208FD)	f0a0a3bd
𠣾	U+208FE (U+208FE)	f0a0a3be
𠣿	U+208FF (U+208FF)	f0a0a3bf
𠤀	U+20900 (U+20900)	f0a0a480
𠤁	U+20901 (U+20901)	f0a0a481
𠤂	U+20902 (U+20902)	f0a0a482
𠤃	U+20903 (U+20903)	f0a0a483
𠤄	U+20904 (U+20904)	f0a0a484
𠤅	U+20905 (U+20905)	f0a0a485
𠤆	U+20906 (U+20906)	f0a0a486
𠤇	U+20907 (U+20907)	f0a0a487
𠤈	U+20908 (U+20908)	f0a0a488
𠤉	U+20909 (U+20909)	f0a0a489
𠤊	U+2090A (U+2090A)	f0a0a48a
𠤋	U+2090B (U+2090B)	f0a0a48b
𠤌	U+2090C (U+2090C)	f0a0a48c
𠤍	U+2090D (U+2090D)	f0a0a48d
𠤎	U+2090E (U+2090E)	f0a0a48e
𠤏	a tithing (U+2090F)	f0a0a48f
𠤐	U+20910 (U+20910)	f0a0a490
𠤑	U+20911 (U+20911)	f0a0a491
𠤒	U+20912 (U+20912)	f0a0a492
𠤓	U+20913 (U+20913)	f0a0a493
𠤔	U+20914 (U+20914)	f0a0a494
𠤕	U+20915 (U+20915)	f0a0a495
𠤖	U+20916 (U+20916)	f0a0a496
𠤗	U+20917 (U+20917)	f0a0a497
𠤘	U+20918 (U+20918)	f0a0a498
𠤙	U+20919 (U+20919)	f0a0a499
𠤚	U+2091A (U+2091A)	f0a0a49a
𠤛	U+2091B (U+2091B)	f0a0a49b
𠤜	U+2091C (U+2091C)	f0a0a49c
𠤝	U+2091D (U+2091D)	f0a0a49d
𠤞	U+2091E (U+2091E)	f0a0a49e
𠤟	U+2091F (U+2091F)	f0a0a49f
𠤠	U+20920 (U+20920)	f0a0a4a0
𠤡	U+20921 (U+20921)	f0a0a4a1
𠤢	U+20922 (U+20922)	f0a0a4a2
𠤣	U+20923 (U+20923)	f0a0a4a3
𠤤	U+20924 (U+20924)	f0a0a4a4
𠤥	U+20925 (U+20925)	f0a0a4a5
𠤦	U+20926 (U+20926)	f0a0a4a6
𠤧	U+20927 (U+20927)	f0a0a4a7
𠤨	U+20928 (U+20928)	f0a0a4a8
𠤩	U+20929 (U+20929)	f0a0a4a9
𠤪	U+2092A (U+2092A)	f0a0a4aa
𠤫	U+2092B (U+2092B)	f0a0a4ab
𠤬	U+2092C (U+2092C)	f0a0a4ac
𠤭	U+2092D (U+2092D)	f0a0a4ad
𠤮	U+2092E (U+2092E)	f0a0a4ae
𠤯	U+2092F (U+2092F)	f0a0a4af
𠤰	U+20930 (U+20930)	f0a0a4b0
𠤱	U+20931 (U+20931)	f0a0a4b1
𠤲	U+20932 (U+20932)	f0a0a4b2
𠤳	U+20933 (U+20933)	f0a0a4b3
𠤴	U+20934 (U+20934)	f0a0a4b4
𠤵	U+20935 (U+20935)	f0a0a4b5
𠤶	U+20936 (U+20936)	f0a0a4b6
𠤷	U+20937 (U+20937)	f0a0a4b7
𠤸	U+20938 (U+20938)	f0a0a4b8
𠤹	U+20939 (U+20939)	f0a0a4b9
𠤺	U+2093A (U+2093A)	f0a0a4ba
𠤻	U+2093B (U+2093B)	f0a0a4bb
𠤼	U+2093C (U+2093C)	f0a0a4bc
𠤽	U+2093D (U+2093D)	f0a0a4bd
𠤾	U+2093E (U+2093E)	f0a0a4be
𠤿	U+2093F (U+2093F)	f0a0a4bf
𠥀	U+20940 (U+20940)	f0a0a580
𠥁	U+20941 (U+20941)	f0a0a581
𠥂	U+20942 (U+20942)	f0a0a582
𠥃	U+20943 (U+20943)	f0a0a583
𠥄	U+20944 (U+20944)	f0a0a584
𠥅	U+20945 (U+20945)	f0a0a585
𠥆	U+20946 (U+20946)	f0a0a586
𠥇	U+20947 (U+20947)	f0a0a587
𠥈	U+20948 (U+20948)	f0a0a588
𠥉	U+20949 (U+20949)	f0a0a589
𠥊	U+2094A (U+2094A)	f0a0a58a
𠥋	U+2094B (U+2094B)	f0a0a58b
𠥌	U+2094C (U+2094C)	f0a0a58c
𠥍	U+2094D (U+2094D)	f0a0a58d
𠥎	U+2094E (U+2094E)	f0a0a58e
𠥏	U+2094F (U+2094F)	f0a0a58f
𠥐	U+20950 (U+20950)	f0a0a590
𠥑	U+20951 (U+20951)	f0a0a591
𠥒	U+20952 (U+20952)	f0a0a592
𠥓	U+20953 (U+20953)	f0a0a593
𠥔	U+20954 (U+20954)	f0a0a594
𠥕	U+20955 (U+20955)	f0a0a595
𠥖	U+20956 (U+20956)	f0a0a596
𠥗	U+20957 (U+20957)	f0a0a597
𠥘	U+20958 (U+20958)	f0a0a598
𠥙	U+20959 (U+20959)	f0a0a599
𠥚	U+2095A (U+2095A)	f0a0a59a
𠥛	U+2095B (U+2095B)	f0a0a59b
𠥜	U+2095C (U+2095C)	f0a0a59c
𠥝	U+2095D (U+2095D)	f0a0a59d
𠥞	U+2095E (U+2095E)	f0a0a59e
𠥟	U+2095F (U+2095F)	f0a0a59f
𠥠	U+20960 (U+20960)	f0a0a5a0
𠥡	U+20961 (U+20961)	f0a0a5a1
𠥢	U+20962 (U+20962)	f0a0a5a2
𠥣	U+20963 (U+20963)	f0a0a5a3
𠥤	U+20964 (U+20964)	f0a0a5a4
𠥥	U+20965 (U+20965)	f0a0a5a5
𠥦	U+20966 (U+20966)	f0a0a5a6
𠥧	U+20967 (U+20967)	f0a0a5a7
𠥨	U+20968 (U+20968)	f0a0a5a8
𠥩	U+20969 (U+20969)	f0a0a5a9
𠥪	U+2096A (U+2096A)	f0a0a5aa
𠥫	U+2096B (U+2096B)	f0a0a5ab
𠥬	U+2096C (U+2096C)	f0a0a5ac
𠥭	U+2096D (U+2096D)	f0a0a5ad
𠥮	U+2096E (U+2096E)	f0a0a5ae
𠥯	U+2096F (U+2096F)	f0a0a5af
𠥰	U+20970 (U+20970)	f0a0a5b0
𠥱	U+20971 (U+20971)	f0a0a5b1
𠥲	U+20972 (U+20972)	f0a0a5b2
𠥳	U+20973 (U+20973)	f0a0a5b3
𠥴	U+20974 (U+20974)	f0a0a5b4
𠥵	U+20975 (U+20975)	f0a0a5b5
𠥶	U+20976 (U+20976)	f0a0a5b6
𠥷	U+20977 (U+20977)	f0a0a5b7
𠥸	U+20978 (U+20978)	f0a0a5b8
𠥹	U+20979 (U+20979)	f0a0a5b9
𠥺	U+2097A (U+2097A)	f0a0a5ba
𠥻	U+2097B (U+2097B)	f0a0a5bb
𠥼	U+2097C (U+2097C)	f0a0a5bc
𠥽	U+2097D (U+2097D)	f0a0a5bd
𠥾	U+2097E (U+2097E)	f0a0a5be
𠥿	U+2097F (U+2097F)	f0a0a5bf
𠦀	U+20980 (U+20980)	f0a0a680
𠦁	U+20981 (U+20981)	f0a0a681
𠦂	U+20982 (U+20982)	f0a0a682
𠦃	U+20983 (U+20983)	f0a0a683
𠦄	U+20984 (U+20984)	f0a0a684
𠦅	U+20985 (U+20985)	f0a0a685
𠦆	U+20986 (U+20986)	f0a0a686
𠦇	U+20987 (U+20987)	f0a0a687
𠦈	U+20988 (U+20988)	f0a0a688
𠦉	U+20989 (U+20989)	f0a0a689
𠦊	U+2098A (U+2098A)	f0a0a68a
𠦋	U+2098B (U+2098B)	f0a0a68b
