𫑯	U+2B46F (U+2B46F)	f0ab91af
𫑰	U+2B470 (U+2B470)	f0ab91b0
𫑱	U+2B471 (U+2B471)	f0ab91b1
𫑲	U+2B472 (U+2B472)	f0ab91b2
𫑳	U+2B473 (U+2B473)	f0ab91b3
𫑴	U+2B474 (U+2B474)	f0ab91b4
𫑵	U+2B475 (U+2B475)	f0ab91b5
𫑶	U+2B476 (U+2B476)	f0ab91b6
𫑷	U+2B477 (U+2B477)	f0ab91b7
𫑸	U+2B478 (U+2B478)	f0ab91b8
𫑹	U+2B479 (U+2B479)	f0ab91b9
𫑺	U+2B47A (U+2B47A)	f0ab91ba
𫑻	U+2B47B (U+2B47B)	f0ab91bb
𫑼	U+2B47C (U+2B47C)	f0ab91bc
𫑽	U+2B47D (U+2B47D)	f0ab91bd
𫑾	U+2B47E (U+2B47E)	f0ab91be
𫑿	U+2B47F (U+2B47F)	f0ab91bf
𫒀	U+2B480 (U+2B480)	f0ab9280
𫒁	U+2B481 (U+2B481)	f0ab9281
𫒂	U+2B482 (U+2B482)	f0ab9282
𫒃	U+2B483 (U+2B483)	f0ab9283
𫒄	U+2B484 (U+2B484)	f0ab9284
𫒅	U+2B485 (U+2B485)	f0ab9285
𫒆	U+2B486 (U+2B486)	f0ab9286
𫒇	U+2B487 (U+2B487)	f0ab9287
𫒈	U+2B488 (U+2B488)	f0ab9288
𫒉	U+2B489 (U+2B489)	f0ab9289
𫒊	U+2B48A (U+2B48A)	f0ab928a
𫒋	U+2B48B (U+2B48B)	f0ab928b
𫒌	U+2B48C (U+2B48C)	f0ab928c
𫒍	U+2B48D (U+2B48D)	f0ab928d
𫒎	U+2B48E (U+2B48E)	f0ab928e
𫒏	U+2B48F (U+2B48F)	f0ab928f
𫒐	U+2B490 (U+2B490)	f0ab9290
𫒑	U+2B491 (U+2B491)	f0ab9291
𫒒	U+2B492 (U+2B492)	f0ab9292
𫒓	U+2B493 (U+2B493)	f0ab9293
𫒔	U+2B494 (U+2B494)	f0ab9294
𫒕	U+2B495 (U+2B495)	f0ab9295
𫒖	U+2B496 (U+2B496)	f0ab9296
𫒗	U+2B497 (U+2B497)	f0ab9297
𫒘	U+2B498 (U+2B498)	f0ab9298
𫒙	U+2B499 (U+2B499)	f0ab9299
𫒚	U+2B49A (U+2B49A)	f0ab929a
𫒛	U+2B49B (U+2B49B)	f0ab929b
