𡡾	U+2187E (U+2187E)	f0a1a1be
𡡿	U+2187F (U+2187F)	f0a1a1bf
𡢀	U+21880 (U+21880)	f0a1a280
𡢁	U+21881 (U+21881)	f0a1a281
𡢂	U+21882 (U+21882)	f0a1a282
𡢃	U+21883 (U+21883)	f0a1a283
𡢄	U+21884 (U+21884)	f0a1a284
𡢅	U+21885 (U+21885)	f0a1a285
𡢆	U+21886 (U+21886)	f0a1a286
𡢇	U+21887 (U+21887)	f0a1a287
𡢈	U+21888 (U+21888)	f0a1a288
𡢉	U+21889 (U+21889)	f0a1a289
𡢊	U+2188A (U+2188A)	f0a1a28a
𡢋	U+2188B (U+2188B)	f0a1a28b
𡢌	U+2188C (U+2188C)	f0a1a28c
𡢍	U+2188D (U+2188D)	f0a1a28d
𡢎	U+2188E (U+2188E)	f0a1a28e
𡢏	U+2188F (U+2188F)	f0a1a28f
𡢐	U+21890 (U+21890)	f0a1a290
𡢑	U+21891 (U+21891)	f0a1a291
𡢒	U+21892 (U+21892)	f0a1a292
𡢓	U+21893 (U+21893)	f0a1a293
𡢔	U+21894 (U+21894)	f0a1a294
𡢕	U+21895 (U+21895)	f0a1a295
𡢖	U+21896 (U+21896)	f0a1a296
𡢗	U+21897 (U+21897)	f0a1a297
𡢘	U+21898 (U+21898)	f0a1a298
𡢙	U+21899 (U+21899)	f0a1a299
𡢚	U+2189A (U+2189A)	f0a1a29a
𡢛	U+2189B (U+2189B)	f0a1a29b
𡢜	U+2189C (U+2189C)	f0a1a29c
𡢝	U+2189D (U+2189D)	f0a1a29d
𡢞	U+2189E (U+2189E)	f0a1a29e
𡢟	U+2189F (U+2189F)	f0a1a29f
𡢠	U+218A0 (U+218A0)	f0a1a2a0
𡢡	U+218A1 (U+218A1)	f0a1a2a1
𡢢	U+218A2 (U+218A2)	f0a1a2a2
𡢣	U+218A3 (U+218A3)	f0a1a2a3
𡢤	U+218A4 (U+218A4)	f0a1a2a4
𡢥	U+218A5 (U+218A5)	f0a1a2a5
𡢦	U+218A6 (U+218A6)	f0a1a2a6
𡢧	U+218A7 (U+218A7)	f0a1a2a7
𡢨	U+218A8 (U+218A8)	f0a1a2a8
𡢩	U+218A9 (U+218A9)	f0a1a2a9
𡢪	U+218AA (U+218AA)	f0a1a2aa
𡢫	U+218AB (U+218AB)	f0a1a2ab
𡢬	U+218AC (U+218AC)	f0a1a2ac
𡢭	U+218AD (U+218AD)	f0a1a2ad
𡢮	U+218AE (U+218AE)	f0a1a2ae
𡢯	U+218AF (U+218AF)	f0a1a2af
𡢰	U+218B0 (U+218B0)	f0a1a2b0
𡢱	U+218B1 (U+218B1)	f0a1a2b1
𡢲	U+218B2 (U+218B2)	f0a1a2b2
𡢳	U+218B3 (U+218B3)	f0a1a2b3
𡢴	U+218B4 (U+218B4)	f0a1a2b4
𡢵	U+218B5 (U+218B5)	f0a1a2b5
𡢶	U+218B6 (U+218B6)	f0a1a2b6
𡢷	U+218B7 (U+218B7)	f0a1a2b7
𡢸	U+218B8 (U+218B8)	f0a1a2b8
𡢹	U+218B9 (U+218B9)	f0a1a2b9
𡢺	U+218BA (U+218BA)	f0a1a2ba
𡢻	U+218BB (U+218BB)	f0a1a2bb
𡢼	U+218BC (U+218BC)	f0a1a2bc
𡢽	U+218BD (U+218BD)	f0a1a2bd
𡢾	U+218BE (U+218BE)	f0a1a2be
𡢿	U+218BF (U+218BF)	f0a1a2bf
𡣀	U+218C0 (U+218C0)	f0a1a380
𡣁	U+218C1 (U+218C1)	f0a1a381
𡣂	U+218C2 (U+218C2)	f0a1a382
𡣃	U+218C3 (U+218C3)	f0a1a383
𡣄	U+218C4 (U+218C4)	f0a1a384
𡣅	U+218C5 (U+218C5)	f0a1a385
𡣆	U+218C6 (U+218C6)	f0a1a386
𡣇	U+218C7 (U+218C7)	f0a1a387
𡣈	U+218C8 (U+218C8)	f0a1a388
𡣉	U+218C9 (U+218C9)	f0a1a389
𡣊	U+218CA (U+218CA)	f0a1a38a
𡣋	U+218CB (U+218CB)	f0a1a38b
𡣌	U+218CC (U+218CC)	f0a1a38c
𡣍	U+218CD (U+218CD)	f0a1a38d
𡣎	U+218CE (U+218CE)	f0a1a38e
𡣏	U+218CF (U+218CF)	f0a1a38f
𡣐	U+218D0 (U+218D0)	f0a1a390
𡣑	U+218D1 (U+218D1)	f0a1a391
𡣒	U+218D2 (U+218D2)	f0a1a392
𡣓	U+218D3 (U+218D3)	f0a1a393
