𤵄	U+24D44 (U+24D44)	f0a4b584
𤵅	U+24D45 (U+24D45)	f0a4b585
𤵆	U+24D46 (U+24D46)	f0a4b586
𤵇	U+24D47 (U+24D47)	f0a4b587
𤵈	U+24D48 (U+24D48)	f0a4b588
𤵉	U+24D49 (U+24D49)	f0a4b589
𤵊	U+24D4A (U+24D4A)	f0a4b58a
𤵋	U+24D4B (U+24D4B)	f0a4b58b
𤵌	U+24D4C (U+24D4C)	f0a4b58c
𤵍	U+24D4D (U+24D4D)	f0a4b58d
𤵎	U+24D4E (U+24D4E)	f0a4b58e
𤵏	U+24D4F (U+24D4F)	f0a4b58f
𤵐	U+24D50 (U+24D50)	f0a4b590
𤵑	U+24D51 (U+24D51)	f0a4b591
𤵒	U+24D52 (U+24D52)	f0a4b592
𤵓	U+24D53 (U+24D53)	f0a4b593
𤵔	U+24D54 (U+24D54)	f0a4b594
𤵕	U+24D55 (U+24D55)	f0a4b595
𤵖	U+24D56 (U+24D56)	f0a4b596
𤵗	U+24D57 (U+24D57)	f0a4b597
𤵘	U+24D58 (U+24D58)	f0a4b598
𤵙	U+24D59 (U+24D59)	f0a4b599
𤵚	humpback (U+24D5A)	f0a4b59a
𤵛	U+24D5B (U+24D5B)	f0a4b59b
𤵜	U+24D5C (U+24D5C)	f0a4b59c
𤵝	U+24D5D (U+24D5D)	f0a4b59d
𤵞	U+24D5E (U+24D5E)	f0a4b59e
𤵟	U+24D5F (U+24D5F)	f0a4b59f
𤵠	U+24D60 (U+24D60)	f0a4b5a0
𤵡	U+24D61 (U+24D61)	f0a4b5a1
𤵢	U+24D62 (U+24D62)	f0a4b5a2
