𪡔	U+2A854 (U+2A854)	f0aaa194
𪡕	U+2A855 (U+2A855)	f0aaa195
𪡖	U+2A856 (U+2A856)	f0aaa196
𪡗	U+2A857 (U+2A857)	f0aaa197
𪡘	U+2A858 (U+2A858)	f0aaa198
𪡙	U+2A859 (U+2A859)	f0aaa199
𪡚	U+2A85A (U+2A85A)	f0aaa19a
𪡛	U+2A85B (U+2A85B)	f0aaa19b
𪡜	U+2A85C (U+2A85C)	f0aaa19c
𪡝	U+2A85D (U+2A85D)	f0aaa19d
𪡞	U+2A85E (U+2A85E)	f0aaa19e
𪡟	U+2A85F (U+2A85F)	f0aaa19f
𪡠	U+2A860 (U+2A860)	f0aaa1a0
𪡡	U+2A861 (U+2A861)	f0aaa1a1
𪡢	U+2A862 (U+2A862)	f0aaa1a2
𪡣	U+2A863 (U+2A863)	f0aaa1a3
𪡤	U+2A864 (U+2A864)	f0aaa1a4
𪡥	U+2A865 (U+2A865)	f0aaa1a5
𪡦	U+2A866 (U+2A866)	f0aaa1a6
𪡧	U+2A867 (U+2A867)	f0aaa1a7
𪡨	U+2A868 (U+2A868)	f0aaa1a8
𪡩	U+2A869 (U+2A869)	f0aaa1a9
𪡪	U+2A86A (U+2A86A)	f0aaa1aa
𪡫	U+2A86B (U+2A86B)	f0aaa1ab
𪡬	U+2A86C (U+2A86C)	f0aaa1ac
𪡭	U+2A86D (U+2A86D)	f0aaa1ad
𪡮	U+2A86E (U+2A86E)	f0aaa1ae
𪡯	U+2A86F (U+2A86F)	f0aaa1af
𪡰	U+2A870 (U+2A870)	f0aaa1b0
𪡱	U+2A871 (U+2A871)	f0aaa1b1
𪡲	U+2A872 (U+2A872)	f0aaa1b2
𪡳	U+2A873 (U+2A873)	f0aaa1b3
𪡴	U+2A874 (U+2A874)	f0aaa1b4
𪡵	U+2A875 (U+2A875)	f0aaa1b5
𪡶	U+2A876 (U+2A876)	f0aaa1b6
𪡷	U+2A877 (U+2A877)	f0aaa1b7
𪡸	U+2A878 (U+2A878)	f0aaa1b8
𪡹	U+2A879 (U+2A879)	f0aaa1b9
𪡺	U+2A87A (U+2A87A)	f0aaa1ba
𪡻	U+2A87B (U+2A87B)	f0aaa1bb
𪡼	U+2A87C (U+2A87C)	f0aaa1bc
𪡽	U+2A87D (U+2A87D)	f0aaa1bd
𪡾	U+2A87E (U+2A87E)	f0aaa1be
𪡿	U+2A87F (U+2A87F)	f0aaa1bf
𪢀	U+2A880 (U+2A880)	f0aaa280
