𥰝	U+25C1D (U+25C1D)	f0a5b09d
𥰞	U+25C1E (U+25C1E)	f0a5b09e
𥰟	U+25C1F (U+25C1F)	f0a5b09f
𥰠	U+25C20 (U+25C20)	f0a5b0a0
𥰡	U+25C21 (U+25C21)	f0a5b0a1
𥰢	U+25C22 (U+25C22)	f0a5b0a2
𥰣	U+25C23 (U+25C23)	f0a5b0a3
𥰤	U+25C24 (U+25C24)	f0a5b0a4
𥰥	U+25C25 (U+25C25)	f0a5b0a5
𥰦	U+25C26 (U+25C26)	f0a5b0a6
𥰧	U+25C27 (U+25C27)	f0a5b0a7
𥰨	U+25C28 (U+25C28)	f0a5b0a8
𥰩	U+25C29 (U+25C29)	f0a5b0a9
𥰪	U+25C2A (U+25C2A)	f0a5b0aa
𥰫	U+25C2B (U+25C2B)	f0a5b0ab
𥰬	U+25C2C (U+25C2C)	f0a5b0ac
𥰭	U+25C2D (U+25C2D)	f0a5b0ad
𥰮	U+25C2E (U+25C2E)	f0a5b0ae
𥰯	U+25C2F (U+25C2F)	f0a5b0af
𥰰	U+25C30 (U+25C30)	f0a5b0b0
𥰱	U+25C31 (U+25C31)	f0a5b0b1
𥰲	U+25C32 (U+25C32)	f0a5b0b2
𥰳	U+25C33 (U+25C33)	f0a5b0b3
𥰴	U+25C34 (U+25C34)	f0a5b0b4
𥰵	U+25C35 (U+25C35)	f0a5b0b5
𥰶	U+25C36 (U+25C36)	f0a5b0b6
𥰷	U+25C37 (U+25C37)	f0a5b0b7
𥰸	U+25C38 (U+25C38)	f0a5b0b8
𥰹	U+25C39 (U+25C39)	f0a5b0b9
𥰺	U+25C3A (U+25C3A)	f0a5b0ba
𥰻	U+25C3B (U+25C3B)	f0a5b0bb
𥰼	U+25C3C (U+25C3C)	f0a5b0bc
𥰽	U+25C3D (U+25C3D)	f0a5b0bd
𥰾	U+25C3E (U+25C3E)	f0a5b0be
𥰿	U+25C3F (U+25C3F)	f0a5b0bf
𥱀	U+25C40 (U+25C40)	f0a5b180
𥱁	U+25C41 (U+25C41)	f0a5b181
𥱂	U+25C42 (U+25C42)	f0a5b182
𥱃	U+25C43 (U+25C43)	f0a5b183
𥱄	U+25C44 (U+25C44)	f0a5b184
𥱅	U+25C45 (U+25C45)	f0a5b185
𥱆	U+25C46 (U+25C46)	f0a5b186
𥱇	U+25C47 (U+25C47)	f0a5b187
𥱈	U+25C48 (U+25C48)	f0a5b188
𥱉	U+25C49 (U+25C49)	f0a5b189
𥱊	U+25C4A (U+25C4A)	f0a5b18a
𥱋	U+25C4B (U+25C4B)	f0a5b18b
𥱌	U+25C4C (U+25C4C)	f0a5b18c
𥱍	U+25C4D (U+25C4D)	f0a5b18d
𥱎	U+25C4E (U+25C4E)	f0a5b18e
𥱏	U+25C4F (U+25C4F)	f0a5b18f
𥱐	U+25C50 (U+25C50)	f0a5b190
𥱑	U+25C51 (U+25C51)	f0a5b191
𥱒	U+25C52 (U+25C52)	f0a5b192
𥱓	U+25C53 (U+25C53)	f0a5b193
𥱔	U+25C54 (U+25C54)	f0a5b194
𥱕	U+25C55 (U+25C55)	f0a5b195
𥱖	U+25C56 (U+25C56)	f0a5b196
𥱗	U+25C57 (U+25C57)	f0a5b197
𥱘	U+25C58 (U+25C58)	f0a5b198
𥱙	U+25C59 (U+25C59)	f0a5b199
𥱚	U+25C5A (U+25C5A)	f0a5b19a
𥱛	U+25C5B (U+25C5B)	f0a5b19b
𥱜	U+25C5C (U+25C5C)	f0a5b19c
𥱝	U+25C5D (U+25C5D)	f0a5b19d
𥱞	U+25C5E (U+25C5E)	f0a5b19e
𥱟	U+25C5F (U+25C5F)	f0a5b19f
𥱠	U+25C60 (U+25C60)	f0a5b1a0
𥱡	U+25C61 (U+25C61)	f0a5b1a1
𥱢	U+25C62 (U+25C62)	f0a5b1a2
𥱣	U+25C63 (U+25C63)	f0a5b1a3
𥱤	U+25C64 (U+25C64)	f0a5b1a4
𥱥	U+25C65 (U+25C65)	f0a5b1a5
𥱦	U+25C66 (U+25C66)	f0a5b1a6
𥱧	U+25C67 (U+25C67)	f0a5b1a7
𥱨	U+25C68 (U+25C68)	f0a5b1a8
𥱩	U+25C69 (U+25C69)	f0a5b1a9
𥱪	U+25C6A (U+25C6A)	f0a5b1aa
𥱫	U+25C6B (U+25C6B)	f0a5b1ab
𥱬	U+25C6C (U+25C6C)	f0a5b1ac
𥱭	U+25C6D (U+25C6D)	f0a5b1ad
𥱮	U+25C6E (U+25C6E)	f0a5b1ae
𥱯	U+25C6F (U+25C6F)	f0a5b1af
𥱰	U+25C70 (U+25C70)	f0a5b1b0
𥱱	U+25C71 (U+25C71)	f0a5b1b1
𥱲	U+25C72 (U+25C72)	f0a5b1b2
𥱳	U+25C73 (U+25C73)	f0a5b1b3
𥱴	U+25C74 (U+25C74)	f0a5b1b4
𥱵	U+25C75 (U+25C75)	f0a5b1b5
𥱶	U+25C76 (U+25C76)	f0a5b1b6
𥱷	U+25C77 (U+25C77)	f0a5b1b7
𥱸	U+25C78 (U+25C78)	f0a5b1b8
𥱹	U+25C79 (U+25C79)	f0a5b1b9
𥱺	U+25C7A (U+25C7A)	f0a5b1ba
𥱻	U+25C7B (U+25C7B)	f0a5b1bb
𥱼	U+25C7C (U+25C7C)	f0a5b1bc
𥱽	U+25C7D (U+25C7D)	f0a5b1bd
𥱾	U+25C7E (U+25C7E)	f0a5b1be
𥱿	U+25C7F (U+25C7F)	f0a5b1bf
𥲀	U+25C80 (U+25C80)	f0a5b280
𥲁	U+25C81 (U+25C81)	f0a5b281
𥲂	U+25C82 (U+25C82)	f0a5b282
𥲃	U+25C83 (U+25C83)	f0a5b283
𥲄	U+25C84 (U+25C84)	f0a5b284
𥲅	U+25C85 (U+25C85)	f0a5b285
𥲆	U+25C86 (U+25C86)	f0a5b286
𥲇	U+25C87 (U+25C87)	f0a5b287
𥲈	U+25C88 (U+25C88)	f0a5b288
𥲉	U+25C89 (U+25C89)	f0a5b289
𥲊	U+25C8A (U+25C8A)	f0a5b28a
𥲋	U+25C8B (U+25C8B)	f0a5b28b
𥲌	U+25C8C (U+25C8C)	f0a5b28c
𥲍	U+25C8D (U+25C8D)	f0a5b28d
𥲎	U+25C8E (U+25C8E)	f0a5b28e
𥲏	U+25C8F (U+25C8F)	f0a5b28f
𥲐	U+25C90 (U+25C90)	f0a5b290
𥲑	U+25C91 (U+25C91)	f0a5b291
𥲒	U+25C92 (U+25C92)	f0a5b292
𥲓	U+25C93 (U+25C93)	f0a5b293
𥲔	U+25C94 (U+25C94)	f0a5b294
𥲕	U+25C95 (U+25C95)	f0a5b295
𥲖	U+25C96 (U+25C96)	f0a5b296
𥲗	U+25C97 (U+25C97)	f0a5b297
𥲘	U+25C98 (U+25C98)	f0a5b298
𥲙	U+25C99 (U+25C99)	f0a5b299
𥲚	U+25C9A (U+25C9A)	f0a5b29a
𥲛	U+25C9B (U+25C9B)	f0a5b29b
𥲜	U+25C9C (U+25C9C)	f0a5b29c
𥲝	U+25C9D (U+25C9D)	f0a5b29d
𥲞	U+25C9E (U+25C9E)	f0a5b29e
𥲟	U+25C9F (U+25C9F)	f0a5b29f
𥲠	U+25CA0 (U+25CA0)	f0a5b2a0
𥲡	U+25CA1 (U+25CA1)	f0a5b2a1
𥲢	U+25CA2 (U+25CA2)	f0a5b2a2
𥲣	U+25CA3 (U+25CA3)	f0a5b2a3
𥲤	U+25CA4 (U+25CA4)	f0a5b2a4
𥲥	U+25CA5 (U+25CA5)	f0a5b2a5
𥲦	U+25CA6 (U+25CA6)	f0a5b2a6
𥲧	U+25CA7 (U+25CA7)	f0a5b2a7
𥲨	U+25CA8 (U+25CA8)	f0a5b2a8
𥲩	U+25CA9 (U+25CA9)	f0a5b2a9
𥲪	U+25CAA (U+25CAA)	f0a5b2aa
𥲫	U+25CAB (U+25CAB)	f0a5b2ab
𥲬	U+25CAC (U+25CAC)	f0a5b2ac
𥲭	U+25CAD (U+25CAD)	f0a5b2ad
𥲮	U+25CAE (U+25CAE)	f0a5b2ae
𥲯	U+25CAF (U+25CAF)	f0a5b2af
𥲰	U+25CB0 (U+25CB0)	f0a5b2b0
𥲱	U+25CB1 (U+25CB1)	f0a5b2b1
𥲲	U+25CB2 (U+25CB2)	f0a5b2b2
𥲳	U+25CB3 (U+25CB3)	f0a5b2b3
𥲴	U+25CB4 (U+25CB4)	f0a5b2b4
𥲵	U+25CB5 (U+25CB5)	f0a5b2b5
𥲶	U+25CB6 (U+25CB6)	f0a5b2b6
𥲷	U+25CB7 (U+25CB7)	f0a5b2b7
𥲸	U+25CB8 (U+25CB8)	f0a5b2b8
𥲹	U+25CB9 (U+25CB9)	f0a5b2b9
𥲺	U+25CBA (U+25CBA)	f0a5b2ba
𥲻	U+25CBB (U+25CBB)	f0a5b2bb
𥲼	U+25CBC (U+25CBC)	f0a5b2bc
