𣀟	U+2301F (U+2301F)	f0a3809f
𣀠	U+23020 (U+23020)	f0a380a0
𣀡	U+23021 (U+23021)	f0a380a1
𣀢	U+23022 (U+23022)	f0a380a2
𣀣	U+23023 (U+23023)	f0a380a3
𣀤	U+23024 (U+23024)	f0a380a4
𣀥	U+23025 (U+23025)	f0a380a5
𣀦	U+23026 (U+23026)	f0a380a6
𣀧	U+23027 (U+23027)	f0a380a7
𣀨	U+23028 (U+23028)	f0a380a8
𣀩	U+23029 (U+23029)	f0a380a9
𣀪	U+2302A (U+2302A)	f0a380aa
𣀫	U+2302B (U+2302B)	f0a380ab
𣀬	U+2302C (U+2302C)	f0a380ac
𣀭	U+2302D (U+2302D)	f0a380ad
𣀮	U+2302E (U+2302E)	f0a380ae
𣀯	U+2302F (U+2302F)	f0a380af
𣀰	U+23030 (U+23030)	f0a380b0
𣀱	U+23031 (U+23031)	f0a380b1
𣀲	U+23032 (U+23032)	f0a380b2
𣀳	U+23033 (U+23033)	f0a380b3
𣀴	U+23034 (U+23034)	f0a380b4
𣀵	U+23035 (U+23035)	f0a380b5
𣀶	U+23036 (U+23036)	f0a380b6
𣀷	U+23037 (U+23037)	f0a380b7
𣀸	U+23038 (U+23038)	f0a380b8
𣀹	U+23039 (U+23039)	f0a380b9
𣀺	U+2303A (U+2303A)	f0a380ba
𣀻	U+2303B (U+2303B)	f0a380bb
𣀼	U+2303C (U+2303C)	f0a380bc
𣀽	U+2303D (U+2303D)	f0a380bd
𣀾	U+2303E (U+2303E)	f0a380be
𣀿	U+2303F (U+2303F)	f0a380bf
𣁀	U+23040 (U+23040)	f0a38180
𣁁	U+23041 (U+23041)	f0a38181
𣁂	U+23042 (U+23042)	f0a38182
𣁃	U+23043 (U+23043)	f0a38183
𣁄	U+23044 (U+23044)	f0a38184
𣁅	U+23045 (U+23045)	f0a38185
𣁆	U+23046 (U+23046)	f0a38186
𣁇	U+23047 (U+23047)	f0a38187
𣁈	U+23048 (U+23048)	f0a38188
𣁉	U+23049 (U+23049)	f0a38189
𣁊	U+2304A (U+2304A)	f0a3818a
𣁋	U+2304B (U+2304B)	f0a3818b
𣁌	U+2304C (U+2304C)	f0a3818c
𣁍	U+2304D (U+2304D)	f0a3818d
𣁎	U+2304E (U+2304E)	f0a3818e
𣁏	U+2304F (U+2304F)	f0a3818f
𣁐	U+23050 (U+23050)	f0a38190
𣁑	U+23051 (U+23051)	f0a38191
𣁒	U+23052 (U+23052)	f0a38192
𣁓	U+23053 (U+23053)	f0a38193
𣁔	U+23054 (U+23054)	f0a38194
𣁕	U+23055 (U+23055)	f0a38195
𣁖	U+23056 (U+23056)	f0a38196
𣁗	U+23057 (U+23057)	f0a38197
𣁘	U+23058 (U+23058)	f0a38198
𣁙	U+23059 (U+23059)	f0a38199
𣁚	U+2305A (U+2305A)	f0a3819a
𣁛	U+2305B (U+2305B)	f0a3819b
𣁜	U+2305C (U+2305C)	f0a3819c
𣁝	U+2305D (U+2305D)	f0a3819d
𣁞	U+2305E (U+2305E)	f0a3819e
𣁟	U+2305F (U+2305F)	f0a3819f
𣁠	U+23060 (U+23060)	f0a381a0
𣁡	U+23061 (U+23061)	f0a381a1
𣁢	U+23062 (U+23062)	f0a381a2
𣁣	U+23063 (U+23063)	f0a381a3
𣁤	U+23064 (U+23064)	f0a381a4
𣁥	U+23065 (U+23065)	f0a381a5
𣁦	U+23066 (U+23066)	f0a381a6
𣁧	U+23067 (U+23067)	f0a381a7
𣁨	U+23068 (U+23068)	f0a381a8
𣁩	U+23069 (U+23069)	f0a381a9
𣁪	U+2306A (U+2306A)	f0a381aa
𣁫	U+2306B (U+2306B)	f0a381ab
𣁬	U+2306C (U+2306C)	f0a381ac
𣁭	U+2306D (U+2306D)	f0a381ad
𣁮	U+2306E (U+2306E)	f0a381ae
𣁯	U+2306F (U+2306F)	f0a381af
𣁰	U+23070 (U+23070)	f0a381b0
𣁱	U+23071 (U+23071)	f0a381b1
𣁲	U+23072 (U+23072)	f0a381b2
𣁳	U+23073 (U+23073)	f0a381b3
𣁴	U+23074 (U+23074)	f0a381b4
𣁵	U+23075 (U+23075)	f0a381b5
𣁶	U+23076 (U+23076)	f0a381b6
𣁷	U+23077 (U+23077)	f0a381b7
𣁸	U+23078 (U+23078)	f0a381b8
