𣡞	U+2385E (U+2385E)	f0a3a19e
𣡟	U+2385F (U+2385F)	f0a3a19f
𣡠	U+23860 (U+23860)	f0a3a1a0
𣡡	U+23861 (U+23861)	f0a3a1a1
𣡢	U+23862 (U+23862)	f0a3a1a2
𣡣	U+23863 (U+23863)	f0a3a1a3
𣡤	U+23864 (U+23864)	f0a3a1a4
𣡥	U+23865 (U+23865)	f0a3a1a5
𣡦	U+23866 (U+23866)	f0a3a1a6
𣡧	U+23867 (U+23867)	f0a3a1a7
𣡨	U+23868 (U+23868)	f0a3a1a8
𣡩	U+23869 (U+23869)	f0a3a1a9
𣡪	U+2386A (U+2386A)	f0a3a1aa
𣡫	U+2386B (U+2386B)	f0a3a1ab
𣡬	U+2386C (U+2386C)	f0a3a1ac
𣡭	U+2386D (U+2386D)	f0a3a1ad
𣡮	U+2386E (U+2386E)	f0a3a1ae
𣡯	U+2386F (U+2386F)	f0a3a1af
𣡰	U+23870 (U+23870)	f0a3a1b0
𣡱	U+23871 (U+23871)	f0a3a1b1
𣡲	U+23872 (U+23872)	f0a3a1b2
𣡳	U+23873 (U+23873)	f0a3a1b3
𣡴	U+23874 (U+23874)	f0a3a1b4
𣡵	U+23875 (U+23875)	f0a3a1b5
𣡶	U+23876 (U+23876)	f0a3a1b6
𣡷	U+23877 (U+23877)	f0a3a1b7
𣡸	U+23878 (U+23878)	f0a3a1b8
𣡹	U+23879 (U+23879)	f0a3a1b9
𣡺	U+2387A (U+2387A)	f0a3a1ba
𣡻	U+2387B (U+2387B)	f0a3a1bb
𣡼	U+2387C (U+2387C)	f0a3a1bc
𣡽	U+2387D (U+2387D)	f0a3a1bd
𣡾	U+2387E (U+2387E)	f0a3a1be
𣡿	U+2387F (U+2387F)	f0a3a1bf
𣢀	U+23880 (U+23880)	f0a3a280
𣢁	U+23881 (U+23881)	f0a3a281
𣢂	U+23882 (U+23882)	f0a3a282
𣢃	U+23883 (U+23883)	f0a3a283
𣢄	U+23884 (U+23884)	f0a3a284
𣢅	U+23885 (U+23885)	f0a3a285
𣢆	U+23886 (U+23886)	f0a3a286
𣢇	U+23887 (U+23887)	f0a3a287
𣢈	U+23888 (U+23888)	f0a3a288
𣢉	U+23889 (U+23889)	f0a3a289
𣢊	U+2388A (U+2388A)	f0a3a28a
𣢋	U+2388B (U+2388B)	f0a3a28b
𣢌	U+2388C (U+2388C)	f0a3a28c
𣢍	U+2388D (U+2388D)	f0a3a28d
𣢎	U+2388E (U+2388E)	f0a3a28e
𣢏	U+2388F (U+2388F)	f0a3a28f
𣢐	U+23890 (U+23890)	f0a3a290
𣢑	U+23891 (U+23891)	f0a3a291
𣢒	U+23892 (U+23892)	f0a3a292
𣢓	U+23893 (U+23893)	f0a3a293
𣢔	U+23894 (U+23894)	f0a3a294
𣢕	U+23895 (U+23895)	f0a3a295
𣢖	U+23896 (U+23896)	f0a3a296
𣢗	U+23897 (U+23897)	f0a3a297
𣢘	U+23898 (U+23898)	f0a3a298
𣢙	U+23899 (U+23899)	f0a3a299
𣢚	U+2389A (U+2389A)	f0a3a29a
𣢛	U+2389B (U+2389B)	f0a3a29b
𣢜	U+2389C (U+2389C)	f0a3a29c
𣢝	U+2389D (U+2389D)	f0a3a29d
𣢞	U+2389E (U+2389E)	f0a3a29e
