𥣭	U+258ED (U+258ED)	f0a5a3ad
𥣮	U+258EE (U+258EE)	f0a5a3ae
𥣯	U+258EF (U+258EF)	f0a5a3af
𥣰	U+258F0 (U+258F0)	f0a5a3b0
𥣱	U+258F1 (U+258F1)	f0a5a3b1
𥣲	U+258F2 (U+258F2)	f0a5a3b2
𥣳	U+258F3 (U+258F3)	f0a5a3b3
𥣴	U+258F4 (U+258F4)	f0a5a3b4
𥣵	U+258F5 (U+258F5)	f0a5a3b5
𥣶	U+258F6 (U+258F6)	f0a5a3b6
𥣷	U+258F7 (U+258F7)	f0a5a3b7
𥣸	U+258F8 (U+258F8)	f0a5a3b8
𥣹	U+258F9 (U+258F9)	f0a5a3b9
𥣺	U+258FA (U+258FA)	f0a5a3ba
𥣻	U+258FB (U+258FB)	f0a5a3bb
𥣼	U+258FC (U+258FC)	f0a5a3bc
𥣽	U+258FD (U+258FD)	f0a5a3bd
𥣾	U+258FE (U+258FE)	f0a5a3be
𥣿	U+258FF (U+258FF)	f0a5a3bf
𥤀	U+25900 (U+25900)	f0a5a480
𥤁	U+25901 (U+25901)	f0a5a481
𥤂	U+25902 (U+25902)	f0a5a482
𥤃	U+25903 (U+25903)	f0a5a483
𥤄	U+25904 (U+25904)	f0a5a484
𥤅	U+25905 (U+25905)	f0a5a485
𥤆	U+25906 (U+25906)	f0a5a486
𥤇	U+25907 (U+25907)	f0a5a487
𥤈	U+25908 (U+25908)	f0a5a488
𥤉	U+25909 (U+25909)	f0a5a489
𥤊	U+2590A (U+2590A)	f0a5a48a
𥤋	U+2590B (U+2590B)	f0a5a48b
𥤌	U+2590C (U+2590C)	f0a5a48c
𥤍	U+2590D (U+2590D)	f0a5a48d
𥤎	U+2590E (U+2590E)	f0a5a48e
𥤏	U+2590F (U+2590F)	f0a5a48f
𥤐	U+25910 (U+25910)	f0a5a490
𥤑	U+25911 (U+25911)	f0a5a491
𥤒	U+25912 (U+25912)	f0a5a492
𥤓	U+25913 (U+25913)	f0a5a493
𥤔	U+25914 (U+25914)	f0a5a494
𥤕	U+25915 (U+25915)	f0a5a495
𥤖	U+25916 (U+25916)	f0a5a496
𥤗	U+25917 (U+25917)	f0a5a497
𥤘	U+25918 (U+25918)	f0a5a498
𥤙	U+25919 (U+25919)	f0a5a499
𥤚	U+2591A (U+2591A)	f0a5a49a
𥤛	U+2591B (U+2591B)	f0a5a49b
𥤜	U+2591C (U+2591C)	f0a5a49c
𥤝	U+2591D (U+2591D)	f0a5a49d
𥤞	U+2591E (U+2591E)	f0a5a49e
𥤟	U+2591F (U+2591F)	f0a5a49f
𥤠	U+25920 (U+25920)	f0a5a4a0
𥤡	U+25921 (U+25921)	f0a5a4a1
𥤢	U+25922 (U+25922)	f0a5a4a2
𥤣	U+25923 (U+25923)	f0a5a4a3
𥤤	U+25924 (U+25924)	f0a5a4a4
𥤥	U+25925 (U+25925)	f0a5a4a5
𥤦	U+25926 (U+25926)	f0a5a4a6
𥤧	U+25927 (U+25927)	f0a5a4a7
𥤨	U+25928 (U+25928)	f0a5a4a8
𥤩	U+25929 (U+25929)	f0a5a4a9
𥤪	U+2592A (U+2592A)	f0a5a4aa
𥤫	U+2592B (U+2592B)	f0a5a4ab
𥤬	U+2592C (U+2592C)	f0a5a4ac
𥤭	U+2592D (U+2592D)	f0a5a4ad
𥤮	U+2592E (U+2592E)	f0a5a4ae
𥤯	U+2592F (U+2592F)	f0a5a4af
𥤰	U+25930 (U+25930)	f0a5a4b0
𥤱	U+25931 (U+25931)	f0a5a4b1
𥤲	U+25932 (U+25932)	f0a5a4b2
𥤳	U+25933 (U+25933)	f0a5a4b3
𥤴	U+25934 (U+25934)	f0a5a4b4
𥤵	U+25935 (U+25935)	f0a5a4b5
𥤶	U+25936 (U+25936)	f0a5a4b6
𥤷	U+25937 (U+25937)	f0a5a4b7
𥤸	U+25938 (U+25938)	f0a5a4b8
