𨰘	U+28C18 (U+28C18)	f0a8b098
𨰙	U+28C19 (U+28C19)	f0a8b099
𨰚	U+28C1A (U+28C1A)	f0a8b09a
𨰛	U+28C1B (U+28C1B)	f0a8b09b
𨰜	U+28C1C (U+28C1C)	f0a8b09c
𨰝	U+28C1D (U+28C1D)	f0a8b09d
𨰞	U+28C1E (U+28C1E)	f0a8b09e
𨰟	U+28C1F (U+28C1F)	f0a8b09f
𨰠	U+28C20 (U+28C20)	f0a8b0a0
𨰡	U+28C21 (U+28C21)	f0a8b0a1
𨰢	U+28C22 (U+28C22)	f0a8b0a2
𨰣	U+28C23 (U+28C23)	f0a8b0a3
𨰤	U+28C24 (U+28C24)	f0a8b0a4
𨰥	U+28C25 (U+28C25)	f0a8b0a5
𨰦	U+28C26 (U+28C26)	f0a8b0a6
𨰧	U+28C27 (U+28C27)	f0a8b0a7
𨰨	U+28C28 (U+28C28)	f0a8b0a8
𨰩	U+28C29 (U+28C29)	f0a8b0a9
𨰪	U+28C2A (U+28C2A)	f0a8b0aa
𨰫	U+28C2B (U+28C2B)	f0a8b0ab
𨰬	U+28C2C (U+28C2C)	f0a8b0ac
𨰭	U+28C2D (U+28C2D)	f0a8b0ad
𨰮	U+28C2E (U+28C2E)	f0a8b0ae
𨰯	U+28C2F (U+28C2F)	f0a8b0af
𨰰	U+28C30 (U+28C30)	f0a8b0b0
𨰱	U+28C31 (U+28C31)	f0a8b0b1
𨰲	U+28C32 (U+28C32)	f0a8b0b2
𨰳	U+28C33 (U+28C33)	f0a8b0b3
𨰴	U+28C34 (U+28C34)	f0a8b0b4
𨰵	U+28C35 (U+28C35)	f0a8b0b5
𨰶	U+28C36 (U+28C36)	f0a8b0b6
𨰷	U+28C37 (U+28C37)	f0a8b0b7
𨰸	U+28C38 (U+28C38)	f0a8b0b8
𨰹	U+28C39 (U+28C39)	f0a8b0b9
𨰺	U+28C3A (U+28C3A)	f0a8b0ba
𨰻	U+28C3B (U+28C3B)	f0a8b0bb
𨰼	U+28C3C (U+28C3C)	f0a8b0bc
𨰽	U+28C3D (U+28C3D)	f0a8b0bd
𨰾	U+28C3E (U+28C3E)	f0a8b0be
𨰿	U+28C3F (U+28C3F)	f0a8b0bf
𨱀	U+28C40 (U+28C40)	f0a8b180
𨱁	U+28C41 (U+28C41)	f0a8b181
𨱂	U+28C42 (U+28C42)	f0a8b182
𨱃	U+28C43 (U+28C43)	f0a8b183
𨱄	U+28C44 (U+28C44)	f0a8b184
𨱅	U+28C45 (U+28C45)	f0a8b185
𨱆	U+28C46 (U+28C46)	f0a8b186
𨱇	U+28C47 (U+28C47)	f0a8b187
𨱈	U+28C48 (U+28C48)	f0a8b188
𨱉	U+28C49 (U+28C49)	f0a8b189
𨱊	U+28C4A (U+28C4A)	f0a8b18a
𨱋	U+28C4B (U+28C4B)	f0a8b18b
𨱌	U+28C4C (U+28C4C)	f0a8b18c
𨱍	U+28C4D (U+28C4D)	f0a8b18d
𨱎	U+28C4E (U+28C4E)	f0a8b18e
𨱏	technetium (U+28C4F)	f0a8b18f
𨱐	U+28C50 (U+28C50)	f0a8b190
𨱑	U+28C51 (U+28C51)	f0a8b191
𨱒	U+28C52 (U+28C52)	f0a8b192
𨱓	U+28C53 (U+28C53)	f0a8b193
𨱔	U+28C54 (U+28C54)	f0a8b194
𨱕	U+28C55 (U+28C55)	f0a8b195
𨱖	U+28C56 (U+28C56)	f0a8b196
𨱗	U+28C57 (U+28C57)	f0a8b197
𨱘	U+28C58 (U+28C58)	f0a8b198
𨱙	U+28C59 (U+28C59)	f0a8b199
𨱚	U+28C5A (U+28C5A)	f0a8b19a
𨱛	U+28C5B (U+28C5B)	f0a8b19b
𨱜	U+28C5C (U+28C5C)	f0a8b19c
𨱝	U+28C5D (U+28C5D)	f0a8b19d
𨱞	U+28C5E (U+28C5E)	f0a8b19e
𨱟	U+28C5F (U+28C5F)	f0a8b19f
𨱠	U+28C60 (U+28C60)	f0a8b1a0
𨱡	U+28C61 (U+28C61)	f0a8b1a1
𨱢	U+28C62 (U+28C62)	f0a8b1a2
𨱣	U+28C63 (U+28C63)	f0a8b1a3
𨱤	U+28C64 (U+28C64)	f0a8b1a4
𨱥	U+28C65 (U+28C65)	f0a8b1a5
𨱦	U+28C66 (U+28C66)	f0a8b1a6
𨱧	U+28C67 (U+28C67)	f0a8b1a7
𨱨	U+28C68 (U+28C68)	f0a8b1a8
𨱩	U+28C69 (U+28C69)	f0a8b1a9
𨱪	U+28C6A (U+28C6A)	f0a8b1aa
𨱫	U+28C6B (U+28C6B)	f0a8b1ab
𨱬	U+28C6C (U+28C6C)	f0a8b1ac
𨱭	U+28C6D (U+28C6D)	f0a8b1ad
𨱮	U+28C6E (U+28C6E)	f0a8b1ae
𨱯	U+28C6F (U+28C6F)	f0a8b1af
𨱰	U+28C70 (U+28C70)	f0a8b1b0
𨱱	U+28C71 (U+28C71)	f0a8b1b1
𨱲	U+28C72 (U+28C72)	f0a8b1b2
𨱳	U+28C73 (U+28C73)	f0a8b1b3
𨱴	U+28C74 (U+28C74)	f0a8b1b4
𨱵	U+28C75 (U+28C75)	f0a8b1b5
𨱶	U+28C76 (U+28C76)	f0a8b1b6
𨱷	U+28C77 (U+28C77)	f0a8b1b7
𨱸	U+28C78 (U+28C78)	f0a8b1b8
𨱹	U+28C79 (U+28C79)	f0a8b1b9
𨱺	U+28C7A (U+28C7A)	f0a8b1ba
𨱻	U+28C7B (U+28C7B)	f0a8b1bb
𨱼	U+28C7C (U+28C7C)	f0a8b1bc
𨱽	U+28C7D (U+28C7D)	f0a8b1bd
𨱾	U+28C7E (U+28C7E)	f0a8b1be
𨱿	U+28C7F (U+28C7F)	f0a8b1bf
𨲀	U+28C80 (U+28C80)	f0a8b280
𨲁	U+28C81 (U+28C81)	f0a8b281
𨲂	U+28C82 (U+28C82)	f0a8b282
𨲃	U+28C83 (U+28C83)	f0a8b283
𨲄	U+28C84 (U+28C84)	f0a8b284
𨲅	U+28C85 (U+28C85)	f0a8b285
𨲆	U+28C86 (U+28C86)	f0a8b286
𨲇	U+28C87 (U+28C87)	f0a8b287
𨲈	U+28C88 (U+28C88)	f0a8b288
𨲉	U+28C89 (U+28C89)	f0a8b289
𨲊	U+28C8A (U+28C8A)	f0a8b28a
𨲋	U+28C8B (U+28C8B)	f0a8b28b
𨲌	U+28C8C (U+28C8C)	f0a8b28c
𨲍	U+28C8D (U+28C8D)	f0a8b28d
𨲎	U+28C8E (U+28C8E)	f0a8b28e
𨲏	U+28C8F (U+28C8F)	f0a8b28f
𨲐	U+28C90 (U+28C90)	f0a8b290
𨲑	U+28C91 (U+28C91)	f0a8b291
𨲒	U+28C92 (U+28C92)	f0a8b292
𨲓	U+28C93 (U+28C93)	f0a8b293
𨲔	U+28C94 (U+28C94)	f0a8b294
𨲕	U+28C95 (U+28C95)	f0a8b295
𨲖	U+28C96 (U+28C96)	f0a8b296
𨲗	U+28C97 (U+28C97)	f0a8b297
𨲘	U+28C98 (U+28C98)	f0a8b298
𨲙	U+28C99 (U+28C99)	f0a8b299
𨲚	U+28C9A (U+28C9A)	f0a8b29a
𨲛	U+28C9B (U+28C9B)	f0a8b29b
𨲜	U+28C9C (U+28C9C)	f0a8b29c
𨲝	U+28C9D (U+28C9D)	f0a8b29d
𨲞	U+28C9E (U+28C9E)	f0a8b29e
𨲟	U+28C9F (U+28C9F)	f0a8b29f
𨲠	U+28CA0 (U+28CA0)	f0a8b2a0
𨲡	U+28CA1 (U+28CA1)	f0a8b2a1
𨲢	U+28CA2 (U+28CA2)	f0a8b2a2
𨲣	U+28CA3 (U+28CA3)	f0a8b2a3
𨲤	U+28CA4 (U+28CA4)	f0a8b2a4
𨲥	U+28CA5 (U+28CA5)	f0a8b2a5
𨲦	U+28CA6 (U+28CA6)	f0a8b2a6
𨲧	U+28CA7 (U+28CA7)	f0a8b2a7
𨲨	U+28CA8 (U+28CA8)	f0a8b2a8
𨲩	U+28CA9 (U+28CA9)	f0a8b2a9
𨲪	U+28CAA (U+28CAA)	f0a8b2aa
𨲫	U+28CAB (U+28CAB)	f0a8b2ab
𨲬	U+28CAC (U+28CAC)	f0a8b2ac
𨲭	U+28CAD (U+28CAD)	f0a8b2ad
𨲮	U+28CAE (U+28CAE)	f0a8b2ae
