𡐞	U+2141E (U+2141E)	f0a1909e
𡐟	U+2141F (U+2141F)	f0a1909f
𡐠	U+21420 (U+21420)	f0a190a0
𡐡	U+21421 (U+21421)	f0a190a1
𡐢	U+21422 (U+21422)	f0a190a2
𡐣	U+21423 (U+21423)	f0a190a3
𡐤	U+21424 (U+21424)	f0a190a4
𡐥	U+21425 (U+21425)	f0a190a5
𡐦	U+21426 (U+21426)	f0a190a6
𡐧	U+21427 (U+21427)	f0a190a7
𡐨	U+21428 (U+21428)	f0a190a8
𡐩	U+21429 (U+21429)	f0a190a9
𡐪	U+2142A (U+2142A)	f0a190aa
𡐫	U+2142B (U+2142B)	f0a190ab
𡐬	U+2142C (U+2142C)	f0a190ac
𡐭	U+2142D (U+2142D)	f0a190ad
𡐮	U+2142E (U+2142E)	f0a190ae
𡐯	U+2142F (U+2142F)	f0a190af
𡐰	U+21430 (U+21430)	f0a190b0
𡐱	U+21431 (U+21431)	f0a190b1
𡐲	U+21432 (U+21432)	f0a190b2
𡐳	U+21433 (U+21433)	f0a190b3
𡐴	U+21434 (U+21434)	f0a190b4
𡐵	U+21435 (U+21435)	f0a190b5
𡐶	U+21436 (U+21436)	f0a190b6
𡐷	U+21437 (U+21437)	f0a190b7
𡐸	U+21438 (U+21438)	f0a190b8
𡐹	U+21439 (U+21439)	f0a190b9
𡐺	U+2143A (U+2143A)	f0a190ba
𡐻	U+2143B (U+2143B)	f0a190bb
𡐼	U+2143C (U+2143C)	f0a190bc
𡐽	U+2143D (U+2143D)	f0a190bd
𡐾	U+2143E (U+2143E)	f0a190be
𡐿	U+2143F (U+2143F)	f0a190bf
𡑀	U+21440 (U+21440)	f0a19180
𡑁	U+21441 (U+21441)	f0a19181
𡑂	U+21442 (U+21442)	f0a19182
𡑃	U+21443 (U+21443)	f0a19183
𡑄	U+21444 (U+21444)	f0a19184
𡑅	U+21445 (U+21445)	f0a19185
𡑆	U+21446 (U+21446)	f0a19186
𡑇	U+21447 (U+21447)	f0a19187
𡑈	U+21448 (U+21448)	f0a19188
𡑉	U+21449 (U+21449)	f0a19189
𡑊	U+2144A (U+2144A)	f0a1918a
𡑋	U+2144B (U+2144B)	f0a1918b
𡑌	U+2144C (U+2144C)	f0a1918c
𡑍	U+2144D (U+2144D)	f0a1918d
𡑎	U+2144E (U+2144E)	f0a1918e
𡑏	U+2144F (U+2144F)	f0a1918f
𡑐	U+21450 (U+21450)	f0a19190
𡑑	U+21451 (U+21451)	f0a19191
𡑒	U+21452 (U+21452)	f0a19192
𡑓	U+21453 (U+21453)	f0a19193
𡑔	U+21454 (U+21454)	f0a19194
𡑕	U+21455 (U+21455)	f0a19195
𡑖	U+21456 (U+21456)	f0a19196
𡑗	U+21457 (U+21457)	f0a19197
𡑘	U+21458 (U+21458)	f0a19198
𡑙	U+21459 (U+21459)	f0a19199
𡑚	U+2145A (U+2145A)	f0a1919a
𡑛	U+2145B (U+2145B)	f0a1919b
𡑜	U+2145C (U+2145C)	f0a1919c
𡑝	U+2145D (U+2145D)	f0a1919d
𡑞	tunnel, underground passage (U+2145E)	f0a1919e
𡑟	U+2145F (U+2145F)	f0a1919f
𡑠	U+21460 (U+21460)	f0a191a0
𡑡	U+21461 (U+21461)	f0a191a1
𡑢	U+21462 (U+21462)	f0a191a2
𡑣	U+21463 (U+21463)	f0a191a3
𡑤	U+21464 (U+21464)	f0a191a4
𡑥	U+21465 (U+21465)	f0a191a5
𡑦	U+21466 (U+21466)	f0a191a6
𡑧	U+21467 (U+21467)	f0a191a7
𡑨	U+21468 (U+21468)	f0a191a8
𡑩	U+21469 (U+21469)	f0a191a9
𡑪	U+2146A (U+2146A)	f0a191aa
𡑫	U+2146B (U+2146B)	f0a191ab
𡑬	U+2146C (U+2146C)	f0a191ac
𡑭	U+2146D (U+2146D)	f0a191ad
𡑮	U+2146E (U+2146E)	f0a191ae
𡑯	U+2146F (U+2146F)	f0a191af
𡑰	U+21470 (U+21470)	f0a191b0
𡑱	U+21471 (U+21471)	f0a191b1
𡑲	U+21472 (U+21472)	f0a191b2
𡑳	U+21473 (U+21473)	f0a191b3
𡑴	U+21474 (U+21474)	f0a191b4
𡑵	U+21475 (U+21475)	f0a191b5
𡑶	U+21476 (U+21476)	f0a191b6
𡑷	U+21477 (U+21477)	f0a191b7
𡑸	U+21478 (U+21478)	f0a191b8
𡑹	U+21479 (U+21479)	f0a191b9
𡑺	U+2147A (U+2147A)	f0a191ba
𡑻	U+2147B (U+2147B)	f0a191bb
𡑼	U+2147C (U+2147C)	f0a191bc
𡑽	U+2147D (U+2147D)	f0a191bd
𡑾	U+2147E (U+2147E)	f0a191be
𡑿	U+2147F (U+2147F)	f0a191bf
𡒀	U+21480 (U+21480)	f0a19280
𡒁	U+21481 (U+21481)	f0a19281
𡒂	U+21482 (U+21482)	f0a19282
𡒃	a shore, bay; winter quarters (U+21483)	f0a19283
𡒄	disappointed (U+21484)	f0a19284
𡒅	U+21485 (U+21485)	f0a19285
𡒆	U+21486 (U+21486)	f0a19286
𡒇	U+21487 (U+21487)	f0a19287
𡒈	U+21488 (U+21488)	f0a19288
𡒉	U+21489 (U+21489)	f0a19289
𡒊	U+2148A (U+2148A)	f0a1928a
𡒋	U+2148B (U+2148B)	f0a1928b
𡒌	U+2148C (U+2148C)	f0a1928c
𡒍	U+2148D (U+2148D)	f0a1928d
𡒎	U+2148E (U+2148E)	f0a1928e
𡒏	U+2148F (U+2148F)	f0a1928f
𡒐	U+21490 (U+21490)	f0a19290
𡒑	U+21491 (U+21491)	f0a19291
𡒒	U+21492 (U+21492)	f0a19292
𡒓	U+21493 (U+21493)	f0a19293
𡒔	U+21494 (U+21494)	f0a19294
𡒕	U+21495 (U+21495)	f0a19295
𡒖	U+21496 (U+21496)	f0a19296
𡒗	U+21497 (U+21497)	f0a19297
𡒘	U+21498 (U+21498)	f0a19298
𡒙	U+21499 (U+21499)	f0a19299
𡒚	U+2149A (U+2149A)	f0a1929a
𡒛	U+2149B (U+2149B)	f0a1929b
𡒜	U+2149C (U+2149C)	f0a1929c
𡒝	U+2149D (U+2149D)	f0a1929d
𡒞	U+2149E (U+2149E)	f0a1929e
𡒟	U+2149F (U+2149F)	f0a1929f
𡒠	U+214A0 (U+214A0)	f0a192a0
𡒡	U+214A1 (U+214A1)	f0a192a1
𡒢	U+214A2 (U+214A2)	f0a192a2
𡒣	U+214A3 (U+214A3)	f0a192a3
𡒤	U+214A4 (U+214A4)	f0a192a4
𡒥	U+214A5 (U+214A5)	f0a192a5
𡒦	U+214A6 (U+214A6)	f0a192a6
𡒧	U+214A7 (U+214A7)	f0a192a7
𡒨	U+214A8 (U+214A8)	f0a192a8
𡒩	U+214A9 (U+214A9)	f0a192a9
𡒪	U+214AA (U+214AA)	f0a192aa
𡒫	U+214AB (U+214AB)	f0a192ab
𡒬	U+214AC (U+214AC)	f0a192ac
𡒭	U+214AD (U+214AD)	f0a192ad
𡒮	U+214AE (U+214AE)	f0a192ae
𡒯	U+214AF (U+214AF)	f0a192af
𡒰	U+214B0 (U+214B0)	f0a192b0
𡒱	U+214B1 (U+214B1)	f0a192b1
𡒲	U+214B2 (U+214B2)	f0a192b2
𡒳	U+214B3 (U+214B3)	f0a192b3
𡒴	U+214B4 (U+214B4)	f0a192b4
𡒵	U+214B5 (U+214B5)	f0a192b5
𡒶	U+214B6 (U+214B6)	f0a192b6
𡒷	U+214B7 (U+214B7)	f0a192b7
𡒸	U+214B8 (U+214B8)	f0a192b8
𡒹	U+214B9 (U+214B9)	f0a192b9
𡒺	U+214BA (U+214BA)	f0a192ba
𡒻	U+214BB (U+214BB)	f0a192bb
𡒼	U+214BC (U+214BC)	f0a192bc
𡒽	U+214BD (U+214BD)	f0a192bd
𡒾	U+214BE (U+214BE)	f0a192be
𡒿	U+214BF (U+214BF)	f0a192bf
𡓀	U+214C0 (U+214C0)	f0a19380
𡓁	U+214C1 (U+214C1)	f0a19381
𡓂	U+214C2 (U+214C2)	f0a19382
𡓃	U+214C3 (U+214C3)	f0a19383
𡓄	U+214C4 (U+214C4)	f0a19384
𡓅	U+214C5 (U+214C5)	f0a19385
𡓆	U+214C6 (U+214C6)	f0a19386
𡓇	U+214C7 (U+214C7)	f0a19387
𡓈	U+214C8 (U+214C8)	f0a19388
𡓉	U+214C9 (U+214C9)	f0a19389
𡓊	U+214CA (U+214CA)	f0a1938a
𡓋	U+214CB (U+214CB)	f0a1938b
𡓌	U+214CC (U+214CC)	f0a1938c
𡓍	U+214CD (U+214CD)	f0a1938d
𡓎	U+214CE (U+214CE)	f0a1938e
𡓏	U+214CF (U+214CF)	f0a1938f
𡓐	U+214D0 (U+214D0)	f0a19390
𡓑	U+214D1 (U+214D1)	f0a19391
𡓒	U+214D2 (U+214D2)	f0a19392
𡓓	U+214D3 (U+214D3)	f0a19393
𡓔	U+214D4 (U+214D4)	f0a19394
𡓕	U+214D5 (U+214D5)	f0a19395
𡓖	U+214D6 (U+214D6)	f0a19396
𡓗	U+214D7 (U+214D7)	f0a19397
𡓘	U+214D8 (U+214D8)	f0a19398
𡓙	U+214D9 (U+214D9)	f0a19399
𡓚	U+214DA (U+214DA)	f0a1939a
𡓛	U+214DB (U+214DB)	f0a1939b
𡓜	U+214DC (U+214DC)	f0a1939c
𡓝	U+214DD (U+214DD)	f0a1939d
𡓞	U+214DE (U+214DE)	f0a1939e
𡓟	U+214DF (U+214DF)	f0a1939f
𡓠	U+214E0 (U+214E0)	f0a193a0
𡓡	U+214E1 (U+214E1)	f0a193a1
𡓢	U+214E2 (U+214E2)	f0a193a2
𡓣	U+214E3 (U+214E3)	f0a193a3
𡓤	U+214E4 (U+214E4)	f0a193a4
𡓥	U+214E5 (U+214E5)	f0a193a5
𡓦	U+214E6 (U+214E6)	f0a193a6
𡓧	U+214E7 (U+214E7)	f0a193a7
𡓨	U+214E8 (U+214E8)	f0a193a8
