↜	LEFTWARDS WAVE ARROW (U+219C)	e2869c
↝	RIGHTWARDS WAVE ARROW (U+219D)	e2869d
↞	LEFTWARDS TWO HEADED ARROW (U+219E)	e2869e
↟	UPWARDS TWO HEADED ARROW (U+219F)	e2869f
↠	RIGHTWARDS TWO HEADED ARROW (U+21A0)	e286a0
↡	DOWNWARDS TWO HEADED ARROW (U+21A1)	e286a1
↢	LEFTWARDS ARROW WITH TAIL (U+21A2)	e286a2
↣	RIGHTWARDS ARROW WITH TAIL (U+21A3)	e286a3
↤	LEFTWARDS ARROW FROM BAR (U+21A4)	e286a4
↥	UPWARDS ARROW FROM BAR (U+21A5)	e286a5
↦	RIGHTWARDS ARROW FROM BAR (U+21A6)	e286a6
↧	DOWNWARDS ARROW FROM BAR (U+21A7)	e286a7
↨	UP DOWN ARROW WITH BASE (U+21A8)	e286a8
↩	LEFTWARDS ARROW WITH HOOK (U+21A9)	e286a9
↪	RIGHTWARDS ARROW WITH HOOK (U+21AA)	e286aa
↫	LEFTWARDS ARROW WITH LOOP (U+21AB)	e286ab
↬	RIGHTWARDS ARROW WITH LOOP (U+21AC)	e286ac
↭	LEFT RIGHT WAVE ARROW (U+21AD)	e286ad
↮	LEFT RIGHT ARROW WITH STROKE (U+21AE)	e286ae
↯	DOWNWARDS ZIGZAG ARROW (U+21AF)	e286af
↰	UPWARDS ARROW WITH TIP LEFTWARDS (U+21B0)	e286b0
↱	UPWARDS ARROW WITH TIP RIGHTWARDS (U+21B1)	e286b1
↲	DOWNWARDS ARROW WITH TIP LEFTWARDS (U+21B2)	e286b2
↳	DOWNWARDS ARROW WITH TIP RIGHTWARDS (U+21B3)	e286b3
↴	RIGHTWARDS ARROW WITH CORNER DOWNWARDS (U+21B4)	e286b4
↵	DOWNWARDS ARROW WITH CORNER LEFTWARDS (U+21B5)	e286b5
↶	ANTICLOCKWISE TOP SEMICIRCLE ARROW (U+21B6)	e286b6
↷	CLOCKWISE TOP SEMICIRCLE ARROW (U+21B7)	e286b7
↸	NORTH WEST ARROW TO LONG BAR (U+21B8)	e286b8
↹	LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR (U+21B9)	e286b9
↺	ANTICLOCKWISE OPEN CIRCLE ARROW (U+21BA)	e286ba
↻	CLOCKWISE OPEN CIRCLE ARROW (U+21BB)	e286bb
↼	LEFTWARDS HARPOON WITH BARB UPWARDS (U+21BC)	e286bc
↽	LEFTWARDS HARPOON WITH BARB DOWNWARDS (U+21BD)	e286bd
↾	UPWARDS HARPOON WITH BARB RIGHTWARDS (U+21BE)	e286be
↿	UPWARDS HARPOON WITH BARB LEFTWARDS (U+21BF)	e286bf
⇀	RIGHTWARDS HARPOON WITH BARB UPWARDS (U+21C0)	e28780
⇁	RIGHTWARDS HARPOON WITH BARB DOWNWARDS (U+21C1)	e28781
⇂	DOWNWARDS HARPOON WITH BARB RIGHTWARDS (U+21C2)	e28782
⇃	DOWNWARDS HARPOON WITH BARB LEFTWARDS (U+21C3)	e28783
⇄	RIGHTWARDS ARROW OVER LEFTWARDS ARROW (U+21C4)	e28784
⇅	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW (U+21C5)	e28785
⇆	LEFTWARDS ARROW OVER RIGHTWARDS ARROW (U+21C6)	e28786
⇇	LEFTWARDS PAIRED ARROWS (U+21C7)	e28787
⇈	UPWARDS PAIRED ARROWS (U+21C8)	e28788
⇉	RIGHTWARDS PAIRED ARROWS (U+21C9)	e28789
⇊	DOWNWARDS PAIRED ARROWS (U+21CA)	e2878a
⇋	LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON (U+21CB)	e2878b
⇌	RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON (U+21CC)	e2878c
⇍	LEFTWARDS DOUBLE ARROW WITH STROKE (U+21CD)	e2878d
⇎	LEFT RIGHT DOUBLE ARROW WITH STROKE (U+21CE)	e2878e
⇏	RIGHTWARDS DOUBLE ARROW WITH STROKE (U+21CF)	e2878f
⇐	LEFTWARDS DOUBLE ARROW (U+21D0)	e28790
⇑	UPWARDS DOUBLE ARROW (U+21D1)	e28791
⇒	RIGHTWARDS DOUBLE ARROW (U+21D2)	e28792
⇓	DOWNWARDS DOUBLE ARROW (U+21D3)	e28793
⇔	LEFT RIGHT DOUBLE ARROW (U+21D4)	e28794
⇕	UP DOWN DOUBLE ARROW (U+21D5)	e28795
⇖	NORTH WEST DOUBLE ARROW (U+21D6)	e28796
⇗	NORTH EAST DOUBLE ARROW (U+21D7)	e28797
⇘	SOUTH EAST DOUBLE ARROW (U+21D8)	e28798
⇙	SOUTH WEST DOUBLE ARROW (U+21D9)	e28799
⇚	LEFTWARDS TRIPLE ARROW (U+21DA)	e2879a
⇛	RIGHTWARDS TRIPLE ARROW (U+21DB)	e2879b
⇜	LEFTWARDS SQUIGGLE ARROW (U+21DC)	e2879c
⇝	RIGHTWARDS SQUIGGLE ARROW (U+21DD)	e2879d
⇞	UPWARDS ARROW WITH DOUBLE STROKE (U+21DE)	e2879e
⇟	DOWNWARDS ARROW WITH DOUBLE STROKE (U+21DF)	e2879f
⇠	LEFTWARDS DASHED ARROW (U+21E0)	e287a0
⇡	UPWARDS DASHED ARROW (U+21E1)	e287a1
⇢	RIGHTWARDS DASHED ARROW (U+21E2)	e287a2
⇣	DOWNWARDS DASHED ARROW (U+21E3)	e287a3
⇤	LEFTWARDS ARROW TO BAR (U+21E4)	e287a4
⇥	RIGHTWARDS ARROW TO BAR (U+21E5)	e287a5
⇦	LEFTWARDS WHITE ARROW (U+21E6)	e287a6
⇧	UPWARDS WHITE ARROW (U+21E7)	e287a7
⇨	RIGHTWARDS WHITE ARROW (U+21E8)	e287a8
⇩	DOWNWARDS WHITE ARROW (U+21E9)	e287a9
⇪	UPWARDS WHITE ARROW FROM BAR (U+21EA)	e287aa
⇫	UPWARDS WHITE ARROW ON PEDESTAL (U+21EB)	e287ab
⇬	UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR (U+21EC)	e287ac
⇭	UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR (U+21ED)	e287ad
⇮	UPWARDS WHITE DOUBLE ARROW (U+21EE)	e287ae
⇯	UPWARDS WHITE DOUBLE ARROW ON PEDESTAL (U+21EF)	e287af
⇰	RIGHTWARDS WHITE ARROW FROM WALL (U+21F0)	e287b0
⇱	NORTH WEST ARROW TO CORNER (U+21F1)	e287b1
⇲	SOUTH EAST ARROW TO CORNER (U+21F2)	e287b2
⇳	UP DOWN WHITE ARROW (U+21F3)	e287b3
⇴	RIGHT ARROW WITH SMALL CIRCLE (U+21F4)	e287b4
⇵	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW (U+21F5)	e287b5
⇶	THREE RIGHTWARDS ARROWS (U+21F6)	e287b6
⇷	LEFTWARDS ARROW WITH VERTICAL STROKE (U+21F7)	e287b7
⇸	RIGHTWARDS ARROW WITH VERTICAL STROKE (U+21F8)	e287b8
⇹	LEFT RIGHT ARROW WITH VERTICAL STROKE (U+21F9)	e287b9
⇺	LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE (U+21FA)	e287ba
⇻	RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE (U+21FB)	e287bb
⇼	LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE (U+21FC)	e287bc
⇽	LEFTWARDS OPEN-HEADED ARROW (U+21FD)	e287bd
⇾	RIGHTWARDS OPEN-HEADED ARROW (U+21FE)	e287be
⇿	LEFT RIGHT OPEN-HEADED ARROW (U+21FF)	e287bf
∀	FOR ALL (U+2200)	e28880
∁	COMPLEMENT (U+2201)	e28881
∂	PARTIAL DIFFERENTIAL (U+2202)	e28882
∃	THERE EXISTS (U+2203)	e28883
∄	THERE DOES NOT EXIST (U+2204)	e28884
∅	EMPTY SET (U+2205)	e28885
∆	INCREMENT (U+2206)	e28886
∇	NABLA (U+2207)	e28887
∈	ELEMENT OF (U+2208)	e28888
∉	NOT AN ELEMENT OF (U+2209)	e28889
∊	SMALL ELEMENT OF (U+220A)	e2888a
∋	CONTAINS AS MEMBER (U+220B)	e2888b
∌	DOES NOT CONTAIN AS MEMBER (U+220C)	e2888c
∍	SMALL CONTAINS AS MEMBER (U+220D)	e2888d
∎	END OF PROOF (U+220E)	e2888e
