𨢋	U+2888B (U+2888B)	f0a8a28b
𨢌	U+2888C (U+2888C)	f0a8a28c
𨢍	U+2888D (U+2888D)	f0a8a28d
𨢎	U+2888E (U+2888E)	f0a8a28e
𨢏	U+2888F (U+2888F)	f0a8a28f
𨢐	U+28890 (U+28890)	f0a8a290
𨢑	U+28891 (U+28891)	f0a8a291
𨢒	U+28892 (U+28892)	f0a8a292
𨢓	U+28893 (U+28893)	f0a8a293
𨢔	U+28894 (U+28894)	f0a8a294
𨢕	U+28895 (U+28895)	f0a8a295
𨢖	U+28896 (U+28896)	f0a8a296
𨢗	U+28897 (U+28897)	f0a8a297
𨢘	U+28898 (U+28898)	f0a8a298
𨢙	U+28899 (U+28899)	f0a8a299
𨢚	U+2889A (U+2889A)	f0a8a29a
𨢛	U+2889B (U+2889B)	f0a8a29b
𨢜	U+2889C (U+2889C)	f0a8a29c
𨢝	U+2889D (U+2889D)	f0a8a29d
𨢞	U+2889E (U+2889E)	f0a8a29e
𨢟	U+2889F (U+2889F)	f0a8a29f
𨢠	U+288A0 (U+288A0)	f0a8a2a0
𨢡	U+288A1 (U+288A1)	f0a8a2a1
𨢢	U+288A2 (U+288A2)	f0a8a2a2
𨢣	U+288A3 (U+288A3)	f0a8a2a3
𨢤	U+288A4 (U+288A4)	f0a8a2a4
𨢥	(same as 䤍) rotten paste or soybean sauce; to grow mildewed (U+288A5)	f0a8a2a5
𨢦	U+288A6 (U+288A6)	f0a8a2a6
𨢧	U+288A7 (U+288A7)	f0a8a2a7
𨢨	U+288A8 (U+288A8)	f0a8a2a8
𨢩	U+288A9 (U+288A9)	f0a8a2a9
𨢪	U+288AA (U+288AA)	f0a8a2aa
𨢫	U+288AB (U+288AB)	f0a8a2ab
𨢬	U+288AC (U+288AC)	f0a8a2ac
𨢭	U+288AD (U+288AD)	f0a8a2ad
𨢮	U+288AE (U+288AE)	f0a8a2ae
𨢯	U+288AF (U+288AF)	f0a8a2af
𨢰	U+288B0 (U+288B0)	f0a8a2b0
𨢱	U+288B1 (U+288B1)	f0a8a2b1
𨢲	U+288B2 (U+288B2)	f0a8a2b2
𨢳	U+288B3 (U+288B3)	f0a8a2b3
𨢴	U+288B4 (U+288B4)	f0a8a2b4
𨢵	U+288B5 (U+288B5)	f0a8a2b5
𨢶	U+288B6 (U+288B6)	f0a8a2b6
𨢷	U+288B7 (U+288B7)	f0a8a2b7
𨢸	U+288B8 (U+288B8)	f0a8a2b8
𨢹	U+288B9 (U+288B9)	f0a8a2b9
𨢺	U+288BA (U+288BA)	f0a8a2ba
𨢻	U+288BB (U+288BB)	f0a8a2bb
𨢼	U+288BC (U+288BC)	f0a8a2bc
𨢽	U+288BD (U+288BD)	f0a8a2bd
𨢾	U+288BE (U+288BE)	f0a8a2be
𨢿	U+288BF (U+288BF)	f0a8a2bf
𨣀	U+288C0 (U+288C0)	f0a8a380
𨣁	U+288C1 (U+288C1)	f0a8a381
𨣂	U+288C2 (U+288C2)	f0a8a382
𨣃	U+288C3 (U+288C3)	f0a8a383
𨣄	U+288C4 (U+288C4)	f0a8a384
𨣅	U+288C5 (U+288C5)	f0a8a385
𨣆	U+288C6 (U+288C6)	f0a8a386
𨣇	U+288C7 (U+288C7)	f0a8a387
𨣈	U+288C8 (U+288C8)	f0a8a388
𨣉	U+288C9 (U+288C9)	f0a8a389
𨣊	U+288CA (U+288CA)	f0a8a38a
𨣋	U+288CB (U+288CB)	f0a8a38b
𨣌	U+288CC (U+288CC)	f0a8a38c
𨣍	U+288CD (U+288CD)	f0a8a38d
𨣎	U+288CE (U+288CE)	f0a8a38e
𨣏	U+288CF (U+288CF)	f0a8a38f
𨣐	U+288D0 (U+288D0)	f0a8a390
𨣑	U+288D1 (U+288D1)	f0a8a391
𨣒	U+288D2 (U+288D2)	f0a8a392
𨣓	U+288D3 (U+288D3)	f0a8a393
𨣔	U+288D4 (U+288D4)	f0a8a394
𨣕	U+288D5 (U+288D5)	f0a8a395
𨣖	U+288D6 (U+288D6)	f0a8a396
𨣗	U+288D7 (U+288D7)	f0a8a397
𨣘	U+288D8 (U+288D8)	f0a8a398
𨣙	U+288D9 (U+288D9)	f0a8a399
𨣚	U+288DA (U+288DA)	f0a8a39a
𨣛	U+288DB (U+288DB)	f0a8a39b
𨣜	U+288DC (U+288DC)	f0a8a39c
𨣝	U+288DD (U+288DD)	f0a8a39d
𨣞	U+288DE (U+288DE)	f0a8a39e
𨣟	U+288DF (U+288DF)	f0a8a39f
𨣠	U+288E0 (U+288E0)	f0a8a3a0
𨣡	U+288E1 (U+288E1)	f0a8a3a1
𨣢	U+288E2 (U+288E2)	f0a8a3a2
𨣣	U+288E3 (U+288E3)	f0a8a3a3
𨣤	U+288E4 (U+288E4)	f0a8a3a4
𨣥	U+288E5 (U+288E5)	f0a8a3a5
𨣦	clear; strained (U+288E6)	f0a8a3a6
𨣧	U+288E7 (U+288E7)	f0a8a3a7
𨣨	U+288E8 (U+288E8)	f0a8a3a8
𨣩	U+288E9 (U+288E9)	f0a8a3a9
𨣪	U+288EA (U+288EA)	f0a8a3aa
𨣫	U+288EB (U+288EB)	f0a8a3ab
𨣬	U+288EC (U+288EC)	f0a8a3ac
𨣭	U+288ED (U+288ED)	f0a8a3ad
𨣮	U+288EE (U+288EE)	f0a8a3ae
𨣯	U+288EF (U+288EF)	f0a8a3af
𨣰	U+288F0 (U+288F0)	f0a8a3b0
𨣱	U+288F1 (U+288F1)	f0a8a3b1
𨣲	U+288F2 (U+288F2)	f0a8a3b2
𨣳	U+288F3 (U+288F3)	f0a8a3b3
𨣴	U+288F4 (U+288F4)	f0a8a3b4
𨣵	U+288F5 (U+288F5)	f0a8a3b5
𨣶	U+288F6 (U+288F6)	f0a8a3b6
𨣷	U+288F7 (U+288F7)	f0a8a3b7
𨣸	U+288F8 (U+288F8)	f0a8a3b8
𨣹	U+288F9 (U+288F9)	f0a8a3b9
𨣺	U+288FA (U+288FA)	f0a8a3ba
𨣻	U+288FB (U+288FB)	f0a8a3bb
𨣼	U+288FC (U+288FC)	f0a8a3bc
𨣽	U+288FD (U+288FD)	f0a8a3bd
𨣾	U+288FE (U+288FE)	f0a8a3be
𨣿	U+288FF (U+288FF)	f0a8a3bf
𨤀	U+28900 (U+28900)	f0a8a480
𨤁	U+28901 (U+28901)	f0a8a481
𨤂	U+28902 (U+28902)	f0a8a482
𨤃	U+28903 (U+28903)	f0a8a483
𨤄	U+28904 (U+28904)	f0a8a484
𨤅	U+28905 (U+28905)	f0a8a485
𨤆	U+28906 (U+28906)	f0a8a486
𨤇	U+28907 (U+28907)	f0a8a487
𨤈	U+28908 (U+28908)	f0a8a488
𨤉	U+28909 (U+28909)	f0a8a489
𨤊	U+2890A (U+2890A)	f0a8a48a
𨤋	U+2890B (U+2890B)	f0a8a48b
𨤌	U+2890C (U+2890C)	f0a8a48c
𨤍	U+2890D (U+2890D)	f0a8a48d
𨤎	U+2890E (U+2890E)	f0a8a48e
𨤏	U+2890F (U+2890F)	f0a8a48f
𨤐	U+28910 (U+28910)	f0a8a490
𨤑	U+28911 (U+28911)	f0a8a491
𨤒	U+28912 (U+28912)	f0a8a492
𨤓	U+28913 (U+28913)	f0a8a493
𨤔	U+28914 (U+28914)	f0a8a494
𨤕	U+28915 (U+28915)	f0a8a495
𨤖	U+28916 (U+28916)	f0a8a496
𨤗	U+28917 (U+28917)	f0a8a497
𨤘	U+28918 (U+28918)	f0a8a498
𨤙	U+28919 (U+28919)	f0a8a499
𨤚	U+2891A (U+2891A)	f0a8a49a
𨤛	U+2891B (U+2891B)	f0a8a49b
𨤜	U+2891C (U+2891C)	f0a8a49c
𨤝	U+2891D (U+2891D)	f0a8a49d
𨤞	U+2891E (U+2891E)	f0a8a49e
𨤟	U+2891F (U+2891F)	f0a8a49f
𨤠	U+28920 (U+28920)	f0a8a4a0
𨤡	U+28921 (U+28921)	f0a8a4a1
𨤢	U+28922 (U+28922)	f0a8a4a2
𨤣	U+28923 (U+28923)	f0a8a4a3
𨤤	U+28924 (U+28924)	f0a8a4a4
𨤥	U+28925 (U+28925)	f0a8a4a5
𨤦	U+28926 (U+28926)	f0a8a4a6
𨤧	U+28927 (U+28927)	f0a8a4a7
𨤨	U+28928 (U+28928)	f0a8a4a8
𨤩	U+28929 (U+28929)	f0a8a4a9
𨤪	U+2892A (U+2892A)	f0a8a4aa
𨤫	U+2892B (U+2892B)	f0a8a4ab
𨤬	U+2892C (U+2892C)	f0a8a4ac
𨤭	U+2892D (U+2892D)	f0a8a4ad
𨤮	U+2892E (U+2892E)	f0a8a4ae
𨤯	U+2892F (U+2892F)	f0a8a4af
𨤰	U+28930 (U+28930)	f0a8a4b0
𨤱	U+28931 (U+28931)	f0a8a4b1
𨤲	U+28932 (U+28932)	f0a8a4b2
𨤳	U+28933 (U+28933)	f0a8a4b3
𨤴	U+28934 (U+28934)	f0a8a4b4
𨤵	U+28935 (U+28935)	f0a8a4b5
𨤶	U+28936 (U+28936)	f0a8a4b6
𨤷	U+28937 (U+28937)	f0a8a4b7
𨤸	U+28938 (U+28938)	f0a8a4b8
𨤹	U+28939 (U+28939)	f0a8a4b9
𨤺	U+2893A (U+2893A)	f0a8a4ba
𨤻	U+2893B (U+2893B)	f0a8a4bb
𨤼	U+2893C (U+2893C)	f0a8a4bc
𨤽	U+2893D (U+2893D)	f0a8a4bd
𨤾	U+2893E (U+2893E)	f0a8a4be
𨤿	U+2893F (U+2893F)	f0a8a4bf
𨥀	U+28940 (U+28940)	f0a8a580
𨥁	U+28941 (U+28941)	f0a8a581
𨥂	U+28942 (U+28942)	f0a8a582
𨥃	U+28943 (U+28943)	f0a8a583
𨥄	U+28944 (U+28944)	f0a8a584
𨥅	U+28945 (U+28945)	f0a8a585
𨥆	U+28946 (U+28946)	f0a8a586
𨥇	U+28947 (U+28947)	f0a8a587
𨥈	U+28948 (U+28948)	f0a8a588
𨥉	U+28949 (U+28949)	f0a8a589
𨥊	U+2894A (U+2894A)	f0a8a58a
𨥋	U+2894B (U+2894B)	f0a8a58b
𨥌	U+2894C (U+2894C)	f0a8a58c
𨥍	U+2894D (U+2894D)	f0a8a58d
𨥎	U+2894E (U+2894E)	f0a8a58e
𨥏	U+2894F (U+2894F)	f0a8a58f
𨥐	U+28950 (U+28950)	f0a8a590
𨥑	U+28951 (U+28951)	f0a8a591
𨥒	U+28952 (U+28952)	f0a8a592
𨥓	U+28953 (U+28953)	f0a8a593
𨥔	U+28954 (U+28954)	f0a8a594
𨥕	U+28955 (U+28955)	f0a8a595
𨥖	U+28956 (U+28956)	f0a8a596
𨥗	U+28957 (U+28957)	f0a8a597
𨥘	U+28958 (U+28958)	f0a8a598
𨥙	U+28959 (U+28959)	f0a8a599
𨥚	U+2895A (U+2895A)	f0a8a59a
𨥛	U+2895B (U+2895B)	f0a8a59b
𨥜	U+2895C (U+2895C)	f0a8a59c
𨥝	U+2895D (U+2895D)	f0a8a59d
𨥞	U+2895E (U+2895E)	f0a8a59e
𨥟	U+2895F (U+2895F)	f0a8a59f
𨥠	U+28960 (U+28960)	f0a8a5a0
𨥡	U+28961 (U+28961)	f0a8a5a1
𨥢	U+28962 (U+28962)	f0a8a5a2
𨥣	U+28963 (U+28963)	f0a8a5a3
𨥤	U+28964 (U+28964)	f0a8a5a4
𨥥	U+28965 (U+28965)	f0a8a5a5
