𧒊	U+2748A (U+2748A)	f0a7928a
𧒋	U+2748B (U+2748B)	f0a7928b
𧒌	U+2748C (U+2748C)	f0a7928c
𧒍	U+2748D (U+2748D)	f0a7928d
𧒎	U+2748E (U+2748E)	f0a7928e
𧒏	U+2748F (U+2748F)	f0a7928f
𧒐	U+27490 (U+27490)	f0a79290
𧒑	U+27491 (U+27491)	f0a79291
𧒒	U+27492 (U+27492)	f0a79292
𧒓	U+27493 (U+27493)	f0a79293
𧒔	U+27494 (U+27494)	f0a79294
𧒕	U+27495 (U+27495)	f0a79295
𧒖	U+27496 (U+27496)	f0a79296
𧒗	U+27497 (U+27497)	f0a79297
𧒘	U+27498 (U+27498)	f0a79298
𧒙	U+27499 (U+27499)	f0a79299
𧒚	U+2749A (U+2749A)	f0a7929a
𧒛	U+2749B (U+2749B)	f0a7929b
𧒜	U+2749C (U+2749C)	f0a7929c
𧒝	U+2749D (U+2749D)	f0a7929d
𧒞	U+2749E (U+2749E)	f0a7929e
𧒟	U+2749F (U+2749F)	f0a7929f
𧒠	U+274A0 (U+274A0)	f0a792a0
𧒡	U+274A1 (U+274A1)	f0a792a1
𧒢	U+274A2 (U+274A2)	f0a792a2
𧒣	U+274A3 (U+274A3)	f0a792a3
𧒤	U+274A4 (U+274A4)	f0a792a4
𧒥	U+274A5 (U+274A5)	f0a792a5
𧒦	U+274A6 (U+274A6)	f0a792a6
𧒧	U+274A7 (U+274A7)	f0a792a7
𧒨	U+274A8 (U+274A8)	f0a792a8
𧒩	U+274A9 (U+274A9)	f0a792a9
𧒪	U+274AA (U+274AA)	f0a792aa
𧒫	U+274AB (U+274AB)	f0a792ab
𧒬	U+274AC (U+274AC)	f0a792ac
𧒭	U+274AD (U+274AD)	f0a792ad
𧒮	U+274AE (U+274AE)	f0a792ae
𧒯	U+274AF (U+274AF)	f0a792af
𧒰	U+274B0 (U+274B0)	f0a792b0
𧒱	U+274B1 (U+274B1)	f0a792b1
𧒲	U+274B2 (U+274B2)	f0a792b2
𧒳	U+274B3 (U+274B3)	f0a792b3
𧒴	U+274B4 (U+274B4)	f0a792b4
𧒵	U+274B5 (U+274B5)	f0a792b5
𧒶	U+274B6 (U+274B6)	f0a792b6
𧒷	U+274B7 (U+274B7)	f0a792b7
𧒸	U+274B8 (U+274B8)	f0a792b8
𧒹	U+274B9 (U+274B9)	f0a792b9
𧒺	U+274BA (U+274BA)	f0a792ba
𧒻	U+274BB (U+274BB)	f0a792bb
𧒼	U+274BC (U+274BC)	f0a792bc
𧒽	U+274BD (U+274BD)	f0a792bd
𧒾	U+274BE (U+274BE)	f0a792be
𧒿	U+274BF (U+274BF)	f0a792bf
𧓀	U+274C0 (U+274C0)	f0a79380
𧓁	U+274C1 (U+274C1)	f0a79381
𧓂	U+274C2 (U+274C2)	f0a79382
𧓃	U+274C3 (U+274C3)	f0a79383
𧓄	U+274C4 (U+274C4)	f0a79384
𧓅	U+274C5 (U+274C5)	f0a79385
𧓆	U+274C6 (U+274C6)	f0a79386
𧓇	U+274C7 (U+274C7)	f0a79387
𧓈	U+274C8 (U+274C8)	f0a79388
𧓉	U+274C9 (U+274C9)	f0a79389
𧓊	U+274CA (U+274CA)	f0a7938a
𧓋	U+274CB (U+274CB)	f0a7938b
𧓌	U+274CC (U+274CC)	f0a7938c
𧓍	pearl oyster (U+274CD)	f0a7938d
𧓎	U+274CE (U+274CE)	f0a7938e
𧓏	U+274CF (U+274CF)	f0a7938f
𧓐	U+274D0 (U+274D0)	f0a79390
𧓑	U+274D1 (U+274D1)	f0a79391
𧓒	U+274D2 (U+274D2)	f0a79392
𧓓	U+274D3 (U+274D3)	f0a79393
𧓔	U+274D4 (U+274D4)	f0a79394
𧓕	U+274D5 (U+274D5)	f0a79395
𧓖	U+274D6 (U+274D6)	f0a79396
𧓗	U+274D7 (U+274D7)	f0a79397
𧓘	U+274D8 (U+274D8)	f0a79398
𧓙	U+274D9 (U+274D9)	f0a79399
𧓚	U+274DA (U+274DA)	f0a7939a
𧓛	U+274DB (U+274DB)	f0a7939b
𧓜	U+274DC (U+274DC)	f0a7939c
𧓝	U+274DD (U+274DD)	f0a7939d
𧓞	U+274DE (U+274DE)	f0a7939e
𧓟	U+274DF (U+274DF)	f0a7939f
𧓠	U+274E0 (U+274E0)	f0a793a0
𧓡	U+274E1 (U+274E1)	f0a793a1
𧓢	U+274E2 (U+274E2)	f0a793a2
𧓣	U+274E3 (U+274E3)	f0a793a3
𧓤	U+274E4 (U+274E4)	f0a793a4
𧓥	U+274E5 (U+274E5)	f0a793a5
𧓦	U+274E6 (U+274E6)	f0a793a6
𧓧	U+274E7 (U+274E7)	f0a793a7
𧓨	U+274E8 (U+274E8)	f0a793a8
𧓩	U+274E9 (U+274E9)	f0a793a9
𧓪	U+274EA (U+274EA)	f0a793aa
𧓫	U+274EB (U+274EB)	f0a793ab
𧓬	U+274EC (U+274EC)	f0a793ac
𧓭	U+274ED (U+274ED)	f0a793ad
𧓮	U+274EE (U+274EE)	f0a793ae
𧓯	U+274EF (U+274EF)	f0a793af
𧓰	U+274F0 (U+274F0)	f0a793b0
