菻	artemisia; (Cant.) a flower-bud (U+83FB)	e88fbb
菼	rush or sedge (U+83FC)	e88fbc
菽	beans and peas, collectively (U+83FD)	e88fbd
菾	beet (U+83FE)	e88fbe
菿	U+83FF (U+83FF)	e88fbf
萀	U+8400 (U+8400)	e89080
萁	kind of grasses (U+8401)	e89081
萂	U+8402 (U+8402)	e89082
萃	dense, thick, close-set; to collect together (U+8403)	e89083
萄	grapes (U+8404)	e89084
萅	spring; wanton (U+8405)	e89085
萆	the castor-oil plant also used for other plants (U+8406)	e89086
萇	averrhora carambola; surname (U+8407)	e89087
萈	U+8408 (U+8408)	e89088
萉	U+8409 (U+8409)	e89089
萊	goosefoot, weed; fallow field (U+840A)	e8908a
萋	luxuriant foliage; crowded (U+840B)	e8908b
萌	bud, sprout (U+840C)	e8908c
萍	duckweed; wandering, traveling (U+840D)	e8908d
萎	wither, wilt (U+840E)	e8908e
萏	lotus (U+840F)	e8908f
萐	lucky plant (U+8410)	e89090
萑	grass used for making mats; Huanpu, place famous for robbers (U+8411)	e89091
萒	U+8412 (U+8412)	e89092
萓	U+8413 (U+8413)	e89093
萔	U+8414 (U+8414)	e89094
萕	water-chestnuts; caltrop (U+8415)	e89095
萖	U+8416 (U+8416)	e89096
萗	U+8417 (U+8417)	e89097
萘	naphthanlene (U+8418)	e89098
萙	U+8419 (U+8419)	e89099
萚	U+841A (U+841A)	e8909a
萛	U+841B (U+841B)	e8909b
萜	C5H8 (U+841C)	e8909c
萝	type of creeping plant; turnip (U+841D)	e8909d
萞	U+841E (U+841E)	e8909e
萟	U+841F (U+841F)	e8909f
萠	bud, sprout (U+8420)	e890a0
萡	U+8421 (U+8421)	e890a1
萢	U+8422 (U+8422)	e890a2
萣	U+8423 (U+8423)	e890a3
萤	glow-worm, luminous insect (U+8424)	e890a4
营	encampment, barracks; manage (U+8425)	e890a5
萦	entangle, entwine, coil (U+8426)	e890a6
萧	common artemisia; dejected (U+8427)	e890a7
萨	Buddhist gods or immortals (U+8428)	e890a8
萩	scandent hop; tree (U+8429)	e890a9
萪	U+842A (U+842A)	e890aa
萫	U+842B (U+842B)	e890ab
萬	ten thousand; innumerable (U+842C)	e890ac
萭	U+842D (U+842D)	e890ad
萮	U+842E (U+842E)	e890ae
萯	U+842F (U+842F)	e890af
萰	U+8430 (U+8430)	e890b0
萱	day-lily, hemerocallisflava (U+8431)	e890b1
萲	the day-lily, Hemerocallis flava (U+8432)	e890b2
萳	U+8433 (U+8433)	e890b3
萴	medicinal poison plant (U+8434)	e890b4
萵	lettuce (U+8435)	e890b5
萶	U+8436 (U+8436)	e890b6
萷	U+8437 (U+8437)	e890b7
萸	dogwood (U+8438)	e890b8
萹	grass (U+8439)	e890b9
萺	U+843A (U+843A)	e890ba
萻	U+843B (U+843B)	e890bb
萼	the stem and calyx of a flower; a younger brother (U+843C)	e890bc
落	fall, drop; net income, surplus (U+843D)	e890bd
萾	U+843E (U+843E)	e890be
萿	U+843F (U+843F)	e890bf
葀	U+8440 (U+8440)	e89180
葁	ginger (U+8441)	e89181
葂	U+8442 (U+8442)	e89182
葃	U+8443 (U+8443)	e89183
葄	mat (U+8444)	e89184
葅	U+8445 (U+8445)	e89185
葆	reserve, preserve; conceal (U+8446)	e89186
葇	U+8447 (U+8447)	e89187
葈	U+8448 (U+8448)	e89188
葉	leaf, petal; page of book; period (U+8449)	e89189
葊	cottage (U+844A)	e8918a
葋	U+844B (U+844B)	e8918b
葌	U+844C (U+844C)	e8918c
葍	plant (U+844D)	e8918d
葎	Humulus japonicus (U+844E)	e8918e
葏	U+844F (U+844F)	e8918f
葐	U+8450 (U+8450)	e89190
葑	the rape-turnip (U+8451)	e89191
葒	herb (U+8452)	e89192
葓	vegetable (U+8453)	e89193
葔	U+8454 (U+8454)	e89194
葕	U+8455 (U+8455)	e89195
葖	U+8456 (U+8456)	e89196
著	manifest; (Cant.) to wear (U+8457)	e89197
葘	U+8458 (U+8458)	e89198
葙	feather cockscomb (Celosia argentea) (U+8459)	e89199
葚	mulberry fruit (U+845A)	e8919a
葛	edible bean; surname (U+845B)	e8919b
葜	smilax china (U+845C)	e8919c
葝	U+845D (U+845D)	e8919d
葞	U+845E (U+845E)	e8919e
葟	U+845F (U+845F)	e8919f
葠	ginseng (U+8460)	e891a0
葡	grapes (U+8461)	e891a1
葢	cover, hide, protect (U+8462)	e891a2
董	direct, supervise; surname (U+8463)	e891a3
葤	grass (U+8464)	e891a4
葥	U+8465 (U+8465)	e891a5
葦	reed (U+8466)	e891a6
葧	U+8467 (U+8467)	e891a7
葨	U+8468 (U+8468)	e891a8
葩	flowers (U+8469)	e891a9
葪	U+846A (U+846A)	e891aa
葫	bottle-gourd (U+846B)	e891ab
葬	bury, inter (U+846C)	e891ac
葭	bulrush, reed; flute, whistle (U+846D)	e891ad
葮	U+846E (U+846E)	e891ae
葯	orris root; leaf of the iris; medicine (U+846F)	e891af
葰	U+8470 (U+8470)	e891b0
葱	scallions, leeks, green onions (U+8471)	e891b1
葲	U+8472 (U+8472)	e891b2
葳	luxuriant, flourishing; used for various plants (U+8473)	e891b3
葴	U+8474 (U+8474)	e891b4
葵	sunflower; measure (U+8475)	e891b5
葶	Draba nemerosa bebe carpa (U+8476)	e891b6
葷	meat diet; strong smelling (U+8477)	e891b7
葸	afraid, bashful (U+8478)	e891b8
葹	kind of chrysanthemum, xanthium (U+8479)	e891b9
葺	thatch; fix, repair; pile up (U+847A)	e891ba
葻	U+847B (U+847B)	e891bb
葼	U+847C (U+847C)	e891bc
葽	type of grain, Polygala japonica (U+847D)	e891bd
葾	(Cant.) a bad smell (U+847E)	e891be
葿	U+847F (U+847F)	e891bf
蒀	U+8480 (U+8480)	e89280
蒁	U+8481 (U+8481)	e89281
蒂	peduncle or stem of plants (U+8482)	e89282
蒃	U+8483 (U+8483)	e89283
蒄	U+8484 (U+8484)	e89284
