ꏭ	YI SYLLABLE JOX (U+A3ED)	ea8fad
ꏮ	YI SYLLABLE JO (U+A3EE)	ea8fae
ꏯ	YI SYLLABLE JOP (U+A3EF)	ea8faf
ꏰ	YI SYLLABLE JUT (U+A3F0)	ea8fb0
ꏱ	YI SYLLABLE JUX (U+A3F1)	ea8fb1
ꏲ	YI SYLLABLE JU (U+A3F2)	ea8fb2
ꏳ	YI SYLLABLE JUP (U+A3F3)	ea8fb3
ꏴ	YI SYLLABLE JURX (U+A3F4)	ea8fb4
ꏵ	YI SYLLABLE JUR (U+A3F5)	ea8fb5
ꏶ	YI SYLLABLE JYT (U+A3F6)	ea8fb6
ꏷ	YI SYLLABLE JYX (U+A3F7)	ea8fb7
ꏸ	YI SYLLABLE JY (U+A3F8)	ea8fb8
ꏹ	YI SYLLABLE JYP (U+A3F9)	ea8fb9
ꏺ	YI SYLLABLE JYRX (U+A3FA)	ea8fba
ꏻ	YI SYLLABLE JYR (U+A3FB)	ea8fbb
ꏼ	YI SYLLABLE QIT (U+A3FC)	ea8fbc
ꏽ	YI SYLLABLE QIX (U+A3FD)	ea8fbd
ꏾ	YI SYLLABLE QI (U+A3FE)	ea8fbe
ꏿ	YI SYLLABLE QIP (U+A3FF)	ea8fbf
ꐀ	YI SYLLABLE QIET (U+A400)	ea9080
ꐁ	YI SYLLABLE QIEX (U+A401)	ea9081
ꐂ	YI SYLLABLE QIE (U+A402)	ea9082
ꐃ	YI SYLLABLE QIEP (U+A403)	ea9083
ꐄ	YI SYLLABLE QUOT (U+A404)	ea9084
ꐅ	YI SYLLABLE QUOX (U+A405)	ea9085
ꐆ	YI SYLLABLE QUO (U+A406)	ea9086
ꐇ	YI SYLLABLE QUOP (U+A407)	ea9087
ꐈ	YI SYLLABLE QOT (U+A408)	ea9088
ꐉ	YI SYLLABLE QOX (U+A409)	ea9089
ꐊ	YI SYLLABLE QO (U+A40A)	ea908a
ꐋ	YI SYLLABLE QOP (U+A40B)	ea908b
ꐌ	YI SYLLABLE QUT (U+A40C)	ea908c
ꐍ	YI SYLLABLE QUX (U+A40D)	ea908d
ꐎ	YI SYLLABLE QU (U+A40E)	ea908e
ꐏ	YI SYLLABLE QUP (U+A40F)	ea908f
ꐐ	YI SYLLABLE QURX (U+A410)	ea9090
ꐑ	YI SYLLABLE QUR (U+A411)	ea9091
ꐒ	YI SYLLABLE QYT (U+A412)	ea9092
ꐓ	YI SYLLABLE QYX (U+A413)	ea9093
ꐔ	YI SYLLABLE QY (U+A414)	ea9094
ꐕ	YI SYLLABLE QYP (U+A415)	ea9095
ꐖ	YI SYLLABLE QYRX (U+A416)	ea9096
ꐗ	YI SYLLABLE QYR (U+A417)	ea9097
ꐘ	YI SYLLABLE JJIT (U+A418)	ea9098
ꐙ	YI SYLLABLE JJIX (U+A419)	ea9099
ꐚ	YI SYLLABLE JJI (U+A41A)	ea909a
ꐛ	YI SYLLABLE JJIP (U+A41B)	ea909b
ꐜ	YI SYLLABLE JJIET (U+A41C)	ea909c
ꐝ	YI SYLLABLE JJIEX (U+A41D)	ea909d
ꐞ	YI SYLLABLE JJIE (U+A41E)	ea909e
ꐟ	YI SYLLABLE JJIEP (U+A41F)	ea909f
ꐠ	YI SYLLABLE JJUOX (U+A420)	ea90a0
ꐡ	YI SYLLABLE JJUO (U+A421)	ea90a1
ꐢ	YI SYLLABLE JJUOP (U+A422)	ea90a2
ꐣ	YI SYLLABLE JJOT (U+A423)	ea90a3
ꐤ	YI SYLLABLE JJOX (U+A424)	ea90a4
ꐥ	YI SYLLABLE JJO (U+A425)	ea90a5
ꐦ	YI SYLLABLE JJOP (U+A426)	ea90a6
ꐧ	YI SYLLABLE JJUT (U+A427)	ea90a7
ꐨ	YI SYLLABLE JJUX (U+A428)	ea90a8
ꐩ	YI SYLLABLE JJU (U+A429)	ea90a9
ꐪ	YI SYLLABLE JJUP (U+A42A)	ea90aa
ꐫ	YI SYLLABLE JJURX (U+A42B)	ea90ab
ꐬ	YI SYLLABLE JJUR (U+A42C)	ea90ac
ꐭ	YI SYLLABLE JJYT (U+A42D)	ea90ad
ꐮ	YI SYLLABLE JJYX (U+A42E)	ea90ae
ꐯ	YI SYLLABLE JJY (U+A42F)	ea90af
ꐰ	YI SYLLABLE JJYP (U+A430)	ea90b0
ꐱ	YI SYLLABLE NJIT (U+A431)	ea90b1
ꐲ	YI SYLLABLE NJIX (U+A432)	ea90b2
ꐳ	YI SYLLABLE NJI (U+A433)	ea90b3
ꐴ	YI SYLLABLE NJIP (U+A434)	ea90b4
ꐵ	YI SYLLABLE NJIET (U+A435)	ea90b5
ꐶ	YI SYLLABLE NJIEX (U+A436)	ea90b6
