囕	U+56D5 (U+56D5)	e59b95
堀	cave, hole (U+5800)	e5a080
堁	U+5801 (U+5801)	e5a081
堂	hall; government office (U+5802)	e5a082
堃	compliance; obedience; female (U+5803)	e5a083
堄	parapet (U+5804)	e5a084
堅	hard, strong, firm; resolute (U+5805)	e5a085
堆	heap, pile, crowd; pile up (U+5806)	e5a086
堇	yellow loam; clay; season; few (U+5807)	e5a087
堈	earthen jug, crock, cistern (U+5808)	e5a088
堉	ground, fertile land (U+5809)	e5a089
堊	white earth; to daub with white mud (U+580A)	e5a08a
堋	bury (U+580B)	e5a08b
堌	dam, dike; used in place names (U+580C)	e5a08c
堍	U+580D (U+580D)	e5a08d
堎	character used for place names (U+580E)	e5a08e
堏	U+580F (U+580F)	e5a08f
堐	U+5810 (U+5810)	e5a090
堑	moat, trench, pit, cavity (U+5811)	e5a091
堒	U+5812 (U+5812)	e5a092
堓	U+5813 (U+5813)	e5a093
堔	U+5814 (U+5814)	e5a094
堕	fall, sink, let fall; degenerate (U+5815)	e5a095
堖	small, head shaped hill, used in place names (U+5816)	e5a096
堗	U+5817 (U+5817)	e5a097
堘	a raised path between field which acts as a dyke (U+5818)	e5a098
堙	bury; dam, block up (U+5819)	e5a099
堚	U+581A (U+581A)	e5a09a
堛	U+581B (U+581B)	e5a09b
堜	U+581C (U+581C)	e5a09c
堝	crucible (U+581D)	e5a09d
堞	plate (U+581E)	e5a09e
堟	U+581F (U+581F)	e5a09f
堠	battlements, battlemented walls (U+5820)	e5a0a0
堡	fort, fortress; town, village (U+5821)	e5a0a1
堢	U+5822 (U+5822)	e5a0a2
堣	U+5823 (U+5823)	e5a0a3
堤	dike (U+5824)	e5a0a4
堥	U+5825 (U+5825)	e5a0a5
堦	stairs; a flight of steps; a degree, a class, a rank or step (U+5826)	e5a0a6
堧	adjoin (U+5827)	e5a0a7
堨	daub (U+5828)	e5a0a8
堩	U+5829 (U+5829)	e5a0a9
堪	adequately capable of, worthy of (U+582A)	e5a0aa
堫	U+582B (U+582B)	e5a0ab
堬	U+582C (U+582C)	e5a0ac
堭	a dry moat outside a city wall; a dry ditch (U+582D)	e5a0ad
堮	a boundary; a border (U+582E)	e5a0ae
堯	a legendary ancient emperor-sage (U+582F)	e5a0af
堰	dam; embankment, dike, bank (U+5830)	e5a0b0
報	report, tell, announce (U+5831)	e5a0b1
堲	hate (U+5832)	e5a0b2
堳	land allotment feudal noble; alta (U+5833)	e5a0b3
場	open space, field, market (U+5834)	e5a0b4
堵	wall; stop, prevent; stop up (U+5835)	e5a0b5
堶	U+5836 (U+5836)	e5a0b6
堷	U+5837 (U+5837)	e5a0b7
堸	U+5838 (U+5838)	e5a0b8
堹	U+5839 (U+5839)	e5a0b9
堺	person's name (U+583A)	e5a0ba
堻	U+583B (U+583B)	e5a0bb
堼	U+583C (U+583C)	e5a0bc
堽	mound; used in place names (U+583D)	e5a0bd
堾	U+583E (U+583E)	e5a0be
堿	salty (U+583F)	e5a0bf
塀	wall, fence (U+5840)	e5a180
塁	rampart, military wall (U+5841)	e5a181
塂	U+5842 (U+5842)	e5a182
塃	U+5843 (U+5843)	e5a183
塄	elevated bank in field (U+5844)	e5a184
塅	U+5845 (U+5845)	e5a185
塆	U+5846 (U+5846)	e5a186
塇	U+5847 (U+5847)	e5a187
塈	paint, decorate (U+5848)	e5a188
塉	U+5849 (U+5849)	e5a189
塊	piece, lump; dollar (U+584A)	e5a18a
塋	grave, tomb, cemetery (U+584B)	e5a18b
塌	fall in ruins, collapse (U+584C)	e5a18c
塍	a raised path between fields, a dike (U+584D)	e5a18d
塎	U+584E (U+584E)	e5a18e
塏	high and dry place (U+584F)	e5a18f
塐	model in clay, sculpt; plastics (U+5850)	e5a190
塑	model in clay, sculpt; plastics (U+5851)	e5a191
塒	roost (U+5852)	e5a192
塓	plaster (U+5853)	e5a193
塔	tower, spire, tall building (U+5854)	e5a194
塕	a gust of wind (U+5855)	e5a195
塖	U+5856 (U+5856)	e5a196
塗	smear, daub, apply, spread; paint (U+5857)	e5a197
塘	pond; tank; dike, embankment (U+5858)	e5a198
