鐑	U+9411 (U+9411)	e99091
鐒	lawrencium (U+9412)	e99092
鐓	ferrule; castrate (U+9413)	e99093
鐔	dagger; small sword (U+9414)	e99094
鐕	U+9415 (U+9415)	e99095
鐖	U+9416 (U+9416)	e99096
鐗	U+9417 (U+9417)	e99097
鐘	clock; bell (U+9418)	e99098
鐙	lamp; a kind of cooking vessel (U+9419)	e99099
鐚	soft steel; ammonium (U+941A)	e9909a
鐛	U+941B (U+941B)	e9909b
鐜	U+941C (U+941C)	e9909c
鐝	a pick, a hoe (U+941D)	e9909d
鐞	U+941E (U+941E)	e9909e
鐟	U+941F (U+941F)	e9909f
鐠	praseodymium (U+9420)	e990a0
鐡	iron; strong, solid, firm (U+9421)	e990a1
鐢	U+9422 (U+9422)	e990a2
鐣	U+9423 (U+9423)	e990a3
鐤	huge tripod of bronze with two ears; sacrificial vessel (U+9424)	e990a4
鐥	U+9425 (U+9425)	e990a5
鐦	californium (U+9426)	e990a6
鐧	kind of rapier (U+9427)	e990a7
鐨	fermium (U+9428)	e990a8
鐩	lens (U+9429)	e990a9
鐪	U+942A (U+942A)	e990aa
鐫	engraving tool; carve, engrave (U+942B)	e990ab
鐬	U+942C (U+942C)	e990ac
鐭	U+942D (U+942D)	e990ad
鐮	sickle (U+942E)	e990ae
鐯	U+942F (U+942F)	e990af
鐰	U+9430 (U+9430)	e990b0
鐱	U+9431 (U+9431)	e990b1
鐲	bracelet, armband; small bell (U+9432)	e990b2
鐳	radium (U+9433)	e990b3
鐴	U+9434 (U+9434)	e990b4
鐵	iron; strong, solid, firm (U+9435)	e990b5
鐶	metal ring; measure of currency (U+9436)	e990b6
鐷	U+9437 (U+9437)	e990b7
鐸	bell; surname (U+9438)	e990b8
鐹	U+9439 (U+9439)	e990b9
鐺	frying pan; warming vessel (U+943A)	e990ba
鐻	drumstick (U+943B)	e990bb
鐼	U+943C (U+943C)	e990bc
鐽	U+943D (U+943D)	e990bd
鐾	U+943E (U+943E)	e990be
鐿	ytterbium (U+943F)	e990bf
鑀	ionium (U+9440)	e99180
鑁	U+9441 (U+9441)	e99181
鑂	U+9442 (U+9442)	e99182
鑃	U+9443 (U+9443)	e99183
鑄	melt, cast; coin, mint (U+9444)	e99184
鑅	U+9445 (U+9445)	e99185
鑆	U+9446 (U+9446)	e99186
鑇	U+9447 (U+9447)	e99187
鑈	U+9448 (U+9448)	e99188
鑉	U+9449 (U+9449)	e99189
鑊	cauldron, large iron pot; a wok (U+944A)	e9918a
鑋	U+944B (U+944B)	e9918b
鑌	high quality iron (U+944C)	e9918c
鑍	U+944D (U+944D)	e9918d
鑎	U+944E (U+944E)	e9918e
鑏	U+944F (U+944F)	e9918f
鑐	bolt of a Chinese lock (U+9450)	e99190
鑑	mirror, looking glass; reflect (U+9451)	e99191
鑒	mirror, looking glass; reflect (U+9452)	e99192
